glottocode	AUTOTYP_area	Name	iso639_3	level	endangerment_status	desc_status	Parent_ID	Language_level_name	Top_genetic_unit_ID	Family_name	Path	Countries	Longitude	Latitude	Macroarea	Isolate	Family_name_isolates_distinct	Top_genetic_unit_ID_isolates_distinct	Language_level_ID	Name_stripped	Name_stripped_no_spaces	Family_color
adha1238	Greater Mesopotamia	Adhari	NOCODE_Adhari	language	extinct	NA	tati1243	Adhari	indo1319	Indo-European	indo1319/indo1320/iran1269/cent2317/cent2318/nort3177/tati1243/adha1238	AZ	48.06	40.05	Eurasia	No	Indo-European	indo1319	adha1238	Adhari	Adhari	#D0E889
akpo1243	African Savannah	Akpondu	NOCODE_Akpondu	language	extinct	minimal	alum1251	Akpondu	atla1278	Atlantic-Congo	atla1278/volt1241/benu1247/benu1248/alum1249/alum1250/alum1251/akpo1243	NG	8.545454	9.235232	Africa	No	Atlantic-Congo	atla1278	akpo1243	Akpondu	Akpondu	#D38D93
alac1239	SE South America	Alacalufe-Austral	NOCODE_Alacalufe-Austral	language	extinct	wordlist	kawe1237	Alacalufe-Austral	kawe1237	Kawesqar	kawe1237/alac1239	CL	-70.140381	-54.788017	South America	No	Kawesqar	kawe1237	alac1239	AlacalufeAustral	AlacalufeAustral	#F8FBF6
alac1240	SE South America	Alacalufe-Central	NOCODE_Alacalufe-Central	language	extinct	grammar_sketch	nort1506	Alacalufe-Central	kawe1237	Kawesqar	kawe1237/nort1506/alac1240	AR	-71.04126	-53.435719	South America	No	Kawesqar	kawe1237	alac1240	AlacalufeCentral	AlacalufeCentral	#F8FBF6
alip1234	Indic	Alipur Sign Language	NOCODE_Alipur-Sign	language	shifting	socling	vill1244	Alipur Sign Language	sign1238	Sign Language	sign1238/vill1244/alip1234	IN	77.107525	16.843564	Eurasia	No	Sign Language	sign1238	alip1234	Alipur Sign Language	Alipur_Sign_Language	#F671A7
alle1238	Andean	Allentiac	NOCODE_Allentiac	language	extinct	grammar_sketch	huar1251	Allentiac	huar1251	Huarpean	huar1251/alle1238	AR	-68.096924	-33.480938	South America	No	Huarpean	huar1251	alle1238	Allentiac	Allentiac	#B5D5A9
amam1246	S New Guinea	Amam	NOCODE_Amam	language	NA	grammar_sketch	weri1254	Amam	goil1242	Goilalan	goil1242/weri1254/amam1246	PG	146.958832	-7.849821	Papunesia	No	Goilalan	goil1242	amam1246	Amam	Amam	#F6B387
amam1247	N Coast Asia	Amami O Shima Sign Language	NOCODE_Amami-Sign	language	NA	specific_feature	vill1244	Amami O Shima Sign Language	sign1238	Sign Language	sign1238/vill1244/amam1247	JP	129.358991	28.268372	Eurasia	No	Sign Language	sign1238	amam1247	Amami O Shima Sign Language	Amami_O_Shima_Sign_Language	#F671A7
ambe1246	N Coast New Guinea	Ambermo	NOCODE_Ambermo	language	NA	wordlist	uncl1493	Ambermo	uncl1493	Unclassifiable	uncl1493/ambe1246	ID	137.903651	-1.763355	Papunesia	No	Unclassifiable	uncl1493	ambe1246	Ambermo	Ambermo	#AAB7B0
ando1254	NE South America	Andoquero	NOCODE_Andoquero	language	extinct	wordlist	unun9983	Andoquero	huit1251	Huitotoan	huit1251/unun9983/ando1254	CO	-72.310867	-0.666992	South America	No	Huitotoan	huit1251	ando1254	Andoquero	Andoquero	#7D8513
andr1246	Southeast Asia	Andro	NOCODE_Andro	language	extinct	wordlist	andr1245	Andro	sino1245	Sino-Tibetan	sino1245/brah1260/jing1259/sakk1239/andr1245/andr1246	IN	94.033796	24.754303	Eurasia	No	Sino-Tibetan	sino1245	andr1246	Andro	Andro	#F438EF
anga1315	Southeast Asia	Angami Naga Sign Language	NOCODE_Angami-Sign	language	NA	ethnographic	vill1244	Angami Naga Sign Language	sign1238	Sign Language	sign1238/vill1244/anga1315	US	93.719062	25.896367	North America	No	Sign Language	sign1238	anga1315	Angami Naga Sign Language	Angami_Naga_Sign_Language	#F671A7
anti1242	Andean	Antioquian	NOCODE_Antioquian	language	extinct	wordlist	unun9943	Antioquian	chib1249	Chibchan	chib1249/core1252/unun9943/anti1242	CO	-75.342236	7.199341	South America	No	Chibchan	chib1249	anti1242	Antioquian	Antioquian	#F5CAEF
apia1247	NE South America	Apiaka-Tocantins	NOCODE_Apiaka-Tocantins	language	extinct	wordlist	xing1247	Apiaka-Tocantins	cari1283	Cariban	cari1283/peko1235/xing1247/apia1247	BR	-49.771729	-6.5	South America	No	Cariban	cari1283	apia1247	ApiakaTocantins	ApiakaTocantins	#7560EE
apol1242	Andean	Apolista	NOCODE_Apolista	language	extinct	wordlist	unun9934	Apolista	araw1281	Arawakan	araw1281/nort2990/unun9934/apol1242	BO	-68.66	-14.83	South America	No	Arawakan	araw1281	apol1242	Apolista	Apolista	#B1D193
araf1245	N Coast New Guinea	Arafundi-Enga Pidgin	NOCODE_Arafundi-Enga-Pidgin	language	NA	minimal	enga1255	Arafundi-Enga Pidgin	pidg1258	Pidgin	pidg1258/enga1255/araf1245	PG	143.298006	-5.101836	Papunesia	No	Pidgin	pidg1258	araf1245	ArafundiEnga Pidgin	ArafundiEnga_Pidgin	#D77AA4
arai1239	NE South America	Araicu	NOCODE_Araicu	language	extinct	wordlist	juru1258	Araicu	araw1281	Arawakan	araw1281/nort2990/juru1258/arai1239	BR	-67.2052	-3.104315	South America	No	Arawakan	araw1281	arai1239	Araicu	Araicu	#B1D193
