"iso_639_3","language_name","population_l1","div_bordering_languages","area_km2","altitude_range","roughness"
"aaa","Ghotuo",9000,7,227.0555293,351.4570923,5.167666912
"aab","Alumu-Tesu",7000,3,39.49597832,684.9346924,5.532274246
"aac","Ari",50,5,1102.240604,320.3540726,3.526711643
"aad","Amal",830,0,63.46062922,798.9605103,5.861983538
"aae","Arbëreshë Albanian",100000,2,591.8280621,648.4189453,6.456739426
"aaf","Aranadan",200,0,70.35875753,792.9188232,5.967473507
"aag","Ambrak",290,4,44.31627387,798.9605103,5.861983538
"aai","Arifama-Miniafia",3470,3,141.1149373,1320.206238,6.554695368
"aak","Ankave",1600,4,205.0679028,1690.902893,6.805873156
"aal","Afade",5000,8,1520.064863,164.3442841,3.178839147
"aan","Anambé",6,1,529.755437,82.83061218,3.183473349
"aap","Pará Arára",340,1,5368.268629,162.8749695,4.200352192
"aaq","Eastern Abenaki",1800,2,51994.69699,363.8527374,4.962409735
"aar","Afar",1379200,9,133871.0707,1416.242905,6.227539063
"aas","Aasax",350,0,812.6089533,763.3223877,6.349441051
"aat","Arvanitika Albanian",50000,3,8698.048991,526.3833256,6.132799268
"aau","Abau",7270,10,2200.578803,988.9312134,6.103123665
"aaw","Solong",2200,2,1002.856973,613.0570679,6.149116993
"aax","Mandobo Atas",10000,8,4123.064614,1158.072285,4.179676354
"aaz","Amarasi",70000,2,796.5878631,316.5432124,5.266884923
"aba","Abé",170000,8,4217.068936,160.7036743,4.193180084
"abb","Bankon",12000,4,419.5082335,917.5430145,6.092959404
"abc","Ambala Ayta",1660,1,75.12178619,378.2962646,5.941675186
"abd","Camarines Norte Agta",3800,1,21.47350494,301.3759816,5.460740089
"abe","Western Abenaki",14,4,29642.961,497.9520264,5.596167088
"abf","Abai Sungai",0,2,54.79749181,324.1733856,4.771843433
"abg","Abaga",5,0,1.045075959,1916.283508,6.958115339
"abi","Abidji",50500,5,1125.248906,170.2126007,4.189496994
"abj","Akabea",0,1,155.0250565,75.4839859,4.28423357
"abk","Abkhazian",105000,4,1847.401115,2058.732849,6.638785362
"abl","Lampung Nyo",180000,2,1825.780868,412.9399567,4.269862652
"abm","Abanyom",12500,5,214.5903105,727.786972,5.333243728
"abn","Abua",25000,8,432.0696617,115.6379375,2.924462557
"abo","Abon",1000,4,85.01526441,1055.950439,5.800908089
"abp","Abenlen Ayta",3000,2,118.6165102,604.4528809,6.177906871
"abq","Abaza",37800,4,684.9156414,2472.80249,6.349568367
"abr","Abron",1183000,7,14625.38211,173.119194,4.437000036
"abt","Ambulas",44000,9,1154.190211,608.9898071,5.62084341
"abu","Abure",55100,7,1185.014848,180.5846939,4.229865789
"abw","Pal",1160,6,254.6516674,1692.247772,6.021868944
"abx","Inabaknon",26400,0,35.88381396,188.1075287,5.224923372
"aby","Aneme Wake",650,4,1243.6425,1126.683517,6.858831644
"abz","Abui",16000,6,627.2398512,568.1637573,6.116060734
"aca","Achagua",250,2,3413.503013,1314.366328,4.834309995
"acd","Gikyode",10400,3,804.5338761,376.9318085,4.998162508
"ace","Acehnese",3500000,6,17655.56414,1227.176697,6.805859804
"ach","Acoli",1197000,10,32136.11582,659.1866659,5.232975324
"aci","Akacari",0,1,472.4909205,76.31477737,4.28423357
"ack","Akakora",0,1,632.7555896,67.76947403,3.996647477
"acl","Akarbale",0,2,347.8295353,75.4839859,4.28423357
"acn","Longchuan Achang",62700,5,1531.878702,1525.952393,6.605379581
"acp","Eastern Acipa",5000,4,1524.882284,298.1647644,4.743983269
"acr","Achi",85600,5,2853.15555,1687.895793,6.586398125
"acs","Acroá",0,5,37554.49315,513.1735306,5.233447313
"acu","Achuar-Shiwiar",7000,6,21385.57912,1562.112747,5.494170606
"acv","Achumawi",10,1,632.0299609,989.4763489,6.111812353
"acz","Acheron",9830,4,47.17661502,306.5653992,4.566905975
"ada","Adangme",800000,6,4567.11343,282.1754456,4.778396726
"add","Dzodinka",2600,6,124.0185645,1108.035416,5.829763412
"ade","Adele",27300,7,1382.427533,376.9318085,4.998162508
"adg","Andegerebinha",10,2,19640.57309,142.9008179,3.965088129
"adh","Adhola",360000,5,895.3935423,938.9922981,5.148241937
"adi","Bori-Karko",98090,12,24567.94016,3936.284912,7.050323009
"adj","Adioukrou",100000,9,1440.332994,170.2126007,4.189496994
"adl","Galo",30000,2,3730.907278,3936.284912,7.050323009
"adn","Adang",3000,2,71.18014492,568.1637573,6.116060734
"ado","Abu",4200,7,1115.906642,1331.161784,5.888193766
"adq","Adangbe",2200,3,622.1514933,298.1988068,4.86211729
"adr","Adonara",98000,2,589.4238099,359.1753235,5.88604784
"adt","Adnyamathanha",110,1,12961.26958,340.1503983,4.942745447
"adw","Amundava",83,2,2112.604267,138.7994347,3.933862209
"adx","Amdo Tibetan",1800000,15,287019.2073,1276.751831,6.123123169
"ady","Adyghe",467800,5,2947.480151,936.2339478,5.981981277
"adz","Adzera",30000,11,1708.479745,1916.283508,6.958115339
"aea","Areba",0,4,20055.97626,147.7705002,3.735556722
"aee","Northeast Pashayi",54400,4,294.619786,3754.145508,7.082107067
"aek","Haeke",300,3,48.78164374,199.3482857,5.69926405
"ael","Ambele",2600,7,250.2873751,1106.72113,5.925098896
"aem","Arem",40,4,232.9548419,712.0228271,6.122921944
"aeq","Aer",100,0,0.137073262,81.64800644,3.345421553
"aer","Eastern Arrernte",2380,1,32665.47781,321.3941612,4.53102386
"aeu","Akeu",11400,8,4732.72409,745.2794495,6.088199258
"aew","Ambakich",770,4,661.7813748,1331.161784,5.888193766
"aey","Amele",5300,5,129.6832588,2141.664124,7.110357523
"aez","Aeka",3400,2,479.1665939,1763.608978,7.142966628
"afd","Andai",400,1,555.9396543,1842.21226,6.533751488
"afe","Putukwam",70000,8,243.7237909,727.786972,5.333243728
"afi","Chini",75,4,65.35287952,1692.247772,6.021868944
"afk","Nanubae",1270,4,144.5057981,1605.971558,6.177941203
"afn","Defaka",200,1,0.01163082,269.6792212,4.263822079
"afo","Eloyi",25000,4,1959.12415,506.0942841,5.171826363
"afp","Tapei",290,3,87.1993658,1605.971558,6.177941203
"afr","Afrikaans",6969900,30,804028.506,333.4846497,4.991360664
"aft","Afitti",4510,2,210.7804798,244.1084976,4.368705988
"afu","Awutu",180000,3,677.8663654,251.8383484,4.652168751
"afz","Obokuitai",120,6,529.873644,1396.417938,6.374885559
"agb","Legbo",60000,6,160.9903752,348.8528137,4.741388559
"agc","Agatu",70000,8,3863.452881,506.0942841,5.171826363
"agd","Agarabi",27000,3,524.6929993,1916.283508,6.958115339
"age","Angal",18600,6,428.7335382,1966.779867,6.307500839
"agf","Arguni",150,0,3.009544341,523.0792236,5.794586897
"agg","Angor",1270,4,219.4425312,988.9312134,6.103123665
"agh","Ngelima",13600,10,19305.80534,138.8135529,4.19657135
