"glottocode","language","iso","level","area","latitude","longitude","countries","affiliation","subclassification"
"abkh1242","Abkhaz-Adyge","","family","Eurasia",43.692403,40.8701525,"","","(((Ashkaraua:1,Bezshagh:1,Tapanta:1)abaz1241:1,(Abzhui:1,Bzyb:1,Samurzakan:1)abkh1244:1)abkh1243:1,((Greater_Kabardian:1)kaba1278:1,(Abadzex:1,Bezhedukh:1,Natuzaj:1,Shapsug:1,Temirgoi:1,Xakuchi:1)adyg1241:1)circ1239:1,Ubykh:1)abkh1242:1;"
"surm1244","Surmic","","family","Africa",6.88199877083333,34.9733834583333,"","","(Majang:1,(((Muguji:1,Yidinich:1)kweg1241:1,((Bodi:1,Tishena:1)meen1242:1,(Mursi:1,(Chai:1,Tirma:1)suri1267:1)suri1266:1)past1248:1)sout2837:1,(((Balesi:1,Kacipo:1,Kichepo:1,Suri_-Kacipo-Balesi:1,Western_Suri:1,Zilmamu:1)kaci1244:1,Ngaalam:1)baal1234:1,((Didinga:1,Narim:1)didi1257:1,(Boma_-Surmic:1,Lotilla:1,Olam:1)murl1244:1,Tennet:1)didi1256:1)sout2838:1)sout2836:1)surm1244:1;"
"tama1329","Tamaic","","family","Africa",14.1199,22.0722,"","","((Abou_Charib:1,Nuclear_Mararit:1)mara1396:1,(Miisiirii:1,((Erenga:1,Girga_-Assangori:1,Murasi:1,Sebunkik:1,Sungor:1,Walad_Dulla:1)assa1269:1,(Girga:1,Haura:1,Orra:1,Tama:1)tama1331:1)tama1368:1)tama1330:1)tama1329:1;"
"yare1250","Yareban","","family","Papunesia",-9.52650083333333,148.41375,"","","(((Auwaka:1,Buniabura:1,Doma_-Papua_New_Guinea:1,Jari:1,Mori:1)anem1248:1,Moikodi:1)dori1247:1,(Bariji:1,Nawaru:1,Yareba:1)yare1251:1)yare1250:1;"
"monu1249","Bogia","","family","Papunesia",-4.313245,144.97,"","","(Lilau:1,Monumbo:1)monu1249:1;"
"tebe1251","Teberan","","family","Papunesia",-6.76043,144.4845,"","","((Erave_River:1)dadi1250:1,(Aurei:1,Bara_-Papua_New_Guinea:1,Boro_-Papua_New_Guinea:1,Keba-Wopasali:1,Kewah:1,Pupitau:1,Ro:1,Sesa:1,Siligi:1,Sopese:1,Suri_-Papua_New_Guinea:1,Tebera:1,Waraga:1)folo1238:1)tebe1251:1;"
"sali1297","Saliban","","family","South America",4.8956125,291.723175,"","","((Maco:1,Piaroa:1)maco1238:1,Sáliba:1)sali1297:1;"
"hibi1242","Hibito-Cholon","","family","South America",-7.90731,283.16895,"","","(Cholón:1,Hibito:1)hibi1242:1;"
"kiwa1251","Kiwaian","","family","Papunesia",-7.95787217086398,143.851668602728,"","","((Gama:1,Lower_Bamu:1,Nuhiro:1,Sisiame:1,Upper_Bamu:1)bamu1257:1,(Arigibi:1,Gibaio:1,Kope:1,Urama:1)nort2930:1,(Coast_Kiwai:1,Daru_Kiwai:1,Doumori:1,Eastern_Kiwai:1,Island_Kiwai:1,Southern_Coast_Kiwai:1)sout2949:1,((Gibario:1)kere1286:1,Morigi:1)tura1266:1,Waboda:1)kiwa1251:1;"
"paho1240","Pahoturi","","family","Papunesia",-8.922485,142.4165,"","","((Agöb:1,(Em:1,Ende_-Papua_New_Guinea:1,Kawam:1)nort3435:1)agob1244:1,(Idi:1,Taeme:1)idii1243:1)paho1240:1;"
"fasu1242","Fasu","faa","language","Papunesia",-6.62687,143.284,"PG","","(Kaibu:1,Namome:1,Some:1)fasu1242:1;"
"wash1253","Washo","was","language","North America",38.8184,240.36,"US","","(Washo:1);"
"taua1242","Tauade","ttd","language","Papunesia",-8.3486,147.094,"PG","","(Tauade:1);"
"araw1282","Arawan","","family","South America",-6.30690666666667,293.304891666667,"","","(Arawá_-Amazonas_State:1,((Banawa:1,Eastern_Jamamadi:1,Jarawara:1)jama1261:1,((Juruá-Jutaí:1,Purus-Envira:1)culi1244:1,((Cuniuá:1,Xeruã:1)mamo1239:1,Western_Jamamadi:1)deni1241:1)madi1263:1)madi1262:1,(Ituxi_Paumari:1,Purus_Paumari:1,Tapauá_Paumari:1)paum1247:1,Suruahá:1)araw1282:1;"
"puel1244","Puelche","pue","language","South America",-42.223,291.334,"AR","","(Puelche:1);"
"tuxa1239","Tuxá","tud","language","South America",-8.953642,321.7257713,"BR","","(Tuxá:1);"
"beto1236","Betoi-Jirara","","language","South America",7.223906,288.579762,"VE","","((Betoi:1,Jirara:1,Lolaca:1,Mafilito:1,Quilifay:1)nucl1771:1,(Ayrico:1,Situfa:1)situ1240:1)beto1236:1;"
