document_name,document_date,token_id,form_trans,form_utf,pos_tag,morphology,lemma,lemma_simple,lemma_wsd
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t11,baten,baten,VVINF,--,bāten,baten,bāten
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t18,ghescheyn,ghescheyn,VVINF,--,geschên,geschen,geschên¹
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t23,vp#snyden,vpsnyden,VVINF,--,upsnîden,upsniden,upsnîden
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t27,senden,senden,VVINF,--,senden,senden,senden
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t34,beseen,beseen,VVINF,--,besên,besen,besên²
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t41,fynden,fynden,VVINF,--,vinden,vinden,vinden
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t47,beteren,beteren,VVINF,--,bēteren,beteren,bēteren²
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t52,ys,ys,VVFIN,Irr.3.Sg.Pres.Ind,wēsen,wesen,wēsen²
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t57,weten,weten,VVINF,--,wēten,weten,wēten¹
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t67,senden,senden,VVFIN,Sw.2.Pl.*.*,senden,senden,senden
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t68,entfangen,entfangen,VVPP,--,entfân,entfan,entfân
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t71,was,was,VVFIN,Irr.3.Sg.Past.Ind,wēsen,wesen,wēsen²
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t82,was,was,VVFIN,Irr.3.Sg.Past.Ind,wēsen,wesen,wēsen²
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t92,ghyngen,ghyngen,VVFIN,Irr.3.Pl.Past.*,gân,gan,gân
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t100,wort,wort,VVFIN,St.3.Sg.Past.*,wērden,werden,wērden¹
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t104,frouweden,frouweden,VVFIN,Sw.3.Pl.Past.*,vrouwen,vrouwen,vrouwen²
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t112,vorhapeden,vorhapeden,VVFIN,Sw.3.Pl.Past.*,vorhōpen,vorhopen,vorhōpen²
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t126,ghes[ne]den,ghesneden,VVPP,--,snîden,sniden,snîden
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t130,szeghen,szeghen,VVINF,--,seggen,seggen,seggen
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t135,schreue{R_n},schreuen,VVFIN,St.2.Pl.Pres.*,schrîven,schriven,schrîven
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t141,senden,senden,VVFIN,Sw.2.Pl.Pres.*,senden,senden,senden
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t146,bedancke,bedancke,VVFIN,Sw.1.Sg.Pres.*,bedanken,bedanken,bedanken
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t151,wolt,wolt,VVPP,--,willen,willen,willen¹
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t160,horen,horen,VVINF,--,hö̂ren,horen,hö̂ren²
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t161,lathen,lathen,VVINF,--,lâten,laten,lâten¹
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t166,behelpe{R_n},behelpen,VVINF,--,behelpen,behelpen,behelpen
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t171,vorgeuen,vorgeuen,VVPP,--,vorgēven,vorgeven,vorgēven²
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t173,vorgete{R_n},vorgeten,VVPP,--,vorgēten,vorgeten,vorgēten³
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t176,schreue,schreue,VVFIN,St.2.Pl.Past.*,schrîven,schriven,schrîven
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t182,danckeden,danckeden,VVFIN,Sw.2.Pl.Past.*,danken,danken,danken
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t186,weren,weren,VVFIN,Irr.2.Pl.Past.Konj,wēsen,wesen,wēsen²
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t200,was,was,VVFIN,Irr.3.Sg.Past.Ind,wēsen,wesen,wēsen²
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t205,weth,weth,VVFIN,Prpr.3.Sg.Pres.Ind,wēten,weten,wēten¹
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t213,gheogett,gheogett,VVPP,--,ö̂gen,ogen,ö̂gen¹
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t222,dychte,dychte,VVFIN,Sw.1.Sg.Pres.*,dichten,dichten,dichten²
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t230,blyue{R_n},blyuen,VVINF,--,blîven,bliven,blîven
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t245,gh[aͤ]n,ghaͤn,VVINF,--,gân,gan,gân
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t254,ansack,ansack,VVFIN,St.3.Sg.Past.Ind,ansên,ansen,ansên
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t256,leet,leet,VVFIN,St.3.Sg.Past.Ind,lâten,laten,lâten¹
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t263,kame{R_n},kamen,VVINF,--,kōmen,komen,kōmen¹
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t266,sze,sze,VVFIN,St.3.Sg.Pres.Konj,sên,sen,sên
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t279,ys,ys,VVFIN,Irr.3.Sg.Pres.Ind,wēsen,wesen,wēsen²
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t285,was,was,VVFIN,Irr.3.Sg.Past.Ind,wēsen,wesen,wēsen²
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t305,sch[r]iue{R_n},schriuen,VVINF,--,schrîven,schriven,schrîven
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t312,gunden,gunden,VVFIN,Prpr.3.Pl.Past.*,günnen,gunnen,günnen
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t320,ghynge{R_n},ghyngen,VVFIN,Irr.3.Pl.Past.*,gân,gan,gân
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t324,weren,weren,VVFIN,Irr.3.Pl.Past.Ind,wēsen,wesen,wēsen²
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t326,hape,hape,VVFIN,Sw.1.Sg.Pres.*,hȫpen,hopen,hȫpen²
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t337,vorseende,vorseende,VVINF,--,vorsên,vorsen,vorsên²
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t349,kame,kame,VVFIN,St.3.Sg.Past.Konj,kōmen,komen,kōmen¹
Agneta Willeken,28.08.1535 (vgl. Reincke 1928),t359,krege{R_n},kregen,VVFIN,St-Sw.3.Pl.*.*,krîgen,krigen,krîgen¹
