lemma,form,paradigm_slot
zufügen,zufügen,V;NFIN
zufügen,zuzufügen,V;NFIN;LGSPEC01
zufügen,füge zu,V;IND;SG;1;PRS
zufügen,fügen zu,V;IND;PL;1;PRS
zufügen,füge zu,V;SBJV;SG;1;PRS
zufügen,fügen zu,V;SBJV;PL;1;PRS
zufügen,fügst zu,V;IND;SG;2;PRS
zufügen,fügt zu,V;IND;PL;2;PRS
zufügen,fügest zu,V;SBJV;SG;2;PRS
zufügen,füget zu,V;SBJV;PL;2;PRS
zufügen,fügt zu,V;IND;SG;3;PRS
zufügen,fügen zu,V;IND;PL;3;PRS
zufügen,füge zu,V;SBJV;SG;3;PRS
zufügen,fügen zu,V;SBJV;PL;3;PRS
zufügen,fügte zu,V;IND;SG;1;PST
zufügen,fügten zu,V;IND;PL;1;PST
zufügen,fügte zu,V;SBJV;SG;1;PST
zufügen,fügten zu,V;SBJV;PL;1;PST
zufügen,fügtest zu,V;IND;SG;2;PST
zufügen,fügtet zu,V;IND;PL;2;PST
zufügen,fügtest zu,V;SBJV;SG;2;PST
zufügen,fügtet zu,V;SBJV;PL;2;PST
zufügen,fügte zu,V;IND;SG;3;PST
zufügen,fügten zu,V;IND;PL;3;PST
zufügen,fügte zu,V;SBJV;SG;3;PST
zufügen,fügten zu,V;SBJV;PL;3;PST
zufügen,füg zu,V;IMP;SG;2
zufügen,füge zu,V;IMP;SG;2
zufügen,fügt zu,V;IMP;PL;2
umsehen,umsehen,V;NFIN
umsehen,umzusehen,V;NFIN;LGSPEC01
umsehen,sehe um,V;IND;SG;1;PRS
umsehen,sehen um,V;IND;PL;1;PRS
umsehen,sehe um,V;SBJV;SG;1;PRS
umsehen,sehen um,V;SBJV;PL;1;PRS
umsehen,siehst um,V;IND;SG;2;PRS
umsehen,seht um,V;IND;PL;2;PRS
umsehen,sehest um,V;SBJV;SG;2;PRS
umsehen,sehet um,V;SBJV;PL;2;PRS
umsehen,sieht um,V;IND;SG;3;PRS
umsehen,sehen um,V;IND;PL;3;PRS
umsehen,sehe um,V;SBJV;SG;3;PRS
umsehen,sehen um,V;SBJV;PL;3;PRS
umsehen,sah um,V;IND;SG;1;PST
umsehen,sahen um,V;IND;PL;1;PST
umsehen,sähe um,V;SBJV;SG;1;PST
umsehen,sähen um,V;SBJV;PL;1;PST
umsehen,sahst um,V;IND;SG;2;PST
umsehen,saht um,V;IND;PL;2;PST
umsehen,sähest um,V;SBJV;SG;2;PST
umsehen,sähet um,V;SBJV;PL;2;PST
umsehen,sah um,V;IND;SG;3;PST
umsehen,sahen um,V;IND;PL;3;PST
umsehen,sähe um,V;SBJV;SG;3;PST
umsehen,sähen um,V;SBJV;PL;3;PST
umsehen,sieh um,V;IMP;SG;2
umsehen,siehe um,V;IMP;SG;2
umsehen,seht um,V;IMP;PL;2
abzählen,abzählen,V;NFIN
abzählen,abzuzählen,V;NFIN;LGSPEC01
abzählen,zähle ab,V;IND;SG;1;PRS
abzählen,zählen ab,V;IND;PL;1;PRS
abzählen,zähle ab,V;SBJV;SG;1;PRS
abzählen,zählen ab,V;SBJV;PL;1;PRS
abzählen,zählst ab,V;IND;SG;2;PRS
abzählen,zählt ab,V;IND;PL;2;PRS
abzählen,zählest ab,V;SBJV;SG;2;PRS
abzählen,zählet ab,V;SBJV;PL;2;PRS
abzählen,zählt ab,V;IND;SG;3;PRS
abzählen,zählen ab,V;IND;PL;3;PRS
abzählen,zähle ab,V;SBJV;SG;3;PRS
abzählen,zählen ab,V;SBJV;PL;3;PRS
abzählen,zählte ab,V;IND;SG;1;PST
abzählen,zählten ab,V;IND;PL;1;PST
abzählen,zählte ab,V;SBJV;SG;1;PST
abzählen,zählten ab,V;SBJV;PL;1;PST
abzählen,zähltest ab,V;IND;SG;2;PST
abzählen,zähltet ab,V;IND;PL;2;PST
abzählen,zähltest ab,V;SBJV;SG;2;PST
abzählen,zähltet ab,V;SBJV;PL;2;PST
abzählen,zählte ab,V;IND;SG;3;PST
abzählen,zählten ab,V;IND;PL;3;PST
abzählen,zählte ab,V;SBJV;SG;3;PST
abzählen,zählten ab,V;SBJV;PL;3;PST
abzählen,zähl ab,V;IMP;SG;2
abzählen,zähle ab,V;IMP;SG;2
abzählen,zählt ab,V;IMP;PL;2
aufhetzen,aufhetzen,V;NFIN
aufhetzen,aufzuhetzen,V;NFIN;LGSPEC01
aufhetzen,hetze auf,V;IND;SG;1;PRS
aufhetzen,hetzen auf,V;IND;PL;1;PRS
aufhetzen,hetze auf,V;SBJV;SG;1;PRS
aufhetzen,hetzen auf,V;SBJV;PL;1;PRS
aufhetzen,hetzt auf,V;IND;SG;2;PRS
aufhetzen,hetzt auf,V;IND;PL;2;PRS
aufhetzen,hetzest auf,V;SBJV;SG;2;PRS
aufhetzen,hetzet auf,V;SBJV;PL;2;PRS
aufhetzen,hetzt auf,V;IND;SG;3;PRS
aufhetzen,hetzen auf,V;IND;PL;3;PRS
aufhetzen,hetze auf,V;SBJV;SG;3;PRS
aufhetzen,hetzen auf,V;SBJV;PL;3;PRS
aufhetzen,hetzte auf,V;IND;SG;1;PST
aufhetzen,hetzten auf,V;IND;PL;1;PST
