lemma,form,paradigm_slot
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,V;NFIN
anaslēpan,anaslēpan,V;NFIN
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰,V;IND;SG;1;PRS;ACT
anaslēpan,anaslēpa,V;IND;SG;1;PRS;ACT
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌰𐌹𐍃𐌻𐌴𐍀,V;IND;SG;1;PST;ACT
anaslēpan,anasaislēp,V;IND;SG;1;PST;ACT
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌳𐌰,V;IND;SG;1;PRS;PASS
anaslēpan,anaslēpada,V;IND;SG;1;PRS;PASS
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌹𐍃,V;IND;SG;2;PRS;ACT
anaslēpan,anaslēpis,V;IND;SG;2;PRS;ACT
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌰𐌹𐍃𐌻𐌴𐍆𐍄,V;IND;SG;2;PST;ACT
anaslēpan,anasaislēft,V;IND;SG;2;PST;ACT
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌶𐌰,V;IND;SG;2;PRS;PASS
anaslēpan,anaslēpaza,V;IND;SG;2;PRS;PASS
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌹𐌸,V;IND;SG;3;PRS;ACT
anaslēpan,anaslēpiþ,V;IND;SG;3;PRS;ACT
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌰𐌹𐍃𐌻𐌴𐍀,V;IND;SG;3;PST;ACT
anaslēpan,anasaislēp,V;IND;SG;3;PST;ACT
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌳𐌰,V;IND;SG;3;PRS;PASS
anaslēpan,anaslēpada,V;IND;SG;3;PRS;PASS
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐍉𐍃,V;IND;DU;1;PRS;ACT
anaslēpan,anaslēpōs,V;IND;DU;1;PRS;ACT
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌰𐌹𐍃𐌻𐌴𐍀𐌿,V;IND;DU;1;PST;ACT
anaslēpan,anasaislēpu,V;IND;DU;1;PST;ACT
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐍄𐍃,V;IND;DU;2;PRS;ACT
anaslēpan,anaslēpats,V;IND;DU;2;PRS;ACT
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌰𐌹𐍃𐌻𐌴𐍀𐌿𐍄𐍃,V;IND;DU;2;PST;ACT
anaslēpan,anasaislēputs,V;IND;DU;2;PST;ACT
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌼,V;IND;PL;1;PRS;ACT
anaslēpan,anaslēpam,V;IND;PL;1;PRS;ACT
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌰𐌹𐍃𐌻𐌴𐍀𐌿𐌼,V;IND;PL;1;PST;ACT
anaslēpan,anasaislēpum,V;IND;PL;1;PST;ACT
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽𐌳𐌰,V;IND;PL;1;PRS;PASS
anaslēpan,anaslēpanda,V;IND;PL;1;PRS;PASS
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌹𐌸,V;IND;PL;2;PRS;ACT
anaslēpan,anaslēpiþ,V;IND;PL;2;PRS;ACT
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌰𐌹𐍃𐌻𐌴𐍀𐌿𐌸,V;IND;PL;2;PST;ACT
anaslēpan,anasaislēpuþ,V;IND;PL;2;PST;ACT
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽𐌳𐌰,V;IND;PL;2;PRS;PASS
anaslēpan,anaslēpanda,V;IND;PL;2;PRS;PASS
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽𐌳,V;IND;PL;3;PRS;ACT
anaslēpan,anaslēpand,V;IND;PL;3;PRS;ACT
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌰𐌹𐍃𐌻𐌴𐍀𐌿𐌽,V;IND;PL;3;PST;ACT
anaslēpan,anasaislēpun,V;IND;PL;3;PST;ACT
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽,𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽𐌳𐌰,V;IND;PL;3;PRS;PASS
anaslēpan,anaslēpanda,V;IND;PL;3;PRS;PASS
