lemma,form,paradigm_slot
dünken,dünken,V;NFIN
dünken,dünk,V;IND;SG;1;PRS
dünken,düch,V;IND;SG;1;PST
dünken,düchst,V;IND;SG;2;PRS
dünken,dünkst,V;IND;SG;2;PRS
dünken,düchst,V;IND;SG;2;PST
dünken,dücht,V;IND;SG;3;PRS
dünken,dünkt,V;IND;SG;3;PRS
dünken,düch,V;IND;SG;3;PST
dünken,dünkt,V;IND;PL;PRS
dünken,düchen,V;IND;PL;PST
dünken,dünk,V;IMP;SG;PRS
dünken,dünkt,V;IMP;PL;PRS
bögen,bögen,V;NFIN
bögen,böög,V;IND;SG;1;PRS
bögen,boog,V;IND;SG;1;PST
bögen,böögst,V;IND;SG;2;PRS
bögen,boogst,V;IND;SG;2;PST
bögen,böögt,V;IND;SG;3;PRS
bögen,boog,V;IND;SG;3;PST
bögen,böögt,V;IND;PL;PRS
bögen,böögen,V;IND;PL;PRS
bögen,bogen,V;IND;PL;PST
bögen,böög,V;IMP;SG;PRS
bögen,böögt,V;IMP;PL;PRS
bargen,bargen,V;NFIN
bargen,barg,V;IND;SG;1;PRS
bargen,barg,V;IND;SG;1;PST
bargen,bargst,V;IND;SG;2;PRS
bargen,bargst,V;IND;SG;2;PST
bargen,bargt,V;IND;SG;3;PRS
bargen,barg,V;IND;SG;3;PST
bargen,bargt,V;IND;PL;PRS
bargen,bargen,V;IND;PL;PRS
bargen,bargen,V;IND;PL;PST
bargen,barge,V;IMP;SG;PRS
bargen,bargt,V;IMP;PL;PRS
bargen,barg,V;IMP;SG;PRS
geelsnacken,geelsnacken,V;NFIN
geelsnacken,snack geel,V;IND;SG;1;PRS
geelsnacken,snack geel,V;IND;SG;1;PST
geelsnacken,geelsnack,V;IND;SG;1;PRS;LGSPEC02
geelsnacken,geelsnack,V;IND;SG;1;PST;LGSPEC02
geelsnacken,snackst geel,V;IND;SG;2;PRS
geelsnacken,snackst geel,V;IND;SG;2;PST
geelsnacken,geelsnackst,V;IND;SG;2;PRS;LGSPEC02
geelsnacken,geelsnackst,V;IND;SG;2;PST;LGSPEC02
geelsnacken,snackt geel,V;IND;SG;3;PRS
geelsnacken,snack geel,V;IND;SG;3;PST
geelsnacken,geelsnackt,V;IND;SG;3;PRS;LGSPEC02
geelsnacken,geelsnack,V;IND;SG;3;PST;LGSPEC02
geelsnacken,snackt geel,V;IND;PL;PRS
geelsnacken,snacken geel,V;IND;PL;PST
geelsnacken,geelsnackt,V;IND;PL;PRS;LGSPEC02
geelsnacken,geelsnacken,V;IND;PL;PST;LGSPEC02
geelsnacken,snack geel,V;IMP;SG;PRS
geelsnacken,snackt geel,V;IMP;PL;PRS
verkrunkeln,verkrunkeln,V;NFIN
verkrunkeln,verkrunkel,V;IND;SG;1;PRS
verkrunkeln,verkrunkel,V;IND;SG;1;PST
verkrunkeln,verkrunkelst,V;IND;SG;2;PRS
verkrunkeln,verkrunkelst,V;IND;SG;2;PST
verkrunkeln,verkrunkelt,V;IND;SG;3;PRS
verkrunkeln,verkrunkel,V;IND;SG;3;PST
verkrunkeln,verkrunkelt,V;IND;PL;PRS
verkrunkeln,verkrunkeln,V;IND;PL;PST
verkrunkeln,verkrunkel,V;IMP;SG;PRS
verkrunkeln,verkrunkelt,V;IMP;PL;PRS
knudeln,knudeln,V;NFIN
knudeln,knudel,V;IND;SG;1;PRS
knudeln,knudel,V;IND;SG;1;PST
knudeln,knudelst,V;IND;SG;2;PRS
knudeln,knudelst,V;IND;SG;2;PST
knudeln,knudelt,V;IND;SG;3;PRS
knudeln,knudel,V;IND;SG;3;PST
knudeln,knudelt,V;IND;PL;PRS
knudeln,knudelen,V;IND;PL;PRS
knudeln,knudelen,V;IND;PL;PST
knudeln,knudele,V;IMP;SG;PRS
knudeln,knudelt,V;IMP;PL;PRS
anwrümmeln,anwrümmeln,V;NFIN
anwrümmeln,wrümmel an,V;IND;SG;1;PRS
anwrümmeln,wrümmel an,V;IND;SG;1;PST
anwrümmeln,anwrümmel,V;IND;SG;1;PRS;LGSPEC02
anwrümmeln,anwrümmel,V;IND;SG;1;PST;LGSPEC02
anwrümmeln,wrümmelst an,V;IND;SG;2;PRS
anwrümmeln,wrümmelst an,V;IND;SG;2;PST
anwrümmeln,anwrümmelst,V;IND;SG;2;PRS;LGSPEC02
anwrümmeln,anwrümmelst,V;IND;SG;2;PST;LGSPEC02
anwrümmeln,wrümmelt an,V;IND;SG;3;PRS
anwrümmeln,wrümmel an,V;IND;SG;3;PST
anwrümmeln,anwrümmelt,V;IND;SG;3;PRS;LGSPEC02
anwrümmeln,anwrümmel,V;IND;SG;3;PST;LGSPEC02
anwrümmeln,wrümmelt an,V;IND;PL;PRS
anwrümmeln,wrümmeln an,V;IND;PL;PST
anwrümmeln,anwrümmelt,V;IND;PL;PRS;LGSPEC02
anwrümmeln,anwrümmeln,V;IND;PL;PST;LGSPEC02
anwrümmeln,wrümmel an,V;IMP;SG;PRS
anwrümmeln,wrümmelt an,V;IMP;PL;PRS
uteneenfallen,uteneenfallen,V;NFIN
uteneenfallen,fall uteneen,V;IND;SG;1;PRS
uteneenfallen,full uteneen,V;IND;SG;1;PST
uteneenfallen,uteneenfall,V;IND;SG;1;PRS;LGSPEC02
uteneenfallen,uteneenfull,V;IND;SG;1;PST;LGSPEC02
uteneenfallen,fallst uteneen,V;IND;SG;2;PRS
uteneenfallen,fullst uteneen,V;IND;SG;2;PST
uteneenfallen,uteneenfallst,V;IND;SG;2;PRS;LGSPEC02
uteneenfallen,uteneenfullst,V;IND;SG;2;PST;LGSPEC02
uteneenfallen,fallt uteneen,V;IND;SG;3;PRS
uteneenfallen,full uteneen,V;IND;SG;3;PST
uteneenfallen,uteneenfallt,V;IND;SG;3;PRS;LGSPEC02
uteneenfallen,uteneenfull,V;IND;SG;3;PST;LGSPEC02
uteneenfallen,fallt uteneen,V;IND;PL;PRS
uteneenfallen,fullen uteneen,V;IND;PL;PST
uteneenfallen,uteneenfallt,V;IND;PL;PRS;LGSPEC02
uteneenfallen,uteneenfullen,V;IND;PL;PST;LGSPEC02
uteneenfallen,fall uteneen,V;IMP;SG;PRS
uteneenfallen,fallt uteneen,V;IMP;PL;PRS
wriwen,wriwen,V;NFIN
wriwen,wriw,V;IND;SG;1;PRS
wriwen,wreew,V;IND;SG;1;PST
wriwen,riffst,V;IND;SG;2;PRS
wriwen,wreewst,V;IND;SG;2;PST
wriwen,rifft,V;IND;SG;3;PRS
wriwen,wreew,V;IND;SG;3;PST
wriwen,wriwt,V;IND;PL;PRS
wriwen,wriwen,V;IND;PL;PRS
wriwen,rewen,V;IND;PL;PST
wriwen,wriw,V;IMP;SG;PRS
wriwen,wriwt,V;IMP;PL;PRS
drapen,drapen,V;NFIN
drapen,draap,V;IND;SG;1;PRS
drapen,droop,V;IND;SG;1;PST
drapen,dröppst,V;IND;SG;2;PRS
drapen,droopst,V;IND;SG;2;PST
drapen,dröppt,V;IND;SG;3;PRS
drapen,droop,V;IND;SG;3;PST
drapen,draapt,V;IND;PL;PRS
drapen,draapen,V;IND;PL;PRS
drapen,dropen,V;IND;PL;PST
drapen,draap,V;IMP;SG;PRS
drapen,draapt,V;IMP;PL;PRS
luustern,luustern,V;NFIN
luustern,luuster,V;IND;SG;1;PRS
luustern,luuster,V;IND;SG;1;PST
luustern,luusterst,V;IND;SG;2;PRS
luustern,luusterst,V;IND;SG;2;PST
luustern,luustert,V;IND;SG;3;PRS
luustern,luuster,V;IND;SG;3;PST
luustern,luustert,V;IND;PL;PRS
luustern,luustern,V;IND;PL;PST
luustern,luuster,V;IMP;SG;PRS
luustern,luustert,V;IMP;PL;PRS
lippen,lippen,V;NFIN
