lemma,form,paradigm_slot
gyrða,gyrða,"V;NFIN;ACT;LGSPEC02"
gyrða,gyrði,"V;IND;SG;1;PRS;ACT;LGSPEC02"
gyrða,gyrða,"V;IND;SG;1;PST;ACT;LGSPEC02"
gyrða,gyrðir,"V;IND;SG;2;PRS;ACT;LGSPEC02"
gyrða,gyrðir,"V;IND;SG;2;PST;ACT;LGSPEC02"
gyrða,gyrðir,"V;IND;SG;3;PRS;ACT;LGSPEC02"
gyrða,gyrði,"V;IND;SG;3;PST;ACT;LGSPEC02"
gyrða,gyrðum,"V;IND;PL;1;PRS;ACT;LGSPEC02"
gyrða,gyrðum,"V;IND;PL;1;PST;ACT;LGSPEC02"
gyrða,gyrðið,"V;IND;PL;2;PRS;ACT;LGSPEC02"
gyrða,gyrðuð,"V;IND;PL;2;PST;ACT;LGSPEC02"
gyrða,gyrða,"V;IND;PL;3;PRS;ACT;LGSPEC02"
gyrða,gyrðu,"V;IND;PL;3;PST;ACT;LGSPEC02"
gyrða,gyrða,"V;SBJV;SG;1;PRS;ACT;LGSPEC02"
gyrða,gyrða,"V;SBJV;SG;1;PST;ACT;LGSPEC02"
gyrða,gyrðir,"V;SBJV;SG;2;PRS;ACT;LGSPEC02"
gyrða,gyrðir,"V;SBJV;SG;2;PST;ACT;LGSPEC02"
gyrða,gyrði,"V;SBJV;SG;3;PRS;ACT;LGSPEC02"
gyrða,gyrði,"V;SBJV;SG;3;PST;ACT;LGSPEC02"
gyrða,gyrðim,"V;SBJV;PL;1;PRS;ACT;LGSPEC02"
gyrða,gyrðim,"V;SBJV;PL;1;PST;ACT;LGSPEC02"
gyrða,gyrðið,"V;SBJV;PL;2;PRS;ACT;LGSPEC02"
gyrða,gyrðið,"V;SBJV;PL;2;PST;ACT;LGSPEC02"
gyrða,gyrði,"V;SBJV;PL;3;PRS;ACT;LGSPEC02"
gyrða,gyrði,"V;SBJV;PL;3;PST;ACT;LGSPEC02"
gyrða,gyrð,"V;IMP;SG;2;PRS;ACT;LGSPEC02"
gyrða,gyrði,"V;IMP;SG;2;PRS;ACT;LGSPEC02"
gyrða,gyrðum,"V;IMP;PL;1;PRS;ACT;LGSPEC02"
gyrða,gyrðið,"V;IMP;PL;2;PRS;ACT;LGSPEC02"
gyrða,gyrðask,"V;NFIN;MID+PASS;LGSPEC02"
gyrða,gyrðumk,"V;IND;SG;1;PRS;MID+PASS;LGSPEC02"
gyrða,gyrðumk,"V;IND;SG;1;PST;MID+PASS;LGSPEC02"
gyrða,gyrðisk,"V;IND;SG;2;PRS;MID+PASS;LGSPEC02"
gyrða,gyrðisk,"V;IND;SG;2;PST;MID+PASS;LGSPEC02"
gyrða,gyrðisk,"V;IND;SG;3;PRS;MID+PASS;LGSPEC02"
gyrða,gyrðisk,"V;IND;SG;3;PST;MID+PASS;LGSPEC02"
gyrða,gyrðumsk,"V;IND;PL;1;PRS;MID+PASS;LGSPEC02"
gyrða,gyrðumsk,"V;IND;PL;1;PST;MID+PASS;LGSPEC02"
gyrða,gyrðizk,"V;IND;PL;2;PRS;MID+PASS;LGSPEC02"
gyrða,gyrðuzk,"V;IND;PL;2;PST;MID+PASS;LGSPEC02"
gyrða,gyrðask,"V;IND;PL;3;PRS;MID+PASS;LGSPEC02"
gyrða,gyrðusk,"V;IND;PL;3;PST;MID+PASS;LGSPEC02"
gyrða,gyrðumk,"V;SBJV;SG;1;PRS;MID+PASS;LGSPEC02"
gyrða,gyrðumk,"V;SBJV;SG;1;PST;MID+PASS;LGSPEC02"
gyrða,gyrðisk,"V;SBJV;SG;2;PRS;MID+PASS;LGSPEC02"
gyrða,gyrðisk,"V;SBJV;SG;2;PST;MID+PASS;LGSPEC02"
gyrða,gyrðisk,"V;SBJV;SG;3;PRS;MID+PASS;LGSPEC02"
gyrða,gyrðisk,"V;SBJV;SG;3;PST;MID+PASS;LGSPEC02"
gyrða,gyrðimsk,"V;SBJV;PL;1;PRS;MID+PASS;LGSPEC02"
gyrða,gyrðimsk,"V;SBJV;PL;1;PST;MID+PASS;LGSPEC02"
gyrða,gyrðizk,"V;SBJV;PL;2;PRS;MID+PASS;LGSPEC02"
gyrða,gyrðizk,"V;SBJV;PL;2;PST;MID+PASS;LGSPEC02"
gyrða,gyrðisk,"V;SBJV;PL;3;PRS;MID+PASS;LGSPEC02"
gyrða,gyrðisk,"V;SBJV;PL;3;PST;MID+PASS;LGSPEC02"
gyrða,gyrzk,"V;IMP;SG;2;PRS;MID+PASS;LGSPEC02"
gyrða,gyrðisk,"V;IMP;SG;2;PRS;MID+PASS;LGSPEC02"
gyrða,gyrðumsk,"V;IMP;PL;1;PRS;MID+PASS;LGSPEC02"
gyrða,gyrðizk,"V;IMP;PL;2;PRS;MID+PASS;LGSPEC02"
súga,súga,"V;NFIN;ACT;LGSPEC01"
súga,sýg,"V;IND;SG;1;PRS;ACT;LGSPEC01"
súga,saug,"V;IND;SG;1;PST;ACT;LGSPEC01"
súga,só,"V;IND;SG;1;PST;ACT;LGSPEC01"
súga,sýgr,"V;IND;SG;2;PRS;ACT;LGSPEC01"
