iso_639_3,glottocode,language_name,family,macro_area,population_l1,population_source,population_scope,l2_proportion,vehicularity,div_bordering_languages,area_km2,altitude_range,roughness,eco_imputed,latitude,longitude
faa,fasu1242,Fasu,Isolate,Papunesia,1200.0,Bromham,faa,0.0,0,4.0,2461.568234,1706.546753,5.994637489,False,-6.62687,143.284
was,wash1253,Washo,Isolate,North America,10.0,Bromham,was,0.0,0,2.0,635.5205062,1472.512329,6.471660614,False,38.8184,-119.64
ttd,taua1242,Tauade,Goilalan,Papunesia,7000.0,Bromham,ttd,,0,5.0,1787.687255,1763.608978,7.142966628,False,-8.3486,147.094
pue,puel1244,Puelche,Isolate,South America,5.0,Koplenig,pue,0.0,0,3.0,1921.210929,670.0216293,5.800043106,True,-36.6376,-62.9413
tud,tuxa1239,Tuxá,Isolate,South America,1630.0,Bromham,tud,,0,4.0,73073.70606,536.9365234,5.416628599,False,-8.953642,-38.274229
mrf,else1239,Elseng,Isolate,Papunesia,300.0,Bromham,mrf,,0,13.0,4614.26754,1018.881248,6.221927762,False,-3.00176,140.418
ano,ando1256,Andoque,Isolate,South America,370.0,Bromham,ano,0.0,0,4.0,927.1953918,78.08044338,3.605619252,False,-0.53751,-72.0869
pby,pyuu1245,Pyu,Isolate,Papunesia,100.0,Bromham,pby,,0,1.0,17.66664028,988.9312134,6.103123665,False,-4.45003,141.018
omc,moch1259,Mochica,Isolate,South America,,,,,0,3.0,1921.210929,670.0216293,5.800043106,True,-8.01667,-79.0
aqp,atak1252,Atakapa,Isolate,North America,,,,,0,3.0,1921.210929,670.0216293,5.800043106,True,30.9121,-93.0827
xwa,kwaz1243,Kwaza,Isolate,South America,7.0,Bromham,xwa,,0,1.0,570.6754039,328.616684,4.661884785,False,-11.6667,-61.1833
kbh,cams1241,Camsá,Isolate,South America,4000.0,Bromham,kbh,0.0,0,1.0,601.6052048,2345.948853,6.13231945,False,1.14537,-76.8931
dby,dibi1240,Dibiyaso,Isolate,Papunesia,1950.0,Bromham,dby,,0,5.0,1435.373946,512.1255379,4.056661487,False,-7.82096,142.779
kun,kuna1268,Kunama,Isolate,Africa,194430.0,Bromham,kun,0.000549947,0,6.0,13644.72461,769.9556885,5.42979002,False,14.5879,37.5292
yet,yetf1238,Yetfa,Isolate,Papunesia,1000.0,Bromham,yet,,0,7.0,979.7987506,1651.89798,6.48093915,False,-4.05884,140.653
ggk,kung1259,Kungarakany,Isolate,Australia,,,,,0,4.0,1929.092291,134.143692,4.120710373,False,-12.7,130.881
cbu,cand1248,Candoshi-Shapra,Isolate,South America,1120.0,Bromham,cbu,0.0,0,5.0,11959.52025,1508.084,5.325752815,False,-4.23835,-76.9347
bsk,buru1296,Burushaski,Isolate,Eurasia,87000.0,Bromham,bsk,0.0,0,6.0,2346.245012,1816.90271,6.907860756,False,36.2161,74.8236
con,cofa1242,Cofán,Isolate,South America,2400.0,Bromham,con,0.0,0,1.0,3911.827367,2825.316162,6.227919817,False,0.276675,-77.0643
ule,lule1238,Lule,Isolate,South America,,,,,0,3.0,1921.210929,670.0216293,5.800043106,True,-25.221839,-61.887818
