iso	sample_seed	split_seed	fold	Smart_Avg_Levenshtein
amh	0	0	0	0.3329
amh	0	0	1	0.3194
amh	0	0	2	0.3026
amh	0	0	3	0.3242
amh	0	1	0	0.3404
amh	0	1	1	0.3137
amh	0	1	2	0.3252
amh	0	1	3	0.3235
amh	1	0	0	0.3240
amh	1	0	1	0.3225
amh	1	0	2	0.3310
amh	1	0	3	0.3144
amh	1	1	0	0.3128
amh	1	1	1	0.3173
amh	1	1	2	0.3276
amh	1	1	3	0.3248
ben	0	0	0	0.1305
ben	0	0	1	0.1335
ben	0	0	2	0.1285
ben	0	0	3	0.1306
ben	0	1	0	0.1201
ben	0	1	1	0.1282
ben	0	1	2	0.1165
ben	0	1	3	0.1223
ben	1	0	0	0.1294
ben	1	0	1	0.1339
ben	1	0	2	0.1272
ben	1	0	3	0.1292
ben	1	1	0	0.1294
ben	1	1	1	0.1232
ben	1	1	2	0.1214
ben	1	1	3	0.1351
cat	0	0	0	0.1553
cat	0	0	1	0.1449
cat	0	0	2	0.1399
cat	0	0	3	0.1315
cat	0	1	0	0.1443
cat	0	1	1	0.1355
cat	0	1	2	0.1527
cat	0	1	3	0.1488
cat	1	0	0	0.1477
cat	1	0	1	0.1477
cat	1	0	2	0.1341
cat	1	0	3	0.1448
cat	1	1	0	0.1420
cat	1	1	1	0.1466
cat	1	1	2	0.1400
cat	1	1	3	0.1449
deu	0	0	0	0.1584
deu	0	0	1	0.1600
deu	0	0	2	0.1475
deu	0	0	3	0.1366
deu	0	1	0	0.1381
deu	0	1	1	0.1479
deu	0	1	2	0.1575
deu	0	1	3	0.1583
deu	1	0	0	0.1445
deu	1	0	1	0.1504
deu	1	0	2	0.1402
deu	1	0	3	0.1555
deu	1	1	0	0.1676
deu	1	1	1	0.1533
deu	1	1	2	0.1581
deu	1	1	3	0.1604
ell	0	0	0	0.1639
ell	0	0	1	0.1438
ell	0	0	2	0.1753
ell	0	0	3	0.1501
ell	0	1	0	0.1583
ell	0	1	1	0.1537
ell	0	1	2	0.1555
ell	0	1	3	0.1827
ell	1	0	0	0.1426
ell	1	0	1	0.1965
ell	1	0	2	0.1289
ell	1	0	3	0.1440
ell	1	1	0	0.1346
ell	1	1	1	0.1504
ell	1	1	2	0.1331
ell	1	1	3	0.1526
fin	0	0	0	0.1608
fin	0	0	1	0.1542
fin	0	0	2	0.1579
fin	0	0	3	0.1593
fin	0	1	0	0.1653
fin	0	1	1	0.1618
fin	0	1	2	0.1604
fin	0	1	3	0.1574
fin	1	0	0	0.1633
fin	1	0	1	0.1594
fin	1	0	2	0.1629
fin	1	0	3	0.1587
fin	1	1	0	0.1608
fin	1	1	1	0.1570
fin	1	1	2	0.1629
fin	1	1	3	0.1625
fra	0	0	0	0.1755
fra	0	0	1	0.1486
fra	0	0	2	0.1538
fra	0	0	3	0.1575
fra	0	1	0	0.1618
fra	0	1	1	0.1525
fra	0	1	2	0.1473
fra	0	1	3	0.1599
fra	1	0	0	0.1581
fra	1	0	1	0.1653
fra	1	0	2	0.1596
fra	1	0	3	0.1518
fra	1	1	0	0.1480
fra	1	1	1	0.1583
fra	1	1	2	0.1618
fra	1	1	3	0.1439
gle	0	0	0	0.2073
gle	0	0	1	0.2095
gle	0	0	2	0.2079
gle	0	0	3	0.1971
gle	0	1	0	0.2047
gle	0	1	1	0.1946
gle	0	1	2	0.2043
gle	0	1	3	0.2031
gle	1	0	0	0.2045
gle	1	0	1	0.2082
gle	1	0	2	0.2088
gle	1	0	3	0.2007
gle	1	1	0	0.2052
gle	1	1	1	0.2057
gle	1	1	2	0.2033
gle	1	1	3	0.2016
hin	0	0	0	0.0433
hin	0	0	1	0.0448
hin	0	0	2	0.0443
hin	0	0	3	0.0445
hin	0	1	0	0.0453
hin	0	1	1	0.0459
hin	0	1	2	0.0470
hin	0	1	3	0.0432
hin	1	0	0	0.0447
hin	1	0	1	0.0434
hin	1	0	2	0.0438
hin	1	0	3	0.0465
hin	1	1	0	0.0460
hin	1	1	1	0.0462
hin	1	1	2	0.0442
hin	1	1	3	0.0463
ita	0	0	0	0.0831
ita	0	0	1	0.0864
ita	0	0	2	0.0802
ita	0	0	3	0.0899
ita	0	1	0	0.0784
ita	0	1	1	0.0833
ita	0	1	2	0.0861
ita	0	1	3	0.0874
ita	1	0	0	0.0793
ita	1	0	1	0.0766
ita	1	0	2	0.0804
ita	1	0	3	0.0829
ita	1	1	0	0.0911
ita	1	1	1	0.0817
ita	1	1	2	0.0887
ita	1	1	3	0.0870
nav	0	0	0	0.3092
nav	0	0	1	0.2873
nav	0	0	2	0.3240
nav	0	0	3	0.3097
nav	0	1	0	0.3049
nav	0	1	1	0.3076
nav	0	1	2	0.3115
nav	0	1	3	0.3058
nav	1	0	0	0.3292
nav	1	0	1	0.2950
nav	1	0	2	0.3200
nav	1	0	3	0.3301
nav	1	1	0	0.2915
nav	1	1	1	0.3091
nav	1	1	2	0.3027
nav	1	1	3	0.3266
pol	0	0	0	0.1124
pol	0	0	1	0.1032
pol	0	0	2	0.1132
pol	0	0	3	0.1040
pol	0	1	0	0.1116
pol	0	1	1	0.0988
pol	0	1	2	0.1084
pol	0	1	3	0.1041
pol	1	0	0	0.1082
pol	1	0	1	0.1150
pol	1	0	2	0.1119
pol	1	0	3	0.1050
pol	1	1	0	0.1121
pol	1	1	1	0.1192
pol	1	1	2	0.1019
pol	1	1	3	0.0978
por	0	0	0	0.0880
por	0	0	1	0.0839
por	0	0	2	0.0764
por	0	0	3	0.0841
por	0	1	0	0.0872
por	0	1	1	0.0801
por	0	1	2	0.0854
por	0	1	3	0.0897
por	1	0	0	0.0871
por	1	0	1	0.0808
por	1	0	2	0.0847
por	1	0	3	0.0830
por	1	1	0	0.0879
por	1	1	1	0.0842
por	1	1	2	0.0863
por	1	1	3	0.0824
spa	0	0	0	0.0628
spa	0	0	1	0.0614
spa	0	0	2	0.0627
spa	0	0	3	0.0629
spa	0	1	0	0.0620
spa	0	1	1	0.0630
spa	0	1	2	0.0606
spa	0	1	3	0.0614
spa	1	0	0	0.0614
spa	1	0	1	0.0649
spa	1	0	2	0.0592
spa	1	0	3	0.0583
spa	1	1	0	0.0602
spa	1	1	1	0.0615
spa	1	1	2	0.0639
spa	1	1	3	0.0626
swe	0	0	0	0.2246
swe	0	0	1	0.2127
swe	0	0	2	0.2473
swe	0	0	3	0.2358
swe	0	1	0	0.2323
swe	0	1	1	0.2492
swe	0	1	2	0.2332
swe	0	1	3	0.2447
swe	1	0	0	0.2369
swe	1	0	1	0.2469
swe	1	0	2	0.2329
swe	1	0	3	0.2438
swe	1	1	0	0.2402
swe	1	1	1	0.2240
swe	1	1	2	0.2213
swe	1	1	3	0.2352
tel	0	0	0	0.0673
tel	0	0	1	0.0765
tel	0	0	2	0.0516
tel	0	0	3	0.0523
tel	0	1	0	0.0665
tel	0	1	1	0.0696
tel	0	1	2	0.0576
tel	0	1	3	0.0696
tel	1	0	0	0.0801
tel	1	0	1	0.0522
tel	1	0	2	0.0880
tel	1	0	3	0.0620
tel	1	1	0	0.0663
tel	1	1	1	0.0497
tel	1	1	2	0.0827
tel	1	1	3	0.0754
tur	0	0	0	0.0780
tur	0	0	1	0.0782
tur	0	0	2	0.0768
tur	0	0	3	0.0772
tur	0	1	0	0.0788
tur	0	1	1	0.0780
tur	0	1	2	0.0770
tur	0	1	3	0.0761
tur	1	0	0	0.0773
tur	1	0	1	0.0760
tur	1	0	2	0.0761
tur	1	0	3	0.0778
tur	1	1	0	0.0779
tur	1	1	1	0.0766
tur	1	1	2	0.0775
tur	1	1	3	0.0775
tyv	0	0	0	0.2009
tyv	0	0	1	0.1983
tyv	0	0	2	0.1910
tyv	0	0	3	0.1961
tyv	0	1	0	0.1954
tyv	0	1	1	0.1984
tyv	0	1	2	0.1950
tyv	0	1	3	0.1962
tyv	1	0	0	0.1909
tyv	1	0	1	0.1959
tyv	1	0	2	0.1961
tyv	1	0	3	0.1968
tyv	1	1	0	0.1926
tyv	1	1	1	0.1959
tyv	1	1	2	0.1968
tyv	1	1	3	0.1949
zul	0	0	0	0.1249
zul	0	0	1	0.1264
zul	0	0	2	0.1271
zul	0	0	3	0.1235
zul	0	1	0	0.1237
zul	0	1	1	0.1279
zul	0	1	2	0.1238
zul	0	1	3	0.1253
zul	1	0	0	0.1237
zul	1	0	1	0.1262
zul	1	0	2	0.1258
zul	1	0	3	0.1265
zul	1	1	0	0.1285
zul	1	1	1	0.1284
zul	1	1	2	0.1225
zul	1	1	3	0.1275
