lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form,Fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
ተለየ,ተለየ,V;PFV;3;SG;MASC,6.666666666666667e-05,4e-05,t ə l ə j ə,1,V,PFV,3,SG,MASC,,,,,
ተለየ,ተለይቷል,V;PRF;3;SG;MASC,0.0,4e-05,t ə l ə j t ɨ l,1,V,PRF,3,SG,MASC,,,,,
ተለየ,ይለያል,V;IPFV;3;SG;MASC,0.0001333333333333,4e-05,j ɨ l ə j a l,2,V,IPFV,3,SG,MASC,,,,,
ተለየ,ይለይ,V;IMP;3;SG;MASC,0.0,4e-05,j ɨ l ə j,0,V,IMP,3,SG,MASC,,,,,
ተለየ,ይለይ,V;IPFV;NFIN;3;SG;MASC,0.0,4e-05,j ɨ l ə j,3,V,IPFV,NFIN,3,SG,MASC,,,,
ዘለቀ,ዘለቀ,V;PFV;3;SG;MASC,0.0009333333333333,0.0001866666666666,z ɨ l ə k s o,2,V,PFV,3,SG,MASC,,,,,
ዘለቀ,ዘልቋል,V;PRF;3;SG;MASC,0.0,0.0001866666666666,z ɨ l t͡ʃ ə l,2,V,PRF,3,SG,MASC,,,,,
ዘለቀ,ይዘልቃል,V;IPFV;3;SG;MASC,0.0,0.0001866666666666,j ɨ z ɨ l kʼ ə l,3,V,IPFV,3,SG,MASC,,,,,
ዘለቀ,ይዘልቅ,V;IPFV;NFIN;3;SG;MASC,0.0,0.0001866666666666,j ɨ z ɨ l kʼ,0,V,IPFV,NFIN,3,SG,MASC,,,,
ዘለቀ,ይዝለቅ,V;IMP;3;SG;MASC,0.0,0.0001866666666666,j ɨ z ɨ l ə kʼ,2,V,IMP,3,SG,MASC,,,,,
ሞተ,ልሙት,V;IMP;1;SG,0.0,4.583333333333334e-05,l m u t,2,V,IMP,1,SG,,,,,,
ሞተ,ሙቱ,V;IMP;2;PL,0.0,4.583333333333334e-05,m u t u,0,V,IMP,2,PL,,,,,,
ሞተ,ሙት,V;IMP;2;SG;MASC,0.0001333333333333,4.583333333333334e-05,m u t,1,V,IMP,2,SG,MASC,,,,,
ሞተ,ሙቺ,V;IMP;2;SG;FEM,0.0,4.583333333333334e-05,m u t͡ʃː i,2,V,IMP,2,SG,FEM,,,,,
ሞተ,ሞተ,V;PFV;3;SG;MASC,0.0006666666666666,4.583333333333334e-05,m ə t ə,3,V,PFV,3,SG,MASC,,,,,
ሞተ,ሞተሀል,V;PRF;2;SG;MASC,0.0,4.583333333333334e-05,m ə t ə h a l,4,V,PRF,2,SG,MASC,,,,,
ሞተ,ሞተሻል,V;PRF;2;SG;FEM,0.0,4.583333333333334e-05,m ə t ə ʃ a l,1,V,PRF,2,SG,FEM,,,,,
ሞተ,ሞተች,V;PFV;3;SG;FEM,0.0,4.583333333333334e-05,m ə t ə t͡ʃː,0,V,PFV,3,SG,FEM,,,,,
