lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form,Fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
dar,daran,V;IND;FUT;3;PL,1e-06,0.0010965135135135,d a ɾ a n,2,V,IND,FUT,3,PL,,,,,
dar,daràs,V;IND;FUT;2;SG,0.0,0.0010965135135135,d a ɾ a s,2,V,IND,FUT,2,SG,,,,,
dar,darà,V;IND;FUT;3;SG,4e-06,0.0010965135135135,d a ɾ a,3,V,IND,FUT,3,SG,,,,,
dar,darem,V;IND;FUT;1;PL,3e-06,0.0010965135135135,d a ɾ e m,0,V,IND,FUT,1,PL,,,,,
dar,dàrem,V;IND;PST;1;PL;PFV,0.0,0.0010965135135135,d a ɾ e m,0,V,IND,PST,1,PL,PFV,,,,
dar,daren,V;IND;PST;3;PL;PFV,0.0,0.0010965135135135,d a ɾ e n,3,V,IND,PST,3,PL,PFV,,,,
dar,dares,V;IND;PST;2;SG;PFV,0.0,0.0010965135135135,d a ɾ e s,0,V,IND,PST,2,SG,PFV,,,,
dar,dareu,V;IND;FUT;2;PL,0.0,0.0010965135135135,d a ɾ u,0,V,IND,FUT,2,PL,,,,,
dar,dàreu,V;IND;PST;2;PL;PFV,0.0,0.0010965135135135,d a ɾ e w,2,V,IND,PST,2,PL,PFV,,,,
dar,daré,V;IND;FUT;1;SG,4e-06,0.0010965135135135,d a ɾ e,3,V,IND,FUT,1,SG,,,,,
dar,daria,V;COND;1;SG,1e-06,0.0010965135135135,d a ɾ j a,1,V,COND,1,SG,,,,,,
dar,daria,V;COND;3;SG,1e-06,0.0010965135135135,d a ɾ j a,2,V,COND,3,SG,,,,,,
dar,daríem,V;COND;1;PL,0.0,0.0010965135135135,d a ɾ i e m,0,V,COND,1,PL,,,,,,
dar,darien,V;COND;3;PL,0.0,0.0010965135135135,d a ɾ j ə n,0,V,COND,3,PL,,,,,,
dar,daríes,V;COND;2;PL,0.0,0.0010965135135135,d a ɾ i e s,4,V,COND,2,PL,,,,,,
dar,daries,V;COND;2;SG,0.0,0.0010965135135135,d a ɾ i s,4,V,COND,2,SG,,,,,,
dar,dar,V;NFIN,0.000154,0.0010965135135135,d a ɾ,2,V,NFIN,,,,,,,,
dar,dava,V;IND;PST;1;SG;IPFV,3e-06,0.0010965135135135,d a b a,0,V,IND,PST,1,SG,IPFV,,,,
dar,dava,V;IND;PST;3;SG;IPFV,3e-06,0.0010965135135135,d a b a,4,V,IND,PST,3,SG,IPFV,,,,
dar,dàvem,V;IND;PST;1;PL;IPFV,0.0,0.0010965135135135,d a v ɛ m,0,V,IND,PST,1,PL,IPFV,,,,
dar,daven,V;IND;PST;3;PL;IPFV,1e-06,0.0010965135135135,d a b ə n,4,V,IND,PST,3,PL,IPFV,,,,
dar,daves,V;IND;PST;2;SG;IPFV,0.0,0.0010965135135135,d a b s,2,V,IND,PST,2,SG,IPFV,,,,
dar,dàveu,V;IND;PST;2;PL;IPFV,0.0,0.0010965135135135,d a v ø,3,V,IND,PST,2,PL,IPFV,,,,
dar,da,V;IND;PST;3;SG;PFV,0.000365,0.0010965135135135,d a,2,V,IND,PST,3,SG,PFV,,,,
dar,dem,V;IND;PRS;1;PL,1.5e-05,0.0010965135135135,d e m,2,V,IND,PRS,1,PL,,,,,
dar,dem,V;POS;IMP;1;PL,1.5e-05,0.0010965135135135,d e m,4,V,POS,IMP,1,PL,,,,,
dar,dem,V;SBJV;PRS;1;PL,1.5e-05,0.0010965135135135,d e m,3,V,SBJV,PRS,1,PL,,,,,
dar,déssim,V;SBJV;PST;1;PL,0.0,0.0010965135135135,d e s i m,3,V,SBJV,PST,1,PL,,,,,
dar,dessin,V;SBJV;PST;3;PL,0.0,0.0010965135135135,d e s i n,0,V,SBJV,PST,3,PL,,,,,
dar,dessis,V;SBJV;PST;2;SG,0.0,0.0010965135135135,d e s i s,3,V,SBJV,PST,2,SG,,,,,
dar,déssiu,V;SBJV;PST;2;PL,0.0,0.0010965135135135,d e s j u,2,V,SBJV,PST,2,PL,,,,,
dar,des,V;SBJV;PST;1;SG,0.016885,0.0010965135135135,d e s,3,V,SBJV,PST,1,SG,,,,,
dar,des,V;SBJV;PST;3;SG,0.016885,0.0010965135135135,d e s,1,V,SBJV,PST,3,SG,,,,,
dar,deu,V;IND;PRS;2;PL,0.001969,0.0010965135135135,d e u,3,V,IND,PRS,2,PL,,,,,
dar,deu,V;POS;IMP;2;PL,0.001969,0.0010965135135135,d e u,1,V,POS,IMP,2,PL,,,,,
dar,deu,V;SBJV;PRS;2;PL,0.001969,0.0010965135135135,d e u,1,V,SBJV,PRS,2,PL,,,,,
dar,di,V;IND;PST;1;SG;PFV,0.000309,0.0010965135135135,d i,4,V,IND,PST,1,SG,PFV,,,,
treballar,treballaran,V;IND;FUT;3;PL,5.7e-05,0.0001421875,t ɾ e b a l a ɾ a n,0,V,IND,FUT,3,PL,,,,,
treballar,treballaràs,V;IND;FUT;2;SG,2e-06,0.0001421875,t ɾ e b a l a ɾ a s,2,V,IND,FUT,2,SG,,,,,
treballar,treballarà,V;IND;FUT;3;SG,0.000105,0.0001421875,t ɾ e b a l a ɾ a,1,V,IND,FUT,3,SG,,,,,
treballar,treballarem,V;IND;FUT;1;PL,2.9e-05,0.0001421875,t ɾ e b a l a ɾ e m,0,V,IND,FUT,1,PL,,,,,
treballar,treballàrem,V;IND;PST;1;PL;PFV,2e-06,0.0001421875,t ɾ e b a l a ɾ e m,0,V,IND,PST,1,PL,PFV,,,,
treballar,treballaren,V;IND;PST;3;PL;PFV,7e-06,0.0001421875,t ɾ e b a l a ɾ e n,4,V,IND,PST,3,PL,PFV,,,,
treballar,treballares,V;IND;PST;2;SG;PFV,0.0,0.0001421875,t ɾ e b a l a ɾ e s,3,V,IND,PST,2,SG,PFV,,,,
treballar,treballareu,V;IND;FUT;2;PL,8e-06,0.0001421875,t ɾ e b a l a ɾ u,0,V,IND,FUT,2,PL,,,,,
treballar,treballàreu,V;IND;PST;2;PL;PFV,0.0,0.0001421875,t ɾ e b a l a ɾ e w,0,V,IND,PST,2,PL,PFV,,,,
treballar,treballaré,V;IND;FUT;1;SG,1e-06,0.0001421875,t ɾ e b a l a ɾ e,3,V,IND,FUT,1,SG,,,,,
treballar,treballaria,V;COND;1;SG,4e-06,0.0001421875,t ɾ e b a l a ɾ j a,1,V,COND,1,SG,,,,,,
treballar,treballaria,V;COND;3;SG,4e-06,0.0001421875,t ɾ e b a l a ɾ j a,2,V,COND,3,SG,,,,,,
treballar,treballaríem,V;COND;1;PL,0.0,0.0001421875,t ɾ e b a l a ɾ i e m,2,V,COND,1,PL,,,,,,
treballar,treballarien,V;COND;3;PL,2e-06,0.0001421875,t ɾ e b a l a ɾ j ə n,0,V,COND,3,PL,,,,,,
treballar,treballaries,V;COND;2;SG,0.0,0.0001421875,t ɾ e b a l ə ɾ i s,2,V,COND,2,SG,,,,,,
treballar,treballaríeu,V;COND;2;PL,0.0,0.0001421875,t ɾ e b a l a ɾ i j u,4,V,COND,2,PL,,,,,,
treballar,treballar,V;NFIN,0.002524,0.0001421875,t ɾ e b a l a,2,V,NFIN,,,,,,,,
treballar,treballava,V;IND;PST;1;SG;IPFV,0.000123,0.0001421875,t ɾ e b a l a v a,1,V,IND,PST,1,SG,IPFV,,,,
