lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form,Fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
halten,halten,V;NFIN,0.001005,0.0003287777777777,h a l t n̩,1,V,NFIN,,,,,,,,
halten,halte,V;IND;SG;1;PRS,0.000198,0.0003287777777777,h a l t ə,2,V,IND,SG,1,PRS,,,,,
halten,halten,V;IND;PL;1;PRS,0.001005,0.0003287777777777,h a l t n̩,3,V,IND,PL,1,PRS,,,,,
halten,halte,V;SBJV;SG;1;PRS,0.000198,0.0003287777777777,h a l t ə,0,V,SBJV,SG,1,PRS,,,,,
halten,halten,V;SBJV;PL;1;PRS,0.001005,0.0003287777777777,h a l t n̩,4,V,SBJV,PL,1,PRS,,,,,
halten,hältst,V;IND;SG;2;PRS,1.2e-05,0.0003287777777777,h ɛ l t͡s t,2,V,IND,SG,2,PRS,,,,,
halten,haltet,V;IND;PL;2;PRS,3.3e-05,0.0003287777777777,h a l t ə t,0,V,IND,PL,2,PRS,,,,,
halten,haltest,V;SBJV;SG;2;PRS,0.0,0.0003287777777777,h a l t ə s t,3,V,SBJV,SG,2,PRS,,,,,
halten,haltet,V;SBJV;PL;2;PRS,3.3e-05,0.0003287777777777,h a l t ə t,0,V,SBJV,PL,2,PRS,,,,,
halten,hält,V;IND;SG;3;PRS,0.001211,0.0003287777777777,h ɛ l t,2,V,IND,SG,3,PRS,,,,,
halten,halten,V;IND;PL;3;PRS,0.001005,0.0003287777777777,h a l t n̩,2,V,IND,PL,3,PRS,,,,,
halten,halte,V;SBJV;SG;3;PRS,0.000198,0.0003287777777777,h a l t ə,1,V,SBJV,SG,3,PRS,,,,,
halten,halten,V;SBJV;PL;3;PRS,0.001005,0.0003287777777777,h a l t n̩,2,V,SBJV,PL,3,PRS,,,,,
halten,hielt,V;IND;SG;1;PST,0.000518,0.0003287777777777,h iː l t,2,V,IND,SG,1,PST,,,,,
halten,hielten,V;IND;PL;1;PST,0.000174,0.0003287777777777,h iː l t n̩,3,V,IND,PL,1,PST,,,,,
halten,hielte,V;SBJV;SG;1;PST,3e-06,0.0003287777777777,h iː l t ə,4,V,SBJV,SG,1,PST,,,,,
halten,hielten,V;SBJV;PL;1;PST,0.000174,0.0003287777777777,h iː l t n̩,2,V,SBJV,PL,1,PST,,,,,
halten,hieltest,V;IND;SG;2;PST,0.0,0.0003287777777777,h iː l t ə s t,0,V,IND,SG,2,PST,,,,,
halten,hieltet,V;IND;PL;2;PST,0.0,0.0003287777777777,h iː l t ə t,3,V,IND,PL,2,PST,,,,,
halten,hieltest,V;SBJV;SG;2;PST,0.0,0.0003287777777777,h iː l t ə s t,1,V,SBJV,SG,2,PST,,,,,
halten,hieltet,V;SBJV;PL;2;PST,0.0,0.0003287777777777,h iː l t ə t,4,V,SBJV,PL,2,PST,,,,,
halten,hielt,V;IND;SG;3;PST,0.000518,0.0003287777777777,h iː l t,2,V,IND,SG,3,PST,,,,,
halten,hielten,V;IND;PL;3;PST,0.000174,0.0003287777777777,h iː l t n̩,1,V,IND,PL,3,PST,,,,,
halten,hielte,V;SBJV;SG;3;PST,3e-06,0.0003287777777777,h iː l t ə,3,V,SBJV,SG,3,PST,,,,,
halten,hielten,V;SBJV;PL;3;PST,0.000174,0.0003287777777777,h iː l t n̩,0,V,SBJV,PL,3,PST,,,,,
halten,halte,V;IMP;SG;2,0.000198,0.0003287777777777,h a l t ə,4,V,IMP,SG,2,,,,,,
halten,haltet,V;IMP;PL;2,3.3e-05,0.0003287777777777,h a l t ə t,2,V,IMP,PL,2,,,,,,
verlieren,verlieren,V;NFIN,0.00039,0.0002446785714285,f ɛ ɐ̯ l iː ʁ ə n,2,V,NFIN,,,,,,,,
verlieren,verliere,V;IND;SG;1;PRS,1.4e-05,0.0002446785714285,f ɛ ɐ̯ l iː ʁ ə,3,V,IND,SG,1,PRS,,,,,
verlieren,verlieren,V;IND;PL;1;PRS,0.00039,0.0002446785714285,f ɛ ɐ̯ l iː ʁ ə n,3,V,IND,PL,1,PRS,,,,,
verlieren,verliere,V;SBJV;SG;1;PRS,1.4e-05,0.0002446785714285,f ɛ ɐ̯ l iː ʁ ə,1,V,SBJV,SG,1,PRS,,,,,
verlieren,verlieren,V;SBJV;PL;1;PRS,0.00039,0.0002446785714285,f ɛ ɐ̯ l iː ʁ ə n,3,V,SBJV,PL,1,PRS,,,,,
verlieren,verlierst,V;IND;SG;2;PRS,7e-06,0.0002446785714285,f ɛ ɐ̯ l iː ɐ̯ s t,3,V,IND,SG,2,PRS,,,,,
verlieren,verliert,V;IND;PL;2;PRS,0.000406,0.0002446785714285,f ɛ ɐ̯ l iː ɐ̯ t,3,V,IND,PL,2,PRS,,,,,
verlieren,verlierest,V;SBJV;SG;2;PRS,0.0,0.0002446785714285,f ɛ ɐ̯ l iː ʁ ə s t,1,V,SBJV,SG,2,PRS,,,,,
verlieren,verlieret,V;SBJV;PL;2;PRS,0.0,0.0002446785714285,f ɛ ɐ̯ l iː ʁ ə t,2,V,SBJV,PL,2,PRS,,,,,
verlieren,verliert,V;IND;SG;3;PRS,0.000406,0.0002446785714285,f ɛ ɐ̯ l iː ɐ̯ t,4,V,IND,SG,3,PRS,,,,,
verlieren,verlieren,V;IND;PL;3;PRS,0.00039,0.0002446785714285,f ɛ ɐ̯ l iː ʁ ə n,1,V,IND,PL,3,PRS,,,,,
verlieren,verliere,V;SBJV;SG;3;PRS,1.4e-05,0.0002446785714285,f ɛ ɐ̯ l iː ʁ ə,3,V,SBJV,SG,3,PRS,,,,,
verlieren,verlieren,V;SBJV;PL;3;PRS,0.00039,0.0002446785714285,f ɛ ɐ̯ l iː ʁ ə n,1,V,SBJV,PL,3,PRS,,,,,
verlieren,verlor,V;IND;SG;1;PST,0.000703,0.0002446785714285,f ɛ ɐ̯ l oː ɐ̯,0,V,IND,SG,1,PST,,,,,
verlieren,verloren,V;IND;PL;1;PST,0.001102,0.0002446785714285,f ɛ ɐ̯ l oː ʁ ə n,2,V,IND,PL,1,PST,,,,,
verlieren,verlöre,V;SBJV;SG;1;PST,4e-06,0.0002446785714285,f ɛ ɐ̯ l øː ʁ ə,4,V,SBJV,SG,1,PST,,,,,
verlieren,verlören,V;SBJV;PL;1;PST,1e-06,0.0002446785714285,f ɛ ɐ̯ l øː ʁ ə n,2,V,SBJV,PL,1,PST,,,,,
verlieren,verlorst,V;IND;SG;2;PST,0.0,0.0002446785714285,f ɛ ɐ̯ l ɔ ʁ s t,2,V,IND,SG,2,PST,,,,,
verlieren,verlort,V;IND;PL;2;PST,0.0,0.0002446785714285,f ɛ ɐ̯ l oː ɐ̯ t,2,V,IND,PL,2,PST,,,,,
verlieren,verlörest,V;SBJV;SG;2;PST,0.0,0.0002446785714285,f ɛ ɐ̯ l øː ʁ ə s t,3,V,SBJV,SG,2,PST,,,,,
verlieren,verlöret,V;SBJV;PL;2;PST,0.0,0.0002446785714285,f ɛ ɐ̯ l øː ʁ ə t,0,V,SBJV,PL,2,PST,,,,,
verlieren,verlor,V;IND;SG;3;PST,0.000703,0.0002446785714285,f ɛ ɐ̯ l oː ɐ̯,0,V,IND,SG,3,PST,,,,,
verlieren,verloren,V;IND;PL;3;PST,0.001102,0.0002446785714285,f ɛ ɐ̯ l oː ʁ ə n,1,V,IND,PL,3,PST,,,,,
verlieren,verlöre,V;SBJV;SG;3;PST,4e-06,0.0002446785714285,f ɛ ɐ̯ l øː ʁ ə,0,V,SBJV,SG,3,PST,,,,,
verlieren,verlören,V;SBJV;PL;3;PST,1e-06,0.0002446785714285,f ɛ ɐ̯ l øː ʁ ə n,1,V,SBJV,PL,3,PST,,,,,
verlieren,verlier,V;IMP;SG;2,0.0,0.0002446785714285,f ɛ ɐ̯ l iː ɐ̯,3,V,IMP,SG,2,,,,,,
verlieren,verliere,V;IMP;SG;2,1.4e-05,0.0002446785714285,f ɛ ɐ̯ l iː ʁ ə,1,V,IMP,SG,2,,,,,,
verlieren,verliert,V;IMP;PL;2,0.000406,0.0002446785714285,f ɛ ɐ̯ l iː ɐ̯ t,0,V,IMP,PL,2,,,,,,
fahren,fahren,V;NFIN,0.000603,0.0002502857142857,f aː ʁ ə n,2,V,NFIN,,,,,,,,
fahren,fahre,V;IND;SG;1;PRS,7.4e-05,0.0002502857142857,f aː ʁ ə,0,V,IND,SG,1,PRS,,,,,
fahren,fahren,V;IND;PL;1;PRS,0.000603,0.0002502857142857,f aː ʁ ə n,3,V,IND,PL,1,PRS,,,,,
fahren,fahre,V;SBJV;SG;1;PRS,7.4e-05,0.0002502857142857,f aː ʁ ə,1,V,SBJV,SG,1,PRS,,,,,
fahren,fahren,V;SBJV;PL;1;PRS,0.000603,0.0002502857142857,f aː ʁ ə n,1,V,SBJV,PL,1,PRS,,,,,
fahren,fährst,V;IND;SG;2;PRS,7e-06,0.0002502857142857,f eː ɐ̯ s t,1,V,IND,SG,2,PRS,,,,,
fahren,fahrt,V;IND;PL;2;PRS,6e-06,0.0002502857142857,f aː ɐ̯ t,3,V,IND,PL,2,PRS,,,,,
