lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form,Fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
ζω,ζω,V;1;SG;IPFV;PRS,0.000174,5.140277777777778e-05,z o,4,V,1,SG,IPFV,PRS,,,,,
ζω,ζούσα,V;1;SG;IPFV;PST,3.3e-05,5.140277777777778e-05,z u s a,0,V,1,SG,IPFV,PST,,,,,
ζω,θα ζω,V;1;SG;IPFV;FUT,0.0,5.140277777777778e-05,θ a z o,0,V,1,SG,IPFV,FUT,,,,,
ζω,να ζω,V;1;SG;IPFV;SBJV,0.0,5.140277777777778e-05,n a z o,4,V,1,SG,IPFV,SBJV,,,,,
ζω,ζεις,V;2;SG;IPFV;PRS,0.000126,5.140277777777778e-05,z i s,0,V,2,SG,IPFV,PRS,,,,,
ζω,ζούσες,V;2;SG;IPFV;PST,5e-06,5.140277777777778e-05,z u s e s,2,V,2,SG,IPFV,PST,,,,,
ζω,θα ζεις,V;2;SG;IPFV;FUT,0.0,5.140277777777778e-05,θ a z i s,1,V,2,SG,IPFV,FUT,,,,,
ζω,να ζεις,V;2;SG;IPFV;SBJV,0.0,5.140277777777778e-05,n a z i s,4,V,2,SG,IPFV,SBJV,,,,,
ζω,να ζείς,V;2;SG;IMP,0.0,5.140277777777778e-05,n a z i s,1,V,2,SG,IMP,,,,,,
ζω,ζει,V;3;SG;IPFV;PRS,0.001103,5.140277777777778e-05,z i,1,V,3,SG,IPFV,PRS,,,,,
ζω,ζούσε,V;3;SG;IPFV;PST,0.000273,5.140277777777778e-05,z u s e,0,V,3,SG,IPFV,PST,,,,,
ζω,θα ζει,V;3;SG;IPFV;FUT,0.0,5.140277777777778e-05,θ a z i,2,V,3,SG,IPFV,FUT,,,,,
ζω,να ζει,V;3;SG;IPFV;SBJV,0.0,5.140277777777778e-05,n a z i,3,V,3,SG,IPFV,SBJV,,,,,
ζω,ζούμε,V;1;PL;IPFV;PRS,0.000633,5.140277777777778e-05,z u m e,1,V,1,PL,IPFV,PRS,,,,,
ζω,ζούσαμε,V;1;PL;IPFV;PST,2.4e-05,5.140277777777778e-05,z u s a m e,1,V,1,PL,IPFV,PST,,,,,
ζω,θα ζούμε,V;1;PL;IPFV;FUT,0.0,5.140277777777778e-05,θ a z u m e,0,V,1,PL,IPFV,FUT,,,,,
ζω,να ζούμε,V;1;PL;IPFV;SBJV,0.0,5.140277777777778e-05,n a z u m e,3,V,1,PL,IPFV,SBJV,,,,,
ζω,ζείτε,V;2;PL;IPFV;PRS,7.1e-05,5.140277777777778e-05,z i t e,0,V,2,PL,IPFV,PRS,,,,,
ζω,ζούσατε,V;2;PL;IPFV;PST,5e-06,5.140277777777778e-05,z u s a t e,2,V,2,PL,IPFV,PST,,,,,
ζω,θα ζείτε,V;2;PL;IPFV;FUT,0.0,5.140277777777778e-05,θ a z i t e,2,V,2,PL,IPFV,FUT,,,,,
ζω,να ζείτε,V;2;PL;IPFV;SBJV,0.0,5.140277777777778e-05,n a z i t e,1,V,2,PL,IPFV,SBJV,,,,,
ζω,ζείτε,V;2;PL;IMP,7.1e-05,5.140277777777778e-05,z i t e,4,V,2,PL,IMP,,,,,,
ζω,"""ζούνε"," ζούν""",V;3;PL;IPFV;PRS,0.0,5.140277777777778e-05,0," ζούν""",,,,,,,,,
ζω,"""ζούσανε"," ζούσαν""",V;3;PL;IPFV;PST,0.0,5.140277777777778e-05,0," ζούσαν""",,,,,,,,,
ζω,"""θα ζούνε"," θα ζούν""",V;3;PL;IPFV;FUT,0.0,5.140277777777778e-05,4," θα ζούν""",,,,,,,,,
ζω,"""να ζούνε"," να ζούν""",V;3;PL;IPFV;SBJV,0.0,5.140277777777778e-05,4," να ζούν""",,,,,,,,,
ζω,έζησα,V;1;SG;PFV;PST,8.3e-05,5.140277777777778e-05,e z i s a,4,V,1,SG,PFV,PST,,,,,
ζω,θα ζήσω,V;1;SG;PFV;FUT,0.0,5.140277777777778e-05,θ a z i s o,1,V,1,SG,PFV,FUT,,,,,
ζω,να ζήσω,V;1;SG;PFV;SBJV,0.0,5.140277777777778e-05,n a z i s o,3,V,1,SG,PFV,SBJV,,,,,
ζω,έζησες,V;2;SG;PFV;PST,8e-06,5.140277777777778e-05,e z i s e s,1,V,2,SG,PFV,PST,,,,,
ζω,θα ζήσεις,V;2;SG;PFV;FUT,0.0,5.140277777777778e-05,θ a z i s i s,0,V,2,SG,PFV,FUT,,,,,
ζω,να ζήσεις,V;2;SG;PFV;SBJV,0.0,5.140277777777778e-05,n a z i s i s,2,V,2,SG,PFV,SBJV,,,,,
ζω,ζήσε,V;2;SG;IMP,8e-06,5.140277777777778e-05,z i s e,3,V,2,SG,IMP,,,,,,
ζω,έζησε,V;3;SG;PFV;PST,0.000463,5.140277777777778e-05,e z i s e,0,V,3,SG,PFV,PST,,,,,
ζω,θα ζήσει,V;3;SG;PFV;FUT,0.0,5.140277777777778e-05,θ a z i s i,2,V,3,SG,PFV,FUT,,,,,
ζω,να ζήσει,V;3;SG;PFV;SBJV,0.0,5.140277777777778e-05,n a z i s i,3,V,3,SG,PFV,SBJV,,,,,
ζω,ζήσαμε,V;1;PL;PFV;PST,9e-05,5.140277777777778e-05,z i s a m e,2,V,1,PL,PFV,PST,,,,,
ζω,θα ζήσουμε,V;1;PL;PFV;FUT,0.0,5.140277777777778e-05,θ a z i s u m e,1,V,1,PL,PFV,FUT,,,,,
ζω,να ζήσουμε,V;1;PL;PFV;SBJV,0.0,5.140277777777778e-05,n a z i s u m e,2,V,1,PL,PFV,SBJV,,,,,
ζω,ζήσατε,V;2;PL;PFV;PST,1.2e-05,5.140277777777778e-05,z i s a t e,0,V,2,PL,PFV,PST,,,,,
ζω,θα ζήσετε,V;2;PL;PFV;FUT,0.0,5.140277777777778e-05,θ a z i s e t e,1,V,2,PL,PFV,FUT,,,,,
ζω,να ζήσετε,V;2;PL;PFV;SBJV,0.0,5.140277777777778e-05,n a z i s e t e,1,V,2,PL,PFV,SBJV,,,,,
ζω,"""ζήστε"," ζήσετε""",V;2;PL;IMP,0.0,5.140277777777778e-05,2," ζήσετε""",,,,,,,,,
ζω,"""ζήσανε"," ζήσαν""",V;3;PL;PFV;PST,0.0,5.140277777777778e-05,2," ζήσαν""",,,,,,,,,
ζω,"""θα ζήσουνε"," θα ζήσουν""",V;3;PL;PFV;FUT,0.0,5.140277777777778e-05,1," θα ζήσουν""",,,,,,,,,
ζω,"""να ζήσουνε"," να ζήσουν""",V;3;PL;PFV;SBJV,0.0,5.140277777777778e-05,0," να ζήσουν""",,,,,,,,,
ζω,έχω ζήσει,V;1;SG;PRF;PRS,0.0,5.140277777777778e-05,e x o z i s i,3,V,1,SG,PRF,PRS,,,,,
ζω,είχα ζήσει,V;1;SG;PRF;PST,0.0,5.140277777777778e-05,i x a z i s i,2,V,1,SG,PRF,PST,,,,,
ζω,θα έχω ζήσει,V;1;SG;PRF;FUT,0.0,5.140277777777778e-05,θ a e x o z i s i,2,V,1,SG,PRF,FUT,,,,,
ζω,να έχω ζήσει,V;1;SG;PRF;SBJV,0.0,5.140277777777778e-05,n a e x o z i s i,0,V,1,SG,PRF,SBJV,,,,,
ζω,έχεις ζήσει,V;2;SG;PRF;PRS,0.0,5.140277777777778e-05,e ç i s z i s i,2,V,2,SG,PRF,PRS,,,,,
ζω,είχες ζήσει,V;2;SG;PRF;PST,0.0,5.140277777777778e-05,i ç e s z i s i,3,V,2,SG,PRF,PST,,,,,
ζω,θα έχεις ζήσει,V;2;SG;PRF;FUT,0.0,5.140277777777778e-05,θ a e ç i s z i s i,1,V,2,SG,PRF,FUT,,,,,
ζω,να έχεις ζήσει,V;2;SG;PRF;SBJV,0.0,5.140277777777778e-05,n a e ç i s z i s i,1,V,2,SG,PRF,SBJV,,,,,
ζω,έχει ζήσει,V;3;SG;PRF;PRS,0.0,5.140277777777778e-05,e ç i z i s i,2,V,3,SG,PRF,PRS,,,,,
ζω,είχε ζήσει,V;3;SG;PRF;PST,0.0,5.140277777777778e-05,i ç e z i s i,2,V,3,SG,PRF,PST,,,,,
ζω,θα έχει ζήσει,V;3;SG;PRF;FUT,0.0,5.140277777777778e-05,θ a e ç i z i s i,3,V,3,SG,PRF,FUT,,,,,
ζω,να έχει ζήσει,V;3;SG;PRF;SBJV,0.0,5.140277777777778e-05,n a e ç i z i s i,0,V,3,SG,PRF,SBJV,,,,,
ζω,έχουμε ζήσει,V;1;PL;PRF;PRS,0.0,5.140277777777778e-05,e x u m e z i s i,1,V,1,PL,PRF,PRS,,,,,
ζω,είχαμε ζήσει,V;1;PL;PRF;PST,0.0,5.140277777777778e-05,i x a m e z i s i,1,V,1,PL,PRF,PST,,,,,
ζω,θα έχουμε ζήσει,V;1;PL;PRF;FUT,0.0,5.140277777777778e-05,θ a e x u m e z i s i,3,V,1,PL,PRF,FUT,,,,,
