lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form,Fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
parler,parlaient,V;IND;PST;3;PL;IPFV,2e-05,0.0002623913043478,p a ʁ l ɛ,2,V,IND,PST,3,PL,IPFV,,,,
parler,parlais,V;IND;PST;1;SG;IPFV,2.8e-05,0.0002623913043478,p a ʁ l ɛ,2,V,IND,PST,1,SG,IPFV,,,,
parler,parlais,V;IND;PST;2;SG;IPFV,2.8e-05,0.0002623913043478,p a ʁ l ɛ,3,V,IND,PST,2,SG,IPFV,,,,
parler,parlait,V;IND;PST;3;SG;IPFV,5.8e-05,0.0002623913043478,p a ʁ l ɛ,0,V,IND,PST,3,SG,IPFV,,,,
parler,parlai,V;IND;PST;1;SG;PFV,1e-06,0.0002623913043478,p a ʁ l e,0,V,IND,PST,1,SG,PFV,,,,
parler,parlâmes,V;IND;PST;1;PL;PFV,1e-06,0.0002623913043478,p a ʁ l a m,3,V,IND,PST,1,PL,PFV,,,,
parler,parlassent,V;SBJV;PST;3;PL,0.0,0.0002623913043478,p a ʁ l a s,0,V,SBJV,PST,3,PL,,,,,
parler,parlasses,V;SBJV;PST;2;SG,0.0,0.0002623913043478,p a ʁ l a s,0,V,SBJV,PST,2,SG,,,,,
parler,parlasse,V;SBJV;PST;1;SG,0.0,0.0002623913043478,p a ʁ l a s,2,V,SBJV,PST,1,SG,,,,,
parler,parlassiez,V;SBJV;PST;2;PL,0.0,0.0002623913043478,p a ʁ l a s j e,3,V,SBJV,PST,2,PL,,,,,
parler,parlassions,V;SBJV;PST;1;PL,0.0,0.0002623913043478,p a ʁ l a s j ɔ̃,0,V,SBJV,PST,1,PL,,,,,
parler,parlas,V;IND;PST;2;SG;PFV,0.0,0.0002623913043478,p a ʁ l a,2,V,IND,PST,2,SG,PFV,,,,
parler,parlâtes,V;IND;PST;2;PL;PFV,0.0,0.0002623913043478,p a ʁ l a t,0,V,IND,PST,2,PL,PFV,,,,
parler,parlât,V;SBJV;PST;3;SG,0.0,0.0002623913043478,p a ʁ l a,0,V,SBJV,PST,3,SG,,,,,
parler,parla,V;IND;PST;3;SG;PFV,8e-06,0.0002623913043478,p a ʁ l a,4,V,IND,PST,3,SG,PFV,,,,
parler,parlent,V;IND;PRS;3;PL,0.000373,0.0002623913043478,p a ʁ l,4,V,IND,PRS,3,PL,,,,,
parler,parlent,V;SBJV;PRS;3;PL,0.000373,0.0002623913043478,p a ʁ l,2,V,SBJV,PRS,3,PL,,,,,
parler,parleraient,V;COND;3;PL,0.0,0.0002623913043478,p a ʁ l ə ʁ ɛ,1,V,COND,3,PL,,,,,,
parler,parlerais,V;COND;1;SG,3e-06,0.0002623913043478,p a ʁ l ə ʁ ɛ,4,V,COND,1,SG,,,,,,
parler,parlerais,V;COND;2;SG,3e-06,0.0002623913043478,p a ʁ l ə ʁ ɛ,0,V,COND,2,SG,,,,,,
parler,parlerait,V;COND;3;SG,0.0,0.0002623913043478,p a ʁ l ə ʁ ɛ,4,V,COND,3,SG,,,,,,
parler,parlerai,V;IND;FUT;1;SG,2.1e-05,0.0002623913043478,p a ʁ l ə ʁ e,2,V,IND,FUT,1,SG,,,,,
parler,parleras,V;IND;FUT;2;SG,0.0,0.0002623913043478,p a ʁ l ə ʁ a,3,V,IND,FUT,2,SG,,,,,
parler,parlera,V;IND;FUT;3;SG,4.1e-05,0.0002623913043478,p a ʁ l ə ʁ a,2,V,IND,FUT,3,SG,,,,,
parler,parlèrent,V;IND;PST;3;PL;PFV,0.0,0.0002623913043478,p a ʁ l ɛ ʁ,2,V,IND,PST,3,PL,PFV,,,,
parler,parlerez,V;IND;FUT;2;PL,0.0,0.0002623913043478,p a ʁ l ə ʁ e,4,V,IND,FUT,2,PL,,,,,
parler,parleriez,V;COND;2;PL,0.0,0.0002623913043478,p a ʁ l ə ʁ j e,3,V,COND,2,PL,,,,,,
parler,parlerions,V;COND;1;PL,0.0,0.0002623913043478,p a ʁ l ə ʁ j ɔ̃,3,V,COND,1,PL,,,,,,
parler,parlerons,V;IND;FUT;1;PL,1.7e-05,0.0002623913043478,p a ʁ l ə ʁ ɔ̃,0,V,IND,FUT,1,PL,,,,,
parler,parleront,V;IND;FUT;3;PL,6e-06,0.0002623913043478,p a ʁ l ə ʁ ɔ̃,3,V,IND,FUT,3,PL,,,,,
parler,parler,V;NFIN,0.000923,0.0002623913043478,p a ʁ l e,2,V,NFIN,,,,,,,,
