lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form,Fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
athbhreithnigh,go n-athbhreithní tú,V;2;SG;SBJV;PRS,0.0,4.724867724867725e-05,ɡ ə nˠ ə h vʲ ɾʲ ɛ h nʲ iː tʲ u,3,V,2,SG,SBJV,PRS,,,,,
athbhreithnigh,a d'athbhreithníodh,V;REL;PST;HAB;IND,0.0,4.724867724867725e-05,ə d̪ˠ a vʲ ɾʲ ɛ h nʲ iː ə,1,V,REL,PST,HAB,IND,,,,,
athbhreithnigh,a athbhreithneoidh,V;REL;FUT;IND,0.0,4.724867724867725e-05,ə ə vʲ ɾʲ ɛ h nʲ oː,4,V,REL,FUT,IND,,,,,,
athbhreithnigh,athbhreithním,V;1;SG;IMP,0.0,4.724867724867725e-05,a h vʲ ɾʲ ɛ h nʲ iː mʲ,1,V,1,SG,IMP,,,,,,
athbhreithnigh,d'athbhreithnítí,V;AUTO;PST;HAB;IND,0.0,4.724867724867725e-05,d̪ˠ a h vʲ ɾʲ ɛ h nʲ iː tʲ i,1,V,AUTO,PST,HAB,IND,,,,,
athbhreithnigh,athbhreithneoidh siad,V;3;PL;FUT;IND,0.0,4.724867724867725e-05,a vʲ ɾʲ ɛ h nʲ oː ʃ ə d̪ˠ,0,V,3,PL,FUT,IND,,,,,
athbhreithnigh,a athbhreithníonn,V;REL;PRS;IND,0.0,4.724867724867725e-05,ə h vʲ ɾʲ ɛ h nʲ i ə n̪ˠ,1,V,REL,PRS,IND,,,,,,
athbhreithnigh,athbhreithnítear,V;AUTO;IMP,3.3333333333333333e-06,4.724867724867725e-05,a vʲ ɾʲ ɛ h nʲ iː tʲ ə ɾˠ,1,V,AUTO,IMP,,,,,,,
athbhreithnigh,athbhreithneoimid,V;1;PL;FUT;IND,0.0,4.724867724867725e-05,a vʲ ɾʲ ɛ h nʲ oː mʲ ə dʲ,3,V,1,PL,FUT,IND,,,,,
athbhreithnigh,d'athbhreithneofá,V;2;SG;COND,0.0,4.724867724867725e-05,d̪ˠ a h vʲ ɾʲ ɛ h nʲ oː fˠ aː,1,V,2,SG,COND,,,,,,
athbhreithnigh,athbhreithnímis,V;1;PL;IMP,0.0,4.724867724867725e-05,a vʲ ɾʲ ɛ h nʲ iː mʲ ə ʃ,2,V,1,PL,IMP,,,,,,
athbhreithnigh,athbhreithneoidh mé,V;1;SG;FUT;IND,0.0,4.724867724867725e-05,a vʲ ɾʲ ɛ h nʲ oː mʲ eː,0,V,1,SG,FUT,IND,,,,,
athbhreithnigh,a d'athbhreithnigh,V;REL;PST;IND,0.0,4.724867724867725e-05,ə d̪ˠ a vʲ ɾʲ ɛ h nʲ i,0,V,REL,PST,IND,,,,,,
athbhreithnigh,athbhreithnímid,V;1;PL;PRS;IND,0.0,4.724867724867725e-05,a vʲ ɾʲ ɛ h nʲ iː mʲ ə dʲ,0,V,1,PL,PRS,IND,,,,,
athbhreithnigh,dá n-athbhreithníodh sibh,V;2;PL;SBJV;PST,0.0,4.724867724867725e-05,d̪ˠ aː n̪ˠ ə h vʲ ɾʲ ɛ h nʲ iː ʃ i vʲ,4,V,2,PL,SBJV,PST,,,,,
athbhreithnigh,athbhreithneofar,V;AUTO;FUT;IND,0.0,4.724867724867725e-05,a vʲ ɾʲ ɛ h nʲ oː h ə ɾˠ,4,V,AUTO,FUT,IND,,,,,,
athbhreithnigh,go n-athbhreithní sé,V;3;SG;SBJV;PRS,0.0,4.724867724867725e-05,ɡ ə nˠ ə h vʲ ɾʲ ɛ h nʲ iː ʃ eː,3,V,3,SG,SBJV,PRS,,,,,
athbhreithnigh,a d'athbhreithneodh,V;REL;COND,0.0,4.724867724867725e-05,ə d̪ˠ a vʲ ɾʲ ɛ h nʲ oː,0,V,REL,COND,,,,,,,
athbhreithnigh,d'athbhreithnigh sé,V;3;SG;PST;IND,0.0,4.724867724867725e-05,d̪ˠ a h vʲ ɾʲ ɛ h nʲ iː ʃ eː,4,V,3,SG,PST,IND,,,,,
athbhreithnigh,athbhreithnítear,V;AUTO;PRS;IND,3.3333333333333333e-06,4.724867724867725e-05,a vʲ ɾʲ ɛ h nʲ iː tʲ ə ɾˠ,0,V,AUTO,PRS,IND,,,,,,
athbhreithnigh,dá n-athbhreithnínn,V;1;SG;SBJV;PST,0.0,4.724867724867725e-05,d̪ˠ aː n̠ʲ ə h vʲ ɾʲ ɛ h nʲ iː n̠ʲ,4,V,1,SG,SBJV,PST,,,,,
athbhreithnigh,go n-athbhreithní sibh,V;2;PL;SBJV;PRS,0.0,4.724867724867725e-05,ɡ ə nˠ ə h ɾʲ ɛ h nʲ iː ʃ iː,0,V,2,PL,SBJV,PRS,,,,,
athbhreithnigh,d'athbhreithnímis,V;1;PL;PST;HAB;IND,0.0,4.724867724867725e-05,d̪ˠ a h vʲ ɾʲ ɛ h nʲ iː mʲ ə ʃ,3,V,1,PL,PST,HAB,IND,,,,
athbhreithnigh,d'athbhreithneodh sé,V;3;SG;COND,0.0,4.724867724867725e-05,d̪ˠ a h vʲ ɾʲ ɛ h nʲ oː ʃ eː,2,V,3,SG,COND,,,,,,
athbhreithnigh,athbhreithnithe,V;V.PTCP;PST,0.0004,4.724867724867725e-05,a vʲ ɾʲ ɛ h nʲ ə,3,V,V.PTCP,PST,,,,,,,
athbhreithnigh,go n-athbhreithní mé,V;1;SG;SBJV;PRS,0.0,4.724867724867725e-05,ɡ ə nˠ ə h vʲ ɾʲ ɛ h nʲ iː mʲ eː,3,V,1,SG,SBJV,PRS,,,,,
athbhreithnigh,d'athbhreithnigh siad,V;3;PL;PST;IND,0.0,4.724867724867725e-05,d̪ˠ a h vʲ ɾʲ ɛ h nʲ i ʃ i ə d̪ˠ,1,V,3,PL,PST,IND,,,,,
athbhreithnigh,athbhreithním,V;1;SG;PRS;IND,0.0,4.724867724867725e-05,a h vʲ ɾʲ ɛ h nʲ iː mʲ,3,V,1,SG,PRS,IND,,,,,
athbhreithnigh,dá n-athbhreithnídís,V;3;PL;SBJV;PST,0.0,4.724867724867725e-05,d̪ˠ aː n̪ˠ ə h vʲ ɾʲ ɛ h nʲ iː dʲ iː ʃ,0,V,3,PL,SBJV,PST,,,,,
athbhreithnigh,athbhreithneoidh sé,V;3;SG;FUT;IND,0.0,4.724867724867725e-05,a vʲ ɾʲ ɛ h nʲ oː ʃ eː,4,V,3,SG,FUT,IND,,,,,
athbhreithnigh,d'athbhreithnínn,V;1;SG;PST;HAB;IND,0.0,4.724867724867725e-05,d̪ˠ a h vʲ ɾʲ ɛ h nʲ iː n̠ʲ,3,V,1,SG,PST,HAB,IND,,,,
athbhreithnigh,d'athbhreithneoimis,V;1;PL;COND,0.0,4.724867724867725e-05,d̪ˠ a h vʲ ɾʲ ɛ h nʲ oː mʲ ə ʃ,4,V,1,PL,COND,,,,,,
athbhreithnigh,d'athbhreithnigh tú,V;2;SG;PST;IND,0.0,4.724867724867725e-05,d̪ˠ a h vʲ ɾʲ ɛ h nʲ i tʲ u,0,V,2,SG,PST,IND,,,,,
