lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form,Fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
datare,datai,V;IND;PST;1;SG;PFV,0.0,0.0002155624999999,d a t a j,4,V,IND,PST,1,SG,PFV,,,,
datare,datammo,V;IND;PST;1;PL;PFV,0.0,0.0002155624999999,d a t a m m o,0,V,IND,PST,1,PL,PFV,,,,
datare,datano,V;IND;PRS;3;PL,1e-06,0.0002155624999999,d a t a n o,1,V,IND,PRS,3,PL,,,,,
datare,datare,V;NFIN,0.0,0.0002155624999999,d a t a r e,4,V,NFIN,,,,,,,,
datare,datarono,V;IND;PST;3;PL;PFV,0.0,0.0002155624999999,d a t a r o n o,0,V,IND,PST,3,PL,PFV,,,,
datare,datassero,V;SBJV;PST;3;PL,0.0,0.0002155624999999,d a t a s s e r o,0,V,SBJV,PST,3,PL,,,,,
datare,datasse,V;SBJV;PST;3;SG,0.0,0.0002155624999999,d a t a s s e,2,V,SBJV,PST,3,SG,,,,,
datare,datassimo,V;SBJV;PST;1;PL,0.0,0.0002155624999999,d a t a s s i m o,4,V,SBJV,PST,1,PL,,,,,
datare,datassi,V;SBJV;PST;1;SG,0.0,0.0002155624999999,d a t a s s i,1,V,SBJV,PST,1,SG,,,,,
datare,datassi,V;SBJV;PST;2;SG,0.0,0.0002155624999999,d a t a s s i,1,V,SBJV,PST,2,SG,,,,,
datare,dataste,V;IND;PST;2;PL;PFV,0.0,0.0002155624999999,d a t a s t e,0,V,IND,PST,2,PL,PFV,,,,
datare,dataste,V;SBJV;PST;2;PL,0.0,0.0002155624999999,d a t a s t e,2,V,SBJV,PST,2,PL,,,,,
datare,datasti,V;IND;PST;2;SG;PFV,0.0,0.0002155624999999,d a t a s t i,3,V,IND,PST,2,SG,PFV,,,,
datare,datate,V;IND;PRS;2;PL,6e-06,0.0002155624999999,d a t a t e,1,V,IND,PRS,2,PL,,,,,
datare,datate,V;POS;IMP;2;PL,6e-06,0.0002155624999999,d a t a t e,0,V,POS,IMP,2,PL,,,,,
datare,datavamo,V;IND;PST;1;PL;IPFV,0.0,0.0002155624999999,d a t a v a m o,0,V,IND,PST,1,PL,IPFV,,,,
datare,datavano,V;IND;PST;3;PL;IPFV,0.0,0.0002155624999999,d a t a v a n o,3,V,IND,PST,3,PL,IPFV,,,,
datare,datavate,V;IND;PST;2;PL;IPFV,0.0,0.0002155624999999,d a t a v a t e,0,V,IND,PST,2,PL,IPFV,,,,
datare,datava,V;IND;PST;3;SG;IPFV,0.0,0.0002155624999999,d a t a v a,2,V,IND,PST,3,SG,IPFV,,,,
datare,data,V;IND;PRS;3;SG,0.000695,0.0002155624999999,d a t a,2,V,IND,PRS,3,SG,,,,,
datare,datavi,V;IND;PST;2;SG;IPFV,0.0,0.0002155624999999,d a t a v i,2,V,IND,PST,2,SG,IPFV,,,,
datare,datavo,V;IND;PST;1;SG;IPFV,0.0,0.0002155624999999,d a t a v o,4,V,IND,PST,1,SG,IPFV,,,,
datare,data,V;POS;IMP;2;SG,0.000695,0.0002155624999999,d a t a,0,V,POS,IMP,2,SG,,,,,
datare,daterai,V;IND;FUT;2;SG,0.0,0.0002155624999999,d a t e r a j,1,V,IND,FUT,2,SG,,,,,
datare,dateranno,V;IND;FUT;3;PL,0.0,0.0002155624999999,d a t e r a n n o,4,V,IND,FUT,3,PL,,,,,
datare,daterà,V;IND;FUT;3;SG,0.0,0.0002155624999999,d a t e r a,4,V,IND,FUT,3,SG,,,,,
datare,daterebbero,V;COND;3;PL,0.0,0.0002155624999999,d a t e r ɛ b b e r o,4,V,COND,3,PL,,,,,,
datare,daterebbe,V;COND;3;SG,0.0,0.0002155624999999,d a t e r ɛ b b e,1,V,COND,3,SG,,,,,,
datare,daterei,V;COND;1;SG,0.0,0.0002155624999999,d a t e r ɛ j,3,V,COND,1,SG,,,,,,
datare,dateremmo,V;COND;1;PL,0.0,0.0002155624999999,d a t e r e m m o,1,V,COND,1,PL,,,,,,
datare,dateremo,V;IND;FUT;1;PL,0.0,0.0002155624999999,d a t e r ɛ m o,0,V,IND,FUT,1,PL,,,,,
datare,datereste,V;COND;2;PL,0.0,0.0002155624999999,d a t e r e s t e,2,V,COND,2,PL,,,,,,
datare,dateresti,V;COND;2;SG,0.0,0.0002155624999999,d a t e r e s t i,3,V,COND,2,SG,,,,,,
datare,daterete,V;IND;FUT;2;PL,0.0,0.0002155624999999,d a t e r e t e,0,V,IND,FUT,2,PL,,,,,
datare,daterò,V;IND;FUT;1;SG,0.0,0.0002155624999999,d a t e r ɔ,1,V,IND,FUT,1,SG,,,,,
datare,datiamo,V;IND;PRS;1;PL,0.0,0.0002155624999999,d a t j a m o,3,V,IND,PRS,1,PL,,,,,
datare,datiamo,V;POS;IMP;1;PL,0.0,0.0002155624999999,d a t j a m o,0,V,POS,IMP,1,PL,,,,,
datare,datiamo,V;SBJV;PRS;1;PL,0.0,0.0002155624999999,d a t j a m o,1,V,SBJV,PRS,1,PL,,,,,
datare,datiate,V;SBJV;PRS;2;PL,0.0,0.0002155624999999,d a t j a t e,2,V,SBJV,PRS,2,PL,,,,,
datare,datino,V;POS;IMP;3;PL,0.0,0.0002155624999999,d a t i n o,0,V,POS,IMP,3,PL,,,,,
datare,datino,V;SBJV;PRS;3;PL,0.0,0.0002155624999999,d a t i n o,1,V,SBJV,PRS,3,PL,,,,,
datare,dati,V;IND;PRS;2;SG,0.001415,0.0002155624999999,d a t i,1,V,IND,PRS,2,SG,,,,,
datare,dati,V;POS;IMP;3;SG,0.001415,0.0002155624999999,d a t i,2,V,POS,IMP,3,SG,,,,,
datare,dati,V;SBJV;PRS;1;SG,0.001415,0.0002155624999999,d a t i,2,V,SBJV,PRS,1,SG,,,,,
datare,dati,V;SBJV;PRS;2;SG,0.001415,0.0002155624999999,d a t i,1,V,SBJV,PRS,2,SG,,,,,
datare,dati,V;SBJV;PRS;3;SG,0.001415,0.0002155624999999,d a t i,0,V,SBJV,PRS,3,SG,,,,,
datare,dato,V;IND;PRS;1;SG,0.001869,0.0002155624999999,d a t o,4,V,IND,PRS,1,SG,,,,,
datare,datò,V;IND;PST;3;SG;PFV,0.0,0.0002155624999999,d a t ɔ,2,V,IND,PST,3,SG,PFV,,,,
vedere,vedano,V;POS;IMP;3;PL,2e-06,6.227083333333333e-05,v e d a n o,2,V,POS,IMP,3,PL,,,,,
vedere,vedano,V;SBJV;PRS;3;PL,2e-06,6.227083333333333e-05,v e d a n o,0,V,SBJV,PRS,3,PL,,,,,
vedere,veda,V;POS;IMP;3;SG,5e-06,6.227083333333333e-05,v e d a,0,V,POS,IMP,3,SG,,,,,
vedere,veda,V;SBJV;PRS;1;SG,5e-06,6.227083333333333e-05,v e d a,3,V,SBJV,PRS,1,SG,,,,,
vedere,veda,V;SBJV;PRS;2;SG,5e-06,6.227083333333333e-05,v e d a,2,V,SBJV,PRS,2,SG,,,,,
vedere,veda,V;SBJV;PRS;3;SG,5e-06,6.227083333333333e-05,v e d a,1,V,SBJV,PRS,3,SG,,,,,
vedere,vedemmo,V;IND;PST;1;PL;PFV,1e-06,6.227083333333333e-05,v e d e m m o,2,V,IND,PST,1,PL,PFV,,,,
vedere,vedere,V;NFIN,0.000506,6.227083333333333e-05,v e d e r e,2,V,NFIN,,,,,,,,
vedere,vedessero,V;SBJV;PST;3;PL,1e-06,6.227083333333333e-05,v e d e s s e r o,3,V,SBJV,PST,3,PL,,,,,
vedere,vedesse,V;SBJV;PST;3;SG,0.0,6.227083333333333e-05,v e d e s s e,0,V,SBJV,PST,3,SG,,,,,
vedere,vedessimo,V;SBJV;PST;1;PL,0.0,6.227083333333333e-05,v e d e s s i m o,2,V,SBJV,PST,1,PL,,,,,
vedere,vedessi,V;SBJV;PST;1;SG,0.0,6.227083333333333e-05,v e d e s s i,2,V,SBJV,PST,1,SG,,,,,
vedere,vedessi,V;SBJV;PST;2;SG,0.0,6.227083333333333e-05,v e d e s s i,3,V,SBJV,PST,2,SG,,,,,
vedere,vedeste,V;IND;PST;2;PL;PFV,0.0,6.227083333333333e-05,v e d e s t e,2,V,IND,PST,2,PL,PFV,,,,
vedere,vedeste,V;SBJV;PST;2;PL,0.0,6.227083333333333e-05,v e d e s t e,3,V,SBJV,PST,2,PL,,,,,
vedere,vedesti,V;IND;PST;2;SG;PFV,0.0,6.227083333333333e-05,v e d e s t i,4,V,IND,PST,2,SG,PFV,,,,
vedere,vedete,V;IND;PRS;2;PL,2.7e-05,6.227083333333333e-05,v e d e t e,0,V,IND,PRS,2,PL,,,,,
vedere,vedete,V;POS;IMP;2;PL,2.7e-05,6.227083333333333e-05,v e d e t e,3,V,POS,IMP,2,PL,,,,,
vedere,vedevamo,V;IND;PST;1;PL;IPFV,3e-06,6.227083333333333e-05,v e d e v a m o,0,V,IND,PST,1,PL,IPFV,,,,
vedere,vedevano,V;IND;PST;3;PL;IPFV,4e-06,6.227083333333333e-05,v e d e v a n o,4,V,IND,PST,3,PL,IPFV,,,,
vedere,vedevate,V;IND;PST;2;PL;IPFV,0.0,6.227083333333333e-05,v e d e v a t e,1,V,IND,PST,2,PL,IPFV,,,,
vedere,vedeva,V;IND;PST;3;SG;IPFV,1.1e-05,6.227083333333333e-05,v e d e v a,1,V,IND,PST,3,SG,IPFV,,,,
vedere,vede,V;IND;PRS;3;SG,0.000554,6.227083333333333e-05,v e d e,1,V,IND,PRS,3,SG,,,,,
vedere,vedevi,V;IND;PST;2;SG;IPFV,0.0,6.227083333333333e-05,v e d e v i,0,V,IND,PST,2,SG,IPFV,,,,
vedere,vedevo,V;IND;PST;1;SG;IPFV,9e-06,6.227083333333333e-05,v e d e v o,2,V,IND,PST,1,SG,IPFV,,,,
vedere,vediamo,V;IND;PRS;1;PL,0.000215,6.227083333333333e-05,v e d j a m o,3,V,IND,PRS,1,PL,,,,,
vedere,vediamo,V;POS;IMP;1;PL,0.000215,6.227083333333333e-05,v e d j a m o,3,V,POS,IMP,1,PL,,,,,
vedere,vediamo,V;SBJV;PRS;1;PL,0.000215,6.227083333333333e-05,v e d j a m o,3,V,SBJV,PRS,1,PL,,,,,
vedere,vediate,V;SBJV;PRS;2;PL,1e-06,6.227083333333333e-05,v e d j a t e,1,V,SBJV,PRS,2,PL,,,,,
vedere,vedi,V;IND;PRS;2;SG,6.3e-05,6.227083333333333e-05,v e d i,2,V,IND,PRS,2,SG,,,,,
vedere,vedi,V;POS;IMP;2;SG,6.3e-05,6.227083333333333e-05,v e d i,3,V,POS,IMP,2,SG,,,,,
vedere,vedono,V;IND;PRS;3;PL,0.000179,6.227083333333333e-05,v e d o n o,3,V,IND,PRS,3,PL,,,,,
vedere,vedo,V;IND;PRS;1;SG,0.00052,6.227083333333333e-05,v e d o,2,V,IND,PRS,1,SG,,,,,
vedere,vedrai,V;IND;FUT;2;SG,0.0,6.227083333333333e-05,v e d r a j,3,V,IND,FUT,2,SG,,,,,
vedere,vedranno,V;IND;FUT;3;PL,2.1e-05,6.227083333333333e-05,v e d r a n n o,1,V,IND,FUT,3,PL,,,,,
vedere,vedrà,V;IND;FUT;3;SG,0.000117,6.227083333333333e-05,v e d r a,3,V,IND,FUT,3,SG,,,,,
vedere,vedrebbero,V;COND;3;PL,2e-06,6.227083333333333e-05,v e d r ɛ b b e r o,4,V,COND,3,PL,,,,,,
vedere,vedrebbe,V;COND;3;SG,0.0,6.227083333333333e-05,v e d r ɛ b b e,2,V,COND,3,SG,,,,,,
vedere,vedrei,V;COND;1;SG,4e-06,6.227083333333333e-05,v e d r ɛ i,4,V,COND,1,SG,,,,,,
vedere,vedremmo,V;COND;1;PL,1e-06,6.227083333333333e-05,v e d r e m m o,2,V,COND,1,PL,,,,,,
vedere,vedremo,V;IND;FUT;1;PL,0.000163,6.227083333333333e-05,v e d r ɛ m o,0,V,IND,FUT,1,PL,,,,,
vedere,vedreste,V;COND;2;PL,0.0,6.227083333333333e-05,v e d r e s t e,3,V,COND,2,PL,,,,,,
