lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form,Fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
neiyé,naahhé,V;REAL;IPFV/PROG;2;DU/PL,0.0,3.3333333333333333e-06,n ɑ́ː h é,0,V,REAL,IPFV/PROG,2,DU/PL,,,,,
neiyé,naashhé,V;REAL;IPFV/PROG;1;SG,0.0,3.3333333333333333e-06,n ɑ́ː ʃʰ ɛ́,2,V,REAL,IPFV/PROG,1,SG,,,,,
neiyé,naniyé,V;REAL;IPFV/PROG;2;SG,0.0,3.3333333333333333e-06,n ɑ̀ n ɪ̀ j ɛ́,2,V,REAL,IPFV/PROG,2,SG,,,,,
neiyé,ndadiigééł,V;REAL;PROSP;1;PL,0.0,3.3333333333333333e-06,ⁿt ɑ̀ t ìː k éː ɬ,0,V,REAL,PROSP,1,PL,,,,,
neiyé,ndadoohhééł,V;REAL;PROSP;2;PL,0.0,3.3333333333333333e-06,ⁿt ɑ̀ t òː h éː ɬ,3,V,REAL,PROSP,2,PL,,,,,
neiyé,ndazhdooyééł,V;REAL;PROSP;4;PL,0.0,3.3333333333333333e-06,ⁿt ɑ̀ ʒ t òː j éː ɬ,2,V,REAL,PROSP,4,PL,,,,,
neiyé,ndeeshhééł,V;REAL;PROSP;1;SG,0.0,3.3333333333333333e-06,ⁿt èː ʃʰ éː ɬ,1,V,REAL,PROSP,1,SG,,,,,
neiyé,ndeidooyééł,V;REAL;PROSP;3;PL,0.0,3.3333333333333333e-06,ⁿd ɛ̀ ɪ̀ t òː j éː ɬ,3,V,REAL,PROSP,3,PL,,,,,
neiyé,ndiigééł,V;REAL;PROSP;1;DU/PL,0.0,3.3333333333333333e-06,ⁿd ìː k éː ɬ,0,V,REAL,PROSP,1,DU/PL,,,,,
neiyé,ndííyééł,V;REAL;PROSP;2;SG,0.0,3.3333333333333333e-06,ⁿd íː j éː ɬ,2,V,REAL,PROSP,2,SG,,,,,
neiyé,ndoohhééł,V;REAL;PROSP;2;DU/PL,0.0,3.3333333333333333e-06,ⁿt òː hʼ éː ɬ,2,V,REAL,PROSP,2,DU/PL,,,,,
neiyé,neidooyééł,V;REAL;PROSP;3;SG/DU/PL,0.0,3.3333333333333333e-06,n è ɪ̀ t òː j éː ɬ,2,V,REAL,PROSP,3,SG/DU/PL,,,,,
neiyé,neiigé,V;REAL;IPFV/PROG;1;DU/PL,0.0,3.3333333333333333e-06,n è ìː k é,1,V,REAL,IPFV/PROG,1,DU/PL,,,,,
neiyé,neiyé,V;REAL;IPFV/PROG;3;SG/DU/PL,0.0,3.3333333333333333e-06,n è ɪ̀ j é,2,V,REAL,IPFV/PROG,3,SG/DU/PL,,,,,
neiyé,neizyį́,V;REAL;PFV/PRF;3;SG/DU/PL,0.0,3.3333333333333333e-06,n è ɪ̀ z j ĩ́,3,V,REAL,PFV/PRF,3,SG/DU/PL,,,,,
neiyé,nidaahhé,V;REAL;IPFV/PROG;2;PL,0.0,3.3333333333333333e-06,n ɪ̀ t ɑ́ː h é,4,V,REAL,IPFV/PROG,2,PL,,,,,
neiyé,nidajiyé,V;REAL;IPFV/PROG;4;PL,0.0,3.3333333333333333e-06,n ɪ̀ t ɑ̀ t͡ʃ ɪ̀ j ɛ́,2,V,REAL,IPFV/PROG,4,PL,,,,,
neiyé,nidajizyį́,V;REAL;PFV/PRF;4;PL,0.0,3.3333333333333333e-06,n ɪ̀ t ɑ̀ t͡ʃ ɪ̀ z j ĩ́,2,V,REAL,PFV/PRF,4,PL,,,,,
neiyé,nidasiigį́,V;REAL;PFV/PRF;1;PL,0.0,3.3333333333333333e-06,n ɪ̀ t ɑ̀ s ìː k ĩ́,3,V,REAL,PFV/PRF,1,PL,,,,,
neiyé,nidasooyį́,V;REAL;PFV/PRF;2;PL,0.0,3.3333333333333333e-06,n ɪ̀ t ɑ̀ s òː j ĩ̀,0,V,REAL,PFV/PRF,2,PL,,,,,
neiyé,nideiigé,V;REAL;IPFV/PROG;1;PL,0.0,3.3333333333333333e-06,n ɪ̀ t è ìː k é,4,V,REAL,IPFV/PROG,1,PL,,,,,
neiyé,nideiyé,V;REAL;IPFV/PROG;3;PL,0.0001,3.3333333333333333e-06,n ɪ̀ t ɛ́ ɪ̀ j ɛ́,4,V,REAL,IPFV/PROG,3,PL,,,,,
neiyé,nideizyį́,V;REAL;PFV/PRF;3;PL,0.0,3.3333333333333333e-06,n ɪ̀ t è ɪ̀ z j ĩ́,0,V,REAL,PFV/PRF,3,PL,,,,,
neiyé,nijiyé,V;REAL;IPFV/PROG;4;SG/DU/PL,0.0,3.3333333333333333e-06,n ɪ̀ t͡ʃ ɪ̀ j ɛ́,2,V,REAL,IPFV/PROG,4,SG/DU/PL,,,,,
neiyé,nijizyį́,V;REAL;PFV/PRF;4;SG/DU/PL,0.0,3.3333333333333333e-06,n ɪ̀ t͡ʃ ɪ̀ z j ĩ́,4,V,REAL,PFV/PRF,4,SG/DU/PL,,,,,
neiyé,niséyį́,V;REAL;PFV/PRF;1;SG,0.0,3.3333333333333333e-06,n ɪ̀ s ɛ́ j ĩ́,4,V,REAL,PFV/PRF,1,SG,,,,,
