lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form,Fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
leczyć,będą leczyli,V;FUT;3;PL;MASC;HUM,0.0,6.068627450980392e-05,b ɛ n d ɔ w̃ l ɛ t͡ʂ ɨ l i,4,V,FUT,3,PL,MASC,HUM,,,,
leczyć,będą leczyły,V;FUT;3;PL,0.0,6.068627450980392e-05,b ɛ n d ɔ w̃ l ɛ t͡ʂ ɨ w ɨ,0,V,FUT,3,PL,,,,,,
leczyć,będę leczyła,V;FUT;1;SG;FEM,0.0,6.068627450980392e-05,b ɛ n d ɛ l ɛ t͡ʂ ɨ w a,1,V,FUT,1,SG,FEM,,,,,
leczyć,będę leczył,V;FUT;1;SG;MASC,0.0,6.068627450980392e-05,b ɛ n d ɛ l ɛ t͡ʂ ɨ w,4,V,FUT,1,SG,MASC,,,,,
leczyć,będziecie leczyli,V;FUT;2;PL;MASC;HUM,0.0,6.068627450980392e-05,b ɛ ɲ d͡ʑ ɛ t͡ɕ ɛ l ɛ t͡ʂ ɨ l i,0,V,FUT,2,PL,MASC,HUM,,,,
leczyć,będziecie leczyły,V;FUT;2;PL,0.0,6.068627450980392e-05,b ɛ ɲ d͡ʑ ɛ t͡ɕ ɛ l ɛ t͡ʂ ɨ w ɨ,0,V,FUT,2,PL,,,,,,
leczyć,będzie leczyła,V;FUT;3;SG;FEM,0.0,6.068627450980392e-05,b ɛ ɲ d͡ʑ ɛ l ɛ t͡ʂ ɨ w a,2,V,FUT,3,SG,FEM,,,,,
leczyć,będzie leczyło,V;FUT;3;SG;NEUT,0.0,6.068627450980392e-05,b ɛ ɲ d͡ʑ ɛ l ɛ t͡ʂ ɨ w ɔ,4,V,FUT,3,SG,NEUT,,,,,
leczyć,będzie leczył,V;FUT;3;SG;MASC,0.0,6.068627450980392e-05,b ɛ ɲ d͡ʑ ɛ l ɛ t͡ʂ ɨ w,1,V,FUT,3,SG,MASC,,,,,
leczyć,będziemy leczyli,V;FUT;1;PL;MASC;HUM,0.0,6.068627450980392e-05,b ɛ ɲ d͡ʑ ɛ m ɨ l ɛ t͡ʂ ɨ l i,1,V,FUT,1,PL,MASC,HUM,,,,
leczyć,będziemy leczyły,V;FUT;1;PL,0.0,6.068627450980392e-05,b ɛ ɲ d͡ʑ ɛ m ɨ l ɛ t͡ʂ ɨ w ɨ,0,V,FUT,1,PL,,,,,,
leczyć,będziesz leczyła,V;FUT;2;SG;FEM,0.0,6.068627450980392e-05,b ɛ ɲ d͡ʑ ɛ ʂ l ɛ t͡ʂ ɨ w a,2,V,FUT,2,SG,FEM,,,,,
leczyć,będziesz leczył,V;FUT;2;SG;MASC,0.0,6.068627450980392e-05,b ɛ ɲ d͡ʑ ɛ ʂ l ɛ t͡ʂ ɨ w,3,V,FUT,2,SG,MASC,,,,,
leczyć,leczą,V;PRS;3;PL,2.4e-05,6.068627450980392e-05,l ɛ t͡ʂ ɔ w̃,1,V,PRS,3,PL,,,,,,
leczyć,leczcie,V;IMP;2;PL,0.0,6.068627450980392e-05,l ɛ t͡ʂ t͡ɕ ɛ,0,V,IMP,2,PL,,,,,,
leczyć,leczę,V;PRS;1;SG,2e-06,6.068627450980392e-05,l ɛ t͡ʂ ɛ,0,V,PRS,1,SG,,,,,,
leczyć,leczmy,V;IMP;1;PL,0.0,6.068627450980392e-05,l ɛ t͡ʂ m ɨ,3,V,IMP,1,PL,,,,,,
leczyć,lecz,V;IMP;2;SG,0.002859,6.068627450980392e-05,l ɛ t͡ʂ,0,V,IMP,2,SG,,,,,,
leczyć,leczycie,V;PRS;2;PL,0.0,6.068627450980392e-05,l ɛ t͡ʂ ɨ t͡ɕ ɛ,2,V,PRS,2,PL,,,,,,
leczyć,leczyć,V;NFIN,9.4e-05,6.068627450980392e-05,l ɛ t͡ʂ ɨ t͡ɕ,2,V,NFIN,,,,,,,,
leczyć,leczyłabym,V;COND;1;SG;FEM,0.0,6.068627450980392e-05,l ɛ t͡ʂ ɨ w a b ɨ m,2,V,COND,1,SG,FEM,,,,,
leczyć,leczyłabyś,V;COND;2;SG;FEM,0.0,6.068627450980392e-05,l ɛ t͡ʂ ɨ w a b ɨ ɕ,4,V,COND,2,SG,FEM,,,,,
leczyć,leczyłaby,V;COND;3;SG;FEM,0.0,6.068627450980392e-05,l ɛ t͡ʂ ɨ w a b ɨ,0,V,COND,3,SG,FEM,,,,,
leczyć,leczyłam,V;PST;1;SG;FEM,0.0,6.068627450980392e-05,l ɛ t͡ʂ ɨ w a m,1,V,PST,1,SG,FEM,,,,,
leczyć,leczyłaś,V;PST;2;SG;FEM,0.0,6.068627450980392e-05,l ɛ t͡ʂ ɨ w a ɕ,4,V,PST,2,SG,FEM,,,,,
leczyć,leczyła,V;PST;3;SG;FEM,1e-06,6.068627450980392e-05,l ɛ t͡ʂ ɨ w a,4,V,PST,3,SG,FEM,,,,,
leczyć,leczyłbym,V;COND;1;SG;MASC,0.0,6.068627450980392e-05,l ɛ t͡ʂ ɨ w b ɨ m,4,V,COND,1,SG,MASC,,,,,
leczyć,leczyłbyś,V;COND;2;SG;MASC,0.0,6.068627450980392e-05,l ɛ t͡ʂ ɨ w b ɨ ɕ,1,V,COND,2,SG,MASC,,,,,
leczyć,leczyłby,V;COND;3;SG;MASC,0.0,6.068627450980392e-05,l ɛ t͡ʂ ɨ w b ɨ,3,V,COND,3,SG,MASC,,,,,
leczyć,leczyłem,V;PST;1;SG;MASC,0.0,6.068627450980392e-05,l ɛ t͡ʂ ɨ w ɛ m,1,V,PST,1,SG,MASC,,,,,
leczyć,leczyłeś,V;PST;2;SG;MASC,0.0,6.068627450980392e-05,l ɛ t͡ʂ ɨ w ɛ ɕ,0,V,PST,2,SG,MASC,,,,,
leczyć,leczylibyście,V;COND;2;PL;MASC;HUM,0.0,6.068627450980392e-05,l ɛ t͡ʂ ɨ l i b ɨ ɕ t͡ɕ ɛ,2,V,COND,2,PL,MASC,HUM,,,,
leczyć,leczylibyśmy,V;COND;1;PL;MASC;HUM,0.0,6.068627450980392e-05,l ɛ t͡ʂ ɨ l i b ɨ ɕ m ɨ,3,V,COND,1,PL,MASC,HUM,,,,
