lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form,Fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
deixar,deixais,V;2;PL;IND;PRS,0.0,0.0003271830985915,d e j ʃ a j s,4,V,2,PL,IND,PRS,,,,,
deixar,deixai,V;2;PL;IMP;POS,0.0,0.0003271830985915,d e j ʃ a j,1,V,2,PL,IMP,POS,,,,,
deixar,deixamos,V;1;PL;IND;PRS,0.00014,0.0003271830985915,d e j ʃ ɐ m o s,2,V,1,PL,IND,PRS,,,,,
deixar,deixámos,V;1;PL;IND;PST;PFV,3e-05,0.0003271830985915,d e j ʃ a m o s,2,V,1,PL,IND,PST,PFV,,,,
deixar,deixam,V;3;PL;IND;PRS,0.0004,0.0003271830985915,d e j ʃ ɐ̃ w̃,0,V,3,PL,IND,PRS,,,,,
deixar,deixáramos,V;1;PL;IND;PST;PRF,0.0,0.0003271830985915,d e j ʃ a ɾ a m o s,2,V,1,PL,IND,PST,PRF,,,,
deixar,deixaram,V;3;PL;IND;PST;PFV,0.00077,0.0003271830985915,d e j ʃ a ɾ ɐ̃ w̃,2,V,3,PL,IND,PST,PFV,,,,
deixar,deixaram,V;3;PL;IND;PST;PRF,0.00077,0.0003271830985915,d e j ʃ a ɾ ɐ̃ w̃,4,V,3,PL,IND,PST,PRF,,,,
deixar,deixarão,V;3;PL;IND;FUT,8e-05,0.0003271830985915,d e j ʃ a ɾ ɐ̃ w̃,3,V,3,PL,IND,FUT,,,,,
deixar,deixarás,V;2;SG;IND;FUT,0.0,0.0003271830985915,d e j ʃ a ɾ a j s,1,V,2,SG,IND,FUT,,,,,
deixar,deixaras,V;2;SG;IND;PST;PRF,0.0,0.0003271830985915,d e j ʃ a ɾ a s,2,V,2,SG,IND,PST,PRF,,,,
deixar,deixara,V;1;SG;IND;PST;PRF,0.0,0.0003271830985915,d e j ʃ a ɾ a,2,V,1,SG,IND,PST,PRF,,,,
deixar,deixará,V;3;SG;IND;FUT,0.00026,0.0003271830985915,d e j ʃ a ɾ a,0,V,3,SG,IND,FUT,,,,,
deixar,deixara,V;3;SG;IND;PST;PRF,0.0,0.0003271830985915,d e j ʃ a ɾ a,3,V,3,SG,IND,PST,PRF,,,,
deixar,deixardes,V;2;PL;NFIN,0.0,0.0003271830985915,d e j ʃ a ɻ d e s,0,V,2,PL,NFIN,,,,,,
deixar,deixardes,V;2;PL;SBJV;FUT,0.0,0.0003271830985915,d e j ʃ a ɻ d e s,0,V,2,PL,SBJV,FUT,,,,,
deixar,deixareis,V;2;PL;IND;FUT,0.0,0.0003271830985915,d e j ʃ a ɾ e j s,2,V,2,PL,IND,FUT,,,,,
deixar,deixáreis,V;2;PL;IND;PST;PRF,0.0,0.0003271830985915,d e j ʃ a ɾ e j s,2,V,2,PL,IND,PST,PRF,,,,
deixar,deixarei,V;1;SG;IND;FUT,1e-05,0.0003271830985915,d e j ʃ a ɾ e j,3,V,1,SG,IND,FUT,,,,,
deixar,deixaremos,V;1;PL;IND;FUT,2e-05,0.0003271830985915,d e j ʃ a ɾ e m o s,3,V,1,PL,IND,FUT,,,,,
deixar,deixarem,V;3;PL;NFIN,5e-05,0.0003271830985915,d e j ʃ a ɾ ẽ j̃,3,V,3,PL,NFIN,,,,,,
deixar,deixarem,V;3;PL;SBJV;FUT,5e-05,0.0003271830985915,d e j ʃ a ɾ ẽ j̃,4,V,3,PL,SBJV,FUT,,,,,
deixar,deixares,V;2;SG;NFIN,1e-05,0.0003271830985915,d e j ʃ a ɾ e s,1,V,2,SG,NFIN,,,,,,
deixar,deixares,V;2;SG;SBJV;FUT,1e-05,0.0003271830985915,d e j ʃ a ɾ e s,1,V,2,SG,SBJV,FUT,,,,,
deixar,deixaríamos,V;1;PL;COND,0.0,0.0003271830985915,d e j ʃ a ɾ i a m o s,4,V,1,PL,COND,,,,,,
deixar,deixariam,V;3;PL;COND,0.0,0.0003271830985915,d e j ʃ a ɾ i ɐ̃ w̃,4,V,3,PL,COND,,,,,,
deixar,deixarias,V;2;SG;COND,0.0,0.0003271830985915,d e j ʃ a ɾ i a s,3,V,2,SG,COND,,,,,,
deixar,deixaria,V;1;SG;COND,4e-05,0.0003271830985915,d e j ʃ a ɾ i a,2,V,1,SG,COND,,,,,,
deixar,deixaria,V;3;SG;COND,4e-05,0.0003271830985915,d e j ʃ a ɾ i a,4,V,3,SG,COND,,,,,,
deixar,deixaríeis,V;2;PL;COND,0.0,0.0003271830985915,d e j ʃ a ɾ i e j s,0,V,2,PL,COND,,,,,,
deixar,deixarmos,V;1;PL;NFIN,4e-05,0.0003271830985915,d e j ʃ a ɻ m o s,0,V,1,PL,NFIN,,,,,,
