lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form,Fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
entrar,entrar,V;NFIN,0.001018,0.0007698707865168,e n t ɾ a ɾ,4,V,NFIN,,,,,,,,
entrar,entrando,V;V.CVB;PRS,0.000103,0.0007698707865168,e n t ɾ a n d o,2,V,V.CVB,PRS,,,,,,,
entrar,entrado,V;V.PTCP;PST;MASC;SG,0.000116,0.0007698707865168,e n t ɾ a d o,4,V,V.PTCP,PST,MASC,SG,,,,,
entrar,entrada,V;V.PTCP;PST;FEM;SG,0.002354,0.0007698707865168,e n t ɾ a d a,2,V,V.PTCP,PST,FEM,SG,,,,,
entrar,entrados,V;V.PTCP;PST;MASC;PL,9e-06,0.0007698707865168,e n t ɾ a d o s,0,V,V.PTCP,PST,MASC,PL,,,,,
entrar,entradas,V;V.PTCP;PST;FEM;PL,0.000839,0.0007698707865168,e n t ɾ a d a s,2,V,V.PTCP,PST,FEM,PL,,,,,
entrar,entro,V;IND;PRS;1;SG,4.4e-05,0.0007698707865168,e n t ɾ o,0,V,IND,PRS,1,SG,,,,,
entrar,entras,V;IND;PRS;2;SG;INFM,2.1e-05,0.0007698707865168,e n t ɾ a s,0,V,IND,PRS,2,SG,INFM,,,,
entrar,entrás,V;IND;PRS;2;SG;INFM,1.5e-05,0.0007698707865168,e n t ɾ a s,3,V,IND,PRS,2,SG,INFM,,,,
entrar,entra,V;IND;PRS;3;SG,0.000434,0.0007698707865168,e n t ɾ a,3,V,IND,PRS,3,SG,,,,,
entrar,entra,V;IND;PRS;2;SG;FORM,0.000434,0.0007698707865168,e n t ɾ a,2,V,IND,PRS,2,SG,FORM,,,,
entrar,entramos,V;IND;PRS;1;PL,6.3e-05,0.0007698707865168,e n t ɾ a m o s,2,V,IND,PRS,1,PL,,,,,
entrar,entráis,V;IND;PRS;2;PL,0.0,0.0007698707865168,e n t ɾ a i s,0,V,IND,PRS,2,PL,,,,,
entrar,entran,V;IND;PRS;3;PL,0.00023,0.0007698707865168,e n t ɾ a n,3,V,IND,PRS,3,PL,,,,,
entrar,entraba,V;IND;PST;IPFV;1;SG,6.1e-05,0.0007698707865168,e n t ɾ a b a,3,V,IND,PST,IPFV,1,SG,,,,
entrar,entrabas,V;IND;PST;IPFV;2;SG;INFM,2e-06,0.0007698707865168,e n t ɾ a b a s,4,V,IND,PST,IPFV,2,SG,INFM,,,
entrar,entraba,V;IND;PST;IPFV;3;SG,6.1e-05,0.0007698707865168,e n t ɾ a b a,1,V,IND,PST,IPFV,3,SG,,,,
entrar,entraba,V;IND;PST;IPFV;2;SG;FORM,6.1e-05,0.0007698707865168,e n t ɾ a b a,0,V,IND,PST,IPFV,2,SG,FORM,,,
entrar,entrábamos,V;IND;PST;IPFV;1;PL,6e-06,0.0007698707865168,e n t ɾ a b a m o s,4,V,IND,PST,IPFV,1,PL,,,,
entrar,entrabais,V;IND;PST;IPFV;2;PL,0.0,0.0007698707865168,e n t ɾ a b a i s,3,V,IND,PST,IPFV,2,PL,,,,
entrar,entraban,V;IND;PST;IPFV;3;PL,2.8e-05,0.0007698707865168,e n t ɾ a b a n,4,V,IND,PST,IPFV,3,PL,,,,
entrar,entré,V;IND;PST;PFV;1;SG,3.8e-05,0.0007698707865168,e n t ɾ e,1,V,IND,PST,PFV,1,SG,,,,
entrar,entraste,V;IND;PST;PFV;2;SG;INFM,5e-06,0.0007698707865168,e n t ɾ a s t e,0,V,IND,PST,PFV,2,SG,INFM,,,
