lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form,Fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
använda,använda,V;NFIN;ACT,0.00556,0.0017216,a n v ɛ n d a,3,V,NFIN,ACT,,,,,,,
använda,användas,V;NFIN;PASS,0.0038,0.0017216,a n v ɛ n d a s,3,V,NFIN,PASS,,,,,,,
använda,använt,V;V.CVB;ACT,0.000629,0.0017216,a n v ɛ n t,2,V,V.CVB,ACT,,,,,,,
använda,använts,V;V.CVB;PASS,0.000642,0.0017216,a n v ɛ n t s,0,V,V.CVB,PASS,,,,,,,
använda,använd,V;IMP;ACT,0.000318,0.0017216,a n v ɛ n d,3,V,IMP,ACT,,,,,,,
använda,använder,V;IND;SG;ACT;PRS,0.003804,0.0017216,a n v ɛ n d ɛ r,2,V,IND,SG,ACT,PRS,,,,,
använda,använde,V;IND;SG;ACT;PST,0.000486,0.0017216,a n v ɛ n d ɛ,1,V,IND,SG,ACT,PST,,,,,
använda,används,V;IND;SG;PASS;PRS,0.004469,0.0017216,a n v ɛ n d s,3,V,IND,SG,PASS,PRS,,,,,
använda,användes,V;IND;SG;PASS;PRS,0.000683,0.0017216,a n v ɛ n d ɛ s,0,V,IND,SG,PASS,PRS,,,,,
använda,användes,V;IND;SG;PASS;PST,0.000683,0.0017216,a n v ɛ n d ɛ s,1,V,IND,SG,PASS,PST,,,,,
använda,använda,V;IND;PL;ACT;PRS,0.00556,0.0017216,a n v ɛ n d a,1,V,IND,PL,ACT,PRS,,,,,
använda,använde,V;IND;PL;ACT;PST,0.000486,0.0017216,a n v ɛ n d ɛ,2,V,IND,PL,ACT,PST,,,,,
använda,användas,V;IND;PL;PASS;PRS,0.0038,0.0017216,a n v ɛ n d a s,1,V,IND,PL,PASS,PRS,,,,,
använda,användes,V;IND;PL;PASS;PST,0.000683,0.0017216,a n v ɛ n d ɛ s,2,V,IND,PL,PASS,PST,,,,,
använda,använde,V;SBJV;ACT;PRS,0.000486,0.0017216,a n v ɛ n d ɛ,3,V,SBJV,ACT,PRS,,,,,,
använda,använde,V;SBJV;ACT;PST,0.000486,0.0017216,a n v ɛ n d ɛ,4,V,SBJV,ACT,PST,,,,,,
använda,användes,V;SBJV;PASS;PRS,0.000683,0.0017216,a n v ɛ n d ɛ s,2,V,SBJV,PASS,PRS,,,,,,
använda,användes,V;SBJV;PASS;PST,0.000683,0.0017216,a n v ɛ n d ɛ s,2,V,SBJV,PASS,PST,,,,,,
använda,användande,V;V.PTCP;PRS,0.000173,0.0017216,a n v ɛ n d a n d ɛ,3,V,V.PTCP,PRS,,,,,,,
använda,använd,V;V.PTCP;PST,0.000318,0.0017216,a n v ɛ n d,0,V,V.PTCP,PST,,,,,,,
åka,åka,V;NFIN;ACT,0.001142,0.0005653,oː k a,4,V,NFIN,ACT,,,,,,,
åka,åkt,V;V.CVB;ACT,0.000132,0.0005653,oː k t,4,V,V.CVB,ACT,,,,,,,
åka,åk,V;IMP;ACT,0.000407,0.0005653,oː k,0,V,IMP,ACT,,,,,,,
åka,åker,V;IND;SG;ACT;PRS,0.000973,0.0005653,oː k ɛ r,2,V,IND,SG,ACT,PRS,,,,,
åka,åkte,V;IND;SG;ACT;PST,0.000614,0.0005653,² oː k t ɛ,4,V,IND,SG,ACT,PST,,,,,
åka,åka,V;IND;PL;ACT;PRS,0.001142,0.0005653,oː k a,4,V,IND,PL,ACT,PRS,,,,,
åka,åkte,V;IND;PL;ACT;PST,0.000614,0.0005653,² oː k t ɛ,2,V,IND,PL,ACT,PST,,,,,
åka,åke,V;SBJV;ACT;PRS,0.0,0.0005653,oː k ɛ,1,V,SBJV,ACT,PRS,,,,,,
åka,åkte,V;SBJV;ACT;PST,0.000614,0.0005653,² oː k t ɛ,3,V,SBJV,ACT,PST,,,,,,
åka,åkande,V;V.PTCP;PRS,1.5e-05,0.0005653,oː k a n d ɛ,3,V,V.PTCP,PRS,,,,,,,
sida,sida,V;NFIN;ACT,0.003758,0.0005956842105263,² s iː d a,0,V,NFIN,ACT,,,,,,,
sida,sidas,V;NFIN;PASS,1.2e-05,0.0005956842105263,² s iː d a s,3,V,NFIN,PASS,,,,,,,
sida,sidat,V;V.CVB;ACT,0.0,0.0005956842105263,s ɪ d ɑː t,2,V,V.CVB,ACT,,,,,,,
sida,sidats,V;V.CVB;PASS,0.0,0.0005956842105263,s ɪ d ɑː t s,2,V,V.CVB,PASS,,,,,,,
sida,sida,V;IMP;ACT,0.003758,0.0005956842105263,² s iː d a,1,V,IMP,ACT,,,,,,,
sida,sidar,V;IND;SG;ACT;PRS,0.0,0.0005956842105263,s iː d ɑː r,1,V,IND,SG,ACT,PRS,,,,,
sida,sidade,V;IND;SG;ACT;PST,0.0,0.0005956842105263,² s iː d ɑː d ɛ,3,V,IND,SG,ACT,PST,,,,,
sida,sidas,V;IND;SG;PASS;PRS,1.2e-05,0.0005956842105263,² s iː d a s,0,V,IND,SG,PASS,PRS,,,,,
sida,sidades,V;IND;SG;PASS;PST,0.0,0.0005956842105263,s iː d a d eː s,3,V,IND,SG,PASS,PST,,,,,
sida,sida,V;IND;PL;ACT;PRS,0.003758,0.0005956842105263,² s iː d a,2,V,IND,PL,ACT,PRS,,,,,
sida,sidade,V;IND;PL;ACT;PST,0.0,0.0005956842105263,² s iː d ɑː d ɛ,2,V,IND,PL,ACT,PST,,,,,
sida,sidas,V;IND;PL;PASS;PRS,1.2e-05,0.0005956842105263,² s iː d a s,1,V,IND,PL,PASS,PRS,,,,,
sida,sidades,V;IND;PL;PASS;PST,0.0,0.0005956842105263,s iː d a d eː s,3,V,IND,PL,PASS,PST,,,,,
sida,side,V;SBJV;ACT;PRS,8e-06,0.0005956842105263,s iː d ɛ,4,V,SBJV,ACT,PRS,,,,,,
sida,sidade,V;SBJV;ACT;PST,0.0,0.0005956842105263,² s iː d ɑː d ɛ,4,V,SBJV,ACT,PST,,,,,,
