lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form,Fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
邪写邪褌褌褘薪,邪写邪褌褌褘薪邪褉 斜懈褋,V;NPST;1;PL,0.0,0.0,ɕ ɛ ɪ̯ ³ ⁵ ɕ i̯ ɛ ⁵ ⁵ ɕ ɛ́ ² kʰ ɛ ² ¹ p,4,V,NPST,1,PL,,,,,,
邪写邪褌褌褘薪,邪写邪褌褌褘薪邪褉 屑械薪,V;NPST;1;SG,0.0,0.0,t͡ɕʰ ɛ ɪ̯ ³ ⁵ ɕ i̯ ɛ ⁵ ⁵ ɕ ɛ́ ² pʰ ɛ ⁵,2,V,NPST,1,SG,,,,,,
邪写邪褌褌褘薪,邪写邪褌褌褘薪邪褉 褋懈谢械褉,V;NPST;2;PL,0.0,0.0,ɕ ɛ ɪ̯ ³ ⁵ ɕ i̯ ɛ ⁵ ⁵ ɕ ɛ́ ² pʰ ɛ ⁵ ⁵ p,4,V,NPST,2,PL,,,,,,
邪写邪褌褌褘薪,邪写邪褌褌褘薪邪褉 褋械薪,V;NPST;2;SG,0.0,0.0,t͡ɕʰ ɛ ɪ̯ ³ ⁵ ɕ i̯ ɛ ⁵ ⁵ ɕ ɛ́ ² pʰ ɛ ⁵,2,V,NPST,2,SG,,,,,,
邪写邪褌褌褘薪,邪写邪褌褌褘薪邪褉,V;NPST;3;SG,0.0,0.0,t͡ɕʰ ɛ ɪ̯ ³ ⁵ ɕ i̯ ɛ ⁵ ⁵ ɕ ɛ́ ² kʰ ɛ ²,0,V,NPST,3,SG,,,,,,
邪写邪褌褌褘薪,邪写邪褌褌褘薪邪褉谢邪褉,V;NPST;3;PL,0.0,0.0,t͡ɕʰ ɛ ɪ̯ ³ ⁵ ɕ i̯ ɛ ⁵ ⁵ ɕ ɛ́ ² p ɛ ⁵,2,V,NPST,3,PL,,,,,,
邪写邪褌褌褘薪,邪写邪褌褌褘薪褘胁褘褌锌邪邪薪 斜懈褋,V;PRF;PST;LGSPEC2;NEG;1;PL,0.0,0.0,ɕ ɛ ɪ̯ ³ ⁵ ɕ i̯ ɛ ⁵ ⁵ ɕ ɛ́ ² pʰ ɛ ⁵ ⁵ p,0,V,PRF,PST,LGSPEC2,NEG,1,PL,,,
邪写邪褌褌褘薪,邪写邪褌褌褘薪褘胁褘褌锌邪邪薪 屑械薪,V;PRF;PST;LGSPEC2;NEG;1;SG,0.0,0.0,t͡ɕʰ ɛ ɪ̯ ³ ⁵ ɕ i̯ ɛ ⁵ ⁵ ɕ ɛ́ ² pʰ ɛ ⁵,0,V,PRF,PST,LGSPEC2,NEG,1,SG,,,
邪写邪褌褌褘薪,邪写邪褌褌褘薪褘胁褘褌锌邪邪薪 褋懈谢械褉,V;PRF;PST;LGSPEC2;NEG;2;PL,0.0,0.0,ɕ ɛ ɪ̯ ³ ⁵ ɕ i̯ ɛ ⁵ ⁵ ɕ ɛ́ ² pʰ ɛ ⁵ ⁵ p,3,V,PRF,PST,LGSPEC2,NEG,2,PL,,,
邪写邪褌褌褘薪,邪写邪褌褌褘薪褘胁褘褌锌邪邪薪 褋械薪,V;PRF;PST;LGSPEC2;NEG;2;SG,0.0,0.0,t͡ɕʰ ɛ ɪ̯ ³ ⁵ ɕ i̯ ɛ ⁵ ⁵ ɕ ɛ́ ² pʰ ɛ ⁵,3,V,PRF,PST,LGSPEC2,NEG,2,SG,,,
