lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form,Fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
akha,wakhe,V;2;SG;SBJV,0.02101,0.0011936216216216,w áː kʰ e,4,V,2,SG,SBJV,,,,,,
akha,uyakha,V;BANTU3;PRS,4e-05,0.0011936216216216,ú j aː kʰ á,3,V,BANTU3,PRS,,,,,,,
akha,wakha,V;BANTU3;PRS,0.00073,0.0011936216216216,w áː kʰ a,3,V,BANTU3,PRS,,,,,,,
akha,bekwakha,V;BANTU15;RCT;PST;PROG,0.0,0.0011936216216216,ɓ é ɠ w aː kʰ a,3,V,BANTU15,RCT,PST,PROG,,,,,
akha,zakhile,V;BANTU10;RCT;PST,1e-05,0.0011936216216216,z á kʰ iː l é,3,V,BANTU10,RCT,PST,,,,,,
akha,zakhē,V;BANTU10;RCT;PST,0.0,0.0011936216216216,z áː kʰ eː,2,V,BANTU10,RCT,PST,,,,,,
akha,ayakha,V;BANTU6;PRS,1e-05,0.0011936216216216,a j áː kʰ a,2,V,BANTU6,PRS,,,,,,,
akha,akha,V;BANTU6;PRS,0.00013,0.0011936216216216,áː kʰ a,2,V,BANTU6,PRS,,,,,,,
akha,wākha,V;BANTU1;RMT;PST,0.0,0.0011936216216216,w áː kʰ a,1,V,BANTU1,RMT,PST,,,,,,
akha,ngakhile,V;1;SG;RCT;PST,3e-05,0.0011936216216216,n ɡ a kʰ íː l e,0,V,1,SG,RCT,PST,,,,,
akha,ngakhē,V;1;SG;RCT;PST,0.0,0.0011936216216216,n ɡ áː kʰ eː,3,V,1,SG,RCT,PST,,,,,
akha,zizokwakha,V;BANTU8;FUT,0.0,0.0011936216216216,z i z ó ɠ w aː kʰ a,3,V,BANTU8,FUT,,,,,,,
akha,sibakha,V;1;PL;RCT;PST;PROG,0.0,0.0011936216216216,s í ɓ aː kʰ a,0,V,1,PL,RCT,PST,PROG,,,,
akha,yākha,V;BANTU4;RMT;PST,0.0,0.0011936216216216,j áː kʰ a,4,V,BANTU4,RMT,PST,,,,,,
akha,beyakha,V;BANTU4;RCT;PST;PROG,1e-05,0.0011936216216216,ɓ e j áː kʰ a,0,V,BANTU4,RCT,PST,PROG,,,,,
akha,luzokwakha,V;BANTU11;FUT,0.0,0.0011936216216216,l ú z o ɠ w aː kʰ a,1,V,BANTU11,FUT,,,,,,,
akha,sakhe,V;BANTU7;SBJV,0.01206,0.0011936216216216,s áː kʰ e,0,V,BANTU7,SBJV,,,,,,,
akha,zakha,V;BANTU8;V.PTCP,1e-05,0.0011936216216216,z áː kʰ a,3,V,BANTU8,V.PTCP,,,,,,,
akha,liyakha,V;BANTU5;PRS,0.0,0.0011936216216216,l í j aː kʰ a,0,V,BANTU5,PRS,,,,,,,
akha,lakha,V;BANTU5;PRS,3e-05,0.0011936216216216,l áː kʰ a,3,V,BANTU5,PRS,,,,,,,
akha,bezakha,V;BANTU10;RCT;PST;PROG,0.0,0.0011936216216216,ɓ e z áː kʰ a,2,V,BANTU10,RCT,PST,PROG,,,,,
akha,zakhe,V;BANTU10;SBJV,0.01098,0.0011936216216216,z áː kʰ e,4,V,BANTU10,SBJV,,,,,,,
akha,ukwakha,V;NFIN,0.00098,0.0011936216216216,ú ɠ w áː kʰ a,2,V,NFIN,,,,,,,,
akha,wākha,V;BANTU3;RMT;PST,0.0,0.0011936216216216,w áː kʰ a,1,V,BANTU3,RMT,PST,,,,,,
akha,kwakhe,V;BANTU15;SBJV,0.01482,0.0011936216216216,k w áː kʰ e,2,V,BANTU15,SBJV,,,,,,,
akha,yakhe,V;IMP;2;SG;LGSPEC3,0.02541,0.0011936216216216,j áː kʰ e,4,V,IMP,2,SG,LGSPEC3,,,,,
akha,sakhile,V;1;PL;RCT;PST,1e-05,0.0011936216216216,s á kʰ iː l e,4,V,1,PL,RCT,PST,,,,,
akha,sakhē,V;1;PL;RCT;PST,0.0,0.0011936216216216,s áː kʰ eː,4,V,1,PL,RCT,PST,,,,,
akha,zizokwakha,V;BANTU10;FUT,0.0,0.0011936216216216,z i z ó ɠ w aː kʰ a,4,V,BANTU10,FUT,,,,,,,
akha,sakha,V;1;PL;V.PTCP,9e-05,0.0011936216216216,s áː kʰ a,2,V,1,PL,V.PTCP,,,,,,
