lang,num,cell_1,cell_2,correct,total,nvar,nph,nmarkers,n_pairs
ady,1000,ERG;PL;DEF,ERG;SG;DEF,1998,1998,4,3,2,66
ady,1000,ERG;PL;DEF,INS;PL;DEF,1998,1998,4,2,1,66
ady,1000,ERG;PL;DEF,INS;PL;NDEF,1998,1998,4,3,2,66
ady,1000,ERG;PL;DEF,INS;SG;DEF,1998,1998,6,4,2,66
ady,1000,ERG;PL;DEF,INS;SG;NDEF,1998,1998,4,5,2,66
ady,1000,ERG;PL;DEF,LGSPEC1;PL,1904,1998,3,5.5,2.5,66
ady,1000,ERG;PL;DEF,LGSPEC1;SG,1752,1998,2,6,2,66
ady,1000,ERG;PL;DEF,NDEF;SG,1880,1880,2,4,1,66
ady,1000,ERG;PL;DEF,NOM;PL,1998,1998,2,3,2,66
ady,1000,ERG;PL;DEF,NOM;SG,1998,1998,2,5,2,66
ady,1000,ERG;SG;DEF,INS;PL;DEF,1998,1998,4,5,2,66
ady,1000,ERG;SG;DEF,INS;PL;NDEF,1998,1998,2,6,2,66
ady,1000,ERG;SG;DEF,INS;SG;DEF,1998,1998,2,3,1,66
ady,1000,ERG;SG;DEF,INS;SG;NDEF,1998,1998,2,4,2,66
ady,1000,ERG;SG;DEF,LGSPEC1;SG,1762,1998,2,3,2,66
ady,1000,ERG;SG;DEF,NDEF;SG,1880,1880,2,1,1,66
ady,1000,ERG;SG;DEF,NOM;PL,1998,1998,2,4,2,66
ady,1000,ERG;SG;DEF,NOM;SG,1998,1998,2,2,2,66
ady,1000,INS;PL;DEF,INS;PL;NDEF,1998,1998,4,1,1,66
ady,1000,INS;PL;DEF,INS;SG;DEF,1998,1998,4,2,1,66
ady,1000,INS;PL;DEF,INS;SG;NDEF,1998,1998,4,3,1,66
ady,1000,INS;PL;DEF,NDEF;SG,1880,1880,2,6,1,66
ady,1000,INS;PL;NDEF,INS;SG;DEF,1998,1998,4,3,2,66
ady,1000,INS;PL;NDEF,INS;SG;NDEF,1998,1998,4,2,1,66
ady,1000,INS;PL;NDEF,NDEF;SG,1880,1880,2,5,1,66
ady,1000,INS;SG;DEF,INS;SG;NDEF,1998,1998,4,1,1,66
ady,1000,INS;SG;DEF,NDEF;SG,1880,1880,2,4,1,66
ady,1000,INS;SG;NDEF,NDEF;SG,1880,1880,2,3,1,66
ady,1000,LGSPEC1;PL,ERG;SG;DEF,1912,1998,2,4.5,2,66
ady,1000,LGSPEC1;PL,INS;PL;DEF,1902,1998,3,7.5,2.5,66
ady,1000,LGSPEC1;PL,INS;PL;NDEF,1903,1998,3,6.5,2.5,66
ady,1000,LGSPEC1;PL,INS;SG;DEF,1904,1998,2,7.5,2,66
ady,1000,LGSPEC1;PL,INS;SG;NDEF,1908,1998,2,6.5,2,66
ady,1000,LGSPEC1;PL,LGSPEC1;SG,1655,1998,4,1.6666666666666667,1,66
ady,1000,LGSPEC1;PL,NDEF;SG,1803,1882,2.6666666666666665,3.3333333333333335,1.6666666666666667,66
ady,1000,LGSPEC1;PL,NOM;PL,1908,2000,3.3333333333333335,5,2.6666666666666665,66
ady,1000,LGSPEC1;PL,NOM;SG,1911,2000,2.6666666666666665,4,2,66
ady,1000,LGSPEC1;SG,INS;PL;DEF,1754,1998,2,8,2,66
ady,1000,LGSPEC1;SG,INS;PL;NDEF,1760,1998,2,7,2,66
ady,1000,LGSPEC1;SG,INS;SG;DEF,1752,1998,2,6,2,66
ady,1000,LGSPEC1;SG,INS;SG;NDEF,1755,1998,2,5,2,66
ady,1000,LGSPEC1;SG,NDEF;SG,1687,1880,2,2,1.5,66
ady,1000,NDEF;PL,ERG;PL;DEF,1880,1880,2,2,1,66
ady,1000,NDEF;PL,ERG;SG;DEF,1880,1880,2,3,2,66
