Lang_Script,PER,Sample_Size
OVERALL,0.16641933275711832,15249
aar_Latin,0.024390243902439025,100
abk_Cyrillic,0.5277777777777778,19
acw_Arabic,0.15051903114186851,100
afb_Arabic,0.28668941979522183,58
afr_Latin,0.09688013136288999,100
ajp_Arabic,0.16292134831460675,100
akk_Latin,0.0,60
ale_Latin,0.12195121951219512,11
amh_Ethiopic,0.291005291005291,37
ang_Latin,0.03419972640218878,100
aot_Latin,0.0379746835443038,18
ara_Arabic,0.1497659906396256,100
arc_Hebrew,0.21842496285289748,100
arg_Latin,0.0,29
ary_Arabic,0.16865079365079366,100
arz_Arabic,0.3764705882352941,18
asm_Bengali,0.0375,100
ast_Latin,0.004545454545454545,100
ayl_Arabic,0.3698630136986301,15
aze_Latin,0.12626262626262627,34
bak_Cyrillic,0.3170731707317073,14
ban_Balinese,0.09574468085106383,40
bar_Latin,0.19126819126819128,100
bbl_Georgian,0.21311475409836064,16
bbn_Latin,0.021739130434782608,19
bcl_Latin,0.014903129657228018,100
bdq_Latin,0.24324324324324326,19
ben_Bengali,0.13133208255159476,100
bjb_Latin,0.21333333333333335,13
bod_Tibetan,0.09745127436281859,100
bre_Latin,0.21573604060913706,73
bua_Cyrillic,0.36666666666666664,12
cat_Latin,0.3103448275862069,10
cbn_Thai,0.2033898305084746,15
ceb_Latin,0.02599388379204893,100
chb_Latin,0.08,10
che_Cyrillic,0.3333333333333333,16
cho_Latin,0.4482758620689655,10
chr_Cherokee,0.8444444444444444,10
cic_Latin,0.054945054945054944,28
ckb_Arabic,0.14285714285714285,28
cnk_Latin,0.1794871794871795,34
cop_Coptic,0.3111111111111111,56
cor_Latin,0.3220338983050847,13
cos_Latin,0.1724137931034483,45
crk_Latin,0.0547945205479452,10
crx_Canadian Aboriginal,0.9375,17
csb_Latin,0.03187250996015936,81
cym_Latin,0.030721966205837174,100
dan_Latin,0.19591141396933562,100
deu_Latin,0.06555423122765197,100
div_Thaana,0.15221579961464354,100
dlm_Latin,0.09,17
dng_Cyrillic,0.2857142857142857,23
dsb_Latin,0.022821576763485476,100
dum_Latin,0.14285714285714285,19
dzo_Tibetan,0.5760869565217391,20
egy_Latin,0.10044642857142858,100
ell_Greek,0.013349514563106795,100
eng_Latin,0.14182344428364688,100
enm_Latin,0.2012987012987013,100
epo_Latin,0.019583843329253364,100
est_Latin,0.03129890453834116,100
ett_Old Italic,0.1891891891891892,20
eus_Latin,0.02029769959404601,100
evn_Cyrillic,0.13846153846153847,11
ewe_Latin,0.3968253968253968,13
fao_Latin,0.1449016100178891,100
fas_Arabic,0.2911392405063291,41
fax_Latin,0.016129032258064516,53
fin_Latin,0.0019723865877712033,100
fra_Latin,0.011594202898550725,100
fro_Latin,0.17664670658682635,62
frr_Latin,0.11267605633802817,16
fry_Latin,0.10476190476190476,94
gla_Latin,0.2454728370221328,100
gle_Latin,0.20292887029288703,100
glg_Latin,0.052132701421800945,100
glv_Latin,0.3148148148148148,17
gml_Latin,0.24050632911392406,14
goh_Latin,0.203125,12
got_Gothic,0.02699055330634278,100
grc_Greek,0.012096774193548387,100
grn_Latin,0.11267605633802817,21
gsw_Latin,0.24074074074074073,42
guj_Gujarati,0.04961832061068702,100
gur_Latin,0.35,10
guw_Latin,0.32558139534883723,59
hat_Latin,0.02263374485596708,100
hau_Latin,0.2504145936981758,100
haw_Latin,0.03232323232323232,93
hbs_Cyrillic,0.07069408740359898,100
hbs_Latin,0.07142857142857142,100
heb_Hebrew,0.27090909090909093,100
hil_Latin,0.04854368932038835,32
hin_Devanagari,0.00333889816360601,100
hrx_Latin,0.04741379310344827,100
hsb_Latin,0.14285714285714285,35
hts_Latin,0.16363636363636364,32
hye_Armenian,0.011477761836441894,100
iba_Latin,0.11439114391143912,51
ido_Latin,0.0079155672823219,100
ilo_Latin,0.03736263736263736,72
ina_Latin,0.08173076923076923,29
