lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
ابتأس,اِبْتَأَسَ,V;3;SG;MASC;PST;PRF;IND;ACT,0.0,0.0,i b t a ʔ a s a
ابتأس,اِبْتَأَسَا,V;3;DU;MASC;PST;PRF;IND;ACT,0.0,0.0,i b t a ʔ a s aː
ابتأس,اِبْتَأَسْتُ,V;1;SG;PST;PRF;IND;ACT,0.0,0.0,i b t a ʔ a s t u
ابتأس,اِبْتَأَسْتِ,V;2;SG;FEM;PST;PRF;IND;ACT,0.0,0.0,i b t a ʔ a s t i
ابتأس,اِبْتَأَسْتَ,V;2;SG;MASC;PST;PRF;IND;ACT,0.0,0.0,i b t a ʔ a s t a
ابتأس,اِبْتَأَسَتْ,V;3;SG;FEM;PST;PRF;IND;ACT,0.0,0.0,i b t a ʔ a s a t
ابتأس,اِبْتَأَسَتَا,V;3;DU;FEM;PST;PRF;IND;ACT,0.0,0.0,i b t a ʔ a s a t aː
ابتأس,اِبْتَأَسْتُمْ,V;2;PL;MASC;PST;PRF;IND;ACT,0.0,0.0,i b t a ʔ a s t u m
ابتأس,اِبْتَأَسْتُمَا,V;2;DU;PST;PRF;IND;ACT,0.0,0.0,i b t a ʔ a s t u m aː
ابتأس,اِبْتَأَسْتُنَّ,V;2;PL;FEM;PST;PRF;IND;ACT,0.0,0.0,i b t a ʔ a s t u n a
ابتأس,اِبْتَأَسْنَ,V;3;PL;FEM;PST;PRF;IND;ACT,0.0,0.0,i b t a ʔ a s n a
ابتأس,اِبْتَأَسْنَا,V;1;PL;PST;PRF;IND;ACT,0.0,0.0,i b t a ʔ a s n aː
ابتأس,اِبْتَأَسُوا,V;3;PL;MASC;PST;PRF;IND;ACT,0.0,0.0,i b t a ʔ a s u w aː
ابتأس,اِبْتِئَاس,V;V.MSDR,0.0,0.0,i b t i ʔ aː s
ابتأس,أَبْتَئِسُ,V;1;SG;IPFV;IND;ACT,0.0,0.0,ʔ a b t a ʔ i s u
ابتأس,أَبْتَئِسْ,V;1;SG;LGSPEC1;ACT,0.0,0.0,ʔ a b t a ʔ i s
ابتأس,أَبْتَئِسَ,V;1;SG;SBJV;ACT,0.0,0.0,ʔ a b t a ʔ i s a
ابتأس,اِبْتَئِسْ,V;2;SG;MASC;IMP;ACT,0.0,0.0,i b t a ʔ i s a
ابتأس,اِبْتَئِسَا,V;2;DU;IMP;ACT,0.0,0.0,i b t a ʔ i s aː
ابتأس,اِبْتَئِسْنَ,V;2;PL;FEM;IMP;ACT,0.0,0.0,i b t a ʔ i s n a
ابتأس,اِبْتَئِسُو,V;2;PL;MASC;IMP;ACT,0.0,0.0,i b t a ʔ i s u w
ابتأس,اِبْتَئِسِي,V;2;SG;FEM;IMP;ACT,0.0,0.0,i b t a ʔ i s i j j
ابتأس,تَبْتَئِسُ,V;2;SG;MASC;IPFV;IND;ACT,0.0,0.0,t a b t a ʔ i s u
ابتأس,تَبْتَئِسْ,V;2;SG;MASC;LGSPEC1;ACT,0.0,0.0,t a b t a ʔ i s a
ابتأس,تَبْتَئِسَ,V;2;SG;MASC;SBJV;ACT,0.0,0.0,t a b t a ʔ i s a
ابتأس,تَبْتَئِسُ,V;3;SG;FEM;IPFV;IND;ACT,0.0,0.0,t a b t a ʔ i s u
ابتأس,تَبْتَئِسْ,V;3;SG;FEM;LGSPEC1;ACT,0.0,0.0,t a b t a ʔ i s a
ابتأس,تَبْتَئِسَ,V;3;SG;FEM;SBJV;ACT,0.0,0.0,t a b t a ʔ i s a
ابتأس,تَبْتَئِسَا,V;2;DU;LGSPEC1;ACT,0.0,0.0,t a b t a ʔ i s aː
ابتأس,تَبْتَئِسَا,V;2;DU;SBJV;ACT,0.0,0.0,t a b t a ʔ i s aː
ابتأس,تَبْتَئِسَا,V;3;DU;FEM;LGSPEC1;ACT,0.0,0.0,t a b t a ʔ i s aː
ابتأس,تَبْتَئِسَا,V;3;DU;FEM;SBJV;ACT,0.0,0.0,t a b t a ʔ i s aː
ابتأس,تَبْتَئِسَانِ,V;2;DU;IPFV;IND;ACT,0.0,0.0,t a b t a ʔ i s aː n i
