lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
كان,اَكُون,"V;IPFV;SG;1
",0.0,0.004876875,a k u w ə n
كان,تِكُون,"V;IPFV;MASC;SG;2
",0.0,0.004876875,t i k uː n
كان,تِكُون,"V;IPFV;FEM;SG;3
",0.0,0.004876875,t i k uː n
كان,تِكُونُوا,"V;IPFV;MASC;PL;2
",0.0,0.004876875,t i k u w n u w a
كان,تِكُونِي,"V;IPFV;FEM;SG;2
",0.0,0.004876875,t i k u w n i j
كان,كان,"V;PFV;MASC;SG;3
",0.07803,0.004876875,k aː n
كان,كانُوا,"V;PFV;MASC;PL;3
",0.0,0.004876875,k aː n u w aː
كان,كانِت,"V;PFV;FEM;SG;3
",0.0,0.004876875,k ɑː n i t
كان,كُنت,"V;PFV;SG;1
",0.0,0.004876875,k u n t
كان,كُنت,"V;PFV;MASC;SG;2
",0.0,0.004876875,k u n t
كان,كُنتُوا,"V;PFV;MASC;PL;2
",0.0,0.004876875,k u n t u w a
كان,كُنتِي,"V;PFV;FEM;SG;2
",0.0,0.004876875,k u n t i j
كان,كُنّا,"V;PFV;PL;1
",0.0,0.004876875,k u n ɑ
كان,نِكُون,"V;IPFV;PL;1
",0.0,0.004876875,n i k uː n
كان,يِكُون,"V;IPFV;MASC;SG;3
",0.0,0.004876875,j i k uː n
كان,يِكُونُوا,"V;IPFV;MASC;PL;3
",0.0,0.004876875,j i k u w n u w a
شاف,اَشُوف,"V;IPFV;SG;1
",0.0,1.7894736842105264e-05,ʃ u w f
شاف,تِشُوف,"V;IPFV;MASC;SG;2
",0.0,1.7894736842105264e-05,t i ʃ u w f
شاف,تِشُوف,"V;IPFV;FEM;SG;3
",0.0,1.7894736842105264e-05,t i ʃ u w f
شاف,تِشُوفُوا,"V;IPFV;MASC;PL;2
",0.0,1.7894736842105264e-05,t i ʃ u w f u w a
شاف,تِشُوفِي,"V;IPFV;FEM;SG;2
",0.0,1.7894736842105264e-05,t i ʃ u w f i j
شاف,شاف,"V;PFV;MASC;SG;3
",0.00034,1.7894736842105264e-05,ʃ aː f
شاف,شافُوا,"V;PFV;MASC;PL;3
",0.0,1.7894736842105264e-05,ʃ aː f u w aː
شاف,شافِت,"V;PFV;FEM;SG;3
",0.0,1.7894736842105264e-05,ʃ ɑː f i t
شاف,شُفت,"V;PFV;SG;1
",0.0,1.7894736842105264e-05,ʃ u f t
شاف,شُفت,"V;PFV;MASC;SG;2
",0.0,1.7894736842105264e-05,ʃ u f t
شاف,شُفتُوا,"V;PFV;MASC;PL;2
",0.0,1.7894736842105264e-05,ʃ u f t u w a
شاف,شُفتِي,"V;PFV;FEM;SG;2
",0.0,1.7894736842105264e-05,ʃ u f t i j
شاف,شُفنا,"V;PFV;PL;1
",0.0,1.7894736842105264e-05,ʃ u f n a
شاف,شُوف,"V;MASC;IMP;SG;2
",0.0,1.7894736842105264e-05,ʃ u w f
شاف,شُوفُوا,"V;MASC;IMP;PL;2
",0.0,1.7894736842105264e-05,ʃ u w f u w a
شاف,شُوفِي,"V;FEM;IMP;SG;2
",0.0,1.7894736842105264e-05,ʃ u w f i j
شاف,نِشُوف,"V;IPFV;PL;1
",0.0,1.7894736842105264e-05,n i ʃ uː f
شاف,يِشُوف,"V;IPFV;MASC;SG;3
",0.0,1.7894736842105264e-05,j i ʃ uː f
شاف,يِشُوفُوا,"V;IPFV;MASC;PL;3
",0.0,1.7894736842105264e-05,j i ʃ u w f u w a
سِمِع,اَسْمَع,"V;IPFV;SG;1
",0.0,0.0,ʔ a s m a ʕ
سِمِع,اِسْمَع,"V;MASC;IMP;SG;2
",0.0,0.0,i s m a ʕ
سِمِع,اِسْمَعُوا,"V;MASC;IMP;PL;2
",0.0,0.0,i s m a ʕ u w aː
سِمِع,اِسْمَعِي,"V;FEM;IMP;SG;2
",0.0,0.0,i s m a ʕ i j j
سِمِع,تِسْمَع,"V;IPFV;MASC;SG;2
",0.0,0.0,t i s m a ʕ
سِمِع,تِسْمَع,"V;IPFV;FEM;SG;3
",0.0,0.0,t i s m a ʕ
سِمِع,تِسْمَعُوا,"V;IPFV;MASC;PL;2
",0.0,0.0,t i s m a ʕ u w a
سِمِع,تِسْمَعِي,"V;IPFV;FEM;SG;2
",0.0,0.0,t i s m a ʕ i j j
سِمِع,سِمِع,"V;PFV;MASC;SG;3
",0.0,0.0,s i m i ʕ
سِمِع,سِمِعت,"V;PFV;SG;1
",0.0,0.0,s i m i ʕ t
سِمِع,سِمِعت,"V;PFV;MASC;SG;2
",0.0,0.0,s i m i ʕ t
سِمِع,سِمِعتُوا,"V;PFV;MASC;PL;2
",0.0,0.0,s i m i ʕ t u w a
سِمِع,سِمِعتِي,"V;PFV;FEM;SG;2
",0.0,0.0,s i m i ʕ t i j j
سِمِع,سِمِعنا,"V;PFV;PL;1
",0.0,0.0,s i m i ʕ n a
سِمِع,سِمْعُوا,"V;PFV;MASC;PL;3
",0.0,0.0,s i m ʕ u w a
سِمِع,سِمْعِت,"V;PFV;FEM;SG;3
",0.0,0.0,s i m ʕ i t
سِمِع,نِسْمَع,"V;IPFV;PL;1
",0.0,0.0,n i s m a ʕ
سِمِع,يِسْمَع,"V;IPFV;MASC;SG;3
",0.0,0.0,j i s m a ʕ
سِمِع,يِسْمَعُوا,"V;IPFV;MASC;PL;3
",0.0,0.0,j i s m a ʕ u w a
عَرَف,اَعْرَف,"V;IPFV;SG;1
",0.0,0.0,ʕ a ʕ r a f
عَرَف,اِعْرَف,"V;MASC;IMP;SG;2
",0.0,0.0,i ʕ r a f
عَرَف,اِعْرَفُوا,"V;MASC;IMP;PL;2
",0.0,0.0,i ʕ r a f u w aː
