lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
বিচৰা,বিচাৰ,"V;NFIN;POS
",0.00067,4.7976190476190494e-05,b i s a ɹ
বিচৰা,নিবিচাৰ,"V;NFIN;NEG
",0.0,4.7976190476190494e-05,n i b i s a ɹ
বিচৰা,বিচাৰিব,"V;NFIN;POS
",4e-05,4.7976190476190494e-05,b i s a ɹ i b
বিচৰা,নিবিচাৰিব,"V;NFIN;NEG
",0.0,4.7976190476190494e-05,n i b i s a ɹ i b
বিচৰা,বিচাৰিবলৈ,"V;POS;LGSPEC04
",0.00018,4.7976190476190494e-05,b i s a ɹ i b ɔ l o ɪ
বিচৰা,নিবিচাৰিবলৈ,"V;NEG;LGSPEC04
",0.0,4.7976190476190494e-05,n i b i s a ɹ i b ɔ l o ɪ
বিচৰা,বিচাৰোঁতা,"V;MASC;POS;FORM;LGSPEC05
",0.0,4.7976190476190494e-05,b i s a ɹ ʊ̃ t a
বিচৰা,নিবিচাৰোঁতা,"V;MASC;NEG;FORM;LGSPEC05
",0.0,4.7976190476190494e-05,n i b i s a ɹ ʊ̃ t a
বিচৰা,বিচাৰোঁতে,"V;POS;LGSPEC06
",1e-05,4.7976190476190494e-05,b i s a ɹ ʊ̃ t ɛ
বিচৰা,নিবিচাৰোঁতে,"V;NEG;LGSPEC06
",0.0,4.7976190476190494e-05,n i b i s a ɹ ʊ̃ t ɛ
বিচৰা,বিচাৰিলে,"V;COND;POS;FUT
",0.00017,4.7976190476190494e-05,b i s a ɹ i l ɛ
বিচৰা,নিবিচাৰিলে,"V;COND;NEG;FUT
",2e-05,4.7976190476190494e-05,n i b i s a ɹ i l ɛ
বিচৰা,বিচাৰোঁ,"V;INDF;IND;SG+PL;1;POS;PRS
",2e-05,4.7976190476190494e-05,b i s a ɹ ʊ̃
বিচৰা,বিচাৰ,"V;INDF;IND;SG+PL;2;POS;COL;PRS
",0.00067,4.7976190476190494e-05,b i s a ɹ
বিচৰা,বিচাৰা,"V;INDF;IND;SG+PL;2;POS;PRS;LGSPEC02
",0.0,4.7976190476190494e-05,b i s a ɹ a
বিচৰা,বিচাৰে,"V;INDF;IND;SG+PL;3;POS;PRS
",0.00068,4.7976190476190494e-05,b i s a ɹ ɛ
বিচৰা,নিবিচাৰোঁ,"V;INDF;IND;SG+PL;1;NEG;PRS
",0.0,4.7976190476190494e-05,n i b i s a ɹ ʊ̃
বিচৰা,নিবিচাৰ,"V;INDF;IND;SG+PL;2;NEG;COL;PRS
",0.0,4.7976190476190494e-05,n i b i s a ɹ
বিচৰা,নিবিচাৰা,"V;INDF;IND;SG+PL;2;NEG;PRS;LGSPEC02
",0.0,4.7976190476190494e-05,n i b i s a ɹ a
বিচৰা,নিবিচাৰে,"V;INDF;IND;SG+PL;3;NEG;PRS
",7e-05,4.7976190476190494e-05,n i b i s a ɹ ɛ
বিচৰা,বিচাৰিছোঁ,"V;IPFV;IND;SG+PL;1;POS;PRS
",0.0,4.7976190476190494e-05,b i s a ɹ i s ʊ̃
বিচৰা,বিচাৰিছ,"V;IPFV;IND;SG+PL;2;POS;COL;PRS
",0.0,4.7976190476190494e-05,b i s a ɹ i s
বিচৰা,বিচাৰিছা,"V;IPFV;IND;SG+PL;2;POS;PRS;LGSPEC02
",0.0,4.7976190476190494e-05,b i s a ɹ i s a
বিচৰা,বিচাৰিছে,"V;IPFV;IND;SG+PL;3;POS;PRS
",7e-05,4.7976190476190494e-05,b i s a ɹ i s ɛ
বিচৰা,বিচৰা নাই,"V;IPFV;IND;NEG;PRS
",0.0,4.7976190476190494e-05,b i s ɔ ɹ a n a ɪ
