lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
অনুবাদ করা,অনুবাদ করলো,V;2;PST;POL,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ l o
অনুবাদ করা,অনুবাদ করেছি,V;1;PRS;PRF,0.0,0.0,ɔ n u b a d̪ k o ɹ e t͡ʃʰ i
অনুবাদ করা,অনুবাদ করছিলো,V;2;PST;PROG;POL,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ t͡ʃʰ i l o
অনুবাদ করা,অনুবাদ করছিস,V;2;PRS;PROG;LGSPEC1,0.0,0.0,o n u b a d̪ k ɔ ɹ t͡ʃʰ i ʃ
অনুবাদ করা,অনুবাদ করলে,V;3;PST;INFM,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ l e
অনুবাদ করা,অনুবাদ করতেকরতে,V;V.PTCP;PROG,0.0,0.0,ɔ n u b a d̪ o k o ɹ t̪ e k ɔ r o t̪ e
অনুবাদ করা,অনুবাদ করলেন,V;3;PST;POL,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ l e n
অনুবাদ করা,অনুবাদ করেছেন,V;3;PRS;PRF;POL,0.0,0.0,ɔ n u b a d̪ k o ɹ e t͡ʃʰ e n
অনুবাদ করা,অনুবাদ করবে,V;3;FUT;INFM,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ b e
অনুবাদ করা,অনুবাদ করলি,V;2;PST;LGSPEC1,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ o l i
অনুবাদ করা,অনুবাদ করেকরে,V;V.PTCP;HAB,0.0,0.0,ɔ n u b a d̪ k o ɹ e k ɔ ɹ e
অনুবাদ করা,অনুবাদ করেছিলেন,V;3;PST;PRF;POL,0.0,0.0,ɔ n u b a d̪ k o ɹ e t͡ʃʰ i l e n
অনুবাদ করা,অনুবাদ করো,V;3;PRS;INFM,0.0,0.0,ɔ n u b a d̪ k o ɹ o
অনুবাদ করা,অনুবাদ করেছিস,V;2;PRS;PRF;LGSPEC1,0.0,0.0,ɔ n u b a d̪ k o ɹ e t͡ʃʰ i ʃ
অনুবাদ করা,অনুবাদ করছিলেন,V;3;PST;PROG;POL,0.0,0.0,ɔ n u b a d̪ o k o ɹ t͡ʃʰ i l e n
অনুবাদ করা,অনুবাদ করছেন,V;3;PRS;PROG;POL,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ t͡ʃʰ e n
অনুবাদ করা,অনুবাদ করতে,V;3;PST;HAB;INFM,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ o t̪ e
অনুবাদ করা,অনুবাদ করবি,V;2;FUT;LGSPEC1,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ o b i
অনুবাদ করা,অনুবাদ করছিলাম,V;1;PST;PROG,0.0,0.0,ɔ n u b a d̪ o k o ɹ t͡ʃʰ i l a m
অনুবাদ করা,অনুবাদ করছি,V;1;PRS;PROG,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ o t͡ʃʰ i
অনুবাদ করা,অনুবাদ করেছিলো,V;2;PST;PRF;POL,0.0,0.0,ɔ n u b a d̪ k o ɹ e t͡ʃʰ i l o
অনুবাদ করা,অনুবাদ করে,V;V.PTCP;PRF,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ e
অনুবাদ করা,অনুবাদ করতে,V;V.NFIN,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ o t̪ e
অনুবাদ করা,অনুবাদ করেছো,V;3;PRS;PRF;INFM,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ e t͡ʃʰ o
অনুবাদ করা,অনুবাদ করবেন,V;3;FUT;POL,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ b e n
অনুবাদ করা,অনুবাদ করছে,V;2;PRS;PROG;POL,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ o t͡ʃʰ e
অনুবাদ করা,অনুবাদ করে,V;2;PRS;POL,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ e
অনুবাদ করা,অনুবাদ করতো,V;2;PST;HAB;POL,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ o t̪ o
অনুবাদ করা,অনুবাদ করেছিলে,V;3;PST;PRF;INFM,0.0,0.0,ɔ n u b a d̪ k o ɹ e t͡ʃʰ i l e
অনুবাদ করা,অনুবাদ করবো,V;1;FUT,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ o b o
অনুবাদ করা,অনুবাদ করতিস,V;2;PST;HAB;LGSPEC1,0.0,0.0,o n u b a d̪ k ɔ ɹ o t̪ i ʃ
অনুবাদ করা,অনুবাদ করি,V;1;PRS,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ i
অনুবাদ করা,অনুবাদ করছিলি,V;2;PST;PROG;LGSPEC1,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ t͡ʃʰ i l i
অনুবাদ করা,অনুবাদ করবে,V;2;FUT;POL,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ b e
অনুবাদ করা,অনুবাদ করা,V;V.MSDR,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ a
অনুবাদ করা,অনুবাদ করলাম,V;1;PST,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ l a m
অনুবাদ করা,অনুবাদ করেন,V;3;PRS;POL,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ e n
অনুবাদ করা,অনুবাদ করতেন,V;3;PST;HAB;POL,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ t̪ e n
অনুবাদ করা,অনুবাদ করেছিলি,V;2;PST;PRF;LGSPEC1,0.0,0.0,o n u b a d̪ k o ɹ e t͡ʃʰ i l i
অনুবাদ করা,অনুবাদ করলে,V;V.PTCP;COND,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ l e
অনুবাদ করা,অনুবাদ করছো,V;3;PRS;PROG;INFM,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ o t͡ʃʰ o
অনুবাদ করা,অনুবাদ করতাম,V;1;PST;HAB,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ t̪ a m
অনুবাদ করা,অনুবাদ করেছে,V;2;PRS;PRF;POL,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ e t͡ʃʰ e
অনুবাদ করা,অনুবাদ করছিলে,V;3;PST;PROG;INFM,0.0,0.0,ɔ n u b a d̪ k ɔ ɹ t͡ʃʰ i l e
অনুবাদ করা,অনুবাদ করেছিলাম,V;1;PST;PRF,0.0,0.0,ɔ n u b a d̪ k o ɹ e t͡ʃʰ i l a m
অনুবাদ করা,অনুবাদ করিস,V;2;PRS;LGSPEC1,0.0,0.0,o n u b a d̪ k ɔ ɹ i ʃ
অনুভব করা,অনুভব করলো,V;2;PST;POL,0.0,0.0,ɔ n u bʱ o b o k o ɹ o
অনুভব করা,অনুভব করেছি,V;1;PRS;PRF,0.0,0.0,o n u bʱ o b o k o ɹ e t͡ʃʰ i
অনুভব করা,অনুভব করছিলো,V;2;PST;PROG;POL,0.0,0.0,o n u bʱ o b o k o ɹ t͡ʃʰ i l o
অনুভব করা,অনুভব করছিস,V;2;PRS;PROG;LGSPEC1,0.0,0.0,o n u bʱ o b o k o ɹ t͡ʃʰ i ʃ
অনুভব করা,অনুভব করলে,V;3;PST;INFM,0.0,0.0,ɔ n u bʱ o b o k o ɹ l e
অনুভব করা,অনুভব করতেকরতে,V;V.PTCP;PROG,0.0,0.0,ɔ n u bʱ o b o k o ɹ t̪ e k ɔ r o t̪ e
অনুভব করা,অনুভব করলেন,V;3;PST;POL,0.0,0.0,ɔ n u bʱ o b o k o ɹ l e n
অনুভব করা,অনুভব করেছেন,V;3;PRS;PRF;POL,0.0,0.0,ɔ n u bʱ o b o k o ɹ e t͡ʃʰ e n
অনুভব করা,অনুভব করবে,V;3;FUT;INFM,0.0,0.0,ɔ n u bʱ o b o k o ɹ b e
অনুভব করা,অনুভব করলি,V;2;PST;LGSPEC1,0.0,0.0,o n u bʱ o b o k o r o l i
অনুভব করা,অনুভব করেকরে,V;V.PTCP;HAB,0.0,0.0,ɔ n u bʱ o b o k o ɹ e k ɔ ɹ e
অনুভব করা,অনুভব করেছিলেন,V;3;PST;PRF;POL,0.0,0.0,o n u bʱ o b o k o ɹ e t͡ʃʰ i l e n
অনুভব করা,অনুভব করো,V;3;PRS;INFM,0.0,0.0,ɔ n u bʱ o b o k o ɹ o
অনুভব করা,অনুভব করেছিস,V;2;PRS;PRF;LGSPEC1,0.0,0.0,o n u bʱ o b o k o ɹ e t͡ʃʰ i ʃ
অনুভব করা,অনুভব করছিলেন,V;3;PST;PROG;POL,0.0,0.0,ɔ n u bʱ o b o k o ɹ t͡ʃʰ i l e n
অনুভব করা,অনুভব করছেন,V;3;PRS;PROG;POL,0.0,0.0,ɔ n u bʱ o b o k o ɹ o t͡ʃʰ e n
অনুভব করা,অনুভব করতে,V;3;PST;HAB;INFM,0.0,0.0,ɔ n u bʱ o b o k o ɹ o t̪ e
অনুভব করা,অনুভব করবি,V;2;FUT;LGSPEC1,0.0,0.0,o n u bʱ o b o k o r o b i
অনুভব করা,অনুভব করছিলাম,V;1;PST;PROG,0.0,0.0,o n u bʱ o b o k o ɹ t͡ʃʰ i l a m
অনুভব করা,অনুভব করছি,V;1;PRS;PROG,0.0,0.0,o n u bʱ o b o k o ɹ o t͡ʃʰ i
অনুভব করা,অনুভব করেছিলো,V;2;PST;PRF;POL,0.0,0.0,o n u bʱ o b o k o ɹ e t͡ʃʰ i l o
অনুভব করা,অনুভব করে,V;V.PTCP;PRF,0.0,0.0,ɔ n u bʱ o b o k o ɹ e
অনুভব করা,অনুভব করতে,V;V.NFIN,0.0,0.0,ɔ n u bʱ o b o k o ɹ o t̪ e
অনুভব করা,অনুভব করেছো,V;3;PRS;PRF;INFM,0.0,0.0,ɔ n u bʱ o b o k o ɹ e t͡ʃʰ o
অনুভব করা,অনুভব করবেন,V;3;FUT;POL,0.0,0.0,ɔ n u bʱ o b o k o ɹ b e n
অনুভব করা,অনুভব করছে,V;2;PRS;PROG;POL,0.0,0.0,ɔ n u bʱ o b o k o ɹ o t͡ʃʰ e
অনুভব করা,অনুভব করে,V;2;PRS;POL,0.0,0.0,ɔ n u bʱ o b o k o ɹ e
অনুভব করা,অনুভব করতো,V;2;PST;HAB;POL,0.0,0.0,ɔ n u bʱ o b o k o ɹ o t̪ o
অনুভব করা,অনুভব করেছিলে,V;3;PST;PRF;INFM,0.0,0.0,o n u bʱ o b o k o ɹ e t͡ʃʰ i l e
অনুভব করা,অনুভব করবো,V;1;FUT,0.0,0.0,ɔ n u bʱ o b o k o ɹ o b o
অনুভব করা,অনুভব করতিস,V;2;PST;HAB;LGSPEC1,0.0,0.0,o n u bʱ o b o k o ɹ o t̪ i ʃ
অনুভব করা,অনুভব করি,V;1;PRS,0.0,0.0,o n u bʱ o b o k o ɹ i
অনুভব করা,অনুভব করছিলি,V;2;PST;PROG;LGSPEC1,0.0,0.0,o n u bʱ o b o k o ɹ t͡ʃʰ i l i
অনুভব করা,অনুভব করবে,V;2;FUT;POL,0.0,0.0,ɔ n u bʱ o b o k o ɹ b e
অনুভব করা,অনুভব করা,V;V.MSDR,0.0,0.0,ɔ n u bʱ o b o k ɔ ɹ a
অনুভব করা,অনুভব করলাম,V;1;PST,0.0,0.0,ɔ n u bʱ o b o k o ɹ l a m
অনুভব করা,অনুভব করেন,V;3;PRS;POL,0.0,0.0,ɔ n u bʱ o b o k ɔ ɹ e n
অনুভব করা,অনুভব করতেন,V;3;PST;HAB;POL,0.0,0.0,ɔ n u bʱ o b o k o ɹ t̪ e n
অনুভব করা,অনুভব করেছিলি,V;2;PST;PRF;LGSPEC1,0.0,0.0,o n u bʱ o b o k o ɹ e t͡ʃʰ i l i
