lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
modawat,modawat,"V;NFIN
",0.0016,0.0018916666666666,m o d a w a t
modawat,gidawat,"V;PRS
",0.0018,0.0018916666666666,ɡ i d a w a t
modawat,ningdawat,"V;PROG;PRS
",0.0,0.0018916666666666,n i ŋ d a w a t
modawat,nidawat,"V;PST
",0.0,0.0018916666666666,n i d a w a t
modawat,modawat,"V;FUT
",0.0016,0.0018916666666666,m o d a w a t
modawat,nadawat,"V;PRF;PST
",0.0048,0.0018916666666666,n a d a w a t
moangkon,moangkon,"V;NFIN
",0.0005,0.0006833333333333,m o ʔ a ŋ k o n
moangkon,nagangkon,"V;PRS
",0.0,0.0006833333333333,n a ɡ a ŋ k o n
moangkon,ningangkon,"V;PROG;PRS
",0.0,0.0006833333333333,n i ŋ a ŋ k o n
moangkon,niangkon,"V;PST
",0.001,0.0006833333333333,n i ʔ a ŋ k o n
moangkon,moangkon,"V;FUT
",0.0005,0.0006833333333333,m o ʔ a ŋ k o n
moangkon,naangkon,"V;PRF;PST
",0.0021,0.0006833333333333,n a ʔ a ŋ k o n
motubag,motubag,"V;NFIN
",0.0005,0.0002,m o t u b a ɡ
motubag,nagtubag,"V;PRS
",0.0,0.0002,n a ɡ t u b a ɡ
motubag,ningtubag,"V;PROG;PRS
",0.0,0.0002,n i ŋ t u b a ɡ
motubag,nitubag,"V;PST
",0.0002,0.0002,n i t u b a ɡ
motubag,motubag,"V;FUT
",0.0005,0.0002,m o t u b a ɡ
motubag,natubag,"V;PRF;PST
",0.0,0.0002,n a t u b a ɡ
mopakita,mopakita,"V;NFIN
",0.0,0.0004333333333333,m o p a k i t a
mopakita,nagpakita,"V;PRS
",0.0021,0.0004333333333333,n a ɡ p a k i t a
mopakita,ningpakita,"V;PROG;PRS
",0.0,0.0004333333333333,n i ŋ p a k i t a
mopakita,nipakita,"V;PST
",0.0002,0.0004333333333333,n i p a k i t a
mopakita,mopakita,"V;FUT
",0.0,0.0004333333333333,m o p a k i t a
mopakita,napakita,"V;PRF;PST
",0.0003,0.0004333333333333,n a p a k i t a
mangutana,mangutana,"V;NFIN
",0.0002,0.0003166666666666,m a ŋ u t a n a
mangutana,nangutana,"V;PRS
",0.0007,0.0003166666666666,n a ŋ u t a n a
mangutana,nagpangutana,"V;PROG;PRS
",0.0001,0.0003166666666666,n a ɡ p a ŋ u t a n a
mangutana,nangutana,"V;PST
",0.0007,0.0003166666666666,n a ŋ u t a n a
mangutana,mangutana,"V;FUT
",0.0002,0.0003166666666666,m a ŋ u t a n a
mangutana,napangutana,"V;PRF;PST
",0.0,0.0003166666666666,n a p a ŋ u t a n a
mosugod,mosugod,"V;NFIN
",0.0004,0.0006166666666666,m o s u ɡ o d
mosugod,nagsugod,"V;PRS
",0.0027,0.0006166666666666,n a ɡ s u ɡ o d
mosugod,ningsugod,"V;PROG;PRS
",0.0,0.0006166666666666,n i ŋ s u ɡ o d
mosugod,nisugod,"V;PST
",0.0,0.0006166666666666,n i s u ɡ o d
mosugod,mosugod,"V;FUT
",0.0004,0.0006166666666666,m o s u ɡ o d
mosugod,nasugod,"V;PRF;PST
",0.0,0.0006166666666666,n a s u ɡ o d
mobuak,mobuak,"V;NFIN
",0.0,3.3333333333333335e-05,m o b u ʔ a k
mobuak,nagbuak,"V;PRS
",0.0,3.3333333333333335e-05,n a ɡ b u ʔ a k
mobuak,ningbuak,"V;PROG;PRS
",0.0,3.3333333333333335e-05,n i ŋ b u ʔ a k
mobuak,nibuak,"V;PST
",0.0,3.3333333333333335e-05,n i b u ʔ a k
mobuak,mobuak,"V;FUT
",0.0,3.3333333333333335e-05,m o b u ʔ a k
mobuak,nabuak,"V;PRF;PST
",0.0002,3.3333333333333335e-05,n a b u ʔ a k
mopalit,mopalit,"V;NFIN
",0.0012,0.0004333333333333,m o p a l i t
mopalit,nagpalit,"V;PRS
",0.0,0.0004333333333333,n a ɡ p a l i t
mopalit,ningpalit,"V;PROG;PRS
",0.0,0.0004333333333333,n i ŋ p a l i t
mopalit,nipalit,"V;PST
",0.0001,0.0004333333333333,n i p a l i t
mopalit,mopalit,"V;FUT
",0.0012,0.0004333333333333,m o p a l i t
mopalit,nakapalit,"V;PRF;PST
",0.0001,0.0004333333333333,n a k a p a l i t
motawag,motawag,"V;NFIN
",0.0001,0.0001,m o t a w a ɡ
motawag,nagtawag,"V;PRS
",0.0001,0.0001,n a ɡ t a w a ɡ
motawag,ningtawag,"V;PROG;PRS
",0.0,0.0001,n i ŋ t a w a ɡ
motawag,nitawag,"V;PST
",0.0003,0.0001,n i t a w a ɡ
motawag,motawag,"V;FUT
",0.0001,0.0001,m o t a w a ɡ
motawag,natawag,"V;PRF;PST
",0.0,0.0001,n a t a w a ɡ
mohimo,mohimo,"V;NFIN
",0.0017,0.0007,m o h i m o
mohimo,kaya,"V;PRS
",0.0011,0.0007,k a j a
mohimo,kaya,"V;PROG;PRS
",0.0011,0.0007,k a j a
mohimo,nakaya,"V;PST
",0.0,0.0007,n a k a j a
mohimo,makaya,"V;FUT
",0.0003,0.0007,m a k a j a
mohimo,nakaya,"V;PRF;PST
",0.0,0.0007,n a k a j a
mopili,mopili,"V;NFIN
",0.0005,0.0002,m o p i l i
mopili,nagpili,"V;PRS
",0.0,0.0002,n a ɡ p i l i
mopili,ningpili,"V;PROG;PRS
",0.0,0.0002,n i ŋ p i l i
mopili,nipili,"V;PST
",0.0002,0.0002,n i p i l i
mopili,mopili,"V;FUT
",0.0005,0.0002,m o p i l i
mopili,nakapili,"V;PRF;PST
",0.0,0.0002,n a k a p i l i
magluto,magluto,"V;NFIN
",0.0,5e-05,m a ɡ l u t o
magluto,nagluto,"V;PRS
",0.0001,5e-05,n a ɡ l u t o
magluto,nagluto,"V;PROG;PRS
",0.0001,5e-05,n a ɡ l u t o
magluto,nagluto,"V;PST
",0.0001,5e-05,n a ɡ l u t o
magluto,magluto,"V;FUT
",0.0,5e-05,m a ɡ l u t o
magluto,nakaluto,"V;PRF;PST
",0.0,5e-05,n a k a l u t o
mosayaw,mosayaw,"V;NFIN
",0.0,3.3333333333333335e-05,m o s a j a w
mosayaw,nagsayaw,"V;PRS
",0.0001,3.3333333333333335e-05,n a ɡ s a j a w
mosayaw,ningsayaw,"V;PROG;PRS
",0.0,3.3333333333333335e-05,n i ŋ s a j a w
mosayaw,nisayaw,"V;PST
",0.0001,3.3333333333333335e-05,n i s a j a w
mosayaw,mosayaw,"V;FUT
",0.0,3.3333333333333335e-05,m o s a j a w
mosayaw,nakasayaw,"V;PRF;PST
",0.0,3.3333333333333335e-05,n a k a s a j a w
mamatay,mamatay,"V;NFIN
",0.0017,0.0045666666666666,m a m a t a j
mamatay,namatay,"V;PRS
",0.006,0.0045666666666666,n a m a t a j
mamatay,namatay,"V;PROG;PRS
",0.006,0.0045666666666666,n a m a t a j
mamatay,namatay,"V;PST
",0.006,0.0045666666666666,n a m a t a j
mamatay,mamatay,"V;FUT
",0.0017,0.0045666666666666,m a m a t a j
mamatay,namatay,"V;PRF;PST
",0.006,0.0045666666666666,n a m a t a j
mobuhat,mobuhat,"V;NFIN
",0.0001,0.0002833333333333,m o b u h a t
mobuhat,nagbuhat,"V;PRS
",0.0004,0.0002833333333333,n a ɡ b u h a t
mobuhat,ningbuhat,"V;PROG;PRS
",0.0,0.0002833333333333,n i ŋ b u h a t
mobuhat,nibuhat,"V;PST
",0.0,0.0002833333333333,n i b u h a t
mobuhat,mobuhat,"V;FUT
",0.0001,0.0002833333333333,m o b u h a t
mobuhat,nabuhat,"V;PRF;PST
",0.0011,0.0002833333333333,n a b u h a t
moinom,moinom,"V;NFIN
",0.0006,0.0002166666666666,m o ʔ i n o m
moinom,naginom,"V;PRS
",0.0001,0.0002166666666666,n a ɡ i n o m
moinom,ninginom,"V;PROG;PRS
",0.0,0.0002166666666666,n i ŋ i n o m
moinom,ni-inom,"V;PST
",0.0,0.0002166666666666,n i ʔ i n o m
moinom,moinom,"V;FUT
",0.0006,0.0002166666666666,m o ʔ i n o m
moinom,nainom,"V;PRF;PST
",0.0,0.0002166666666666,n a ʔ i n o m
momaneho,momaneho,"V;NFIN
",0.0,0.0001,m o m a n e h o
momaneho,nagmaneho,"V;PRS
",0.0006,0.0001,n a ɡ m a n e h o
momaneho,ningmaneho,"V;PROG;PRS
",0.0,0.0001,n i ŋ m a n e h o
momaneho,nimaneho,"V;PST
",0.0,0.0001,n i m a n e h o
momaneho,momaneho,"V;FUT
",0.0,0.0001,m o m a n e h o
momaneho,namaneho,"V;PRF;PST
",0.0,0.0001,n a m a n e h o
