lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
agor,agoraf,V;LIT;1;SG;IND;PRS,0.0,0.0001266666666666,a ɡ oː r a
agor,agorai fo,V;COL;3;SG;IND;IPFV,0.0,0.0001266666666666,a ɡ oː r a i̯ v ɔ
agor,agorais i,V;COL;1;SG;IND;PST,0.0,0.0001266666666666,a ɡ oː r a i̯ s i
agor,agoraist ti,V;COL;2;SG;IND;PST,0.0,0.0001266666666666,a ɡ oː r a i̯ s d ɛ t i
agor,agoraist,V;LIT;2;SG;IND;PST,0.0,0.0001266666666666,a ɡ oː r a i̯ s d
agor,agorais,V;LIT;1;SG;IND;PST,0.0,0.0001266666666666,a ɡ oː r a i̯ s
agor,agora i,V;COL;1;SG;IND;PRS,0.0,0.0001266666666666,a ɡ oː r a i̯
agor,agorai,V;LIT;3;SG;IND;IPFV,0.0,0.0001266666666666,a ɡ oː r a i̯
agor,agoran nhw,V;COL;3;PL;IND;PRS,0.0,0.0001266666666666,a ɡ oː r a n n̥ uː
agor,agorant,V;LIT;3;PL;IND;PRS,0.0,0.0001266666666666,a ɡ oː r a n t
agor,agorasai,V;LIT;3;SG;IND;PST;PFV,0.0,0.0001266666666666,a ɡ ɔ r a s a i̯
agor,agorasant,V;LIT;3;PL;IND;PST,0.0,0.0001266666666666,a ɡ ɔ r a s a n t
agor,agorasech,V;LIT;2;PL;IND;PST;PFV,0.0,0.0001266666666666,a ɡ ɔ r a s ɛ χ
agor,agorasem,V;LIT;1;PL;IND;PST;PFV,0.0,0.0001266666666666,a ɡ ɔ r a s ɛ m
agor,agorasent,V;LIT;3;PL;IND;PST;PFV,0.0,0.0001266666666666,a ɡ ɔ r a s ɛ n t
agor,agorasid,V;LIT;4;IND;PST;PFV,0.0,0.0001266666666666,a ɡ ɔ r a s ɪ d
agor,agorasit,V;LIT;2;SG;IND;PST;PFV,0.0,0.0001266666666666,a ɡ ɔ r a s ɪ t
agor,agorasoch,V;LIT;2;PL;IND;PST,0.0,0.0001266666666666,a ɡ ɔ r a s ɔ χ
agor,agorasom,V;LIT;1;PL;IND;PST,0.0,0.0001266666666666,a ɡ ɔ r a s ɔ m
agor,agoraswn,V;LIT;1;SG;IND;PST;PFV,0.0,0.0001266666666666,a ɡ ɔ r a s ʊ n
agor,agora,V;COL;2;SG;IMP,1e-05,0.0001266666666666,a ɡ oː r a
agor,agorech chi,V;COL;2;PL;IND;IPFV,0.0,0.0001266666666666,a ɡ oː r ɛ χ ə χ i
agor,agorech,V;LIT;2;PL;IND;IPFV,0.0,0.0001266666666666,a ɡ oː r ɛ χ
agor,agoredig,V;V.PTCP,0.0,0.0001266666666666,a ɡ ɔ r eː d ɪ ɡ
agor,agored,V;LIT;3;SG;IMP,0.00255,0.0001266666666666,a ɡ oː r ɛ d
agor,agorem,V;LIT;1;PL;IND;IPFV,0.0,0.0001266666666666,a ɡ oː r ɛ m
agor,agoren nhw,V;COL;3;PL;IND;IPFV,0.0,0.0001266666666666,a ɡ oː r ɛ n n̥ uː
agor,agoren ni,V;COL;1;PL;IND;IPFV,0.0,0.0001266666666666,a ɡ oː r ɛ n n i
agor,agorent,V;LIT;3;PL;IMP,0.0,0.0001266666666666,a ɡ oː r ɛ n t
agor,agorent,V;LIT;3;PL;IND;IPFV,0.0,0.0001266666666666,a ɡ oː r ɛ n t
agor,agorer,V;LIT;4;IMP,0.0,0.0001266666666666,a ɡ oː r ɛ r
agor,agorer,V;LIT;4;SBJV,0.0,0.0001266666666666,a ɡ oː r ɛ r
