lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
ægte,ægtedes,V;PASS;IND;PST,0.0,0.0001488333333333,ɛ ɡ t ə ð ə s
ægte,ægtede,V;ACT;IND;PST,7e-06,0.0001488333333333,ɛ ɡ t ə ð ə
ægte,ægter,V;ACT;IND;PRS,1.8e-05,0.0001488333333333,ɛ ɡ t ə r
ægte,ægtes,V;PASS;IND;PRS,0.0,0.0001488333333333,ɛ k t ə s
ægte,ægte,V;ACT;NFIN,0.000865,0.0001488333333333,ɛ k t ə
ægte,ægt,V;ACT;IMP,3e-06,0.0001488333333333,ɛ k t
ælte,æltedes,V;PASS;IND;PST,0.0,1.716666666666667e-05,ɛ l t ə ð ə s
ælte,æltede,V;ACT;IND;PST,6e-06,1.716666666666667e-05,ɛ l t ə ð ə
ælte,ælter,V;ACT;IND;PRS,1e-05,1.716666666666667e-05,ɛ l t ə r
ælte,æltes,V;PASS;IND;PRS,3.4e-05,1.716666666666667e-05,ɛ l t ə s
ælte,ælte,V;ACT;NFIN,2.5e-05,1.716666666666667e-05,ɛ l t ə
ælte,ælt,V;ACT;IMP,2.8e-05,1.716666666666667e-05,ɛ l t
ændre,ændredes,V;PASS;IND;PST,2.4e-05,0.0005498333333333,ɛ n r ə ð ə s
ændre,ændrede,V;ACT;IND;PST,0.000411,0.0005498333333333,ɛ n r ə ð ə
ændre,ændrer,V;ACT;IND;PRS,0.000647,0.0005498333333333,ɛ n d r ə r
ændre,ændres,V;PASS;IND;PRS,0.000654,0.0005498333333333,ɛ n d r ə s
ændre,ændre,V;ACT;NFIN,0.001563,0.0005498333333333,ɛ n d r ə
ændre,ændr,V;ACT;IMP,0.0,0.0005498333333333,ɛ n r
afsløre,afsløredes,V;PASS;IND;PST,2e-06,0.0001023333333333,a v s l øː r ə ð ə s
afsløre,afslørede,V;ACT;IND;PST,0.000104,0.0001023333333333,a v s l øː r ə ð ə
afsløre,afslører,V;ACT;IND;PRS,0.000267,0.0001023333333333,a v s l øː r ə r
afsløre,afsløres,V;PASS;IND;PRS,5.9e-05,0.0001023333333333,a v s l øː r ə s
afsløre,afsløre,V;ACT;NFIN,0.000181,0.0001023333333333,a v s l øː r ə
afsløre,afslør,V;ACT;IMP,1e-06,0.0001023333333333,a v s l øːˀ r
argumentere,argumenteredes,V;PASS;IND;PST,0.0,6.516666666666666e-05,a r ɡ u m ɛ n t eː r ə ð ə s
argumentere,argumenterede,V;ACT;IND;PST,2e-05,6.516666666666666e-05,a r ɡ u m ɛ n t eː r ə ð ə
argumentere,argumenterer,V;ACT;IND;PRS,5.4e-05,6.516666666666666e-05,a r ɡ u m ɛ n t eː r ə r
argumentere,argumenteres,V;PASS;IND;PRS,1.5e-05,6.516666666666666e-05,a r ɡ u m ɛ n t eː r ə s
argumentere,argumentere,V;ACT;NFIN,0.000107,6.516666666666666e-05,a r ɡ u m ɛ n t eː r ə
argumentere,argumenter,V;ACT;IMP,0.000195,6.516666666666666e-05,a r ɡ u m ɛ n t ə r
arrangere,arrangeredes,V;PASS;IND;PST,2e-06,0.0001388333333333,a r a n ɡ eː r ə ð ə s
arrangere,arrangerede,V;ACT;IND;PST,7.5e-05,0.0001388333333333,a r a n ɡ eː r eː ð ə
arrangere,arrangerer,V;ACT;IND;PRS,0.000299,0.0001388333333333,a r a n ɡ eː r ə r
arrangere,arrangeres,V;PASS;IND;PRS,0.000174,0.0001388333333333,a r a n ɡ eː r ə s
arrangere,arrangere,V;ACT;NFIN,0.000279,0.0001388333333333,a r a n ɡ eː r ə
arrangere,arranger,V;ACT;IMP,4e-06,0.0001388333333333,a r a n ɡ ə r
belaste,belastedes,V;PASS;IND;PST,0.0,3.0333333333333333e-05,b e l a s t ə ð ə s
