lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
lassen,lassen,V;NFIN,0.000979,0.0003016071428571,l a s n̩
lassen,lasse,V;IND;SG;1;PRS,9.9e-05,0.0003016071428571,l a s ə
lassen,lassen,V;IND;PL;1;PRS,0.000979,0.0003016071428571,l a s n̩
lassen,lasse,V;SBJV;SG;1;PRS,9.9e-05,0.0003016071428571,l a s ə
lassen,lassen,V;SBJV;PL;1;PRS,0.000979,0.0003016071428571,l a s n̩
lassen,lässt,V;IND;SG;2;PRS,0.000756,0.0003016071428571,l ɛ s t
lassen,lasst,V;IND;PL;2;PRS,9e-06,0.0003016071428571,l a s t
lassen,lassest,V;SBJV;SG;2;PRS,0.0,0.0003016071428571,l a s ə s t
lassen,lasset,V;SBJV;PL;2;PRS,0.0,0.0003016071428571,l a s ə t
lassen,lässt,V;IND;SG;3;PRS,0.000756,0.0003016071428571,l ɛ s t
lassen,lassen,V;IND;PL;3;PRS,0.000979,0.0003016071428571,l a s n̩
lassen,lasse,V;SBJV;SG;3;PRS,9.9e-05,0.0003016071428571,l a s ə
lassen,lassen,V;SBJV;PL;3;PRS,0.000979,0.0003016071428571,l a s n̩
lassen,ließ,V;IND;SG;1;PST,0.000369,0.0003016071428571,l iː s
lassen,ließen,V;IND;PL;1;PST,0.000198,0.0003016071428571,l iː s n̩
lassen,ließe,V;SBJV;SG;1;PST,4.4e-05,0.0003016071428571,l iː s ə
lassen,ließen,V;SBJV;PL;1;PST,0.000198,0.0003016071428571,l iː s n̩
lassen,ließt,V;IND;SG;2;PST,3e-06,0.0003016071428571,l iː s t
lassen,ließt,V;IND;PL;2;PST,3e-06,0.0003016071428571,l iː s t
lassen,ließest,V;SBJV;SG;2;PST,0.0,0.0003016071428571,l iː s ə s t
lassen,ließet,V;SBJV;PL;2;PST,0.0,0.0003016071428571,l iː s ə t
lassen,ließ,V;IND;SG;3;PST,0.000369,0.0003016071428571,l iː s
lassen,ließen,V;IND;PL;3;PST,0.000198,0.0003016071428571,l iː s n̩
lassen,ließe,V;SBJV;SG;3;PST,4.4e-05,0.0003016071428571,l iː s ə
lassen,ließen,V;SBJV;PL;3;PST,0.000198,0.0003016071428571,l iː s n̩
lassen,lass,V;IMP;SG;2,0.0,0.0003016071428571,l a s
lassen,lasse,V;IMP;SG;2,9.9e-05,0.0003016071428571,l a s ə
lassen,lasst,V;IMP;PL;2,9e-06,0.0003016071428571,l a s t
müssen,müssen,V;NFIN,0.004676,0.001658074074074,m ʏ s n̩
müssen,muss,V;IND;SG;1;PRS,0.005498,0.001658074074074,m ʊ s
müssen,müssen,V;IND;PL;1;PRS,0.004676,0.001658074074074,m ʏ s n̩
müssen,müsse,V;SBJV;SG;1;PRS,0.001516,0.001658074074074,m ʏ s ə
müssen,müssen,V;SBJV;PL;1;PRS,0.004676,0.001658074074074,m ʏ s n̩
müssen,musst,V;IND;SG;2;PRS,8.7e-05,0.001658074074074,m ʊ s t
müssen,müsst,V;IND;PL;2;PRS,4.5e-05,0.001658074074074,m ʏ s t
müssen,müssest,V;SBJV;SG;2;PRS,0.0,0.001658074074074,m ʏ s ə s t
müssen,müsset,V;SBJV;PL;2;PRS,0.0,0.001658074074074,m ʏ s ə t
müssen,muss,V;IND;SG;3;PRS,0.005498,0.001658074074074,m ʊ s
müssen,müssen,V;IND;PL;3;PRS,0.004676,0.001658074074074,m ʏ s n̩
müssen,müsse,V;SBJV;SG;3;PRS,0.001516,0.001658074074074,m ʏ s ə
müssen,müssen,V;SBJV;PL;3;PRS,0.004676,0.001658074074074,m ʏ s n̩
müssen,musste,V;IND;SG;1;PST,0.001624,0.001658074074074,m ʊ s t ə
müssen,mussten,V;IND;PL;1;PST,0.000775,0.001658074074074,m ʊ s t n̩
müssen,müsste,V;SBJV;SG;1;PST,0.0004,0.001658074074074,m ʏ s t ə
müssen,müssten,V;SBJV;PL;1;PST,0.000812,0.001658074074074,m ʏ s t n̩
müssen,musstest,V;IND;SG;2;PST,2e-06,0.001658074074074,m ʊ s t ə s t
müssen,musstet,V;IND;PL;2;PST,0.0,0.001658074074074,m ʊ s t ə t
müssen,müsstest,V;SBJV;SG;2;PST,4e-06,0.001658074074074,m ʏ s t ə s t
müssen,müsstet,V;SBJV;PL;2;PST,0.0,0.001658074074074,m ʏ s t ə t
müssen,musste,V;IND;SG;3;PST,0.001624,0.001658074074074,m ʊ s t ə
müssen,mussten,V;IND;PL;3;PST,0.000775,0.001658074074074,m ʊ s t n̩
müssen,müsste,V;SBJV;SG;3;PST,0.0004,0.001658074074074,m ʏ s t ə
müssen,müssten,V;SBJV;PL;3;PST,0.000812,0.001658074074074,m ʏ s t n̩
müssen,— (du),V;IMP;SG;2,0.0,0.001658074074074,d uː
müssen,— (ihr),V;IMP;PL;2,0.0,0.001658074074074,iː ɐ̯
verletzen,verletzen,V;NFIN,2.4e-05,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s n̩
verletzen,verletze,V;IND;SG;1;PRS,1e-05,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s ə
verletzen,verletzen,V;IND;PL;1;PRS,2.4e-05,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s n̩
verletzen,verletze,V;SBJV;SG;1;PRS,1e-05,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s ə
verletzen,verletzen,V;SBJV;PL;1;PRS,2.4e-05,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s n̩
verletzen,verletzt,V;IND;SG;2;PRS,0.001554,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s t
verletzen,verletzt,V;IND;PL;2;PRS,0.001554,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s t
verletzen,verletzest,V;SBJV;SG;2;PRS,0.0,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s ə s t
verletzen,verletzet,V;SBJV;PL;2;PRS,0.0,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s ə t
verletzen,verletzt,V;IND;SG;3;PRS,0.001554,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s t
verletzen,verletzen,V;IND;PL;3;PRS,2.4e-05,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s n̩
verletzen,verletze,V;SBJV;SG;3;PRS,1e-05,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s ə
verletzen,verletzen,V;SBJV;PL;3;PRS,2.4e-05,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s n̩
verletzen,verletzte,V;IND;SG;1;PST,0.000142,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s t ə
verletzen,verletzten,V;IND;PL;1;PST,4.5e-05,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s t ə n
verletzen,verletzte,V;SBJV;SG;1;PST,0.000142,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s t ə
verletzen,verletzten,V;SBJV;PL;1;PST,4.5e-05,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s t ə n
verletzen,verletztest,V;IND;SG;2;PST,0.0,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s t ə s t
verletzen,verletztet,V;IND;PL;2;PST,0.0,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s t ə t
verletzen,verletztest,V;SBJV;SG;2;PST,0.0,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s t ə s t
verletzen,verletztet,V;SBJV;PL;2;PST,0.0,0.0002544285714285,f ɛ ɐ̯ l ɛ t͡s t ə t
