lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
běžaś,běžachmej,V;PST;1;DU,0.0,6.666666666666667e-05,bʲ ɪ ʒ a x m ɛ j
běžaś,běžachmy,V;PST;1;PL,0.0,6.666666666666667e-05,bʲ ɪ ʒ a x m ɨ
běžaś,běžachu,V;PST;3;PL,0.0,6.666666666666667e-05,bʲ ɪ ʒ a x u
běžaś,běžach,V;PST;1;SG,0.0,6.666666666666667e-05,bʲ ɪ ʒ a x
běžaś,běžašćo,V;PST;2;PL,0.0,6.666666666666667e-05,bʲ ɪ ʒ a ɕ t͡ɕ ɔ
běžaś,běžašo,V;PST;2;SG,0.0,6.666666666666667e-05,bʲ ɪ ʒ a ʃ ɔ
běžaś,běžašo,V;PST;3;SG,0.0,6.666666666666667e-05,bʲ ɪ ʒ a ʃ ɔ
běžaś,běžaštej,V;PST;2;DU,0.0,6.666666666666667e-05,bʲ ɪ ʒ a ʃ t ɛ j
běžaś,běžaštej,V;PST;3;DU,0.0,6.666666666666667e-05,bʲ ɪ ʒ a ʃ t ɛ j
běžaś,běžćo,V;IMP;2;PL,0.0,6.666666666666667e-05,bʲ ɪ ʃ t͡ɕ ɔ
běžaś,běže,V;PRS;3;PL,0.0002,6.666666666666667e-05,bʲ ɪ ʒ ɛ
běžaś,běžtej,V;IMP;2;DU,0.0,6.666666666666667e-05,bʲ ɪ ʃ t ɛ j
běžaś,běž,V;IMP;2;SG,0.0,6.666666666666667e-05,bʲ ɪ ʃ
běžaś,běžymej,V;PRS;1;DU,0.0,6.666666666666667e-05,bʲ ɪ ʒ ɨ m ɛ j
běžaś,běžym,V;PRS;1;SG,0.0,6.666666666666667e-05,bʲ ɪ ʒ ɨ m
běžaś,běžymy,V;PRS;1;PL,0.0,6.666666666666667e-05,bʲ ɪ ʒ ɨ m ɨ
běžaś,běžyśo,V;PRS;2;PL,0.0,6.666666666666667e-05,bʲ ɪ ʒ ɨ ɕ ɔ
běžaś,běžyš,V;PRS;2;SG,0.0,6.666666666666667e-05,bʲ ɪ ʒ ɨ ʃ
běžaś,běžytej,V;PRS;2;DU,0.0,6.666666666666667e-05,bʲ ɪ ʒ ɨ t ɛ j
běžaś,běžytej,V;PRS;3;DU,0.0,6.666666666666667e-05,bʲ ɪ ʒ ɨ t ɛ j
běžaś,běžy,V;PRS;3;SG,0.0012,6.666666666666667e-05,bʲ ɪ ʒ ɨ
biś,bijachmej,V;PST;1;DU,0.0,0.0,bʲ i j a x m ɛ j
biś,bijachmy,V;PST;1;PL,0.0,0.0,bʲ i j a x m ɨ
