lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
χρειάζομαι,χρειάζομαι,V;1;SG;IPFV;PRS,6.3e-05,0.0001877631578947,x ɾ i a z o m e
χρειάζομαι,θα χρειάζομαι,V;1;SG;IPFV;FUT,0.0,0.0001877631578947,θ a x ɾ i a z o m e
χρειάζομαι,"χρειαζόμουν, χρειαζόμουνα",V;1;SG;IPFV;PST,0.0,0.0001877631578947,x ɾ i a z o m u n
χρειάζομαι,χρειάζεσαι,V;2;SG;IPFV;PRS,5.9e-05,0.0001877631578947,x ɾ i a z e s e
χρειάζομαι,θα χρειάζεσαι,V;2;SG;IPFV;FUT,0.0,0.0001877631578947,θ a x ɾ i a z e s e
χρειάζομαι,"χρειαζόσουν, χρειαζόσουνα",V;2;SG;IPFV;PST,0.0,0.0001877631578947,x ɾ i a z o s u n
χρειάζομαι,χρειάζεται,V;3;SG;IPFV;PRS,0.00387,0.0001877631578947,x ɾ i a z e t e
χρειάζομαι,θα χρειάζεται,V;3;SG;IPFV;FUT,0.0,0.0001877631578947,θ a x ɾ i a z e t e
χρειάζομαι,"χρειαζόταν, χρειαζότανε",V;3;SG;IPFV;PST,0.0,0.0001877631578947,x ɾ i a z o t a n
χρειάζομαι,χρειαζόμαστε,V;1;PL;IPFV;PRS,0.000275,0.0001877631578947,x ɾ i a z o m a s t e
χρειάζομαι,θα χρειαζόμαστε,V;1;PL;IPFV;FUT,0.0,0.0001877631578947,θ a x ɾ i a z o m a s t e
χρειάζομαι,"χρειαζόμασταν, χρειαζόμαστε2",V;1;PL;IPFV;PST,0.0,0.0001877631578947,x ɾ i a z o m a s t a n
χρειάζομαι,"χρειάζεστε, χρειαζόσαστε1",V;2;PL;IPFV;PRS,0.0,0.0001877631578947,x ɾ i a z e s t e
χρειάζομαι,"θα χρειάζεστε, χρειαζόσαστε1",V;2;PL;IPFV;FUT,0.0,0.0001877631578947,θ a x ɾ i a z e s t e
χρειάζομαι,"χρειαζόσασταν, χρειαζόσαστε2",V;2;PL;IPFV;PST,0.0,0.0001877631578947,x ɾ i a z o s a s t a n
χρειάζομαι,χρειάζονται,V;3;PL;IPFV;PRS,0.001176,0.0001877631578947,x ɾ i a z o n d e
χρειάζομαι,θα χρειάζονται,V;3;PL;IPFV;FUT,0.0,0.0001877631578947,θ a x ɾ i a z o n d e
χρειάζομαι,"χρειάζονταν, χρειαζόντανε, χρειαζόντουσαν",V;3;PL;IPFV;PST,0.0,0.0001877631578947,x r i a z o n d a n
χρειάζομαι,χρειαστώ,V;1;SG;PFV;PRS,1.4e-05,0.0001877631578947,x ɾ i a s t o
χρειάζομαι,θα χρειαστώ,V;1;SG;PFV;FUT,0.0,0.0001877631578947,θ a x ɾ i a s t o
χρειάζομαι,χρειάστηκα,V;1;SG;PFV;PST,8e-06,0.0001877631578947,x ɾ i a s t i k a
χρειάζομαι,χρειαστείς,V;2;SG;PFV;PRS,2e-05,0.0001877631578947,x ɾ i a s t i s
χρειάζομαι,θα χρειαστείς,V;2;SG;PFV;FUT,0.0,0.0001877631578947,θ a x ɾ i a s t i s
