lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
just,justs,V;PRS;3;SG,1e-06,0.0064948,d͡ʒ ʌ s t s
just,justing,V;V.PTCP;PRS,0.0,0.0064948,d͡ʒ ʌ s t ɪ ŋ
just,justed,V;PST,0.0,0.0064948,d͡ʒ ʌ s t ɪ d
just,justed,V;V.PTCP;PST,0.0,0.0064948,d͡ʒ ʌ s t ɪ d
hav,has,V;PRS;3;SG,0.050155,0.0224614,h e ɪ z
hav,having,V;V.PTCP;PRS,0.005726,0.0224614,h e ɪ v ɪ ŋ
hav,had,V;PST,0.028212,0.0224614,h æ d
hav,had,V;V.PTCP;PST,0.028212,0.0224614,h æ d
take,takes,V;PRS;3;SG,0.003872,0.0056571999999999,t e ɪ k s
take,taking,V;V.PTCP;PRS,0.003903,0.0056571999999999,t e ɪ k ɪ ŋ
take,took,V;PST,0.004388,0.0056571999999999,t ʊ k
take,taken,V;V.PTCP;PST,0.002789,0.0056571999999999,t e ɪ k ə n
other,others,V;PRS;3;SG,0.004632,0.0062412,ʌ ð ə z
other,othering,V;V.PTCP;PRS,6e-06,0.0062412,ɒ ð ə ɹ ɪ ŋ
other,othered,V;PST,0.0,0.0062412,ɒ ð ə d
other,othered,V;V.PTCP;PST,0.0,0.0062412,ɒ ð ə d
go,goes,V;PRS;3;SG,0.002935,0.0069213999999999,ɡ ə ʊ z
go,going,V;V.PTCP;PRS,0.012701,0.0069213999999999,ɡ ə ʊ ɪ ŋ
go,went,V;PST,0.004575,0.0069213999999999,w ɛ n t
go,gone,V;V.PTCP;PST,0.00176,0.0069213999999999,ɡ ə ʊ n
use,uses,V;PRS;3;SG,0.002611,0.011678,j uː z ɪ z
use,using,V;V.PTCP;PRS,0.011018,0.011678,j uː z ɪ ŋ
use,used,V;PST,0.011839,0.011678,j uː z d
use,used,V;V.PTCP;PST,0.011839,0.011678,j uː z d
work,works,V;PRS;3;SG,0.004263,0.0070529999999999,w ɜː k s
work,working,V;V.PTCP;PRS,0.006754,0.0070529999999999,w ɜː k ɪ ŋ
work,worked,V;PST,0.003027,0.0070529999999999,w ɜː k t
work,worked,V;V.PTCP;PST,0.003027,0.0070529999999999,w ɜː k t
come,comes,V;PRS;3;SG,0.005736,0.0063208,k ʌ m z
come,coming,V;V.PTCP;PRS,0.003695,0.0063208,k ʌ m ɪ ŋ
come,came,V;PST,0.004729,0.0063208,k e ɪ m
come,come,V;V.PTCP;PST,0.008722,0.0063208,k ʌ m
put,puts,V;PRS;3;SG,0.000747,0.0045343999999999,p ʌ t s
put,putting,V;V.PTCP;PRS,0.001408,0.0045343999999999,p ʌ t ɪ ŋ
put,put,V;PST,0.006839,0.0045343999999999,p ʌ t
put,put,V;V.PTCP;PST,0.006839,0.0045343999999999,p ʌ t
one,ones,V;PRS;3;SG,0.002757,0.0092528,ə ʊ n z
one,oning,V;V.PTCP;PRS,0.0,0.0092528,ə ʊ n ɪ ŋ
one,oned,V;PST,0.0,0.0092528,ə ʊ n d
one,oned,V;V.PTCP;PST,0.0,0.0092528,ə ʊ n d
start,starts,V;PRS;3;SG,0.001366,0.004038,s t ɑː t s
start,starting,V;V.PTCP;PRS,0.002145,0.004038,s t ɑː t ɪ ŋ
start,started,V;PST,0.004981,0.004038,s t ɑː t ɪ d
start,started,V;V.PTCP;PST,0.004981,0.004038,s t ɑː t ɪ d
read,reads,V;PRS;3;SG,0.000595,0.0072712,ɹ ɛ d z
read,reading,V;V.PTCP;PRS,0.005383,0.0072712,ɹ iː d ɪ ŋ
read,read,V;PST,0.010126,0.0072712,ɹ ɛ d
read,read,V;V.PTCP;PST,0.010126,0.0072712,ɹ ɛ d
haue,has,V;PRS;3;SG,0.050155,0.0213158,h e ɪ z
haue,hauing,V;V.PTCP;PRS,0.0,0.0213158,h a ʊ ɪ ŋ
haue,had,V;PST,0.028212,0.0213158,h æ d
haue,had,V;V.PTCP;PST,0.028212,0.0213158,h æ d
see,sees,V;PRS;3;SG,0.000743,0.0054433999999999,s iː z
see,seeing,V;V.PTCP;PRS,0.001941,0.0054433999999999,s iː ɪ ŋ
see,saw,V;PST,0.002835,0.0054433999999999,s ɔː
see,seen,V;V.PTCP;PST,0.004332,0.0054433999999999,s iː n
but,buts,V;PRS;3;SG,3e-06,0.0115141999999999,b ʌ t s
but,butting,V;V.PTCP;PRS,7e-06,0.0115141999999999,b ʌ t ɪ ŋ
but,butted,V;PST,1e-06,0.0115141999999999,b ʌ t ɪ d
but,butted,V;V.PTCP;PST,1e-06,0.0115141999999999,b ʌ t ɪ d
doe,does,V;PRS;3;SG,0.009581,0.0062058,d ə ʊ z
doe,doing,V;V.PTCP;PRS,0.006045,0.0062058,d ə ʊ ɪ ŋ
doe,did,V;PST,0.010199,0.0062058,d ɪ d
doe,done,V;V.PTCP;PST,0.005191,0.0062058,d ə ʊ n
even,evens,V;PRS;3;SG,9e-06,0.0037907999999999,ɛ v ə n z
even,evening,V;V.PTCP;PRS,0.000964,0.0037907999999999,ɛ v ə n ɪ ŋ
even,evened,V;PST,6e-06,0.0037907999999999,ɛ v ə n d
even,evened,V;V.PTCP;PST,6e-06,0.0037907999999999,ɛ v ə n d
do,does,V;PRS;3;SG,0.009581,0.0125076,d ə ʊ z
do,doing,V;V.PTCP;PRS,0.006045,0.0125076,d ə ʊ ɪ ŋ
do,did,V;PST,0.010199,0.0125076,d ɪ d
do,done,V;V.PTCP;PST,0.005191,0.0125076,d ə ʊ n
make,makes,V;PRS;3;SG,0.0071,0.0125192,m e ɪ k s
make,making,V;V.PTCP;PRS,0.007045,0.0125192,m e ɪ k ɪ ŋ
make,made,V;PST,0.012729,0.0125192,m e ɪ d
