lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
hakkama,olete hakanud,V;ACT;PRS;PRF;POS;IND;2;PL,0.0,0.0002525679012345,o l e t e h ɑ k ɑ n u d̥
hakkama,ei olevat hakanud,V;ACT;PRS;PRF;NEG;QUOT,0.0,0.0002525679012345,e i̯ ʋ o l e v ɑ t h ɑ k ɑ n u d̥
hakkama,oleks hakatud,V;PASS;PRS;PRF;POS;COND,0.0,0.0002525679012345,o l e k s h ɑ k ɑ t u d̥
hakkama,hakkasin,V;ACT;PST;POS;IND;1;SG,0.000888,0.0002525679012345,h ɑ kː ɑ s i n
hakkama,hakatakse,V;PASS;PRS;POS;IND,0.000704,0.0002525679012345,h ɑ k ɑ t ɑ k s e
hakkama,hakatagu,V;PASS;PRS;POS;IMP,0.0,0.0002525679012345,h ɑ k ɑ t ɑ ɡ̊ u
hakkama,ärgu hakaku,V;ACT;PRS;NEG;IMP;3;SG,0.0,0.0002525679012345,æ r ɡ̊ u h ɑ k ɑ k u
hakkama,oli hakatud,V;PASS;PST;PRF;POS;IND,0.0,0.0002525679012345,o l i h ɑ k ɑ t u d̥
hakkama,hakkasime,V;ACT;PST;POS;IND;1;PL,0.000272,0.0002525679012345,h ɑ kː ɑ s i m e
hakkama,ei olnud hakanud,V;ACT;PST;PRF;NEG;IND,0.0,0.0002525679012345,e i̯ ʋ o l n u d̥ h ɑ k ɑ n u d̥
hakkama,oleksid hakanud,V;ACT;PRS;PRF;POS;COND;2;SG,0.0,0.0002525679012345,o l e k s i d̥ h ɑ k ɑ n u d̥
hakkama,olgu hakanud,V;ACT;PRS;PRF;POS;IMP;PL,0.0,0.0002525679012345,o l ɡ̊ u h ɑ k ɑ n u d̥
hakkama,oli hakanud,V;ACT;PRS;PRF;POS;COND;3;PL,0.0,0.0002525679012345,o l i h ɑ k ɑ n u d̥
hakkama,hakataks,V;PASS;PRS;POS;COND,3.1e-05,0.0002525679012345,h ɑ k ɑ t ɑ k s
hakkama,hakkaksime,V;ACT;PRS;POS;COND;1;PL,1.4e-05,0.0002525679012345,h ɑ kː ɑ k s i m e
hakkama,on hakatud,V;PASS;PRS;PRF;POS;IND,0.0,0.0002525679012345,o nʲ h ɑ k ɑ t u d̥
hakkama,ärge hakake,V;ACT;PRS;NEG;IMP;2;PL,0.0,0.0002525679012345,æ r ɡ̊ e h ɑ k ɑ k e
hakkama,hakkab,V;ACT;PRS;POS;IND;3;SG,0.004869,0.0002525679012345,h ɑ kː ɑ b̥
hakkama,hakkavat,V;ACT;PRS;POS;QUOT,1.3e-05,0.0002525679012345,h ɑ kː ɑ v ɑ t
hakkama,ärgu hakaku,V;ACT;PRS;NEG;IMP;3;PL,0.0,0.0002525679012345,æ r ɡ̊ u h ɑ k ɑ k u
hakkama,olgu hakanud,V;ACT;PRS;PRF;POS;IMP;SG,0.0,0.0002525679012345,o l ɡ̊ u h ɑ k ɑ n u d̥
hakkama,hakati,V;PASS;PST;POS;IND,0.000338,0.0002525679012345,h ɑ k ɑ t i
hakkama,ei hakkavat,V;ACT;PRS;NEG;QUOT,0.0,0.0002525679012345,e i̯ h ɑ kː ɑ v ɑ t
hakkama,ei oleks hakatud,V;PASS;PRS;PRF;NEG;COND,0.0,0.0002525679012345,e i̯ ʋ o l e k s h ɑ k ɑ t u d̥
hakkama,ei hakanud,V;ACT;PST;NEG;IND,0.0,0.0002525679012345,e i̯ h ɑ k ɑ n u d̥
hakkama,ei olevat hakatud,V;PASS;PRS;PRF;NEG;QUOT,0.0,0.0002525679012345,e i̯ ʋ o l e v ɑ t h ɑ k ɑ t u d̥
hakkama,ei hakkaks,V;ACT;PRS;PRF;POS;COND;1;SG,0.0,0.0002525679012345,e i̯ h ɑ kː ɑ k s
hakkama,olid hakanud,V;ACT;PRS;PRF;POS;COND;2;SG,0.0,0.0002525679012345,o l i d̥ h ɑ k ɑ n u d̥
hakkama,hakkavad,V;ACT;PRS;POS;IND;3;PL,0.001761,0.0002525679012345,h ɑ kː ɑ v ɑ d̥
hakkama,olite hakanud,V;ACT;PRS;PRF;POS;COND;2;PL,0.0,0.0002525679012345,o l i t e h ɑ k ɑ n u d̥
hakkama,ei hakatud,V;PASS;PST;NEG;IND,0.0,0.0002525679012345,e i̯ h ɑ k ɑ t u d̥
hakkama,oleksite hakanud,V;ACT;PRS;PRF;POS;COND;2;PL,0.0,0.0002525679012345,o l e k s i t e h ɑ k ɑ n u d̥
hakkama,hakaku,V;ACT;PRS;POS;IMP;3;SG,5e-06,0.0002525679012345,h ɑ k ɑ k u
hakkama,hakkama,V;NFIN,0.003593,0.0002525679012345,h ɑ kː ɑ m ɑ
hakkama,oleme hakanud,V;ACT;PRS;PRF;POS;IND;1;PL,0.0,0.0002525679012345,o l e m e h ɑ k ɑ n u d̥
hakkama,ei hakataks,V;PASS;PRS;NEG;COND,0.0,0.0002525679012345,e i̯ h ɑ k ɑ t ɑ k s
hakkama,hakkas,V;ACT;PST;POS;IND;3;SG,0.002845,0.0002525679012345,h ɑ kː ɑ s
hakkama,ärgu hakatagu,V;PASS;PRS;NEG;IMP,0.0,0.0002525679012345,æ r ɡ̊ u h ɑ k ɑ t ɑ ɡ̊ u
hakkama,olgu hakatud,V;PASS;PRS;PRF;POS;IMP,0.0,0.0002525679012345,o l ɡ̊ u h ɑ k ɑ t u d̥
