lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
arbeiða,arbeiða,V;IND;PRS;3,0.0054966666666666,0.0028645454545454,a ɹ p a iː j a
arbeiða,arbeiða,V;NFIN,0.0054966666666666,0.0028645454545454,a ɹ p a iː j a
arbeiða,arbeiddi,V;IND;PST;1;SG,0.00036,0.0028645454545454,a ɹ p a iː tː ɪ
arbeiða,arbeiddi,V;IND;PST;2;SG,0.00036,0.0028645454545454,a ɹ p a iː tː ɪ
arbeiða,arbeiddi,V;IND;PST;3;SG,0.00036,0.0028645454545454,a ɹ p a iː tː ɪ
arbeiða,arbeiddu,V;IND;PST;3,0.0001833333333333,0.0028645454545454,a ɹ p a iː tː ʊ
arbeiða,arbeiðið,V;IMP;2;PL,0.0064633333333333,0.0028645454545454,a ɹ p a iː j ɪ
arbeiða,arbeiðir,V;IND;PRS;2;SG,0.0019666666666666,0.0028645454545454,a ɹ p a iː j ɪ ɹ
arbeiða,arbeiðir,V;IND;PRS;3;SG,0.0019666666666666,0.0028645454545454,a ɹ p a iː j ɪ ɹ
arbeiða,arbeiði,V;IND;PRS;1;SG,0.00881,0.0028645454545454,a ɹ p a iː j ɪ
arbeiða,arbeið,V;IMP;2;SG,4.6666666666666665e-05,0.0028645454545454,a ɹ p a iː j
bar,bart,V;IND;PST;2;SG,8e-05,0.0044857575757575,p a ɹ̥ t
bar,bar,V;IND;PST;1;SG,0.0008666666666666,0.0044857575757575,p ɛ aː ɹ
bar,bar,V;IND;PST;3;SG,0.0008666666666666,0.0044857575757575,p ɛ aː ɹ
bar,bera,V;IND;PRS;3,0.0040766666666666,0.0044857575757575,p eː ɹ a
bar,bera,V;NFIN,0.0040766666666666,0.0044857575757575,p eː ɹ a
bar,berið,V;IMP;2;PL,6.666666666666667e-06,0.0044857575757575,p eː ɹ ɪ
bar,beri,V;IND;PRS;1;SG,1.3333333333333332e-05,0.0044857575757575,p eː ɹ ɪ
bar,bert,V;IND;PRS;2;SG,0.0174,0.0044857575757575,p ɛ ɹ̥ t
bar,ber,V;IMP;2;SG,0.0109233333333333,0.0044857575757575,p eː ɹ
bar,ber,V;IND;PRS;3;SG,0.0109233333333333,0.0044857575757575,p eː ɹ
bar,bóru,V;IND;PST;3,0.00011,0.0044857575757575,p ɔ uː ɹ ʊ
borin,bart,V;IND;PST;2;SG,8e-05,0.0044857575757575,p a ɹ̥ t
borin,bar,V;IND;PST;1;SG,0.0008666666666666,0.0044857575757575,p ɛ aː ɹ
borin,bar,V;IND;PST;3;SG,0.0008666666666666,0.0044857575757575,p ɛ aː ɹ
borin,bera,V;IND;PRS;3,0.0040766666666666,0.0044857575757575,p eː ɹ a
borin,bera,V;NFIN,0.0040766666666666,0.0044857575757575,p eː ɹ a
borin,berið,V;IMP;2;PL,6.666666666666667e-06,0.0044857575757575,p eː ɹ ɪ
borin,beri,V;IND;PRS;1;SG,1.3333333333333332e-05,0.0044857575757575,p eː ɹ ɪ
borin,bert,V;IND;PRS;2;SG,0.0174,0.0044857575757575,p ɛ ɹ̥ t
borin,ber,V;IMP;2;SG,0.0109233333333333,0.0044857575757575,p eː ɹ
borin,ber,V;IND;PRS;3;SG,0.0109233333333333,0.0044857575757575,p eː ɹ
borin,bóru,V;IND;PST;3,0.00011,0.0044857575757575,p ɔ uː ɹ ʊ
byrja,byrjaði,V;IND;PST;1;SG,0.0019433333333333,0.0018727272727272,p ɪ ɹ j aː j ɪ
byrja,byrjaði,V;IND;PST;2;SG,0.0019433333333333,0.0018727272727272,p ɪ ɹ j aː j ɪ
byrja,byrjaði,V;IND;PST;3;SG,0.0019433333333333,0.0018727272727272,p ɪ ɹ j aː j ɪ
byrja,byrjaðu,V;IND;PST;3,0.0004766666666666,0.0018727272727272,p ɪ ɹ j aː v ʊ
byrja,byrjar,V;IND;PRS;2;SG,0.0028466666666666,0.0018727272727272,p ɪ ɹ j a ɹ
