lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
sopia,sovin,V;ACT;PRS;POS;IND;1;SG,9e-06,3.518709677419356e-05,s o ʋ i n
sopia,en sovi,V;ACT;PRS;NEG;IND;1;SG,0.0,3.518709677419356e-05,e n s o ʋ i
sopia,olen sopinut,V;ACT;PRS;PRF;POS;IND;1;SG,0.0,3.518709677419356e-05,o l e n s o p i n u t
sopia,en ole sopinut,V;ACT;PRS;PRF;NEG;IND;1;SG,0.0,3.518709677419356e-05,e n o l eˣ s o p i n u t
sopia,sovit,V;ACT;PRS;POS;IND;2;SG,1e-06,3.518709677419356e-05,s o ʋ i t
sopia,et sovi,V;ACT;PRS;NEG;IND;2;SG,0.0,3.518709677419356e-05,e t s o ʋ i
sopia,olet sopinut,V;ACT;PRS;PRF;POS;IND;2;SG,0.0,3.518709677419356e-05,o l e t s o p i n u t
sopia,et ole sopinut,V;ACT;PRS;PRF;NEG;IND;2;SG,0.0,3.518709677419356e-05,e t o l eˣ s o p i n u t
sopia,sopii,V;ACT;PRS;POS;IND;3;SG,0.001511,3.518709677419356e-05,s o p iː
sopia,ei sovi,V;ACT;PRS;NEG;IND;3;SG,0.0,3.518709677419356e-05,e i̯ s o ʋ i
sopia,on sopinut,V;ACT;PRS;PRF;POS;IND;3;SG,0.0,3.518709677419356e-05,o n s o p i n u t
sopia,ei ole sopinut,V;ACT;PRS;PRF;NEG;IND;3;SG,0.0,3.518709677419356e-05,e i̯ o l eˣ s o p i n u t
sopia,sovimme,V;ACT;PRS;POS;IND;1;PL,3.9e-05,3.518709677419356e-05,s o ʋ i mː e
sopia,emme sovi,V;ACT;PRS;NEG;IND;1;PL,0.0,3.518709677419356e-05,e mː eˣ s o ʋ i
sopia,olemme sopineet,V;ACT;PRS;PRF;POS;IND;1;PL,0.0,3.518709677419356e-05,o l e mː eˣ s o p i n eː t
sopia,emme ole sopineet,V;ACT;PRS;PRF;NEG;IND;1;PL,0.0,3.518709677419356e-05,e mː e o l eˣ s o p i n eː t
sopia,sovitte,V;ACT;PRS;POS;IND;2;PL,2e-06,3.518709677419356e-05,s o ʋ i tː eˣ
sopia,ette sovi,V;ACT;PRS;NEG;IND;2;PL,0.0,3.518709677419356e-05,e tː e s o ʋ i
sopia,olette sopineet,V;ACT;PRS;PRF;POS;IND;2;PL,0.0,3.518709677419356e-05,o l e tː e s o p i n eː t
sopia,ette ole sopineet,V;ACT;PRS;PRF;NEG;IND;2;PL,0.0,3.518709677419356e-05,e tː e o l eˣ s o p i n eː t
sopia,sopivat,V;ACT;PRS;POS;IND;3;PL,0.000797,3.518709677419356e-05,s o p i ʋ ɑ t
sopia,eivät sovi,V;ACT;PRS;NEG;IND;3;PL,0.0,3.518709677419356e-05,e i̯ ʋ æ t s o ʋ i
sopia,ovat sopineet,V;ACT;PRS;PRF;POS;IND;3;PL,0.0,3.518709677419356e-05,o ʋ ɑ t s o p i n eː t
sopia,eivät ole sopineet,V;ACT;PRS;PRF;NEG;IND;3;PL,0.0,3.518709677419356e-05,e i̯ ʋ æ t o l eˣ s o p i n eː t
sopia,sovitaan,V;PASS;PRS;POS;IND,0.000545,3.518709677419356e-05,s o ʋ i t ɑː n
sopia,ei sovita,V;PASS;PRS;NEG;IND,0.0,3.518709677419356e-05,e i̯ s o ʋ i t ɑˣ
sopia,on sovittu,V;PASS;PRS;PRF;POS;IND,0.0,3.518709677419356e-05,o n
sopia,ei ole sovittu,V;PASS;PRS;PRF;NEG;IND,0.0,3.518709677419356e-05,e i̯ o l eˣ s o ʋ i tː uˣ
sopia,sovin,V;ACT;PST;POS;IND;1;SG,9e-06,3.518709677419356e-05,s o ʋ i n
sopia,en sopinut,V;ACT;PST;NEG;IND;1;SG,0.0,3.518709677419356e-05,e n s o p i n u t
sopia,olin sopinut,V;ACT;PST;PRF;POS;IND;1;SG,0.0,3.518709677419356e-05,o l i n s o p i n u t
sopia,en ollut sopinut,V;ACT;PST;PRF;NEG;IND;1;SG,0.0,3.518709677419356e-05,e n o lː u t s o p i n u t
sopia,sovit,V;ACT;PST;POS;IND;2;SG,1e-06,3.518709677419356e-05,s o ʋ i t
sopia,et sopinut,V;ACT;PST;NEG;IND;2;SG,0.0,3.518709677419356e-05,e t s o p i n u t
sopia,olit sopinut,V;ACT;PST;PRF;POS;IND;2;SG,0.0,3.518709677419356e-05,o l i t s o p i n u t
sopia,et ollut sopinut,V;ACT;PST;PRF;NEG;IND;2;SG,0.0,3.518709677419356e-05,e t o lː u t s o p i n u t
sopia,sopi,V;ACT;PST;POS;IND;3;SG,8.3e-05,3.518709677419356e-05,s o p i
sopia,ei sopinut,V;ACT;PST;NEG;IND;3;SG,0.0,3.518709677419356e-05,e i̯ s o p i n u t
sopia,oli sopinut,V;ACT;PST;PRF;POS;IND;3;SG,0.0,3.518709677419356e-05,o l i s o p i n u t
sopia,ei ollut sopinut,V;ACT;PST;PRF;NEG;IND;3;SG,0.0,3.518709677419356e-05,e i̯ o lː u t s o p i n u t
sopia,sovimme,V;ACT;PST;POS;IND;1;PL,3.9e-05,3.518709677419356e-05,s o ʋ i mː e
sopia,emme sopineet,V;ACT;PST;NEG;IND;1;PL,0.0,3.518709677419356e-05,e mː eˣ s o p i n eː t
