lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
ferjeese,ferjeese,V;IND;PRS;2;PL,0.0,1.851851851851852e-06,f ɛ r j eː s ə
ferjeese,ferjeese,V;IND;PRS;1;DU,0.0,1.851851851851852e-06,f ɛ r j eː s ə
ferjeese,ferjätjen,V;IND;PST;PFV;1;PL,0.0,1.851851851851852e-06,f ɛ r j ɛ t j ə n
ferjeese,häin ferjin,V;IND;PST;RMT;PRF;2;PL,0.0,1.851851851851852e-06,h ɛ ɪ̯ n f ɛ r j ɪ n
ferjeese,häist ferjin,V;IND;PST;RMT;PRF;2;SG,0.0,1.851851851851852e-06,h ɛ ɪ̯ s t
ferjeese,hääw ferjin,V;IND;PST;PRF;1;SG,0.0,1.851851851851852e-06,h ɛː v f ɛ r j ɪ n
ferjeese,ferjätj,V;IND;PST;PFV;1;SG,0.0,1.851851851851852e-06,f ɛ r j ɛ ð j
ferjeese,wårde forjeese,V;IND;FUT;LGSPEC1;2;DU,0.0,1.851851851851852e-06,v ɔː r d ə f ɔ r j eː s ə
ferjeese,wårst forjeese,V;IND;FUT;LGSPEC1;2;SG,0.0,1.851851851851852e-06,v ɔ r s t f ɔ r j eː s ə
ferjeese,ferjätjst,V;IND;PST;PFV;2;SG,0.0,1.851851851851852e-06,f ɛ r j ɛ t j s t
ferjeese,wårde forjeese,V;IND;FUT;LGSPEC1;3;PL,0.0,1.851851851851852e-06,v ɔː r d ə f ɔ r j eː s ə
ferjeese,ferjätjen,V;IND;PST;PFV;2;PL,0.0,1.851851851851852e-06,f ɛ r j ɛ t j ə n
ferjeese,häin ferjin,V;IND;PST;RMT;PRF;3;PL,0.0,1.851851851851852e-06,h ɛ ɪ̯ n f ɛ r j ɪ n
ferjeese,ferjeet,V;IND;PRS;3;SG,0.0,1.851851851851852e-06,f ə r j eː t
ferjeese,ferjeet,V;IND;PRS;3;SG,0.0,1.851851851851852e-06,f ə r j eː t
ferjeese,ferjeet,V;IND;PRS;3;SG,0.0,1.851851851851852e-06,f ə r j eː t
ferjeese,hääwe ferjin,V;IND;PST;PRF;2;PL,0.0,1.851851851851852e-06,h ɛː v ə f ɛ r j ɪ n
ferjeese,häin ferjin,V;IND;PST;RMT;PRF;1;DU,0.0,1.851851851851852e-06,h ɛ ɪ̯ n f ɛ r j ɪ n
ferjeese,häi ferjin,V;IND;PST;RMT;PRF;3;SG,0.0,1.851851851851852e-06,h ɛ ɪ̯ f ɛ r j ɪ n
ferjeese,häi ferjin,V;IND;PST;RMT;PRF;3;SG,0.0,1.851851851851852e-06,h ɛ ɪ̯ f ɛ r j ɪ n
ferjeese,häi ferjin,V;IND;PST;RMT;PRF;3;SG,0.0,1.851851851851852e-06,h ɛ ɪ̯ f ɛ r j ɪ n
ferjeese,ferjeese,V;IND;PRS;1;PL,0.0,1.851851851851852e-06,f ɛ r j eː s ə
ferjeese,hääwe ferjin,V;IND;PST;PRF;1;DU,0.0,1.851851851851852e-06,h ɛː v ə f ɛ r j ɪ n
ferjeese,wård forjeese,V;IND;FUT;LGSPEC1;1;SG,0.0,1.851851851851852e-06,v ɔ r t f ɔ r j eː s ə
ferjeese,ferjees,V;IMP;PL,0.0,1.851851851851852e-06,f ə r j eː s
ferjeese,tu forjeesen,V;NFIN,0.0,1.851851851851852e-06,t u f ɔ r j eː s ə n
ferjeese,wårde forjeese,V;IND;FUT;LGSPEC1;2;PL,0.0,1.851851851851852e-06,v ɔː r d ə f ɔ r j eː s ə
ferjeese,wårde forjeese,V;IND;FUT;LGSPEC1;1;DU,0.0,1.851851851851852e-06,v ɔː r d ə f ɔ r j eː s ə
ferjeese,ferjätjen,V;IND;PST;PFV;3;PL,0.0,1.851851851851852e-06,f ɛ r j ɛ t j ə n
ferjeese,ferjätj,V;IND;PST;PFV;3;SG,0.0,1.851851851851852e-06,f ɛ r j ɛ ð j
ferjeese,ferjätj,V;IND;PST;PFV;3;SG,0.0,1.851851851851852e-06,f ɛ r j ɛ ð j
ferjeese,ferjätj,V;IND;PST;PFV;3;SG,0.0,1.851851851851852e-06,f ɛ r j ɛ ð j
ferjeese,ferjeest,V;IND;PRS;2;SG,0.0,1.851851851851852e-06,f ə r j eː s t
ferjeese,hääwe ferjin,V;IND;PST;PRF;1;PL,0.0,1.851851851851852e-06,h ɛː v ə f ɛ r j ɪ n
ferjeese,heet ferjin,V;IND;PST;PRF;3;SG,0.0,1.851851851851852e-06,h eː t f ə r j ɪ n
ferjeese,heet ferjin,V;IND;PST;PRF;3;SG,0.0,1.851851851851852e-06,h eː t f ə r j ɪ n
ferjeese,heet ferjin,V;IND;PST;PRF;3;SG,0.0,1.851851851851852e-06,h eː t f ə r j ɪ n
ferjeese,häin ferjin,V;IND;PST;RMT;PRF;2;DU,0.0,1.851851851851852e-06,h ɛ ɪ̯ n f ɛ r j ɪ n
ferjeese,ferjeese,V;IND;PRS;2;DU,0.0,1.851851851851852e-06,f ɛ r j eː s ə
ferjeese,forjeese,V;NFIN,0.0,1.851851851851852e-06,f ɔ r j eː s ə
ferjeese,ferjeese,V;IND;PRS;3;PL,0.0,1.851851851851852e-06,f ɛ r j eː s ə
ferjeese,wårt forjeese,V;IND;FUT;LGSPEC1;3;SG,0.0,1.851851851851852e-06,v ɔ r t f ɔ r j eː s ə
ferjeese,wårt forjeese,V;IND;FUT;LGSPEC1;3;SG,0.0,1.851851851851852e-06,v ɔ r t f ɔ r j eː s ə
ferjeese,wårt forjeese,V;IND;FUT;LGSPEC1;3;SG,0.0,1.851851851851852e-06,v ɔ r t f ɔ r j eː s ə
ferjeese,häi ferjin,V;IND;PST;RMT;PRF;1;SG,0.0,1.851851851851852e-06,h ɛ ɪ̯ f ɛ r j ɪ n
ferjeese,ferjätjen,V;IND;PST;PFV;1;DU,0.0,1.851851851851852e-06,f ɛ r j ɛ t j ə n
ferjeese,häin ferjin,V;IND;PST;RMT;PRF;1;PL,0.0,1.851851851851852e-06,h ɛ ɪ̯ n f ɛ r j ɪ n
ferjeese,ferjees,V;IND;PRS;1;SG,0.0,1.851851851851852e-06,f ə r j eː s
ferjeese,ferjin,V;IMP;SG,0.0001,1.851851851851852e-06,f ɛ r j ɪ n
ferjeese,hääst ferjin,V;IND;PST;PRF;2;SG,0.0,1.851851851851852e-06,h ɛː s t f ɛ r j ɪ n
ferjeese,wårde forjeese,V;IND;FUT;LGSPEC1;1;PL,0.0,1.851851851851852e-06,v ɔː r d ə f ɔ r j eː s ə
ferjeese,hääwe ferjin,V;IND;PST;PRF;3;PL,0.0,1.851851851851852e-06,h ɛː v ə f ɛ r j ɪ n
ferjeese,hääwe ferjin,V;IND;PST;PRF;2;DU,0.0,1.851851851851852e-06,h ɛː v ə f ɛ r j ɪ n
ferjeese,ferjätjen,V;IND;PST;PFV;2;DU,0.0,1.851851851851852e-06,f ɛ r j ɛ t j ə n
