lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
ferjitte,fergetten,V;IND;PST;PL,0.00016,9.615384615384615e-05,f ə r ɣ ɛ t ə n
ferjitte,ferjit,V;IMP,7e-05,9.615384615384615e-05,f ə r j ɪ t
ferjitte,ferget,V;IND;PST;1;SG,2e-05,9.615384615384615e-05,f ə r ɣ ɛ t
ferjitte,ferjit,V;IND;PRS;1;SG,7e-05,9.615384615384615e-05,f ə r j ɪ t
ferjitte,ferget,V;IND;PST;PFV;3;SG,2e-05,9.615384615384615e-05,f ə r ɣ ɛ t
ferjitte,fergetst,V;IND;PST;2;SG,0.0,9.615384615384615e-05,f ə r ɣ ɛ t s t
ferjitte,ferjitte,V;IND;PRS;PL,0.00025,9.615384615384615e-05,f ə r j ɪ t ə
ferjitte,ferjit,V;IND;PRS;3;SG,7e-05,9.615384615384615e-05,f ə r j ɪ t
ferjitte,ferjitten,V;NFIN,7e-05,9.615384615384615e-05,f ə r j ɪ t ə n
ferjitte,ferget,V;IND;PST;3;SG,2e-05,9.615384615384615e-05,f ə r ɣ ɛ t
ferjitte,ferjitte,V;NFIN,0.00025,9.615384615384615e-05,f ə r j ɪ t ə
ferjitte,ferjitte,V;NFIN,0.00025,9.615384615384615e-05,f ə r j ɪ t ə
ferjitte,ferjitst,V;IND;PRS;2;SG,0.0,9.615384615384615e-05,f ə r j ɪ t s t
feroarje,feroaren,V;IND;PST;PL,2e-05,0.0006061538461538,f ə r w aː r ə n
feroarje,feroarje,V;IMP,0.00054,0.0006061538461538,f ə r w a r j ə
feroarje,feroare,V;IND;PST;1;SG,0.0015,0.0006061538461538,f ə r w aː r ə
feroarje,feroarje,V;IND;PRS;1;SG,0.00054,0.0006061538461538,f ə r w a r j ə
feroarje,feroare,V;IND;PST;PFV;3;SG,0.0015,0.0006061538461538,f ə r w aː r ə
feroarje,feroarest,V;IND;PST;2;SG,0.0,0.0006061538461538,f ə r w aː r ə s t
feroarje,feroarje,V;IND;PRS;PL,0.00054,0.0006061538461538,f ə r w a r j ə
feroarje,feroaret,V;IND;PRS;3;SG,0.00047,0.0006061538461538,f ə r w aː r ɛ t
feroarje,feroarjen,V;NFIN,0.00019,0.0006061538461538,f ə r w a r j ə n
feroarje,feroare,V;IND;PST;3;SG,0.0015,0.0006061538461538,f ə r w aː r ə
feroarje,feroarje,V;NFIN,0.00054,0.0006061538461538,f ə r w a r j ə
feroarje,feroarje,V;NFIN,0.00054,0.0006061538461538,f ə r w a r j ə
feroarje,feroarest,V;IND;PRS;2;SG,0.0,0.0006061538461538,f ə r w aː r ə s t
ferstean,ferstienest,V;IND;PST;2;PL,0.0,2.142857142857143e-05,f ə s t i ə̯ n ə s t
ferstean,ferstie,V;IND;PST;3;SG,0.0,2.142857142857143e-05,f ɛ r s t i ə̯
ferstean,ferstean,V;IND;PRS;1;SG,0.0001,2.142857142857143e-05,f ə s t ɪ ə̯ n
ferstean,ferstienest,V;IND;PST;3;PL,0.0,2.142857142857143e-05,f ə s t i ə̯ n ə s t
ferstean,fersteane,V;IND;PRS;2;PL,0.0,2.142857142857143e-05,f ə s t ɪ ə̯ n ə
ferstean,ferstean,V;IMP,0.0001,2.142857142857143e-05,f ə s t ɪ ə̯ n
ferstean,ferstie,V;IND;PST;1;SG,0.0,2.142857142857143e-05,f ɛ r s t i ə̯
ferstean,fersteane,V;IND;PRS;3;PL,0.0,2.142857142857143e-05,f ə s t ɪ ə̯ n ə
ferstean,ferstean,V;NFIN,0.0001,2.142857142857143e-05,f ə s t ɪ ə̯ n
ferstean,fersteanst,V;IND;PRS;2;SG,0.0,2.142857142857143e-05,f ə s t ɪ ə̯ n s t
ferstean,ferstiest,V;IND;PST;2;SG,0.0,2.142857142857143e-05,f ə s t i ə̯ s t
ferstean,fersteane,V;IND;PRS;1;PL,0.0,2.142857142857143e-05,f ə s t ɪ ə̯ n ə
ferstean,ferstienest,V;IND;PST;1;PL,0.0,2.142857142857143e-05,f ə s t i ə̯ n ə s t
ferstean,fersteant,V;IND;PRS;3;SG,0.0,2.142857142857143e-05,f ə s t ɪ ə̯ n t
fetsje,fetten,V;IND;PST;PL,3e-05,1.153846153846154e-05,f ɛ t ə n
fetsje,fetsje,V;IMP,0.0,1.153846153846154e-05,f ɛ t s j ə
fetsje,fette,V;IND;PST;1;SG,4e-05,1.153846153846154e-05,f ɛ t ə
fetsje,fetsje,V;IND;PRS;1;SG,0.0,1.153846153846154e-05,f ɛ t s j ə
fetsje,fette,V;IND;PST;PFV;3;SG,4e-05,1.153846153846154e-05,f ɛ t ə
fetsje,fettest,V;IND;PST;2;SG,0.0,1.153846153846154e-05,f ɛ t ə s t
fetsje,fetsje,V;IND;PRS;PL,0.0,1.153846153846154e-05,f ɛ t s j ə
fetsje,fettet,V;IND;PRS;3;SG,0.0,1.153846153846154e-05,f ɛ t ə t
fetsje,fetsjen,V;NFIN,0.0,1.153846153846154e-05,f ɛ t s j ə n
fetsje,fette,V;IND;PST;3;SG,4e-05,1.153846153846154e-05,f ɛ t ə
fetsje,fetsje,V;NFIN,0.0,1.153846153846154e-05,f ɛ t s j ə
fetsje,fetsje,V;NFIN,0.0,1.153846153846154e-05,f ɛ t s j ə
fetsje,fettest,V;IND;PRS;2;SG,0.0,1.153846153846154e-05,f ɛ t ə s t
flústerje,flústeren,V;IND;PST;PL,0.0,1.5384615384615383e-06,f l y s t ə r ə n
flústerje,flústerje,V;IMP,0.0,1.5384615384615383e-06,f l y s t ə r j ə
flústerje,flústere,V;IND;PST;1;SG,0.0,1.5384615384615383e-06,f l y s t ə r ə
flústerje,flústerje,V;IND;PRS;1;SG,0.0,1.5384615384615383e-06,f l y s t ə r j ə
flústerje,flústere,V;IND;PST;PFV;3;SG,0.0,1.5384615384615383e-06,f l y s t ə r ə
flústerje,flústerest,V;IND;PST;2;SG,0.0,1.5384615384615383e-06,f l y s t ə r ɛ s t
flústerje,flústerje,V;IND;PRS;PL,0.0,1.5384615384615383e-06,f l y s t ə r j ə
flústerje,flústeret,V;IND;PRS;3;SG,1e-05,1.5384615384615383e-06,f l y s t ə r ɛ t
flústerje,flústerjen,V;NFIN,1e-05,1.5384615384615383e-06,f l y s t ə r j ə n
flústerje,flústere,V;IND;PST;3;SG,0.0,1.5384615384615383e-06,f l y s t ə r ə
flústerje,flústerje,V;NFIN,0.0,1.5384615384615383e-06,f l y s t ə r j ə
flústerje,flústerje,V;NFIN,0.0,1.5384615384615383e-06,f l y s t ə r j ə
flústerje,flústerest,V;IND;PRS;2;SG,0.0,1.5384615384615383e-06,f l y s t ə r ɛ s t
freegje,fregen,V;IND;PST;PL,0.00015,0.0010738461538461,f r eː ɣ ə n
freegje,freegje,V;IMP,0.00085,0.0010738461538461,f r eː ɣ j ə
freegje,frege,V;IND;PST;1;SG,0.00264,0.0010738461538461,f r eː ɣ ə
freegje,freegje,V;IND;PRS;1;SG,0.00085,0.0010738461538461,f r eː ɣ j ə
freegje,frege,V;IND;PST;PFV;3;SG,0.00264,0.0010738461538461,f r eː ɣ ə
freegje,fregest,V;IND;PST;2;SG,0.0,0.0010738461538461,f r eː ɣ ə s t
freegje,freegje,V;IND;PRS;PL,0.00085,0.0010738461538461,f r eː ɣ j ə
freegje,freget,V;IND;PRS;3;SG,0.00138,0.0010738461538461,f r eː ɣ ə t
freegje,freegjen,V;NFIN,0.00026,0.0010738461538461,f r eː ɣ j ə n
freegje,frege,V;IND;PST;3;SG,0.00264,0.0010738461538461,f r eː ɣ ə
freegje,freegje,V;NFIN,0.00085,0.0010738461538461,f r eː ɣ j ə
freegje,freegje,V;NFIN,0.00085,0.0010738461538461,f r eː ɣ j ə
freegje,fregest,V;IND;PRS;2;SG,0.0,0.0010738461538461,f r eː ɣ ə s t
gean,gienen,V;IND;PST;2;PL,0.00036,0.0045107142857142,ɡ i ə̯ n ə n
gean,gie,V;IND;PST;3;SG,0.00517,0.0045107142857142,ɡ i ə̯
gean,gean,V;IND;PRS;1;SG,0.00635,0.0045107142857142,ɡ ɪ ə̯ n
gean,gienen,V;IND;PST;3;PL,0.00036,0.0045107142857142,ɡ i ə̯ n ə n
gean,geane,V;IND;PRS;2;PL,0.00155,0.0045107142857142,ɡ ɪ ə̯ n ə
gean,gean,V;IMP,0.00635,0.0045107142857142,ɡ ɪ ə̯ n
gean,gie,V;IND;PST;1;SG,0.00517,0.0045107142857142,ɡ i ə̯
gean,geane,V;IND;PRS;3;PL,0.00155,0.0045107142857142,ɡ ɪ ə̯ n ə
gean,gean,V;NFIN,0.00635,0.0045107142857142,ɡ ɪ ə̯ n
gean,giest,V;IND;PRS;2;SG,0.0,0.0045107142857142,ɡ i ə̯ s t
gean,giest,V;IND;PST;2;SG,0.0,0.0045107142857142,ɡ i ə̯ s t
gean,geane,V;IND;PRS;1;PL,0.00155,0.0045107142857142,ɡ ɪ ə̯ n ə
gean,gienen,V;IND;PST;1;PL,0.00036,0.0045107142857142,ɡ i ə̯ n ə n
gean,giet,V;IND;PRS;3;SG,0.02803,0.0045107142857142,ɡ i ə̯ t
hawwe,hienen,V;IND;PST;2;PL,0.00139,0.0171714285714285,h i ə̯ n ə n
hawwe,hie,V;IND;PST;3;SG,0.01767,0.0171714285714285,h i ə̯
hawwe,haw,V;IND;PRS;1;SG,0.00077,0.0171714285714285,h a u̯
hawwe,hienen,V;IND;PST;3;PL,0.00139,0.0171714285714285,h i ə̯ n ə n
hawwe,hawwe,V;IND;PRS;2;PL,0.02627,0.0171714285714285,h a v ə
hawwe,haw,V;IMP,0.00077,0.0171714285714285,h a u̯
hawwe,hie,V;IND;PST;1;SG,0.01767,0.0171714285714285,h i ə̯
hawwe,hawwe,V;IND;PRS;3;PL,0.02627,0.0171714285714285,h a v ə
hawwe,hawwe,V;NFIN,0.02627,0.0171714285714285,h a v ə
hawwe,hast,V;IND;PRS;2;SG,0.00568,0.0171714285714285,h a s t
hawwe,hiest,V;IND;PST;2;SG,0.0,0.0171714285714285,h i ə̯ s t
hawwe,hawwe,V;IND;PRS;1;PL,0.02627,0.0171714285714285,h a v ə
hawwe,hienen,V;IND;PST;1;PL,0.00139,0.0171714285714285,h i ə̯ n ə n
hawwe,hat,V;IND;PRS;3;SG,0.08859,0.0171714285714285,h a t
helje,hellen,V;IND;PST;PL,0.0002,0.00212,h ɛ l ə n
helje,helje,V;IMP,0.00142,0.00212,h ɛ l j ə
helje,helle,V;IND;PST;1;SG,0.00581,0.00212,h ɛ l ə
helje,helje,V;IND;PRS;1;SG,0.00142,0.00212,h ɛ l j ə
