lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
gráigh,go ngrá tú,V;2;SG;SBJV;PRS,0.0,3.915343915343916e-05,ɡ ɔ ŋ ɾˠ aː t̪ˠ uː
gráigh,a ghrádh,V;REL;PST;HAB;IND,0.0,3.915343915343916e-05,ə ɣ ɾˠ aː
gráigh,a ghráfaidh,V;REL;FUT;IND,0.0,3.915343915343916e-05,ə ɣ ɾˠ aː h ə
gráigh,gráim,V;1;SG;IMP,0.0,3.915343915343916e-05,ɡ ɾˠ aː mʲ
gráigh,ghráití,V;AUTO;PST;HAB;IND,0.0,3.915343915343916e-05,ɣ ɾˠ aː tʲ iː
gráigh,gráfaidh siad,V;3;PL;FUT;IND,0.0,3.915343915343916e-05,ɡ ɾˠ aː h i ʃ i ə d̪ˠ
gráigh,a ghránn,V;REL;PRS;IND,0.0,3.915343915343916e-05,ə ɣ ɾˠ aː n̪ˠ
gráigh,gráitear,V;AUTO;IMP,0.0,3.915343915343916e-05,ɡ ɾˠ aː tʲ ə ɾˠ
gráigh,gráfaimid,V;1;PL;FUT;IND,0.0,3.915343915343916e-05,ɡ ɾˠ aː fˠ ə mʲ ə dʲ
gráigh,ghráfá,V;2;SG;COND,0.0,3.915343915343916e-05,ɣ ɾˠ aː fˠ aː
gráigh,gráimis,V;1;PL;IMP,0.0,3.915343915343916e-05,ɡ ɾˠ aː mʲ ə ʃ
gráigh,gráfaidh mé,V;1;SG;FUT;IND,0.0,3.915343915343916e-05,ɡ ɾˠ aː h ə mʲ eː
gráigh,a ghráigh,V;REL;PST;IND,0.0,3.915343915343916e-05,ə ɣ ɾˠ aː j
gráigh,gráimid,V;1;PL;PRS;IND,0.0,3.915343915343916e-05,ɡ ɾˠ aː mʲ ə dʲ
gráigh,dá ngrádh sibh,V;2;PL;SBJV;PST,0.0,3.915343915343916e-05,d̪ˠ aː ŋ ɡ ɾˠ aː u ʃ iː
