lemma,form,paradigm_slot,phonemic_form
gēven,gēvest,V;IND;SG;2;PRS,ɣ eː v ə s t
gēven,gifst,V;IND;SG;2;PRS,ɣ ɪ f s t
gēven,gâven,V;IND;PL;PST,ɣ ɑː v ə n
gēven,gêven,V;IND;PL;PST,ɣ eː v ə n
gēven,gêvest,V;SBJV;SG;2;PST,ɣ eː v ə s t
gēven,gēvet,V;SBJV;SG;3;PRS,ɣ eː v ə t
gēven,gêve,V;SBJV;SG;3;PST,ɣ eː v ə
gēven,gēve,V;IND;SG;1;PRS,ɣ eː v ə
gēven,gēven,V;IND;PL;PRS,ɣ eː v ə n
gēven,tô gēvene,V;NFIN,t oː ɣ eː v ə n ə
gēven,tô gēvende,V;NFIN,t oː ɣ eː v ə n d ə
gēven,gêven,V;SBJV;PL;PST,ɣ eː v ə n
gēven,gaf,V;IND;SG;1;PST,ɣ a f
gēven,gēvest,V;SBJV;SG;2;PRS,ɣ eː v ə s t
gēven,gēvet,V;IND;SG;3;PRS,ɣ eː v ə t
gēven,gift,V;IND;SG;3;PRS,ɣ ɪ f t
gēven,gēvet,V;IMP;PL;2,ɣ eː v ə t
gēven,gēven,V;NFIN,ɣ eː v ə n
gēven,gēve,V;SBJV;SG;1;PRS,ɣ eː v ə
gēven,gâvest,V;IND;SG;2;PST,ɣ ɑː v ə s t
gēven,gêvest,V;IND;SG;2;PST,ɣ eː v ə s t
gēven,gēven,V;SBJV;PL;PRS,ɣ eː v ə n
gēven,gif,V;IMP;SG;2,ɣ ɪ f
gēven,gêve,V;SBJV;SG;1;PST,ɣ eː v ə
gēven,gaf,V;IND;SG;3;PST,ɣ a f
afwâschen,wâschen,V;IND;PL;PRS,w ɑː s x ə n
afwâschen,wâsche af,V;IND;SG;1;PRS,v ɑː s k ə
afwâschen,afwö̂sche,V;SBJV;SG;1;PST,a f v œ ʃ ə
afwâschen,wôsch af,V;IND;SG;3;PST,w oː ʃ a f
afwâschen,afwôsch,V;IND;SG;3;PST,a f w oː ʃ
afwâschen,af tô wâschene,V;NFIN,a f t oː w ɑː ʃ ə n ə
afwâschen,af tô wâschende,V;NFIN,a f t oː w ɑː ʃ ə n d ə
afwâschen,afwēschest,V;IND;SG;2;PRS,a f w eː s x ə s t
afwâschen,afwaschest,V;IND;SG;2;PRS,a f v a s x ə s t
afwâschen,afwâschen,V;SBJV;PL;PRS,a f v ɑː ʃ ə n
afwâschen,wö̂sche af,V;SBJV;SG;1;PST,v œː ʃ ə
afwâschen,afwôschen,V;IND;PL;PST,a f v oː ʃ ə n
afwâschen,afwö̂schen,V;IND;PL;PST,a f v œ ʃ ə n
afwâschen,wâschest af,V;SBJV;SG;2;PRS,v ɑː s x ə s t a f
afwâschen,wôschen,V;IND;PL;PST,w oː s x ə n
afwâschen,wö̂schen af,V;IND;PL;PST,v œː ʃ ə n
afwâschen,afwâschet,V;SBJV;SG;3;PRS,a f v ɑː s x ə t
afwâschen,wâschet af,V;IMP;PL;2,w ɑː s x ə t
afwâschen,afwâsche,V;IND;SG;1;PRS,a f v ɑː ʃ ə
afwâschen,wēschet,V;IND;SG;3;PRS,w eː ʃ ə t
afwâschen,wâschet af,V;IND;SG;3;PRS,w ɑː s x ə t
afwâschen,afwö̂schest,V;SBJV;SG;2;PST,a f v œ ʃ ə s t
afwâschen,afwâschen,V;NFIN,a f v ɑː ʃ ə n
afwâschen,wâschen af,V;SBJV;PL;PRS,v ɑː s x ə n
afwâschen,wö̂sche af,V;SBJV;SG;3;PST,v œː ʃ ə
afwâschen,wö̂schest af,V;SBJV;SG;2;PST,v œː ʃ ə s t a f
afwâschen,afwö̂sche,V;SBJV;SG;3;PST,a f v œ ʃ ə
afwâschen,afwâschest,V;SBJV;SG;2;PRS,a f v ɑː s x ə s t
afwâschen,wâsche af,V;SBJV;SG;1;PRS,v ɑː s k ə
afwâschen,afwâschen,V;IND;PL;PRS,a f v ɑː ʃ ə n
afwâschen,wēschest,V;IND;SG;2;PRS,w eː s k ə s t
