lemma,form,paradigm_slot,phonemic_form
wuofen,wuofen,"V;NFIN",w u o̯ f e n
wuofen,wuofu,"V;IND;SG;1;PRS",w u o̯ f u
wuofen,wuta,"V;IND;SG;1;PST",w u t a
wuofen,wuofis,"V;IND;SG;2;PRS",w u o̯ f i s
wuofen,wutos,"V;IND;SG;2;PST",w uː t o s
wuofen,wuofit,"V;IND;SG;3;PRS",w u o f i t
wuofen,wuta,"V;IND;SG;3;PST",w u t a
wuofen,wuofem,"V;IND;PL;1;PRS",w u o̯ f e m
wuofen,wuofemes,"V;IND;PL;1;PRS",w u o̯ f e m e s
wuofen,wutum,"V;IND;PL;1;PST",w uː t u m
wuofen,wutumes,"V;IND;PL;1;PST",w u t u m e s
wuofen,wuofet,"V;IND;PL;2;PRS",w u o f e t
wuofen,wutut,"V;IND;PL;2;PST",w u t u t
wuofen,wuofent,"V;IND;PL;3;PRS",w u o f e n t
wuofen,wutun,"V;IND;PL;3;PST",w u t u n
wuofen,wuofe,"V;SBJV;SG;1;PRS",w u o̯ f e
wuofen,wuti,"V;SBJV;SG;1;PST",w u t i
wuofen,wuofes,"V;SBJV;SG;2;PRS",w u o̯ f e s
wuofen,wutis,"V;SBJV;SG;2;PST",w u t i s
wuofen,wuofe,"V;SBJV;SG;3;PRS",w u o̯ f e
wuofen,wuti,"V;SBJV;SG;3;PST",w u t i
wuofen,wuofem,"V;SBJV;PL;1;PRS",w u o̯ f e m
wuofen,wuofemes,"V;SBJV;PL;1;PRS",w u o̯ f e m e s
wuofen,wutim,"V;SBJV;PL;1;PST",w u t i m
wuofen,wutimes,"V;SBJV;PL;1;PST",w u t i m e s
wuofen,wuofet,"V;SBJV;PL;2;PRS",w u o f e t
wuofen,wutit,"V;SBJV;PL;2;PST",w u t i t
wuofen,wuofen,"V;SBJV;PL;3;PRS",w u o̯ f e n
wuofen,wutin,"V;SBJV;PL;3;PST",w u t i n
wuofen,wuofi,"V;IMP;SG;PRS",w u o̯ f i
wuofen,wuofet,"V;IMP;PL;PRS",w u o f e t
folgēn,folgēn,"V;NFIN",f o l ɡ eː n
folgēn,folgem,"V;IND;SG;1;PRS",f o l ɡ e m
folgēn,folgeta,"V;IND;SG;1;PST",f o l ɡ e t a
folgēn,folges,"V;IND;SG;2;PRS",f o l ɡ e s
folgēn,folgetos,"V;IND;SG;2;PST",f o l ɡ e t o s
folgēn,folget,"V;IND;SG;3;PRS",f o l ɡ e t
folgēn,folgeta,"V;IND;SG;3;PST",f o l ɡ e t a
folgēn,folgem,"V;IND;PL;1;PRS",f o l ɡ e m
folgēn,folgemes,"V;IND;PL;1;PRS",f o l ɡ e m e s
folgēn,folgetum,"V;IND;PL;1;PST",f o l ɡ e t u m
folgēn,folgetumes,"V;IND;PL;1;PST",f o l ɡ e t u m e s
folgēn,folget,"V;IND;PL;2;PRS",f o l ɡ e t
folgēn,folgetut,"V;IND;PL;2;PST",f o l ɡ e t uː t
folgēn,folgent,"V;IND;PL;3;PRS",f o l ɡ e n t
folgēn,folgetun,"V;IND;PL;3;PST",f o l ɡ e t u n
folgēn,folge,"V;SBJV;SG;1;PRS",f o l ɡ e
folgēn,folgeti,"V;SBJV;SG;1;PST",f o l ɡ e t i
folgēn,folges,"V;SBJV;SG;2;PRS",f o l ɡ e s
folgēn,folgetis,"V;SBJV;SG;2;PST",f o l ɡ e t i s
folgēn,folge,"V;SBJV;SG;3;PRS",f o l ɡ e
folgēn,folgeti,"V;SBJV;SG;3;PST",f o l ɡ e t i
folgēn,folgem,"V;SBJV;PL;1;PRS",f o l ɡ e m
folgēn,folgemes,"V;SBJV;PL;1;PRS",f o l ɡ e m e s
folgēn,folgetim,"V;SBJV;PL;1;PST",f o l ɡ e t i m
folgēn,folgetimes,"V;SBJV;PL;1;PST",f o l ɡ e t iː m e s
folgēn,folget,"V;SBJV;PL;2;PRS",f o l ɡ e t
folgēn,folgetit,"V;SBJV;PL;2;PST",f o l ɡ e t i t
folgēn,folgen,"V;SBJV;PL;3;PRS",f o l ɡ e n
folgēn,folgetin,"V;SBJV;PL;3;PST",f o l ɡ e t i n
folgēn,folge,"V;IMP;SG;PRS",f o l ɡ e
folgēn,folget,"V;IMP;PL;PRS",f o l ɡ e t
heiȥȥan,heiȥȥan,"V;NFIN",h e j ʔ i a n
heiȥȥan,heiȥȥu,"V;IND;SG;1;PRS",h e j ʔ u
heiȥȥan,hiaȥ,"V;IND;SG;1;PST",h i a ʔ
heiȥȥan,heiȥȥis,"V;IND;SG;2;PRS",h e i̯ ʕː i s
heiȥȥan,hiaȥi,"V;IND;SG;2;PST",h i a ʔ i
heiȥȥan,heiȥȥit,"V;IND;SG;3;PRS",h e i̯ ʕː i t
heiȥȥan,hiaȥ,"V;IND;SG;3;PST",h i a ʔ
heiȥȥan,heiȥȥem,"V;IND;PL;1;PRS",h e i̯ ʕː e m
heiȥȥan,heiȥȥemes,"V;IND;PL;1;PRS",h e j ʔ i e m e s
heiȥȥan,hiaȥum,"V;IND;PL;1;PST",h i a ʔ u m
heiȥȥan,hiaȥumes,"V;IND;PL;1;PST",h i a ʔ u m e s
heiȥȥan,heiȥȥet,"V;IND;PL;2;PRS",h e j ʔ i e t
heiȥȥan,hiaȥut,"V;IND;PL;2;PST",h i a ʔ u t
heiȥȥan,heiȥȥant,"V;IND;PL;3;PRS",h e j ʔ i ʔ a n t
heiȥȥan,hiaȥun,"V;IND;PL;3;PST",h i a ʔ u n
heiȥȥan,heiȥȥe,"V;SBJV;SG;1;PRS",h e i̯ ʕː e
heiȥȥan,hiaȥi,"V;SBJV;SG;1;PST",h i a ʔ i
heiȥȥan,heiȥȥes,"V;SBJV;SG;2;PRS",h e j ʔ i e s
heiȥȥan,hiaȥis,"V;SBJV;SG;2;PST",h i a ʔ i s
heiȥȥan,heiȥȥe,"V;SBJV;SG;3;PRS",h e i̯ ʕː e
heiȥȥan,hiaȥi,"V;SBJV;SG;3;PST",h i a ʔ i
heiȥȥan,heiȥȥem,"V;SBJV;PL;1;PRS",h e i̯ ʕː e m
heiȥȥan,heiȥȥemes,"V;SBJV;PL;1;PRS",h e j ʔ i e m e s
heiȥȥan,hiaȥim,"V;SBJV;PL;1;PST",h i a ʔ i m
heiȥȥan,hiaȥimes,"V;SBJV;PL;1;PST",h i a ʔ i m e s
heiȥȥan,heiȥȥet,"V;SBJV;PL;2;PRS",h e j ʔ i e t
heiȥȥan,hiaȥit,"V;SBJV;PL;2;PST",h i a ʔ i t
heiȥȥan,heiȥȥen,"V;SBJV;PL;3;PRS",h e i̯ ʕː e n
heiȥȥan,hiaȥin,"V;SBJV;PL;3;PST",h i a ʔ i n
heiȥȥan,heiȥȥ,"V;IMP;SG;PRS",h e j ʔː
heiȥȥan,heiȥȥet,"V;IMP;PL;PRS",h e j ʔ i e t
draen,draen,"V;NFIN",d r a e n
draen,drau,"V;IND;SG;1;PRS",d r a u̯
draen,drata,"V;IND;SG;1;PST",d r a t a
draen,drais,"V;IND;SG;2;PRS",d r a i s
draen,dratos,"V;IND;SG;2;PST",d r a t o s
