lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
વાપરવું,વાપરવાનું,"V;V.MSDR
",3e-05,2.7987421383647805e-05,ʋ ɑ p ə ɾ ʋ ɑ n ũ
વાપરવું,વાપરી,"V;LGSPEC1
",0.0002666666666666,2.7987421383647805e-05,ʋ ɑ p ɾ i
વાપરવું,વાપરીને,"V;LGSPEC2
",8.666666666666667e-05,2.7987421383647805e-05,ʋ ɑ p ɾ i n eː
વાપરવું,વાપરવું હોવું,"V;OPT
",0.0,2.7987421383647805e-05,ʋ ɑ p ə ɾ ʋ ũ ɦ o ʋ ũ
વાપરવું,વાપરી શકવું,"V;POT
",0.0,2.7987421383647805e-05,ʋ ɑ p ɾ i ʃ ə k ʋ ũ
વાપરવું,વપરાય,"V;PASS
",0.0002533333333333,2.7987421383647805e-05,ʋ ə p ɾ ɑ j
વાપરવું,વાપરત,"V;LGSPEC3
",0.0,2.7987421383647805e-05,ʋ ɑ p ɾ ə t̪
વાપરવું,વાપરું,"V;COND;POS;1;SG
",6.666666666666667e-06,2.7987421383647805e-05,ʋ ɑ p ɾ ũ
વાપરવું,વાપરું,"V;IND;PRS;POS;1;SG
",6.666666666666667e-06,2.7987421383647805e-05,ʋ ɑ p ɾ ũ
વાપરવું,વાપરીશ,"V;IND;FUT;POS;1;SG
",0.0,2.7987421383647805e-05,ʋ ɑ p ɾ i ʃ
વાપરવું,વાપરું છું,"V;IND;PRS;PROG;POS;1;SG
",0.0,2.7987421383647805e-05,ʋ ɑ p ɾ ũ t͡ʃʰ ũ
વાપરવું,નહીં વાપરું,"V;IND;FUT;NEG;1;SG
",0.0,2.7987421383647805e-05,n ə ɦ ĩ ʋ ɑ p ɾ ũ
વાપરવું,ન વાપરું,"V;COND;NEG;1;SG
",0.0,2.7987421383647805e-05,n ə ʋ ɑ p ɾ ũ
વાપરવું,વાપરીએ,"V;COND;POS;1;PL
",6.666666666666667e-06,2.7987421383647805e-05,ʋ ɑ p ɾ i e̯
વાપરવું,વાપરીએ,"V;IND;PRS;POS;1;PL
",6.666666666666667e-06,2.7987421383647805e-05,ʋ ɑ p ɾ i e̯
વાપરવું,વાપરીશું,"V;IND;FUT;POS;1;PL
",3.3333333333333333e-06,2.7987421383647805e-05,ʋ ɑ p ɾ i ʃ ũ
વાપરવું,વાપરીએ છીએ,"V;IND;PRS;PROG;POS;1;PL
",0.0,2.7987421383647805e-05,ʋ ɑ p ɾ i e̯ t͡ʃʰ i e̯
વાપરવું,નહીં વાપરીએ,"V;IND;FUT;NEG;1;PL
",0.0,2.7987421383647805e-05,n əʱ ĩ ʋ ɑ p ɾ i e̝
વાપરવું,ન વાપરીએ,"V;COND;NEG;1;PL
",0.0,2.7987421383647805e-05,n ə ʋ ɑ p ɾ i e̯
વાપરવું,વાપરે,"V;COND;POS;2;SG
",0.0001466666666666,2.7987421383647805e-05,ʋ ɑ p ɾ eː
વાપરવું,વાપરે,"V;IND;PRS;POS;2;SG
",0.0001466666666666,2.7987421383647805e-05,ʋ ɑ p ɾ eː
વાપરવું,વાપરશે,"V;IND;FUT;POS;2;SG
",3.6666666666666666e-05,2.7987421383647805e-05,ʋ ɑ p ə ɾ ʃ eː
વાપરવું,વાપરીશ,"V;IND;FUT;POS;2;SG
",0.0,2.7987421383647805e-05,ʋ ɑ p ɾ i ʃ
વાપરવું,વાપરે છે,"V;IND;PRS;PROG;POS;2;SG
",0.0,2.7987421383647805e-05,ʋ ɑ p ɾ eː t͡ʃʰ eː
