lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
isticati,isticat ćeš,V;FUT;2;SG,0.0,0.0001450980392156,ǐ s t i t͡s a t t͡ɕ e ʃ
isticati,isticat ćete,V;FUT;2;PL,0.0,0.0001450980392156,i s t i t͡s a t t͡ɕ ěː t e
isticati,isticaše,V;PROG;PST;3;SG,0.0,0.0001450980392156,î s t i t͡s a ʃ eː
isticati,isticao sam,V;PST;1;SG,0.0,0.0001450980392156,i s t i t͡s a ǒ s a m
isticati,ističeš,V;PRS;2;SG,0.0,0.0001450980392156,ǐ s t i t͡ʃ eː ʃ
isticati,ističete,V;PRS;2;PL,0.0,0.0001450980392156,ǐ s t i t͡ʃ e t e
isticati,isticaše,V;PROG;PST;2;SG,0.0,0.0001450980392156,î s t i t͡s a ʃ eː
isticati,isticali bi,V;COND;3;PL,0.0,0.0001450980392156,i s t ǐ t͡s a l i b i
isticati,budem isticao,V;FUT;1;SG;LGSPEC1,0.0,0.0001450980392156,b u d e m ǐ s t i t͡s a o
isticati,budemo isticali,V;FUT;1;PL;LGSPEC1,0.0,0.0001450980392156,b u d e m o i s t ǐ t͡s a l i
isticati,bili bi isticali,V;COND;PST;3;PL,0.0,0.0001450980392156,b i l i b i i s t ǐ t͡s a l i
isticati,bio bih isticao,V;COND;PST;1;SG,0.0,0.0001450980392156,b i o b i x ǐ s t i t͡s a o
isticati,ističi,V;IMP;2;SG,0.0,0.0001450980392156,ǐ s t i t͡ʃ i
isticati,ističemo,V;PRS;1;PL,0.0,0.0001450980392156,ǐ s t i t͡ʃ e m o
isticati,bio je isticao,V;PRF;PST;3;SG,0.0,0.0001450980392156,b i o j e ǐ s t i t͡s a o
isticati,budeš isticao,V;FUT;2;SG;LGSPEC1,0.0,0.0001450980392156,b u d e ʃ ǐ s t i t͡s a o
isticati,isticah,V;PROG;PST;1;SG,0.0,0.0001450980392156,ǐ s t i t͡s a x
isticati,bili ste isticali,V;PRF;PST;2;PL,0.0,0.0001450980392156,b i l i s t e ǐ s t i t͡s a l i
isticati,isticat će,V;FUT;3;PL,0.0,0.0001450980392156,ǐ s t i t͡s a t t͡ɕ e
isticati,ističe,V;PRS;3;SG,0.0059,0.0001450980392156,ǐ s t i t͡ʃ e
isticati,isticat će,V;FUT;3;SG,0.0,0.0001450980392156,ǐ s t i t͡s a t t͡ɕ e
isticati,isticahu,V;PROG;PST;3;PL,0.0,0.0001450980392156,î s t i t͡s a x u
isticati,ističem,V;PRS;1;SG,0.0,0.0001450980392156,ǐ s t i t͡ʃ e m
isticati,isticao si,V;PST;2;SG,0.0,0.0001450980392156,i s t ǐː t͡s a o s iː
isticati,isticao bih,V;COND;1;SG,0.0,0.0001450980392156,i s t i t͡s ǎ o b i x
isticati,bio sam isticao,V;PRF;PST;1;SG,0.0,0.0001450980392156,b i o s a m ǐ s t i t͡s a o
isticati,bio bi isticao,V;COND;PST;3;SG,0.0,0.0001450980392156,b i o b i ǐ s t i t͡s a o
isticati,isticaste,V;PROG;PST;2;PL,0.0,0.0001450980392156,î s t i t͡s a s t e
isticati,bili biste isticali,V;COND;PST;2;PL,0.0,0.0001450980392156,b i l i b i s t e ǐ s t i t͡s a l i
isticati,bio si isticao,V;PRF;PST;2;SG,0.0,0.0001450980392156,b i o s i ǐ s t i t͡s a o
isticati,budete isticali,V;FUT;2;PL;LGSPEC1,0.0,0.0001450980392156,b u d e t e ǐ s t i t͡s a l i
isticati,isticao bi,V;COND;2;SG,0.0,0.0001450980392156,i s t ǐː t͡s a o b i
isticati,bude isticao,V;FUT;3;SG;LGSPEC1,0.0,0.0001450980392156,b u d e ǐ s t i t͡s a o
isticati,bili su isticali,V;PRF;PST;3;PL,0.0,0.0001450980392156,b i l i s u i s t ǐ t͡s a l i
isticati,bili bismo isticali,V;COND;PST;1;PL,0.0,0.0001450980392156,b i l i b i s m o ǐ s t i t͡s a l i
isticati,isticali biste,V;COND;2;PL,0.0,0.0001450980392156,i s t i t͡s ǎ l i b i s t e
isticati,isticali smo,V;PST;1;PL,0.0,0.0001450980392156,i s t ǐ t͡s a l i s m o
isticati,ističite,V;IMP;2;PL,0.0,0.0001450980392156,ǐ s t i t͡ʃ i t e
isticati,isticao bi,V;COND;3;SG,0.0,0.0001450980392156,i s t ǐː t͡s a o b i
isticati,ističu,V;PRS;3;PL,0.0015,0.0001450980392156,ǐ s t i t͡ʃ u
isticati,isticasmo,V;PROG;PST;1;PL,0.0,0.0001450980392156,i s t i t͡s ǎ s m o
isticati,isticat ćemo,V;FUT;1;PL,0.0,0.0001450980392156,i s t ǐ t͡s a t t͡ɕ e m o
isticati,isticali su,V;PST;3;PL,0.0,0.0001450980392156,i s t ǐ t͡s a l i s u
isticati,isticali bismo,V;COND;1;PL,0.0,0.0001450980392156,i s t i t͡s a l ǐ b i s m o
isticati,budu isticali,V;FUT;3;PL;LGSPEC1,0.0,0.0001450980392156,b u d u ǐ s t i t͡s a l i
isticati,isticali ste,V;PST;2;PL,0.0,0.0001450980392156,ǐ s t i t͡s a l i s t e
isticati,bili smo isticali,V;PRF;PST;1;PL,0.0,0.0001450980392156,b i l i s m o ǐ s t i t͡s a l i
isticati,ističimo,V;IMP;1;PL,0.0,0.0001450980392156,ǐ s t i t͡ʃ i m o
isticati,isticao je,V;PST;3;SG,0.0,0.0001450980392156,i s t i t͡s ǎ o j e
isticati,bio bi isticao,V;COND;PST;2;SG,0.0,0.0001450980392156,b i o b i ǐ s t i t͡s a o
isticati,isticat ću,V;FUT;1;SG,0.0,0.0001450980392156,ǐ s t i t͡s a t t͡ɕ u
izboriti,izborit ćeš,V;FUT;2;SG,0.0,0.0005627450980392,i z b ǒ r i t t͡ɕ eː ʃ
izboriti,izborit ćete,V;FUT;2;PL,0.0,0.0005627450980392,i z b ǒ r i t t͡ɕ eː t e
izboriti,izbori,V;PROG;PST;3;SG,0.0058,0.0005627450980392,ǐ z b o r i
izboriti,izborio sam,V;PST;1;SG,0.0,0.0005627450980392,i z b o r i ǒ s a m
izboriti,izboriš,V;PRS;2;SG,0.0,0.0005627450980392,ǐ z b o r iː ʃ
izboriti,izborite,V;PRS;2;PL,0.0,0.0005627450980392,ǐ z b o r i t e
izboriti,izbori,V;PROG;PST;2;SG,0.0058,0.0005627450980392,ǐ z b o r i
izboriti,izborili bi,V;COND;3;PL,0.0,0.0005627450980392,i z b ǒ r i l i b i
izboriti,budem izborio,V;FUT;1;SG;LGSPEC1,0.0,0.0005627450980392,b u d e m ǐ z b o r i o
izboriti,budemo izborili,V;FUT;1;PL;LGSPEC1,0.0,0.0005627450980392,b u d e m o i z b ǒ r i l i
izboriti,bili bi izborili,V;COND;PST;3;PL,0.0,0.0005627450980392,b i l i b i i z b ǒ r i l i
izboriti,bio bih izborio,V;COND;PST;1;SG,0.0,0.0005627450980392,b i o b i x ǐ z b o r i o
izboriti,izbori,V;IMP;2;SG,0.0058,0.0005627450980392,ǐ z b o r i
izboriti,izborimo,V;PRS;1;PL,0.0,0.0005627450980392,i z b ǒ r i m o
izboriti,bio je izborio,V;PRF;PST;3;SG,0.0,0.0005627450980392,b i o j e ǐ z b o r i o
izboriti,budeš izborio,V;FUT;2;SG;LGSPEC1,0.0,0.0005627450980392,b u d e ʃ ǐ z b o r i o
izboriti,izborih,V;PROG;PST;1;SG,0.0,0.0005627450980392,î z b o r i x
izboriti,bili ste izborili,V;PRF;PST;2;PL,0.0,0.0005627450980392,b i l i s t e i z b ǒ r i l i
izboriti,izborit će,V;FUT;3;PL,0.0,0.0005627450980392,i z b ǒ r i t t͡ɕ e
izboriti,izbori,V;PRS;3;SG,0.0058,0.0005627450980392,ǐ z b o r i
izboriti,izborit će,V;FUT;3;SG,0.0,0.0005627450980392,i z b ǒ r i t t͡ɕ e
izboriti,izboriše,V;PROG;PST;3;PL,0.0,0.0005627450980392,ǐ z b o r i ʃ eː
izboriti,izborim,V;PRS;1;SG,0.0,0.0005627450980392,i z b ǒ r i m
izboriti,izborio si,V;PST;2;SG,0.0,0.0005627450980392,i z b o r ǐ oː s iː
izboriti,izborio bih,V;COND;1;SG,0.0,0.0005627450980392,i z b o r i ǒ b i x
izboriti,bio sam izborio,V;PRF;PST;1;SG,0.0,0.0005627450980392,b i o s a m ǐ z b o r i o
izboriti,bio bi izborio,V;COND;PST;3;SG,0.0,0.0005627450980392,b i o b i ǐ z b o r i o
izboriti,izboriste,V;PROG;PST;2;PL,0.0,0.0005627450980392,ǐ z b o r i s t e
izboriti,bili biste izborili,V;COND;PST;2;PL,0.0,0.0005627450980392,b i l i b i s t e ǐ z b o r i l i
izboriti,bio si izborio,V;PRF;PST;2;SG,0.0,0.0005627450980392,b i o s i ǐ z b o r i o
izboriti,budete izborili,V;FUT;2;PL;LGSPEC1,0.0,0.0005627450980392,b u d e t e ǐ z b o r i l i
izboriti,izborio bi,V;COND;2;SG,0.0,0.0005627450980392,i z b o r i ǒ b i
izboriti,bude izborio,V;FUT;3;SG;LGSPEC1,0.0,0.0005627450980392,b u d e ǐ z b o r i o
izboriti,bili su izborili,V;PRF;PST;3;PL,0.0,0.0005627450980392,b i l i s u i z b ǒ r i l i
izboriti,bili bismo izborili,V;COND;PST;1;PL,0.0,0.0005627450980392,b i l i b i s m o ǐ z b o r i l i
izboriti,izborili biste,V;COND;2;PL,0.0,0.0005627450980392,i z b ǒ r i l i b i s t e
izboriti,izborili smo,V;PST;1;PL,0.0,0.0005627450980392,i z b ǒ r i l i s m o
izboriti,izborite,V;IMP;2;PL,0.0,0.0005627450980392,ǐ z b o r i t e
izboriti,izborio bi,V;COND;3;SG,0.0,0.0005627450980392,i z b o r i ǒ b i
izboriti,izbore,V;PRS;3;PL,0.0055,0.0005627450980392,î z b o r e
izboriti,izborismo,V;PROG;PST;1;PL,0.0,0.0005627450980392,i z b ǒ r i s m o
izboriti,izborit ćemo,V;FUT;1;PL,0.0,0.0005627450980392,i z b ǒ r i t t͡ɕ e m o
izboriti,izborili su,V;PST;3;PL,0.0,0.0005627450980392,i z b ǒ r i l i s u
izboriti,izborili bismo,V;COND;1;PL,0.0,0.0005627450980392,i z b ǒ r i l i b i s m o
izboriti,budu izborili,V;FUT;3;PL;LGSPEC1,0.0,0.0005627450980392,b u d u i z b ǒ r i l i
izboriti,izborili ste,V;PST;2;PL,0.0,0.0005627450980392,i z b ǒ r i l i s t e
izboriti,bili smo izborili,V;PRF;PST;1;PL,0.0,0.0005627450980392,b i l i s m o i z b ǒ r i l i
izboriti,izborimo,V;IMP;1;PL,0.0,0.0005627450980392,i z b ǒ r i m o
izboriti,izborio je,V;PST;3;SG,0.0,0.0005627450980392,î z b o r i o j e
izboriti,bio bi izborio,V;COND;PST;2;SG,0.0,0.0005627450980392,b i o b i ǐ z b o r i o
izboriti,izborit ću,V;FUT;1;SG,0.0,0.0005627450980392,i z b ǒ r i t t͡ɕ u
izjaviti,izjavit ćeš,V;FUT;2;SG,0.0,0.000113725490196,i z j ǎ ʋ i t t͡ɕ e ʃ
izjaviti,izjavit ćete,V;FUT;2;PL,0.0,0.000113725490196,i z j ǎ ʋ i t t͡ɕ eː t e
izjaviti,izjavi,V;PROG;PST;3;SG,0.0009,0.000113725490196,ǐ z j a ʋ iː
izjaviti,izjavio sam,V;PST;1;SG,0.0,0.000113725490196,i z j a ʋ i ǒ s a m
izjaviti,izjaviš,V;PRS;2;SG,0.0,0.000113725490196,ǐ z j a ʋ iː ʃ
izjaviti,izjavite,V;PRS;2;PL,0.0,0.000113725490196,ǐ z j a ʋ i t e
izjaviti,izjavi,V;PROG;PST;2;SG,0.0009,0.000113725490196,ǐ z j a ʋ iː
izjaviti,izjavili bi,V;COND;3;PL,0.0,0.000113725490196,ǐ z j a ʋ i l i b i
izjaviti,budem izjavio,V;FUT;1;SG;LGSPEC1,0.0,0.000113725490196,b u d e m ǐ z j a ʋ i o
izjaviti,budemo izjavili,V;FUT;1;PL;LGSPEC1,0.0,0.000113725490196,b u d e m o i z j ǎː ʋ i l i
izjaviti,bili bi izjavili,V;COND;PST;3;PL,0.0,0.000113725490196,b i l i b i i z j ǎː ʋ i l i
izjaviti,bio bih izjavio,V;COND;PST;1;SG,0.0,0.000113725490196,b i o b i x ǐ z j a ʋ i o
izjaviti,izjavi,V;IMP;2;SG,0.0009,0.000113725490196,ǐ z j a ʋ iː
izjaviti,izjavimo,V;PRS;1;PL,0.0,0.000113725490196,î z j a ʋ i m o
izjaviti,bio je izjavio,V;PRF;PST;3;SG,0.0,0.000113725490196,b i o j e ǐ z j a ʋ i o
izjaviti,budeš izjavio,V;FUT;2;SG;LGSPEC1,0.0,0.000113725490196,b u d e ʃ i z j ǎː ʋ i o
izjaviti,izjavih,V;PROG;PST;1;SG,0.0,0.000113725490196,î z j a ʋ i x
izjaviti,bili ste izjavili,V;PRF;PST;2;PL,0.0,0.000113725490196,b i l i s t e i z j ǎː ʋ i l i
izjaviti,izjavit će,V;FUT;3;PL,0.0,0.000113725490196,i z j ǎ ʋ i t t͡ɕ e
izjaviti,izjavi,V;PRS;3;SG,0.0009,0.000113725490196,ǐ z j a ʋ iː
izjaviti,izjavit će,V;FUT;3;SG,0.0,0.000113725490196,i z j ǎ ʋ i t t͡ɕ e
izjaviti,izjaviše,V;PROG;PST;3;PL,0.0,0.000113725490196,î z j a ʋ i ʃ eː
izjaviti,izjavim,V;PRS;1;SG,0.0,0.000113725490196,i z j ǎ ʋ i m
izjaviti,izjavio si,V;PST;2;SG,0.0,0.000113725490196,î z j a ʋ i o s iː
izjaviti,izjavio bih,V;COND;1;SG,0.0,0.000113725490196,i z j a ʋ i ǒ b i x
izjaviti,bio sam izjavio,V;PRF;PST;1;SG,0.0,0.000113725490196,b i o s a m ǐ z j a ʋ i o
izjaviti,bio bi izjavio,V;COND;PST;3;SG,0.0,0.000113725490196,b i o b i ǐ z j a ʋ i o
izjaviti,izjaviste,V;PROG;PST;2;PL,0.0,0.000113725490196,î z j a ʋ i s t e
izjaviti,bili biste izjavili,V;COND;PST;2;PL,0.0,0.000113725490196,b i l i b i s t e i z j ǎː ʋ i l i
izjaviti,bio si izjavio,V;PRF;PST;2;SG,0.0,0.000113725490196,b i o s i ǐ z j a ʋ i o
izjaviti,budete izjavili,V;FUT;2;PL;LGSPEC1,0.0,0.000113725490196,b u d e t e i z j ǎː ʋ i l i
izjaviti,izjavio bi,V;COND;2;SG,0.0,0.000113725490196,î z j a ʋ i o b i
izjaviti,bude izjavio,V;FUT;3;SG;LGSPEC1,0.0,0.000113725490196,b u d e ǐ z j a ʋ i o
izjaviti,bili su izjavili,V;PRF;PST;3;PL,0.0,0.000113725490196,b i l i s u i z j ǎː ʋ i l i
