lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
איחד,אאחד,V;1;SG;FUT,0.0,0.0009965357142857,ʔ a χ a d
איחד,אחד,V;2;SG;IMP;MASC,0.026393,0.0009965357142857,ʔ a χ a d
איחד,אחדו,V;2;PL;IMP;MASC,2e-06,0.0009965357142857,a χ d u
איחד,אחדי,V;2;SG;IMP;FEM,1e-06,0.0009965357142857,ʔ a χ d i
איחד,אחדנה,V;2;PL;IMP;FEM,0.0,0.0009965357142857,a χ d a n a
איחד,איחד,V;3;SG;PST;MASC,1.3e-05,0.0009965357142857,ʔ i χ a d
איחד,איחדה,V;3;SG;PST;FEM,1.7e-05,0.0009965357142857,ʔ i χ d a
איחד,איחדו,V;3;PL;PST,1.1e-05,0.0009965357142857,ʔ i χ d u
איחד,איחדנו,V;1;PL;PST,5e-06,0.0009965357142857,ʔ i χ d a n u
איחד,איחדת,V;2;SG;PST;MASC,0.0,0.0009965357142857,ʔ i χ a d a t
איחד,איחדת,V;2;SG;PST;FEM,0.0,0.0009965357142857,ʔ i χ a d a t
איחד,איחדתי,V;1;SG;PST,3e-06,0.0009965357142857,ʔ i χ a d t i
איחד,איחדתם,V;2;PL;PST;MASC,0.0,0.0009965357142857,ʔ i χ a d t a m
איחד,איחדתן,V;2;PL;PST;FEM,0.0,0.0009965357142857,ʔ i χ a d t a n
איחד,יאחד,V;3;SG;FUT;MASC,8e-06,0.0009965357142857,j a ʔ a χ a d
איחד,יאחדו,V;3;PL;FUT;MASC,0.0,0.0009965357142857,j a ʔ a χ d u
איחד,לאחד,V;NFIN,0.001153,0.0009965357142857,l a ʔ a χ a d
איחד,מאחד,V;SG;PRS;MASC,0.000238,0.0009965357142857,m a ʔ a χ a d
איחד,מאחדות,V;PL;PRS;FEM,6e-06,0.0009965357142857,m a ʔ ħ a d u t
איחד,מאחדים,V;PL;PRS;MASC,1e-05,0.0009965357142857,m a ʔ ħ a d i m
איחד,מאחדת,V;SG;PRS;FEM,3e-05,0.0009965357142857,m a ʔ ħ a d a t
איחד,נאחד,V;1;PL;FUT,1e-06,0.0009965357142857,n a ʔ a χ a d
איחד,תאחד,V;2;SG;FUT;MASC,6e-06,0.0009965357142857,t a ʔ a χ a d
איחד,תאחד,V;3;SG;FUT;FEM,6e-06,0.0009965357142857,t a ʔ a χ a d
איחד,תאחדו,V;2;PL;FUT;MASC,0.0,0.0009965357142857,t a ʔ a χ d u
איחד,תאחדי,V;2;SG;FUT;FEM,0.0,0.0009965357142857,t a ʔ a χ d i
איחד,תאחדנה,V;2;PL;FUT;FEM,0.0,0.0009965357142857,t a ʔ a χ d a n a
איחד,תאחדנה,V;3;PL;FUT;FEM,0.0,0.0009965357142857,t a ʔ a χ d a n a
אמר,אומר,V;SG;PRS;MASC,0.011189,0.0023630714285714,ʔ o m a ʁ
אמר,אומר,V;1;SG;FUT,0.011189,0.0023630714285714,ʔ o m a ʁ
אמר,אומרות,V;PL;PRS;FEM,0.000123,0.0023630714285714,o m ʁ u t
אמר,אומרים,V;PL;PRS;MASC,0.003427,0.0023630714285714,o m ʁ i m
אמר,אומרת,V;SG;PRS;FEM,0.002957,0.0023630714285714,ʔ o m a ʁ a t
אמר,אמור,V;2;SG;IMP;MASC,0.001883,0.0023630714285714,ʔ a m o ʁ
אמר,אמורנה,V;2;PL;IMP;FEM,0.0,0.0023630714285714,ʔ a m o ʁ a n a
אמר,אמר,V;3;SG;PST;MASC,0.018584,0.0023630714285714,ʔ a m a ʁ
אמר,אמרה,V;3;SG;PST;FEM,0.003002,0.0023630714285714,ʔ a m ʁ a
אמר,אמרו,V;3;PL;PST,0.002566,0.0023630714285714,ʔ a m ʁ o
אמר,אמרו,V;2;PL;IMP;MASC,0.002566,0.0023630714285714,ʔ a m ʁ o
אמר,אמרי,V;2;SG;IMP;FEM,3.9e-05,0.0023630714285714,ʔ a m ʁ i
אמר,אמרנו,V;1;PL;PST,0.000344,0.0023630714285714,ʔ a m a ʁ n u
אמר,אמרת,V;2;SG;PST;MASC,0.000166,0.0023630714285714,ʔ a m a ʁ a t
אמר,אמרת,V;2;SG;PST;FEM,0.000166,0.0023630714285714,ʔ a m a ʁ a t
אמר,אמרתי,V;1;SG;PST,0.001462,0.0023630714285714,ʔ a m a ʁ t i
אמר,אמרתם,V;2;PL;PST;MASC,3.5e-05,0.0023630714285714,ʔ a m a ʁ t a m
אמר,אמרתן,V;2;PL;PST;FEM,0.0,0.0023630714285714,ʔ a m a ʁ t a n
אמר,יאמר,V;3;SG;FUT;MASC,0.000306,0.0023630714285714,j a ʔ a m a ʁ
אמר,יאמרו,V;3;PL;FUT;MASC,0.000196,0.0023630714285714,j a ʔ a m a ʁ u
אמר,לומר,V;NFIN,0.003956,0.0023630714285714,l o m e ʁ
אמר,נאמר,V;1;PL;FUT,0.001727,0.0023630714285714,n a ʔ a m a ʁ
אמר,תאמר,V;2;SG;FUT;MASC,0.000111,0.0023630714285714,t a ʔ a m a ʁ
אמר,תאמר,V;3;SG;FUT;FEM,0.000111,0.0023630714285714,t a ʔ a m a ʁ
אמר,תאמרו,V;2;PL;FUT;MASC,5.2e-05,0.0023630714285714,t a ʔ a m a ʁ u
אמר,תאמרי,V;2;SG;FUT;FEM,7e-06,0.0023630714285714,t a ʔ a m a ʁ i
אמר,תאמרנה,V;2;PL;FUT;FEM,1e-06,0.0023630714285714,t a ʔ a m ʁ a n a
אמר,תאמרנה,V;3;PL;FUT;FEM,1e-06,0.0023630714285714,t a ʔ a m ʁ a n a
בא,אבוא,V;1;SG;FUT,5.9e-05,0.0005972142857142,ʔ a v o ʔ
בא,בא,V;3;SG;PST;MASC,0.002646,0.0005972142857142,b a
בא,בא,V;SG;PRS;MASC,0.002646,0.0005972142857142,b a
בא,באה,V;3;SG;PST;FEM,0.001427,0.0005972142857142,b a ʔ a
בא,באה,V;SG;PRS;FEM,0.001427,0.0005972142857142,b a ʔ a
בא,באו,V;3;PL;PST,0.000825,0.0005972142857142,b o
בא,באות,V;PL;PRS;FEM,0.000231,0.0005972142857142,b a ʔ u t
בא,באים,V;PL;PRS;MASC,0.001014,0.0005972142857142,b a ʔ i m
בא,באנו,V;1;PL;PST,0.000211,0.0005972142857142,b a ʔ a n u
בא,באת,V;2;SG;PST;MASC,6.2e-05,0.0005972142857142,b a ʔ e t
בא,באת,V;2;SG;PST;FEM,6.2e-05,0.0005972142857142,b a ʔ e t
בא,באתי,V;1;SG;PST,0.000309,0.0005972142857142,b a ʔ a t i
בא,באתם,V;2;PL;PST;MASC,1.5e-05,0.0005972142857142,b e ʔ e t e m
בא,באתן,V;2;PL;PST;FEM,0.0,0.0005972142857142,b a ʔ a t a n
בא,בוא,V;2;SG;IMP;MASC,0.00048,0.0005972142857142,b o ʔ
