lemma,form,paradigm_slot,phonemic_form
baton,baton,"V;NFIN",b a t o n
baton,ginbaton,"V;PST",ɡ i n b a t o n
baton,ginbaton,"V;PROG;PST",ɡ i n b a t o n
baton,ginbaton na,"V;PRF;PST",ɡ i n b a t o n n a
baton,ginbaton pa,"V;PRF+PROG;PST",ɡ i n b a t o n p a
baton,ginabaton,"V;PRS",ɡ i n a b a t o n
baton,ginabaton,"V;PROG;PRS",ɡ i n a b a t o n
baton,ginabaton na,"V;PRF;PRS",ɡ i n a b a t o n n a
baton,ginabaton pa,"V;PRF+PROG;PRS",ɡ i n a b a t o n p a
baton,magabaton,"V;FUT",m a ɡ a b a t o n
baton,magabaton,"V;PROG;FUT",m a ɡ a b a t o n
baton,magabaton na,"V;PRF;FUT",m a ɡ a b a t o n n a
baton,magabaton pa,"V;PRF+PROG;FUT",m a ɡ a b a t o n p a
aku,aku,"V;NFIN",ʔ a k u
aku,nag-aku,"V;PST",n a ɡ ʔ a k u
aku,nag-aku,"V;PROG;PST",n a ɡ ʔ a k u
aku,gin-aku na,"V;PRF;PST",ɡ i n ʔ a k u n a
aku,gin-aku pa,"V;PRF+PROG;PST",ɡ i n ʔ a k u p a
aku,nagaaku,"V;PRS",n a ɡ a ʔ a k u
aku,nagaaku,"V;PROG;PRS",n a ɡ a ʔ a k u
aku,ginaaku na,"V;PRF;PRS",ɡ i n a ʔ a k u n a
aku,ginaaku pa,"V;PRF+PROG;PRS",ɡ i n a ʔ a k u p a
aku,magaaku,"V;FUT",m a ɡ a ʔ a k u
aku,magaaku,"V;PROG;FUT",m a ɡ a ʔ a k u
aku,magaaku na,"V;PRF;FUT",m a ɡ a ʔ a k u n a
aku,magaaku pa,"V;PRF+PROG;FUT",m a ɡ a ʔ a k u p a
sabat,sabat,"V;NFIN",s a b a t
sabat,ginsabat,"V;PST",ɡ i n s a b a t
sabat,ginsabat,"V;PROG;PST",ɡ i n s a b a t
sabat,ginsabat na,"V;PRF;PST",ɡ i n s a b a t n a
sabat,ginsabat pa,"V;PRF+PROG;PST",ɡ i n s a b a t p a
sabat,ginasabat,"V;PRS",ɡ i n a s a b a t
sabat,ginasabat,"V;PROG;PRS",ɡ i n a s a b a t
sabat,ginasabat na,"V;PRF;PRS",ɡ i n a s a b a t n a
sabat,ginasabat pa,"V;PRF+PROG;PRS",ɡ i n a s a b a t p a
sabat,magasabat,"V;FUT",m a ɡ a s a b a t
sabat,magasabat,"V;PROG;FUT",m a ɡ a s a b a t
sabat,magasabat na,"V;PRF;FUT",m a ɡ a s a b a t n a
sabat,magasabat pa,"V;PRF+PROG;FUT",m a ɡ a s a b a t p a
pakita,pakita,"V;NFIN",p a k i t a
pakita,nagpakita,"V;PST",n a ɡ p a k i t a
pakita,nagpakita,"V;PROG;PST",n a ɡ p a k i t a
pakita,nagpakita na,"V;PRF;PST",n a ɡ p a k i t a n a
pakita,nagpakita pa,"V;PRF+PROG;PST",n a ɡ p a k i t a p a
pakita,nagapakita,"V;PRS",n a ɡ a p a k i t a
pakita,nagapakita,"V;PROG;PRS",n a ɡ a p a k i t a
pakita,nagapakita na,"V;PRF;PRS",n a ɡ a p a k i t a n a
pakita,nagapakita pa,"V;PRF+PROG;PRS",n a ɡ a p a k i t a p a
pakita,magapakita,"V;FUT",m a ɡ a p a k i t a
pakita,magapakita,"V;PROG;FUT",m a ɡ a p a k i t a
pakita,magapakita na,"V;PRF;FUT",m a ɡ a p a k i t a n a
pakita,magapakita pa,"V;PRF+PROG;FUT",m a ɡ a p a k i t a p a
pamangkot,pamangkot,"V;NFIN",p a m a ŋ k o t
pamangkot,nagpamangkot,"V;PST",n a ɡ p a m a ŋ k o t
pamangkot,nagpamangkot,"V;PROG;PST",n a ɡ p a m a ŋ k o t
pamangkot,nagpamangkot na,"V;PRF;PST",n a ɡ p a m a ŋ k o t n a
pamangkot,nagpamangkot pa,"V;PRF+PROG;PST",n a ɡ p a m a ŋ k o t p a
pamangkot,nagapamangkot,"V;PRS",n a ɡ a p a m a ŋ k o t
pamangkot,nagapamangkot,"V;PROG;PRS",n a ɡ a p a m a ŋ k o t
pamangkot,nagapamangkot na,"V;PRF;PRS",n a ɡ a p a m a ŋ k o t n a
pamangkot,nagapamangkot pa,"V;PRF+PROG;PRS",n a ɡ a p a m a ŋ k o t p a
pamangkot,magapamangkot,"V;FUT",m a ɡ a p a m a ŋ k o t
pamangkot,magapamangkot,"V;PROG;FUT",m a ɡ a p a m a ŋ k o t
pamangkot,magapamangkot na,"V;PRF;FUT",m a ɡ a p a m a ŋ k o t n a
pamangkot,magapamangkot pa,"V;PRF+PROG;FUT",m a ɡ a p a m a ŋ k o t p a
mangin/nangin,mangin,"V;NFIN",m a ŋ i n
mangin/nangin,nangin,"V;PRF;PST",n a ŋ i n
mangin/nangin,mangin,"V;PRS",m a ŋ i n
mangin/nangin,nangin,"V;PRF;PRS",n a ŋ i n
