lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
աճել,աճող,V;V.PTCP;SUB,0.00021,2.141549295774648e-05,ɑ t͡ʃ o ʁ
աճել,աճել եմ,V;PRF;IND;SG;1;PRS,0.0,2.141549295774648e-05,ɑ t͡ʃ e l j e m
աճել,աճել ես,V;PRF;IND;SG;2;PRS,0.0,2.141549295774648e-05,ɑ t͡ʃ e l e s
աճել,աճել է,V;PRF;IND;SG;3;PRS,0.0,2.141549295774648e-05,ɑ t͡ʃ e l
աճել,աճել ենք,V;PRF;IND;PL;1;PRS,0.0,2.141549295774648e-05,ɑ t͡ʃ e l j e n kʰ
աճել,աճել եք,V;PRF;IND;PL;2;PRS,0.0,2.141549295774648e-05,ɑ t͡ʃ e l j e kʰ
աճել,աճել են,V;PRF;IND;PL;3;PRS,0.0,2.141549295774648e-05,ɑ t͡ʃ e l j e n
աճել,աճել էի,V;PRF;IND;SG;1;PST,0.0,2.141549295774648e-05,ɑ t͡ʃ e l e i
աճել,աճել էիր,V;PRF;IND;SG;2;PST,0.0,2.141549295774648e-05,ɑ t͡ʃ e l e i ɾ
աճել,աճել էր,V;PRF;IND;SG;3;PST,0.0,2.141549295774648e-05,ɑ t͡ʃ e l e ɾ
աճել,աճել էինք,V;PRF;IND;PL;1;PST,0.0,2.141549295774648e-05,ɑ t͡ʃ e l e i n kʰ
աճել,աճել էիք,V;PRF;IND;PL;2;PST,0.0,2.141549295774648e-05,ɑ t͡ʃ e l e i kʰ
աճել,աճել էին,V;PRF;IND;PL;3;PST,0.0,2.141549295774648e-05,ɑ t͡ʃ e l e i n
աճել,աճելու էի,V;PRF;IND;SG;1;FUT,0.0,2.141549295774648e-05,ɑ t͡ʃ e l u e i
աճել,աճելու էիր,V;PRF;IND;SG;2;FUT,0.0,2.141549295774648e-05,ɑ t͡ʃ e l u e j i ɾ
աճել,աճելու էր,V;PRF;IND;SG;3;FUT,0.0,2.141549295774648e-05,ɑ t͡ʃ e l u e ɾ
աճել,աճելու էինք,V;PRF;IND;PL;1;FUT,0.0,2.141549295774648e-05,ɑ t͡ʃ e l u e i n kʰ
աճել,աճելու էիք,V;PRF;IND;PL;2;FUT,0.0,2.141549295774648e-05,ɑ t͡ʃ e l u e i kʰ
աճել,աճելու էին,V;PRF;IND;PL;3;FUT,0.0,2.141549295774648e-05,ɑ t͡ʃ e l u e j i n
աճել,աճում եմ,V;IND;SG;1;PRS,0.0,2.141549295774648e-05,ɑ t͡ʃ u m j e m
աճել,աճում ես,V;IND;SG;2;PRS,0.0,2.141549295774648e-05,ɑ t͡ʃ u m j e s
աճել,աճում է,V;IND;SG;3;PRS,0.0,2.141549295774648e-05,ɑ t͡ʃ u m
աճել,աճում ենք,V;IND;PL;1;PRS,0.0,2.141549295774648e-05,ɑ t͡ʃ u m j e n kʰ
աճել,աճում եք,V;IND;PL;2;PRS,0.0,2.141549295774648e-05,ɑ t͡ʃ u m j e kʰ
աճել,աճում են,V;IND;PL;3;PRS,0.0,2.141549295774648e-05,ɑ t͡ʃ u m j e n
աճել,աճեցի,V;IND;SG;1;PST,0.0,2.141549295774648e-05,ɑ t͡ʃ e t͡sʰ i
աճել,աճեցիր,V;IND;SG;2;PST,0.0,2.141549295774648e-05,ɑ t͡ʃ e t͡sʰ i ɾ
աճել,աճեց,V;IND;SG;3;PST,3.8e-05,2.141549295774648e-05,ɑ t͡ʃ e t͡sʰ
աճել,աճեցինք,V;IND;PL;1;PST,0.0,2.141549295774648e-05,ɑ t͡ʃ e t͡sʰ i n kʰ
աճել,աճեցիք,V;IND;PL;2;PST,0.0,2.141549295774648e-05,ɑ t͡ʃ e t͡sʰ i kʰ
աճել,աճեցին,V;IND;PL;3;PST,5e-06,2.141549295774648e-05,ɑ t͡ʃ e t͡sʰ i n
աճել,աճելու եմ,V;IND;SG;1;FUT,0.0,2.141549295774648e-05,ɑ t͡ʃ e l u j e m
աճել,աճելու ես,V;IND;SG;2;FUT,0.0,2.141549295774648e-05,ɑ t͡ʃ e l u j e s
աճել,աճելու է,V;IND;SG;3;FUT,0.0,2.141549295774648e-05,ɑ t͡ʃ e l u
աճել,աճելու ենք,V;IND;PL;1;FUT,0.0,2.141549295774648e-05,ɑ t͡ʃ e l u j e n kʰ
աճել,աճելու եք,V;IND;PL;2;FUT,0.0,2.141549295774648e-05,ɑ t͡ʃ e l u j e kʰ
աճել,աճելու են,V;IND;PL;3;FUT,0.0,2.141549295774648e-05,ɑ t͡ʃ e l u j e n
աճել,աճում էի,V;IPFV;IND;SG;1,0.0,2.141549295774648e-05,ɑ t͡ʃ u m e i
աճել,աճում էիր,V;IPFV;IND;SG;2,0.0,2.141549295774648e-05,ɑ t͡ʃ u m e j i ɾ
աճել,աճում էր,V;IPFV;IND;SG;3,0.0,2.141549295774648e-05,ɑ t͡ʃ u m ə ɾ
աճել,աճում էինք,V;IPFV;IND;PL;1,0.0,2.141549295774648e-05,ɑ t͡ʃ u m e i n kʰ
աճել,աճում էիք,V;IPFV;IND;PL;2,0.0,2.141549295774648e-05,ɑ t͡ʃ u m e i kʰ
աճել,աճում էին,V;IPFV;IND;PL;3,0.0,2.141549295774648e-05,ɑ t͡ʃ u m e j i n
աճել,կաճեի,V;PRF;COND;SG;1;FUT,0.0,2.141549295774648e-05,k ɑ t͡ʃ e i
աճել,կաճեիր,V;PRF;COND;SG;2;FUT,0.0,2.141549295774648e-05,k ɑ t͡ʃ e i ɾ
աճել,կաճեր,V;PRF;COND;SG;3;FUT,2e-06,2.141549295774648e-05,k ɑ t͡ʃ e ɾ
աճել,կաճեինք,V;PRF;COND;PL;1;FUT,0.0,2.141549295774648e-05,k ɑ t͡ʃ e i n kʰ
աճել,կաճեիք,V;PRF;COND;PL;2;FUT,0.0,2.141549295774648e-05,k ɑ t͡ʃ e i kʰ
աճել,կաճեին,V;PRF;COND;PL;3;FUT,0.0,2.141549295774648e-05,k ɑ t͡ʃ e i n
աճել,կաճեմ,V;COND;SG;1;FUT,0.0,2.141549295774648e-05,k ɑ t͡ʃ e m
աճել,կաճես,V;COND;SG;2;FUT,0.0,2.141549295774648e-05,k ɑ t͡ʃ e s
աճել,կաճի,V;COND;SG;3;FUT,6e-05,2.141549295774648e-05,k ɑ t͡ʃ i
աճել,կաճենք,V;COND;PL;1;FUT,2e-06,2.141549295774648e-05,k ɑ t͡ʃ e n kʰ
աճել,կաճեք,V;COND;PL;2;FUT,0.0,2.141549295774648e-05,k ɑ t͡ʃ e kʰ
աճել,կաճեն,V;COND;PL;3;FUT,1.6e-05,2.141549295774648e-05,k ɑ t͡ʃ e n
աճել,աճեցնել,V;CAUS,3.9e-05,2.141549295774648e-05,ɑ t͡ʃ e t͡sʰ n e l
աճել,չաճող,V;V.PTCP;SUB;NEG,0.0,2.141549295774648e-05,t͡ʃʰ ɑ t͡ʃ o ʁ
աճել,չեմ աճել,V;PRF;IND;SG;1;NEG;PRS,0.0,2.141549295774648e-05,t͡ʃʰ e m ɑ t͡ʃ e l
աճել,չես աճել,V;PRF;IND;SG;2;NEG;PRS,0.0,2.141549295774648e-05,t͡ʃʰ e s ɑ t͡ʃ e l
աճել,չի աճել,V;PRF;IND;SG;3;NEG;PRS,0.0,2.141549295774648e-05,t͡ʃʰ i ɑ t͡ʃ e l
աճել,չենք աճել,V;PRF;IND;PL;1;NEG;PRS,0.0,2.141549295774648e-05,t͡ʃʰ e n kʰ ɑ t͡ʃ e l
