lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
ada,adakan,V;ACT;APPL,0.00017,0.0014348888888888,a d a k a n
ada,adakan,V;ACT;CAUS,0.00017,0.0014348888888888,a d a k a n
ada,adakan,V;ACT;TR,0.00017,0.0014348888888888,a d a k a n
ada,berada,V;ACT,0.008363,0.0014348888888888,b ə r a d a
ada,beradanya,V;ACT;DEF,1e-06,0.0014348888888888,b ə r a d a ɲ a
ada,beradanya,V;ACT;PSS3S;DEF,1e-06,0.0014348888888888,b ə r a d a ɲ a
ada,diadakan,V;PASS;APPL,0.002786,0.0014348888888888,d i a d a k a n
ada,diadakan,V;PASS;CAUS,0.002786,0.0014348888888888,d i a d a k a n
ada,diadakan,V;PASS;TR,0.002786,0.0014348888888888,d i a d a k a n
ada,diadakanlah,V;PASS;FOC,7e-06,0.0014348888888888,d i a d a k a n l a h
ada,diadakannya,V;PASS;DEF,0.000251,0.0014348888888888,d i a d a k a n ɲ a
ada,diadakannya,V;PASS;PSS3S;DEF,0.000251,0.0014348888888888,d i a d a k a n ɲ a
ada,mengada,V;ACT,4e-06,0.0014348888888888,m ə ŋ a d a
ada,mengadakan,V;ACT;APPL,0.00269,0.0014348888888888,m ə ŋ a d a k a n
ada,mengadakan,V;ACT;CAUS,0.00269,0.0014348888888888,m ə ŋ a d a k a n
ada,mengadakan,V;ACT;TR,0.00269,0.0014348888888888,m ə ŋ a d a k a n
ada,mengadakannya,V;ACT;DEF,6e-06,0.0014348888888888,m ə ŋ a d a k a n ɲ a
ada,mengadakannya,V;ACT;PSS3S;DEF,6e-06,0.0014348888888888,m ə ŋ a d a k a n ɲ a
aju,ajukan,V;ACT;APPL,0.00011,0.0005972307692307,a d͡ʒ ʊ k a n
aju,ajukan,V;ACT;CAUS,0.00011,0.0005972307692307,a d͡ʒ ʊ k a n
aju,ajukan,V;ACT;TR,0.00011,0.0005972307692307,a d͡ʒ ʊ k a n
aju,diajukan,V;PASS;APPL,0.000942,0.0005972307692307,d i a d͡ʒ ʊ k a n
aju,diajukan,V;PASS;CAUS,0.000942,0.0005972307692307,d i a d͡ʒ ʊ k a n
aju,diajukan,V;PASS;TR,0.000942,0.0005972307692307,d i a d͡ʒ ʊ k a n
aju,diajukannya,V;PASS;DEF,8e-06,0.0005972307692307,d i a d͡ʒ u k a n ɲ a
aju,diajukannya,V;PASS;PSS3S;DEF,8e-06,0.0005972307692307,d i a d͡ʒ u k a n ɲ a
aju,mengajukan,V;ACT;APPL,0.001526,0.0005972307692307,m ə ŋ a d͡ʒ ʊ k a n
aju,mengajukan,V;ACT;CAUS,0.001526,0.0005972307692307,m ə ŋ a d͡ʒ ʊ k a n
aju,mengajukan,V;ACT;TR,0.001526,0.0005972307692307,m ə ŋ a d͡ʒ ʊ k a n
aju,mengajukannya,V;ACT;DEF,7e-06,0.0005972307692307,m ə ŋ a d͡ʒ u k a n ɲ a
aju,mengajukannya,V;ACT;PSS3S;DEF,7e-06,0.0005972307692307,m ə ŋ a d͡ʒ u k a n ɲ a
alami,dialaminya,V;PASS;DEF,6.9e-05,0.001604,d i a l a m i ɲ a
alami,dialaminya,V;PASS;PSS3S;DEF,6.9e-05,0.001604,d i a l a m i ɲ a
alami,mengalami,V;ACT,0.007702,0.001604,m ə ŋ a l a m i
