lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
aðstoða,aðstoðaðir,V;IND;PST;2;SG,4e-06,0.0001556666666666,a ð s t ɔː ð aː ð ɪ r
aðstoða,aðstoðaðir,V;SBJV;PST;2;SG,4e-06,0.0001556666666666,a ð s t ɔː ð aː ð ɪ r
aðstoða,aðstoðaði,V;IND;PST;1;SG,5.7e-05,0.0001556666666666,a ð s t ɔː ð aː ð ɪ
aðstoða,aðstoðaði,V;IND;PST;3;SG,5.7e-05,0.0001556666666666,a ð s t ɔː ð aː ð ɪ
aðstoða,aðstoðaði,V;SBJV;PST;1;SG,5.7e-05,0.0001556666666666,a ð s t ɔː ð aː ð ɪ
aðstoða,aðstoðaði,V;SBJV;PST;3;SG,5.7e-05,0.0001556666666666,a ð s t ɔː ð aː ð ɪ
aðstoða,aðstoðar,V;IND;PRS;2;SG,0.00063,0.0001556666666666,a ð s t ɔː ð a r
aðstoða,aðstoðar,V;IND;PRS;3;SG,0.00063,0.0001556666666666,a ð s t ɔː ð a r
aðstoða,aðstoða,V;IMP;2;SG,0.000623,0.0001556666666666,a ð s t ɔː ð a
aðstoða,aðstoða,V;IND;PRS;1;SG,0.000623,0.0001556666666666,a ð s t ɔː ð a
aðstoða,aðstoða,V;IND;PRS;3;PL,0.000623,0.0001556666666666,a ð s t ɔː ð a
aðstoða,aðstoða,V;NFIN,0.000623,0.0001556666666666,a ð s t ɔː ð a
aðstoða,aðstoðið,V;IMP;2;PL,0.0,0.0001556666666666,a ð s t ɔː ð ɪ ð
aðstoða,aðstoðið,V;IND;PRS;2;PL,0.0,0.0001556666666666,a ð s t ɔː ð ɪ ð
aðstoða,aðstoðið,V;SBJV;PRS;2;PL,0.0,0.0001556666666666,a ð s t ɔː ð ɪ ð
aðstoða,aðstoðir,V;SBJV;PRS;2;SG,1e-06,0.0001556666666666,a ð s t ɔː ð ɪ r
aðstoða,aðstoði,V;SBJV;PRS;1;SG,2.4e-05,0.0001556666666666,a ð s t ɔː ð ɪ
aðstoða,aðstoði,V;SBJV;PRS;3;PL,2.4e-05,0.0001556666666666,a ð s t ɔː ð ɪ
aðstoða,aðstoði,V;SBJV;PRS;3;SG,2.4e-05,0.0001556666666666,a ð s t ɔː ð ɪ
aðstoða,aðstoðuðuð,V;IND;PST;2;PL,0.0,0.0001556666666666,a ð s t ɔː ð ʏ ð ʏ ð
aðstoða,aðstoðuðuð,V;SBJV;PST;2;PL,0.0,0.0001556666666666,a ð s t ɔː ð ʏ ð ʏ ð
aðstoða,aðstoðuðum,V;IND;PRS;1;PL,5e-06,0.0001556666666666,a ð s t ɔː ð ʏː ð ʏ m
aðstoða,aðstoðuðum,V;SBJV;PST;1;PL,5e-06,0.0001556666666666,a ð s t ɔː ð ʏː ð ʏ m
aðstoða,aðstoðuðu,V;IND;PST;3;PL,3.6e-05,0.0001556666666666,a ð s t ɔː ð ʏː ð ʏ
aðstoða,aðstoðuðu,V;SBJV;PST;3;PL,3.6e-05,0.0001556666666666,a ð s t ɔː ð ʏː ð ʏ
aðstoða,aðstoðum,V;IND;PRS;1;PL,3e-05,0.0001556666666666,a ð s t ɔː ð ʏ m
aðstoða,aðstoðum,V;SBJV;PRS;1;PL,3e-05,0.0001556666666666,a ð s t ɔː ð ʏ m
afla,aflaðir,V;IND;PST;2;SG,1e-06,0.0002094074074074,a p l aː ð ɪ r
afla,aflaðir,V;SBJV;PST;2;SG,1e-06,0.0002094074074074,a p l aː ð ɪ r
afla,aflaði,V;IND;PST;1;SG,5.1e-05,0.0002094074074074,a p l aː ð ɪ
afla,aflaði,V;IND;PST;3;SG,5.1e-05,0.0002094074074074,a p l aː ð ɪ
afla,aflaði,V;SBJV;PST;1;SG,5.1e-05,0.0002094074074074,a p l aː ð ɪ
afla,aflaði,V;SBJV;PST;3;SG,5.1e-05,0.0002094074074074,a p l aː ð ɪ
afla,aflar,V;IND;PRS;2;SG,5.7e-05,0.0002094074074074,a p l a r
afla,aflar,V;IND;PRS;3;SG,5.7e-05,0.0002094074074074,a p l a r
afla,afla,V;IMP;2;SG,0.001065,0.0002094074074074,a p l a
