lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
შეუძლია,შემიძლია,V;ARGNO1S;IND;PRS,0.00162,0.0002976,ʃ e m i d͡z l i a
შეუძლია,შეგიძლია,V;ARGNO2S;IND;PRS,0.00074,0.0002976,ʃ e ɡ i d͡z l i a
შეუძლია,შეუძლია,V;ARGNO3S;IND;PRS,0.004357,0.0002976,ʃ e u d͡z l i a
შეუძლია,შეგვიძლია,V;ARGNO1P;IND;PRS,0.001474,0.0002976,ʃ e ɡ v i d͡z l i a
შეუძლია,შეგიძლიათ,V;ARGNO2P;IND;PRS,0.003468,0.0002976,ʃ e ɡ i d͡z l i a tʰ
შეუძლია,შეუძლიათ,V;ARGNO3P;IND;PRS,0.001488,0.0002976,ʃ e u d͡z l i a tʰ
შეუძლია,შემეძლება,V;ARGNO1S;IND;FUT,1.5e-05,0.0002976,ʃ e m e d͡z l e b a
შეუძლია,შეგეძლება,V;ARGNO2S;IND;FUT,6e-06,0.0002976,ʃ e ɡ e d͡z l e b a
შეუძლია,შეეძლება,V;ARGNO3S;IND;FUT,0.000244,0.0002976,ʃ e e d͡z l e b a
შეუძლია,შეგვეძლება,V;ARGNO1P;IND;FUT,3.2e-05,0.0002976,ʃ e ɡ v e d͡z l e b a
შეუძლია,შეგეძლებათ,V;ARGNO2P;IND;FUT,5.1e-05,0.0002976,ʃ e ɡ e d͡z l e b a tʰ
შეუძლია,შეეძლებათ,V;ARGNO3P;IND;FUT,0.000238,0.0002976,ʃ e e d͡z l e b a tʰ
შეუძლია,შემეძლებოდა,V;ARGNO1S;COND,3e-06,0.0002976,ʃ e m e d͡z l e b o d a
შეუძლია,შეგეძლებოდა,V;ARGNO2S;COND,0.0,0.0002976,ʃ e ɡ e d͡z l e b o d a
შეუძლია,შეეძლებოდა,V;ARGNO3S;COND,1.2e-05,0.0002976,ʃ e e d͡z l e b o d a
შეუძლია,შეგვეძლებოდა,V;ARGNO1P;COND,5e-06,0.0002976,ʃ e ɡ v e d͡z l e b o d a
შეუძლია,შეგეძლებოდათ,V;ARGNO2P;COND,0.0,0.0002976,ʃ e ɡ e d͡z l e b o d a tʰ
შეუძლია,შეეძლებოდათ,V;ARGNO3P;COND,2e-06,0.0002976,ʃ e e d͡z l e b o d a tʰ
შეუძლია,შემეძლებოდეს,V;ARGNO1S;SBJV;FUT,0.0,0.0002976,ʃ e m e d͡z l e b o d e s
შეუძლია,შეგეძლებოდეს,V;ARGNO2S;SBJV;FUT,0.0,0.0002976,ʃ e ɡ e d͡z l e b o d e s
შეუძლია,შეეძლებოდეს,V;ARGNO3S;SBJV;FUT,0.0,0.0002976,ʃ e e d͡z l e b o d e s
შეუძლია,შეგვეძლებოდეს,V;ARGNO1P;SBJV;FUT,0.0,0.0002976,ʃ e ɡ v e d͡z l e b o d e s
შეუძლია,შეგეძლებოდეთ,V;ARGNO2P;SBJV;FUT,0.0,0.0002976,ʃ e ɡ e d͡z l e b o d e tʰ
შეუძლია,შეეძლებოდეთ,V;ARGNO3P;SBJV;FUT,0.0,0.0002976,ʃ e e d͡z l e b o d e tʰ
შეუძლია,შემეძლო,V;ARGNO1S;IND;PST;PFV,0.000358,0.0002976,ʃ e m e d͡z l o
შეუძლია,შეგეძლო,V;ARGNO2S;IND;PST;PFV,3.8e-05,0.0002976,ʃ e ɡ e d͡z l o
შეუძლია,შეეძლო,V;ARGNO3S;IND;PST;PFV,0.001039,0.0002976,ʃ e e d͡z l o
შეუძლია,შეგვეძლო,V;ARGNO1P;IND;PST;PFV,0.000143,0.0002976,ʃ e ɡ v e d͡z l o
შეუძლია,შეგეძლოთ,V;ARGNO2P;IND;PST;PFV,4.4e-05,0.0002976,ʃ e ɡ e d͡z l o tʰ
შეუძლია,შეეძლოთ,V;ARGNO3P;IND;PST;PFV,0.00033,0.0002976,ʃ e e d͡z l o tʰ
შეუძლია,შემეძლოს,V;ARGNO1S;OPT,4.3e-05,0.0002976,ʃ e m e d͡z l o s
შეუძლია,შეგეძლოს,V;ARGNO2S;OPT,4.6e-05,0.0002976,ʃ e ɡ e d͡z l o s
შეუძლია,შეძლოს,V;ARGNO3S;OPT,0.000253,0.0002976,ʃ e d͡z l o s
შეუძლია,შეგვეძლოს,V;ARGNO1P;OPT,2.9e-05,0.0002976,ʃ e ɡ v e d͡z l o s
შეუძლია,შეგეძლოთ,V;ARGNO2P;OPT,4.4e-05,0.0002976,ʃ e ɡ e d͡z l o tʰ
შეუძლია,შეძლონ,V;ARGNO3P;OPT,0.000161,0.0002976,ʃ e d͡z l o n
