lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
aзaйту,aзaйтapмыз,"V;SBJV;PL;1;FUT
",0.0,0.0,ɑ z ɑ j t ɑ p m ə z
aзaйту,aзaйтapмын,"V;SBJV;SG;1;FUT
",0.0,0.0,ɑ z ɑ j t ɑ p m ə n
aзaйту,aзaйтapсыңдap,"V;SBJV;PL;2;INFM;FUT
",0.0,0.0,ɑ z ɑ j t ɑ p s ə ŋ d ɑ p
aзaйту,aзaйтapсыздap,"V;FRML;SBJV;PL;2;FUT
",0.0,0.0,ɑ z ɑ j t ɑ p s ə z d ɑ p
aзaйту,aзaйтapсың,"V;SBJV;SG;2;INFM;FUT
",0.0,0.0,ɑ z ɑ j t ɑ p s ə ŋ
aзaйту,aзaйтapсыз,"V;FRML;SBJV;SG;2;FUT
",0.0,0.0,ɑ z ɑ j t ɑ p s ə z
aзaйту,aзaйтap,"V;SBJV;PL;3;FUT
",0.0,0.0,ɑ z ɑ j t ɑ p
aзaйту,aзaйтap,"V;SBJV;SG;3;FUT
",0.0,0.0,ɑ z ɑ j t ɑ p
aзaйту,aзaйтыңдap,"V;IMP;PL;2;INFM
",0.0,0.0,ɑ z ɑ j t ə ŋ d ɑ p
aзaйту,aзaйтыңыздap,"V;FRML;IMP;PL;2
",0.0,0.0,ɑ z ɑ j t ə ŋ ə z d ɑ p
aзaйту,aзaйтпaңыздap,"V;FRML;IMP;PL;2;NEG
",0.0,0.0,ɑ z ɑ j t p ɑ ŋ ə z d ɑ p
aзaйту,aзaйтпaңдap,"V;IMP;PL;2;NEG;INFM
",0.0,0.0,ɑ z ɑ j t p ɑ ŋ d ɑ p
aзaйту,aзaйт,"V;IMP;SG;2;INFM
",0.0,0.0,ɑ z ɑ j t
aзaйту,aзaйтыңыз,"V;FRML;IMP;SG;2
",0.0,0.0,ɑ z ɑ j t ə ŋ ə z
aзaйту,aзaйтпaңыз,"V;FRML;IMP;SG;2;NEG
",0.0,0.0,ɑ z ɑ j t p ɑ ŋ ə z
aзaйту,aзaйтпa,"V;IMP;SG;2;NEG;INFM
",0.0,0.0,ɑ z ɑ j t p ɑ
