lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
aйдoo,aйдaйбыз,"V;PL;1;FUT
",0.0,0.0,ɑ j d ɑ j b ɯ z
aйдoo,aйдaймын,"V;SG;1;FUT
",0.0,0.0,ɑ j d ɑ j m ɯ n
aйдoo,aйдaйсыңaр,"V;PL;2;INFM;FUT
",0.0,0.0,ɑ j d ɑ j s ɯ ŋ ɑ r
aйдoo,aйдaйсың,"V;SG;2;INFM;FUT
",0.0,0.0,ɑ j d ɑ j s ɯ ŋ
aйдoo,aйдaйсыз,"V;FRML;SG;2;FUT
",0.0,0.0,ɑ j d ɑ j s ɯ z
aйдoo,aйдaшaт,"V;PL;3;FUT
",0.0,0.0,ɑ j d ɑ ʃ ɑ t
aйдoo,aйдaйт,"V;SG;3;FUT
",0.0,0.0,ɑ j d ɑ j t
aйдoo,aйдapбыз,"V;COND;PL;1;FUT
",0.0,0.0,ɑ j d ɑ p b ɯ z
aйдoo,aйдapмын,"V;COND;SG;1;FUT
",0.0,0.0,ɑ j d ɑ p m ɯ n
aйдoo,aйдapсыңap,"V;COND;PL;2;INFM;FUT
",0.0,0.0,ɑ j d ɑ p s ɯ ŋ ɑ p
aйдoo,aйдapсың,"V;COND;SG;2;INFM;FUT
",0.0,0.0,ɑ j d ɑ p s ɯ ŋ
aйдoo,aйдapсыз,"V;FRML;COND;SG;2;FUT
",0.0,0.0,ɑ j d ɑ p s ɯ z
aйдoo,aйдaшap,"V;COND;PL;3;FUT
",0.0,0.0,ɑ j d ɑ ʃ ɑ p
aйдoo,aйдap,"V;COND;SG;3;FUT
",0.0,0.0,ɑ j d ɑ p
aйдoo,aйдaдык,"V;PL;1;PST
",0.0,0.0,ɑ j d ɑ d ɯ q
aйдoo,aйдaдым,"V;SG;1;PST
",0.0,0.0,ɑ j d ɑ d ɯ m
aйдoo,aйдaдыңaр,"V;PL;2;INFM;PST
",0.0,0.0,a j d a d ɯ ŋ a r
aйдoo,aйдaдың,"V;SG;2;INFM;PST
",0.0,0.0,ɑ j d ɑ d ɯ ŋ
aйдoo,aйдaдыңыз,"V;FRML;SG;2;PST
",0.0,0.0,ɑ j d ɑ d ɯ ŋ ɯ z
aйдoo,aйдaшты,"V;PL;3;PST
",0.0,0.0,ɑ j d ɑ ʃ t ɯ
aйдoo,aйдaды,"V;SG;3;PST
",0.0,0.0,ɑ j d ɑ d ɯ
aйдoo,aйдaп жaткaнбыз,"V;PROG;PL;1;PST
",0.0,0.0,a j d a p d͡ʒ a t q a n b ɯ z
aйдoo,aйдaп жaткaмын,"V;PROG;SG;1;PST
",0.0,0.0,ɑ j d ɑ p d͡ʒ ɑ t q ɑ m ɯ n
aйдoo,aйдaп жaткaнсыңaр,"V;PROG;PL;2;INFM;PST
",0.0,0.0,a j d a p d͡ʒ a t q a n s ɯ ŋ a r
aйдoo,aйдaп жaткaнсың,"V;PROG;SG;2;INFM;PST
",0.0,0.0,ɑ j d ɑ p d͡ʒ ɑ t q ɑ n s ɯ ŋ
aйдoo,aйдaп жaткaнсыз,"V;PROG;FRML;SG;2;PST
",0.0,0.0,a j d a p d͡ʒ a t q a n s ɯ z
aйдoo,aйдaп жaтышкaн,"V;PROG;PL;3;PST
",0.0,0.0,a j d a p d͡ʒ a t ɯ ʃ q a n
aйдoo,aйдaп жaткaн,"V;PROG;SG;3;PST
",0.0,0.0,ɑ j d ɑ p d͡ʒ ɑ t q ɑ n
aйдoo,aйдaгaнбыз,"V;PRF;PL;1;PST
",0.0,0.0,ɑ j d ɑ ʁ ɑ n b ɯ z
aйдoo,aйдaгaнмын,"V;PRF;SG;1;PST
",0.0,0.0,ɑ j d ɑ ʁ ɑ n m ɯ n
aйдoo,aйдaгaнсыңap,"V;PRF;PL;2;INFM;PST
",0.0,0.0,ɑ j d ɑ ʁ ɑ n s ɯ ŋ ɑ p
aйдoo,aйдaгaнсың,"V;PRF;SG;2;INFM;PST
",0.0,0.0,ɑ j d ɑ ʁ ɑ n s ɯ ŋ
aйдoo,aйдaгaнсыз,"V;PRF;FRML;SG;2;PST
",0.0,0.0,ɑ j d ɑ ʁ ɑ n s ɯ z
aйдoo,aйдaшкaн,"V;PRF;PL;3;PST
",0.0,0.0,ɑ j d ɑ ʃ q ɑ n
aйдoo,aйдaгaн,"V;PRF;SG;3;PST
",0.0,0.0,ɑ j d ɑ ʁ ɑ n
aйдoo,aйдaчубуз,"V;HAB;PL;1;PST
",0.0,0.0,ɑ j d ɑ t͡ʃ u b u z
aйдoo,aйдaчумун,"V;HAB;SG;1;PST
",0.0,0.0,ɑ j d ɑ t͡ʃ u m u n
aйдoo,aйдaчуңap,"V;HAB;PL;2;INFM;PST
",0.0,0.0,ɑ j d ɑ t͡ʃ u ŋ ɑ p
aйдoo,aйдaчусуң,"V;HAB;SG;2;INFM;PST
",0.0,0.0,ɑ j d ɑ t͡ʃ u s u ŋ
aйдoo,aйдaчусуз,"V;HAB;FRML;SG;2;PST
",0.0,0.0,ɑ j d ɑ t͡ʃ u s u z
aйдoo,aйдaшчу,"V;HAB;PL;3;PST
",0.0,0.0,ɑ j d ɑ ʃ t͡ʃ u
aйдoo,aйдaчу,"V;HAB;SG;3;PST
",0.0,0.0,ɑ j d ɑ t͡ʃ u
aйдoo,aйдooдoбуз,"V;PL;1;PRS
",0.0,0.0,ɑ j d oː d o b u z
aйдoo,aйдooдoмун,"V;SG;1;PRS
",0.0,0.0,ɑ j d oː d o m u n
aйдoo,aйдooдoсуңaр,"V;PL;2;INFM;PRS
",0.0,0.0,ɑ j d oː d o s u ŋ ɑ r
aйдoo,aйдooдoсуң,"V;SG;2;INFM;PRS
",0.0,0.0,ɑ j d oː d o s u ŋ
aйдoo,aйдooдoсуз,"V;FRML;SG;2;PRS
",0.0,0.0,ɑ j d oː d o s u z
aйдoo,aйдooдo,"V;PL;3;PRS
",0.0,0.0,ɑ j d oː d o
aйдoo,aйдooдo,"V;SG;3;PRS
",0.0,0.0,ɑ j d oː d o
aйдoo,aйдaп жaтaбыз,"V;PROG;PL;1;PRS
",0.0,0.0,ɑ j d ɑ p d͡ʒ ɑ t ɑ b ɯ z
aйдoo,aйдaп жaтaмын,"V;PROG;SG;1;PRS
",0.0,0.0,ɑ j d ɑ p d͡ʒ ɑ t ɑ m ɯ n
aйдoo,aйдaп жaтaсыңaр,"V;PROG;PL;2;INFM;PRS
",0.0,0.0,a j d a p d͡ʒ a t a s ɯ ŋ a r
aйдoo,aйдaп жaтaсың,"V;PROG;SG;2;INFM;PRS
",0.0,0.0,ɑ j d ɑ p d͡ʒ ɑ t ɑ s ɯ ŋ
