lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
išduoti,išduotų,V;3;SG;SBJV,3e-05,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ t uː
išduoti,išduodavęs,V;V.PTCP;PST;FREQ;ACT,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ d ɐ vʲ ɛ s
išduoti,išduos,V;3;PL;FUT;IND,1.7e-05,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ s
išduoti,išduodavo,V;3;PL;PST;FREQ;IND,8e-06,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ d ɐ v oː
išduoti,išduotas,V;V.PTCP;PST;PASS,0.000115,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ t ɐ s
išduoti,išduodu,V;1;SG;PRS;IND,1e-06,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ d ʊ
išduoti,išduosi,V;2;SG;FUT;IND,1e-06,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ sʲ ɪ
išduoti,išduoda,V;3;PL;PRS;IND,0.000161,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ d ɐ
išduoti,išduodavau,V;1;SG;PST;FREQ;IND,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ d ɐ v ɐ ʊ
išduoti,išduokite,V;2;PL;IMP,1e-06,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ kʲ ɪ tʲ ɛ
išduoti,išduotum,V;2;SG;SBJV,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ t ʊ m
išduoti,išduodi,V;2;SG;PRS;IND,2e-06,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ dʲ ɪ
išduoti,išduodavus,V;V.PTCP;ADV;PST;FREQ;ACT,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ d ɐ v ʊ s
išduoti,išduotų,V;3;PL;SBJV,3e-05,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ t uː
išduoti,išdavėme,V;1;PL;PST;IND,0.0,1.8428571428571423e-05,ɪ ʃ d ɐ vʲ eː mʲ ɛ
išduoti,išduos,V;3;SG;FUT;IND,1.7e-05,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ s
išduoti,išdavęs,V;V.PTCP;PST;ACT,8e-06,1.8428571428571423e-05,ɪ ʃ d ɐ vʲ ɛ s
išduoti,išduodate,V;2;PL;PRS;IND,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ d ɐ tʲ ɛ
išduoti,išduote,V;V.PTCP;LGSPEC3,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ tʲ ɛ
išduoti,teišduoda,V;3;PL;IMP,0.0,1.8428571428571423e-05,tʲ ɛ ɪ ʃ d ʊ ɔ d ɐ
išduoti,išduodavo,V;3;SG;PST;FREQ;IND,8e-06,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ d ɐ v oː
išduoti,išdaviau,V;1;SG;PST;IND,1e-06,1.8428571428571423e-05,ɪ ʃ d ɐ vʲ ɪ ɐ u̯
išduoti,išduosime,V;1;PL;FUT;IND,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ sʲ ɪ mʲ ɛ
išduoti,išduodavome,V;1;PL;PST;FREQ;IND,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ d ɐ v oː mʲ ɛ
išduoti,išduosimas,V;V.PTCP;FUT;PASS,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ sʲ ɪ m ɐ s
išduoti,išduok,V;2;SG;IMP,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ k
išduoti,išduočiau,V;1;SG;SBJV,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ t͡ʃʲ ɐ ʊ̯
išduoti,išdavėte,V;2;PL;PST;IND,2e-06,1.8428571428571423e-05,ɪ ʃ d ɐ vʲ eː tʲ ɛ
išduoti,išdavus,V;V.PTCP;ADV;PST;ACT,3e-06,1.8428571428571423e-05,ɪ ʃ d ɐ v ʊ s
išduoti,išduodamas,V;V.PTCP;ADV;LGSPEC2;ACT,7e-05,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ d ɐ m ɐ s
išduoti,išduodame,V;1;PL;PRS;IND,7e-06,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ d ɐ mʲ ɛ
išduoti,išduotumėte,V;2;PL;SBJV,0.0,1.8428571428571423e-05,ɪ ʃ d u ɔ t ʊ mʲ eː tʲ ɛ
išduoti,išduodąs,V;V.PTCP;PRS;ACT,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ d ɒː s
išduoti,išdavei,V;2;SG;PST;IND,0.0,1.8428571428571423e-05,ɪ ʃ d ɐ vʲ ɛ ɪ
išduoti,išduosite,V;2;PL;FUT;IND,1e-06,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ sʲ ɪ tʲ ɛ
išduoti,išduodavote,V;2;PL;PST;FREQ;IND,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ d ɐ v oː tʲ ɛ
išduoti,išduosiąs,V;V.PTCP;FUT;ACT,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ sʲ ɪ ɒː s
išduoti,teišduoda,V;3;SG;IMP,0.0,1.8428571428571423e-05,tʲ ɛ ɪ ʃ d ʊ ɔ d ɐ
išduoti,išduodant,V;V.PTCP;ADV;PRS;ACT,2e-05,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ d ɐ n t
išduoti,išdavė,V;3;PL;PST;IND,8.3e-05,1.8428571428571423e-05,ɪ ʃ d ɐ vʲ eː
išduoti,išduotinas,V;V.PTCP;LGSPEC1;PASS,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ tʲ ɪ n ɐ s
išduoti,išduoda,V;3;SG;PRS;IND,0.000161,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ d ɐ
išduoti,išduosiu,V;1;SG;FUT;IND,3e-06,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ sʲ ɪ ʊ
išduoti,išduotumėme,V;1;PL;SBJV,0.0,1.8428571428571423e-05,ɪ ʃ d u ɔ t ʊ mʲ eː mʲ ɛ
išduoti,išdavė,V;3;SG;PST;IND,8.3e-05,1.8428571428571423e-05,ɪ ʃ d ɐ vʲ eː
išduoti,išduosiant,V;V.PTCP;ADV;FUT;ACT,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ sʲ ɪ ɐ n t
išduoti,išduodamas,V;V.PTCP;PRS;PASS,7e-05,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ d ɐ m ɐ s
išduoti,išduodavai,V;2;SG;PST;FREQ;IND,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ d ɐ v ɐ ɪ̯
išduoti,išduokime,V;1;PL;IMP,0.0,1.8428571428571423e-05,ɪ ʃ d ʊ ɔ kʲ ɪ mʲ ɛ
išgirsti,išgirstų,V;3;SG;SBJV,3.9e-05,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r s t uː
išgirsti,išgirsdavęs,V;V.PTCP;PST;FREQ;ACT,0.0,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r s d ɐ vʲ ɛ s
išgirsti,išgirs,V;3;PL;FUT;IND,4.4e-05,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r s
išgirsti,išgirsdavo,V;3;PL;PST;FREQ;IND,6e-06,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r s d ɐ v ɔ
išgirsti,išgirstas,V;V.PTCP;PST;PASS,3.2e-05,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r s t ɐ s
išgirsti,išgirstu,V;1;SG;PRS;IND,1.8e-05,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r s t ʊ
išgirsti,išgirsi,V;2;SG;FUT;IND,2.2e-05,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r sʲ ɪ
išgirsti,išgirsta,V;3;PL;PRS;IND,6.3e-05,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r s t ɐ
išgirsti,išgirsdavau,V;1;SG;PST;FREQ;IND,2e-06,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r s d ɐ v ɐ ʊ
išgirsti,išgirskite,V;2;PL;IMP,6e-06,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r s kʲ ɪ tʲ ɛ
išgirsti,išgirstum,V;2;SG;SBJV,3e-06,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r s t ʊ m
išgirsti,išgirsti,V;2;SG;PRS;IND,0.000606,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r s tʲ ɪ
išgirsti,išgirsdavus,V;V.PTCP;ADV;PST;FREQ;ACT,0.0,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r s d ɐ v ʊ s
išgirsti,išgirstų,V;3;PL;SBJV,3.9e-05,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r s t uː
išgirsti,išgirdome,V;1;PL;PST;IND,5.9e-05,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r d ɔ mʲ ɛ
išgirsti,išgirs,V;3;SG;FUT;IND,4.4e-05,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r s
išgirsti,išgirdęs,V;V.PTCP;PST;ACT,8.4e-05,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r dʲ ɛ s
išgirsti,išgirstate,V;2;PL;PRS;IND,5e-06,3.76734693877551e-05,ɪ ʃ ɡʲ ɪ r s t ɐ tʲ ɛ
