lemma,form,paradigm_slot,phonemic_form
jellõ,algõd jelāgõd,V;ACT;FIN;LGSPEC1;NEG;PRS;PL;2,ɑ l ɡ ə d j e l ɑː ɡ ə d
jellõ,iz jel,V;ACT;FIN;IND;NEG;PST;SG;1,i z j e l
jellõ,lībõd jellõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;3,l iː b ə d j e lː ə n d
jellõ,jelāgõd,V;ACT;FIN;LGSPEC1;POS;PRS;PL;3,j e l ɑː ɡ ə d
jellõ,jelāgid!,V;ACT;FIN;IMP;PRS;POS;PL;2,j e l ɑː ɡ i d
jellõ,äb lītõ jellõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;3;LGSPEC5,æ b l iː t ə j e lː ə n d
jellõ,äb līt jellõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;3,æ b l iː t j e lː ə n d
jellõ,jelākstõ,V;ACT;FIN;COND;POS;PRS;PL;2,j e l ɑː k s t ə
jellõ,līmõ jellõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;1;LGSPEC5,l iː m ə j e lː ə n d
jellõ,līm jellõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;1,l iː m j e lː ə n d
jellõ,um jelāmõst,V;ACT;FIN;DEB;POS;PRS;SG;1,u m j e l ɑː m ə s t
jellõ,algõ jelāg,V;ACT;FIN;LGSPEC1;NEG;PRS;SG;2,ɑ l ɡ ə j e l ɑː ɡ
jellõ,jelāg,V;ACT;FIN;LGSPEC1;POS;PRS;SG;2,j e l ɑː ɡ
jellõ,iz jelām,V;ACT;FIN;IND;NEG;PST;PL;1,i z j e l ɑː m
jellõ,jelājid,V;ACT;FIN;QUOT;POS;PRS;PL;1,j e l ɑː j i d
jellõ,jelāks,V;ACT;FIN;COND;POS;PRS;SG;1,j e l ɑː k s
jellõ,līb jellõn,V;ACT;FIN;IND;POS;FUT;PRF;SG;1,l iː b j e lː ə n
jellõ,ät jelāt,V;ACT;FIN;IND;NEG;PRS;PL;2,æ t j e l ɑː t
jellõ,um jelāmõst,V;ACT;FIN;DEB;POS;PRS;SG;3,u m j e l ɑː m ə s t
jellõ,äb līmõ jellõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;1;LGSPEC5,æ b l iː m ə j e lː ə n d
jellõ,äb līm jellõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;1,æ b l iː m j e lː ə n d
jellõ,algõd jelāgõd,V;ACT;FIN;LGSPEC1;NEG;PRS;PL;3,ɑ l ɡ ə d j e l ɑː ɡ ə d
jellõ,jelājid,V;ACT;FIN;QUOT;POS;PRS;PL;3,j e l ɑː j i d
jellõ,äb jelāks,V;ACT;FIN;COND;NEG;PRS;SG;3,æ b j e l ɑː k s
jellõ,jelāb,V;ACT;FIN;IND;POS;PRS;SG;3,j e l ɑː b
jellõ,jelāgõd,V;ACT;FIN;LGSPEC1;POS;PRS;PL;2,j e l ɑː ɡ ə d
jellõ,äb jel,V;ACT;FIN;IND;NEG;PRS;SG;1,æ b j e l
jellõ,äb lī jellõn,V;ACT;FIN;IND;NEG;FUT;PRF;SG;3,æ b l iː j e lː ə n
jellõ,jelīzmõ,V;ACT;FIN;IND;POS;PST;PL;1,j e l iː z m ə
jellõ,jelājid,V;ACT;FIN;QUOT;POS;PRS;PL;2,j e l ɑː j i d
jellõ,um jelāmõst,V;ACT;FIN;DEB;POS;PRS;SG;2,u m j e l ɑː m ə s t
jellõ,um jelāmõst,V;ACT;FIN;DEB;POS;PRS;PL;2,u m j e l ɑː m ə s t
jellõ,algõ jelāg,V;ACT;FIN;LGSPEC1;NEG;PRS;SG;3,ɑ l ɡ ə j e l ɑː ɡ
