lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
fetaħ,ftaħt,V;FIN;PST;PRF;2;SG,7e-05,0.0002579166666666,f t a ħ t
fetaħ,ftaħt,V;FIN;PST;PRF;2;SG,7e-05,0.0002579166666666,f t a ħ t
fetaħ,jiftħu,V;FIN;PST;IPFV;3;PL,0.00052,0.0002579166666666,j ɪ f t ħ u
fetaħ,jiftħu,V;FIN;PST;IPFV;3;PL,0.00052,0.0002579166666666,j ɪ f t ħ u
fetaħ,fetaħ,V;FIN;PST;PRF;3;SG;MASC,0.0005266666666666,0.0002579166666666,f ɛ t a ħ
fetaħ,fetaħ,V;FIN;PST;PRF;3;SG;MASC,0.0005266666666666,0.0002579166666666,f ɛ t a ħ
fetaħ,tiftħu,V;FIN;PST;IPFV;2;PL,2e-05,0.0002579166666666,t ɪ f t ħ u
fetaħ,tiftħu,V;FIN;PST;IPFV;2;PL,2e-05,0.0002579166666666,t ɪ f t ħ u
fetaħ,tiftaħ,V;FIN;PST;IPFV;2;SG,0.0005366666666666,0.0002579166666666,t ɪ f t a ħ
fetaħ,tiftaħ,V;FIN;PST;IPFV;2;SG,0.0005366666666666,0.0002579166666666,t ɪ f t a ħ
fetaħ,ftaħt,V;FIN;PST;PRF;1;SG,7e-05,0.0002579166666666,f t a ħ t
fetaħ,ftaħt,V;FIN;PST;PRF;1;SG,7e-05,0.0002579166666666,f t a ħ t
fetaħ,tiftaħ,V;FIN;PST;IPFV;3;SG;FEM,0.0005366666666666,0.0002579166666666,t ɪ f t a ħ
fetaħ,tiftaħ,V;FIN;PST;IPFV;3;SG;FEM,0.0005366666666666,0.0002579166666666,t ɪ f t a ħ
fetaħ,niftħu,V;FIN;PST;IPFV;1;PL,0.00022,0.0002579166666666,n ɪ f t ħ u
fetaħ,niftħu,V;FIN;PST;IPFV;1;PL,0.00022,0.0002579166666666,n ɪ f t ħ u
fetaħ,iftħu,V;FIN;IMP;1;PL,6.666666666666667e-06,0.0002579166666666,ɪ f t ħ u
fetaħ,iftħu,V;FIN;IMP;1;PL,6.666666666666667e-06,0.0002579166666666,ɪ f t ħ u
fetaħ,ftaħtu,V;FIN;PST;PRF;2;PL,3.3333333333333333e-06,0.0002579166666666,f t a ħ t u
