lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
fernì,fernesce,V;IND;PRS;3;SG,0.0,0.0,f ə r n ɛ ʃ ʃ ə
fernì,fernette,V;IND;PST;1;SG;PFV,0.0,0.0,f ə r n ɛ t t ə
fernì,ferniamo,V;1;PL;IMP,0.0,0.0,f ɛ r n j a m ə
fernì,fernesse,V;SBJV;PST;1;SG;IPFV,0.0,0.0,f ə r n ɛ s s ə
fernì,fernarrisse,V;2;SG;COND,0.0,0.0,f ɛ r n a r r i s s ə
fernì,fernarranno,V;3;PL;IND;FUT,0.0,0.0,f ɛ r n a r r a n n ə
fernì,fernisseve,V;SBJV;PST;2;PL;IPFV,0.0,0.0,f ɛ r n i s s ə v ə
fernì,fernettemo,V;IND;PST;1;PL;PFV,0.0,0.0,f ə r n ɛ t t ə m ə
fernì,ferniveve,V;IND;PST;2;PL;IPFV,0.0,0.0,f ɛ r n i v ɛ v ə
fernì,fernisce,V;IND;PRS;2;SG,0.0,0.0,f ɛ r n i ʃ ʃ ə
fernì,fernarrimmo,V;1;PL;IND;FUT,0.0,0.0,f ɛ r n a r r i m m ə
fernì,fernarrissevo,V;2;PL;COND,0.0,0.0,f ɛ r n a r r i s s ə v ə
fernì,fernevo,V;IND;PST;1;SG;IPFV,0.0,0.0,f ə r n ə v ə
fernì,fernarrà,V;3;SG;IND;FUT,0.0,0.0,f ɛ r n a r r a
fernì,fernesceno,V;IND;PRS;3;PL,0.0,0.0,f ɛ r n ə ʃ ʃ ə n ə
fernì,fernesse,V;SBJV;PST;3;SG;IPFV,0.0,0.0,f ə r n ɛ s s ə
fernì,fernarria,V;1;SG;COND,0.0,0.0,f ɛ r n a r r j ə
fernì,fernisse,V;SBJV;PST;2;SG;IPFV,0.0,0.0,f ɛ r n i s s ə
fernì,fernevano,V;IND;PST;3;PL;IPFV,0.0,0.0,f ə r n ə v a n ə
fernì,fernite,V;2;PL;IMP,0.0,0.0,f e r n i t ə
fernì,fernarrissemo,V;1;PL;COND,0.0,0.0,f ɛ r n a r r i s s ə m ə
fernì,fernive,V;IND;PST;2;SG;IPFV,0.0,0.0,f ə r n i v ə
fernì,fernesco,V;IND;PRS;1;SG,0.0,0.0,f ə r n e s k ə
fernì,fernette,V;IND;PST;3;SG;PFV,0.0,0.0,f ə r n ɛ t t ə
fernì,ferne,V;2;SG;IMP,0.0,0.0,f ɛ r n ə
