lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
gjelde,gjelder,V;IND;PRS,0.010656,0.0037396666666666,j ɛ l d ə r
gjelde,gjeldes,V;IND;PASS,0.0,0.0037396666666666,j ɛ l d ə s
gjelde,gjaldt,V;IND;PST,0.000563,0.0037396666666666,j a l t
fare,far,V;IMP,0.001312,0.0822619999999999,f ɑː r
fare,farer,V;IND;PRS,9.4e-05,0.0822619999999999,f ɑː r ə r
fare,for,V;IND;PST,0.24538,0.0822619999999999,f oː r
ete,et,V;IMP,0.093236,0.023332,eː t
ete,eter,V;IND;PRS,2.7e-05,0.023332,eː t ə r
ete,etes,V;IND;PASS,1e-06,0.023332,eː t ə s
ete,åt,V;IND;PST,6.4e-05,0.023332,oː t
havne,havn,V;IMP,0.000205,0.0080308,h ɑ ʋ n
havne,havner,V;IND;PRS,0.000284,0.0080308,h ɑ ʋ n ə r
havne,-,V;IND;PASS,0.039385,0.0080308,ɑː
havne,havna,V;IND;PST,8e-05,0.0080308,h a ʋ n a
havne,havnet,V;IND;PST,0.0002,0.0080308,h ɑ ʋ n ə
bruke,bruk,V;IMP,0.011197,0.005778,b r ʉː k
bruke,bruker,V;IND;PRS,0.004684,0.005778,b r ʉː k ə r
bruke,brukes,V;IND;PASS,0.005844,0.005778,b r ʉː k ə s
bruke,brukte,V;IND;PST,0.001387,0.005778,b r ʉ k t ə
begynne,begynn,V;IMP,1.8e-05,0.0013183333333333,b ə j ʏ nː
begynne,begynner,V;IND;PRS,0.001903,0.0013183333333333,b ə ɡ ʏ nː ə r
begynne,begynte,V;IND;PST,0.002034,0.0013183333333333,b ə ɡ ʏ n t ə
spille,spill,V;IMP,0.001126,0.0010645,s p ɪ lː
spille,spiller,V;IND;PRS,0.001729,0.0010645,s p ɪ lː ə r
spille,spilles,V;IND;PASS,0.000338,0.0010645,s p ɪ lː ə s
spille,spilte,V;IND;PST,0.001065,0.0010645,s p ɪ l t ə
bli,bli,V;IMP,0.02131,0.025318,b l iː
bli,blir,V;IND;PRS,0.033549,0.025318,b l iː r
bli,ble,V;IND;PST,0.045134,0.025318,b l eː
bli,blei,V;IND;PST,0.001279,0.025318,b l æ ɪ
inneholde,inneholder,V;IND;PRS,0.003407,0.0018005,ɪ nː ə h ɔ l d ə r
inneholde,inneholdt,V;IND;PST,0.000194,0.0018005,ɪ nː ə h ɔ l t
ønske,ønsk,V;IMP,3e-06,0.0025624,œ n s k
ønske,ønsker,V;IND;PRS,0.010632,0.0025624,œ n s k ə r
ønske,ønska,V;IND;PST,3.4e-05,0.0025624,œ n s k ɑ
ønske,ønsket,V;IND;PST,0.002113,0.0025624,œ n s k ə
ønske,ønskte,V;IND;PST,3e-05,0.0025624,œ n s k t ə
møte,møt,V;IMP,5.4e-05,0.0013163333333333,m øː t
møte,møter,V;IND;PRS,0.002904,0.0013163333333333,m øː t ə r
møte,møtte,V;IND;PST,0.000991,0.0013163333333333,m œ tː ə
løye,løyer,V;IND;PRS,1e-06,0.00985025,l œ ʏ ə r
løye,-,V;IND;PASS,0.039385,0.00985025,ɑː
løye,løya,V;IND;PST,0.0,0.00985025,l œ ʏ̯ a
løye,løyet,V;IND;PST,1.5e-05,0.00985025,l œ ʏ ə
bestå,består,V;IND;PRS,0.003394,0.0012566666666666,b ə s t oː r
bestå,besto,V;IND;PST,0.000219,0.0012566666666666,b ɛ s t uː
bestå,bestod,V;IND;PST,0.000157,0.0012566666666666,b ə s t uː
arbeide,arbeid,V;IMP,0.006626,0.0029858333333333,ɑː r b ɛ ɪː
arbeide,arbeider,V;IND;PRS,0.003405,0.0029858333333333,a r b ɛ ɪː d ə r
arbeide,arbeides,V;IND;PASS,0.000438,0.0029858333333333,a r b ɛ ɪː d ə s
