lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
bronić,będą bronili,V;FUT;3;PL;MASC;HUM,0.0,4.643137254901961e-05,b ɛ n d ɔ w̃ b r ɔ ɲ i l i
bronić,będą broniły,V;FUT;3;PL,0.0,4.643137254901961e-05,b ɛ n d ɔ w̃ b r ɔ ɲ i w ɨ
bronić,będę broniła,V;FUT;1;SG;FEM,0.0,4.643137254901961e-05,b ɛ n d ɛ b r ɔ ɲ i w a
bronić,będę bronił,V;FUT;1;SG;MASC,0.0,4.643137254901961e-05,b ɛ n d ɛ b r ɔ ɲ i w
bronić,będzie broniła,V;FUT;3;SG;FEM,0.0,4.643137254901961e-05,b ɛ ɲ d͡ʑ ɛ b r ɔ ɲ i w a
bronić,będzie broniło,V;FUT;3;SG;NEUT,0.0,4.643137254901961e-05,b ɛ ɲ d͡ʑ ɛ b r ɔ ɲ i w ɔ
bronić,będzie bronił,V;FUT;3;SG;MASC,0.0,4.643137254901961e-05,b ɛ ɲ d͡ʑ ɛ b r ɔ ɲ i w
bronić,będziecie bronili,V;FUT;2;PL;MASC;HUM,0.0,4.643137254901961e-05,b ɛ ɲ d͡ʑ ɛ t͡ɕ ɛ b r ɔ ɲ i l i
bronić,będziecie broniły,V;FUT;2;PL,0.0,4.643137254901961e-05,b ɛ ɲ d͡ʑ ɛ t͡ɕ ɛ b r ɔ ɲ i w ɨ
bronić,będziemy bronili,V;FUT;1;PL;MASC;HUM,0.0,4.643137254901961e-05,b ɛ ɲ d͡ʑ ɛ m ɨ b r ɔ ɲ i l i
bronić,będziemy broniły,V;FUT;1;PL,0.0,4.643137254901961e-05,b ɛ ɲ d͡ʑ ɛ m ɨ b r ɔ ɲ i w ɨ
bronić,będziesz broniła,V;FUT;2;SG;FEM,0.0,4.643137254901961e-05,b ɛ ɲ d͡ʑ ɛ ʂ b r ɔ ɲ i w a
bronić,będziesz bronił,V;FUT;2;SG;MASC,0.0,4.643137254901961e-05,b ɛ ɲ d͡ʑ ɛ ʂ b r ɔ ɲ i w
bronić,brońcie,V;IMP;2;PL,1e-06,4.643137254901961e-05,b r ɔ ɲ t͡ɕ ɛ
bronić,bronią,V;PRS;3;PL,0.000223,4.643137254901961e-05,b r ɔ ɲ ɔ w̃
bronić,bronicie,V;PRS;2;PL,2e-06,4.643137254901961e-05,b r ɔ ɲ i t͡ɕ ɛ
bronić,bronić,V;NFIN,0.000214,4.643137254901961e-05,b r ɔ ɲ i t͡ɕ
bronić,bronię,V;PRS;1;SG,1e-05,4.643137254901961e-05,b r ɔ ɲ ɛ
bronić,broniłabym,V;COND;1;SG;FEM,0.0,4.643137254901961e-05,b r ɔ ɲ i w a b ɨ m
bronić,broniłabyś,V;COND;2;SG;FEM,0.0,4.643137254901961e-05,b r ɔ ɲ i w a b ɨ ɕ
bronić,broniłaby,V;COND;3;SG;FEM,0.0,4.643137254901961e-05,b r ɔ ɲ i w a b ɨ
bronić,broniłam,V;PST;1;SG;FEM,4e-06,4.643137254901961e-05,b r ɔ ɲ i w a m
bronić,broniłaś,V;PST;2;SG;FEM,0.0,4.643137254901961e-05,b r ɔ ɲ i w a ɕ
bronić,broniła,V;PST;3;SG;FEM,3e-06,4.643137254901961e-05,b r ɔ ɲ i w a
bronić,broniłbym,V;COND;1;SG;MASC,1e-06,4.643137254901961e-05,b r ɔ ɲ i w b ɨ m
bronić,broniłbyś,V;COND;2;SG;MASC,0.0,4.643137254901961e-05,b r ɔ ɲ i w b ɨ ɕ
bronić,broniłby,V;COND;3;SG;MASC,1e-06,4.643137254901961e-05,b r ɔ ɲ i w b ɨ
bronić,broniłem,V;PST;1;SG;MASC,6e-06,4.643137254901961e-05,b r ɔ ɲ i w ɛ m
bronić,broniłeś,V;PST;2;SG;MASC,1e-06,4.643137254901961e-05,b r ɔ ɲ i w ɛ ɕ
bronić,bronilibyście,V;COND;2;PL;MASC;HUM,0.0,4.643137254901961e-05,b r ɔ ɲ i l i b ɨ ɕ t͡ɕ ɛ
bronić,bronilibyśmy,V;COND;1;PL;MASC;HUM,0.0,4.643137254901961e-05,b r ɔ ɲ i l i b ɨ ɕ m ɨ
bronić,broniliby,V;COND;3;PL;MASC;HUM,0.0,4.643137254901961e-05,b r ɔ ɲ i l i b ɨ
bronić,broniliście,V;PST;2;PL;MASC;HUM,0.0,4.643137254901961e-05,b r ɔ ɲ i l i ɕ t͡ɕ ɛ
bronić,broniliśmy,V;PST;1;PL;MASC;HUM,1e-06,4.643137254901961e-05,b r ɔ ɲ i l i ɕ m ɨ
bronić,bronili,V;PST;3;PL;MASC;HUM,8e-06,4.643137254901961e-05,b r ɔ ɲ i l i
bronić,broniłoby,V;COND;3;SG;NEUT,0.0,4.643137254901961e-05,b r ɔ ɲ i w ɔ b ɨ
bronić,broniło,V;PST;3;SG;NEUT,3e-06,4.643137254901961e-05,b r ɔ ɲ i w ɔ
bronić,bronił,V;PST;3;SG;MASC,4.9e-05,4.643137254901961e-05,b r ɔ ɲ i w
bronić,broniłybyście,V;COND;2;PL,0.0,4.643137254901961e-05,b r ɔ ɲ i w ɨ b ɨ ɕ t͡ɕ ɛ
bronić,broniłybyśmy,V;COND;1;PL,0.0,4.643137254901961e-05,b r ɔ ɲ i w ɨ b ɨ ɕ m ɨ
bronić,broniłyby,V;COND;3;PL,0.0,4.643137254901961e-05,b r ɔ ɲ i w ɨ b ɨ
bronić,broniłyście,V;PST;2;PL,0.0,4.643137254901961e-05,b r ɔ ɲ i w ɨ ɕ t͡ɕ ɛ
bronić,broniłyśmy,V;PST;1;PL,0.0,4.643137254901961e-05,b r ɔ ɲ i w ɨ ɕ m ɨ
bronić,broniły,V;PST;3;PL,2e-05,4.643137254901961e-05,b r ɔ ɲ i w ɨ
bronić,bronimy,V;PRS;1;PL,2e-06,4.643137254901961e-05,b r ɔ ɲ i m ɨ
bronić,bronisz,V;PRS;2;SG,6e-06,4.643137254901961e-05,b r ɔ ɲ i ʂ
bronić,broni,V;PRS;3;SG,0.001179,4.643137254901961e-05,b r ɔ ɲ i
bronić,brońmy,V;IMP;1;PL,1e-06,4.643137254901961e-05,b r ɔ ɲ m ɨ
bronić,broń,V;IMP;2;SG,0.000633,4.643137254901961e-05,b r ɔ ɲ
bronić,niech bronią,V;IMP;3;PL,0.0,4.643137254901961e-05,ɲ ɛ x
bronić,niech broni,V;IMP;3;SG,0.0,4.643137254901961e-05,ɲ ɛ x b r ɔ ɲ i
chcieć,będą chciały,V;FUT;3;PL,0.0,0.0003589411764705,b ɛ n d ɔ w̃ x t͡ɕ a w ɨ
chcieć,będą chcieli,V;FUT;3;PL;MASC;HUM,0.0,0.0003589411764705,b ɛ n d ɔ w̃ x t͡ɕ ɛ l i
chcieć,będę chciała,V;FUT;1;SG;FEM,0.0,0.0003589411764705,b ɛ n d ɛ x t͡ɕ a w a
chcieć,będę chciał,V;FUT;1;SG;MASC,0.0,0.0003589411764705,b ɛ n d ɛ x t͡ɕ a w
chcieć,będzie chciała,V;FUT;3;SG;FEM,0.0,0.0003589411764705,b ɛ ɲ d͡ʑ ɛ x t͡ɕ a w a
chcieć,będzie chciało,V;FUT;3;SG;NEUT,0.0,0.0003589411764705,b ɛ ɲ d͡ʑ ɛ x t͡ɕ a w ɔ
chcieć,będzie chciał,V;FUT;3;SG;MASC,0.0,0.0003589411764705,b ɛ ɲ d͡ʑ ɛ x t͡ɕ a w
chcieć,będziecie chciały,V;FUT;2;PL,0.0,0.0003589411764705,b ɛ ɲ d͡ʑ ɛ t͡ɕ ɛ x t͡ɕ a w ɨ
chcieć,będziecie chcieli,V;FUT;2;PL;MASC;HUM,0.0,0.0003589411764705,b ɛ ɲ d͡ʑ ɛ t͡ɕ ɛ x t͡ɕ ɛ l i
chcieć,będziemy chciały,V;FUT;1;PL,0.0,0.0003589411764705,b ɛ ɲ d͡ʑ ɛ m ɨ x t͡ɕ a w ɨ
chcieć,będziemy chcieli,V;FUT;1;PL;MASC;HUM,0.0,0.0003589411764705,b ɛ ɲ d͡ʑ ɛ m ɨ x t͡ɕ ɛ l i
