lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
găsi,găsea,V;IND;PST;3;SG;IPFV,8.9e-05,9.737142857142856e-05,ɡ ə s e̯ a
găsi,găsisem,V;IND;PST;1;SG;PRF,1e-05,9.737142857142856e-05,ɡ ə s i s e m
găsi,găsesc,V;IND;PRS;3;PL,0.000741,9.737142857142856e-05,ɡ ə s e s k
găsi,să găsești,V;SBJV;PRS;2;SG,0.0,9.737142857142856e-05,s ə ɡ ə s e ʃ tʲ
găsi,găsiți,V;POS;IMP;3;PL,1.9e-05,9.737142857142856e-05,ɡ ə s i t͡sʲ
găsi,găsești,V;IND;PRS;2;SG,1.3e-05,9.737142857142856e-05,ɡ ə s e ʃ tʲ
găsi,găsiserăm,V;IND;PST;1;PL;PRF,0.0,9.737142857142856e-05,ɡ ə s i s e r ə m
găsi,găsește,V;POS;IMP;2;SG,2.4e-05,9.737142857142856e-05,ɡ ə s e ʃ t e
găsi,găsirăți,V;IND;PST;2;PL;PFV,0.0,9.737142857142856e-05,ɡ ə s i r ə t͡sʲ
găsi,găseai,V;IND;PST;2;SG;IPFV,4e-06,9.737142857142856e-05,ɡ ə s e̯ a j
găsi,nu găsiți,V;NEG;IMP;3;PL,0.0,9.737142857142856e-05,n u ɡ ə s i t͡sʲ
găsi,să găsiți,V;SBJV;PRS;2;PL,0.0,9.737142857142856e-05,s ə ɡ ə s i t͡sʲ
găsi,găsii,V;IND;PST;1;SG;PFV,4e-06,9.737142857142856e-05,ɡ ə s i j
găsi,găseau,V;IND;PST;3;PL;IPFV,4.9e-05,9.737142857142856e-05,ɡ ə s e̯ a w
găsi,găsește,V;IND;PRS;3;SG,2.4e-05,9.737142857142856e-05,ɡ ə s e ʃ t e
găsi,să găsesc,V;SBJV;PRS;1;SG,0.0,9.737142857142856e-05,s ə
găsi,găsiră,V;IND;PST;3;PL;PFV,1e-06,9.737142857142856e-05,ɡ ə s i r ə
găsi,găsim,V;IND;PRS;1;PL,0.000304,9.737142857142856e-05,ɡ ə s i m
găsi,să găsim,V;SBJV;PRS;1;PL,0.0,9.737142857142856e-05,s ə
găsi,găsiși,V;IND;PST;2;SG;PFV,0.0,9.737142857142856e-05,ɡ ə s i ʃʲ
găsi,găseam,V;IND;PST;1;SG;IPFV,3e-05,9.737142857142856e-05,ɡ ə s e̯ a m
găsi,găsise,V;IND;PST;3;SG;PRF,1.4e-05,9.737142857142856e-05,ɡ ə s i s e
găsi,găseați,V;IND;PST;2;PL;IPFV,0.0,9.737142857142856e-05,ɡ ə s e̯ a t͡sʲ
găsi,nu găsi,V;NEG;IMP;2;SG,0.0,9.737142857142856e-05,n u ɡ ə sʲ
găsi,găsiseră,V;IND;PST;3;PL;PRF,7e-06,9.737142857142856e-05,ɡ ə s i s e r ə
găsi,găsiți,V;IND;PRS;2;PL,1.9e-05,9.737142857142856e-05,ɡ ə s i t͡sʲ
găsi,a găsi,V;NFIN,0.0,9.737142857142856e-05,a
găsi,găsi,V;IND;PST;3;SG;PFV,0.001285,9.737142857142856e-05,ɡ ə sʲ
găsi,găsiseși,V;IND;PST;2;SG;PRF,0.0,9.737142857142856e-05,ɡ ə s i s e ʃʲ
găsi,găsesc,V;IND;PRS;1;SG,0.000741,9.737142857142856e-05,ɡ ə s e s k
găsi,să găsească,V;SBJV;PRS;3;SG,0.0,9.737142857142856e-05,s ə
găsi,găseam,V;IND;PST;1;PL;IPFV,3e-05,9.737142857142856e-05,ɡ ə s e̯ a m
găsi,găsiserăți,V;IND;PST;2;PL;PRF,0.0,9.737142857142856e-05,ɡ ə s i s e r ə t͡sʲ
găsi,să găsească,V;SBJV;PRS;3;PL,0.0,9.737142857142856e-05,s ə
găsi,găsirăm,V;IND;PST;1;PL;PFV,0.0,9.737142857142856e-05,ɡ ə s i r ə m
implica,implica,V;IND;PST;3;SG;IPFV,0.000957,9.217142857142856e-05,i m p l i k a
implica,implicasem,V;IND;PST;1;SG;PRF,0.0,9.217142857142856e-05,i m p l i k a s e m
implica,implică,V;IND;PRS;3;PL,0.000509,9.217142857142856e-05,i m p l i k ə
implica,să implici,V;SBJV;PRS;2;SG,0.0,9.217142857142856e-05,s ə
implica,implicați,V;POS;IMP;3;PL,6e-06,9.217142857142856e-05,i m p l i k a t͡sʲ
