lemma,form,paradigm_slot,phonemic_form
foceird,coratharrala,V;FIN;SBJV;PRS;ABS;2;SG,k o r a θ a r͈ a l a
foceird,focardatar,V;FIN;IND;PST;PFV;ABS;3;PL,f o ɡ a r ð a d a r
foceird,focartar,V;FIN;IND;PST;PFV;ABS;3;PL,f o ɡ a r͈ t a r
foceird,roláim,V;FIN;IND;PRS;CONJ;1;SG,r͈ o l aː ṽʲ
foceird,corsatar,V;FIN;IND;PST;PFV;CONJ;3;PL,k o r͈ s a d a r
foceird,cuiretar,V;FIN;IND;PRS;CONJ;3;PL,k u rʲ e d a r
foceird,foceird,V;FIN;IND;PRS;ABS;3;SG,f o ɡʲ e r͈ʲ dʲ
foceird,foceirt,V;FIN;IND;PRS;ABS;3;SG,f o kʲ e r͈ʲ tʲ
foceird,cuirethar,V;FIN;IND;PRS;CONJ;3;SG,k u rʲ e θ a r
foceird,corastar,V;FIN;IND;PST;PFV;CONJ;3;SG,k o r a s t a r
foceird,focaird,V;FIN;IND;PST;PFV;ABS;3;SG,f o ɡ i r͈ʲ dʲ
foceird,focerdar,V;FIN;IND;PRS;ABS;PASS;SG,f o kʲ e r͈ d a r
foceird,focerddar,V;FIN;IND;PRS;ABS;PASS;SG,f o kʲ e r͈ ð a r
foceird,focertar,V;FIN;IND;PRS;ABS;PASS;SG,f o kʲ e r͈ t a r
foceird,fucertar,V;FIN;IND;PRS;ABS;PASS;SG,f u ɡʲ e r͈ t a r
foceird,focerdat,V;FIN;IND;PRS;ABS;3;PL,f o kʲ e r͈ ð a d
foceird,fucertat,V;FIN;IND;PRS;ABS;3;PL,f u ɡʲ e r͈ t a d
fogleinn,foroeglantar,V;FIN;IND;PST;PRF;3;PL;LGSPEC1,f o r o e ɣ l a n͈ t a r
fogleinn,fogiguil,V;FIN;IND;FUT;3;SG;LGSPEC1,f o ɣʲ i ɣ u lʲ
fogleinn,forogeglaind,V;FIN;IND;PST;PRF;3;SG;LGSPEC1,f o r o ɣʲ e ɣʲ l i n͈ʲ dʲ
fogleinn,fogleinn,V;FIN;IND;PRS;3;SG;LGSPEC1,f o ɣʲ lʲ e n͈ʲ
fogleinn,foglaind,V;FIN;IND;PRS;3;SG;LGSPEC2,f o ɣ l i n͈ʲ dʲ
fogleinn,froeglaind,V;FIN;IND;PST;PRF;3;SG;LGSPEC2,f r o e ɣ l i n͈ʲ dʲ
fogleinn,fogailsi,V;FIN;LGSPEC3,f o ɣ i l͈ʲ sʲ i
fogleinn,foglenar,V;FIN;IND;PRS;PASS;SG;LGSPEC1,f o ɣʲ lʲ e n a r
