lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
amputirati,amputírajmo,V;IMP;1;PL,0.0,0.0,a m p u t i r áː j m ɔ
amputirati,amputírajo,V;IND;PRS;3;PL,0.0,0.0,a m p u t íː r a j ɔ
amputirati,amputírajta,V;IMP;2;DU,0.0,0.0,a m p u t i r áː j t a
amputirati,amputírajte,V;IMP;2;PL,0.0,0.0,a m p u t íː r a j t ɛ
amputirati,amputírajva,V;IMP;1;DU,0.0,0.0,a m p u t i r áː j ʋ a
amputirati,amputíraj,V;IMP;2;SG,0.0,0.0,a m p u t íː r a j
amputirati,amputíramo,V;IND;PRS;1;PL,0.0,0.0,a m p u t íː r a m ɔ
amputirati,amputíram,V;IND;PRS;1;SG,0.0,0.0,a m p u t íː r a m
amputirati,amputíraš,V;IND;PRS;2;SG,0.0,0.0,a m p u t íː r a ʃ
amputirati,amputírata,V;IND;PRS;2;DU,0.0,0.0,a m p u t i r àː t a
amputirati,amputírata,V;IND;PRS;3;DU,0.0,0.0,a m p u t i r àː t a
amputirati,amputírate,V;IND;PRS;2;PL,0.0,0.0,a m p u t íː r a t ɛ
amputirati,amputírati,V;NFIN,0.0,0.0,a m p u t ìː r a t i
amputirati,amputírava,V;IND;PRS;1;DU,0.0,0.0,a m p u t i r àː ʋ a
amputirati,amputíra,V;IND;PRS;3;SG,0.0,0.0,a m p u t íː r a
amputirati,bi amputíral,V;COND;PRS,0.0,0.0,b i a m p u t íː r a l
amputirati,bi bil amputíral,V;COND;PST,0.0,0.0,b i b i l a m p u t íː r a l
amputirati,bom amputíral,V;IND;FUT,0.0,0.0,b ɔ m p u t íː r a l
amputirati,sem amputíral,V;IND;PST,0.0,0.0,s ɛ m p u t i r áː l
amputirati,sem bil amputíral,V;IND;PRF;PST,0.0,0.0,s ɛ m b i l a m p u t íː r a l
blagosloviti,bi bil blagoslôvil,V;COND;PST,0.0,0.0,b i b i l b l a ɡ ɔ s l òː ʋ i l
blagosloviti,bi blagoslôvil,V;COND;PRS,0.0,0.0,b i b l a ɡ ɔ s l òː ʋ i l
blagosloviti,blagoslovíjo,V;IND;PRS;3;PL,0.0,0.0,b l a ɡ ɔ s l ɔ ʋ íː j ɔ
blagosloviti,blagoslovímo,V;IMP;1;PL,0.0,0.0,b l a ɡ ɔ s l ɔ ʋ íː m ɔ
blagosloviti,blagoslovímo,V;IND;PRS;1;PL,0.0,0.0,b l a ɡ ɔ s l ɔ ʋ íː m ɔ
blagosloviti,blagoslovím,V;IND;PRS;1;SG,0.0,0.0,b l a ɡ ɔ s l ɔ ʋ íː m
blagosloviti,blagoslovíš,V;IND;PRS;2;SG,0.0,0.0,b l a ɡ ɔ s l ɔ ʋ íː ʃ
blagosloviti,blagoslovíta,V;IMP;2;DU,0.0,0.0,b l a ɡ ɔ s l ɔ ʋ íː t a
blagosloviti,blagoslovíta,V;IND;PRS;2;DU,0.0,0.0,b l a ɡ ɔ s l ɔ ʋ íː t a
blagosloviti,blagoslovíta,V;IND;PRS;3;DU,0.0,0.0,b l a ɡ ɔ s l ɔ ʋ íː t a
